DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
01530,ALABAMA                  ,PICKENS,"-40,669","-46,892","-63,449","-47,796","-12,279",,,,,,,,,,,
01540,ALABAMA                  ,PIKE,"-163,192","-173,323","-155,406","-94,806","-73,539",,,,,,,,,,,
01550,ALABAMA                  ,RANDOLPH,"-66,728","-57,489","-79,393","-59,090","-31,210",,,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,"-182,895","-144,232","-196,433","-194,253","-100,889",,,,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"-178,434","-117,788","-122,598","-92,193","-84,406",,,,,,,,,,,
01580,ALABAMA                  ,SHELBY,"-177,707","-133,838","-146,363","-111,656","-96,401",,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-38,849","-45,527","-52,284","-41,276","-18,422",,,,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,"-460,177","-355,166","-357,308","-177,722","-126,108",,,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-197,869","-183,021","-233,946","-146,383","-76,373",,,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-346,758","-571,579","-655,520","-377,967","-62,839",,,,,,,,,,,
01630,ALABAMA                  ,WALKER,"-378,827","-260,645","-267,397","-171,626","-156,871",,,,,,,,,,,
01640,ALABAMA                  ,WASHINGTON,"-42,101","-28,338","-54,360","-32,836","2,341",,,,,,,,,,,
01650,ALABAMA                  ,WILCOX,"-28,931","-37,867","-55,399","-38,014","-10,146",,,,,,,,,,,
01660,ALABAMA                  ,WINSTON,"-87,849","-99,444","-86,038","-57,126","-36,257",,,,,,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"10,347",735,0,"2,322",180,,,,,,,,,,,
02020,ALASKA                   ,ANCHORAGE,"677,259","591,141","322,235","223,981","72,647",,,,,,,,,,,
02040,ALASKA                   ,BARROW DIVISION,"12,588",175,179,0,527,,,,,,,,,,,
02050,ALASKA                   ,BETHEL,"1,364","1,652",775,"1,354",-539,,,,,,,,,,,
02060,ALASKA                   ,BRISTOL BAY,"9,445","4,050","2,730","1,376",-791,,,,,,,,,,,
02070,ALASKA                   ,DILLINGHAM,714,"1,343",776,-525,314,,,,,,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"4,844","4,593","3,643",91,440,,,,,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"33,968","32,475","20,391","17,574","10,112",,,,,,,,,,,
02100,ALASKA                   ,HAINES,37,"4,846","3,102","5,561",208,,,,,,,,,,,
02110,ALASKA                   ,JUNEAU,"32,419","18,122","12,402","13,057","4,153",,,,,,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"146,856","127,459","33,939","13,722","13,041",,,,,,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"2,496","6,155","6,266","7,607",721,,,,,,,,,,,
02140,ALASKA                   ,KOBUK,"2,864","2,055",242,79,0,,,,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"4,008","9,286","1,869",43,"1,404",,,,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,56,17,"1,023",-201,-95,,,,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"125,720","124,833","51,860","39,753","17,882",,,,,,,,,,,
02180,ALASKA                   ,NOME,"1,440","1,140",0,48,0,,,,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,150,325,"3,328",0,191,,,,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"1,937","7,890","2,130",413,"11,495",,,,,,,,,,,
02210,ALASKA                   ,SEWARD,"5,820","1,697","1,103","2,478",205,,,,,,,,,,,
02220,ALASKA                   ,SITKA,"1,338","5,930","2,935","3,954",262,,,,,,,,,,,
