DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
13210,IDAHO                    ,FREMONT,"1,778","-1,525","-2,041","-2,767",-514,,,,,,,,,,,
13220,IDAHO                    ,GEM,"-1,171",632,"-4,954",-616,"9,520",,,,,,,,,,,
13230,IDAHO                    ,GOODING,664,"-2,218","-1,162",-892,"4,542",,,,,,,,,,,
13240,IDAHO                    ,IDAHO,"7,163","4,891","19,298","8,418","5,256",,,,,,,,,,,
13250,IDAHO                    ,JEFFERSON,"2,049","-8,244","-19,097","-4,353","8,198",,,,,,,,,,,
13260,IDAHO                    ,JEROME,-870,"4,498","-3,761","1,001",594,,,,,,,,,,,
13270,IDAHO                    ,KOOTENAI,"192,189","191,509","209,152","199,580","172,642",,,,,,,,,,,
13280,IDAHO                    ,LATAH,"25,016","10,526","11,164","26,341","4,621",,,,,,,,,,,
13290,IDAHO                    ,LEMHI,"8,646","2,907",809,"-1,610","2,932",,,,,,,,,,,
13300,IDAHO                    ,LEWIS,-638,"1,895","6,660","14,944","3,667",,,,,,,,,,,
13310,IDAHO                    ,LINCOLN,-118,-164,-622,-244,0,,,,,,,,,,,
13320,IDAHO                    ,MADISON,"1,418","-2,634","-3,232","1,573","1,693",,,,,,,,,,,
13330,IDAHO                    ,MINIDOKA,"8,344","1,192",729,"2,505","7,146",,,,,,,,,,,
13340,IDAHO                    ,NEZ PERCE,"-6,261","26,412","10,755","37,888","21,459",,,,,,,,,,,
13350,IDAHO                    ,ONEIDA,"5,023",329,486,425,"3,332",,,,,,,,,,,
13360,IDAHO                    ,OWYHEE,260,"-3,137","-2,695",-843,"5,214",,,,,,,,,,,
13370,IDAHO                    ,PAYETTE,"-17,244","-9,665","-1,645","12,739","25,916",,,,,,,,,,,
13380,IDAHO                    ,POWER,"5,940",0,505,394,387,,,,,,,,,,,
13390,IDAHO                    ,SHOSHONE,"31,471","27,880","29,012","22,374","21,137",,,,,,,,,,,
13400,IDAHO                    ,TETON,383,152,"1,251",-561,-134,,,,,,,,,,,
13410,IDAHO                    ,TWIN FALLS,"10,956","1,564","1,069",-575,"4,083",,,,,,,,,,,
13420,IDAHO                    ,VALLEY,"-3,747","-2,401","-1,594",-907,"2,996",,,,,,,,,,,
13430,IDAHO                    ,WASHINGTON,-500,"-6,935","-3,061",-975,"6,793",,,,,,,,,,,
14000,ILLINOIS                 ,ADAMS,"4,346","-5,014","8,270","4,723","-5,673",,,,,,,,,,,
14010,ILLINOIS                 ,ALEXANDER,"3,739","7,596","9,216","2,935","-1,335",,,,,,,,,,,
14020,ILLINOIS                 ,BOND,"2,857","4,278","12,947","5,724","-5,604",,,,,,,,,,,
14030,ILLINOIS                 ,BOONE,"-13,227","-37,543","-20,648","-23,927","-11,639",,,,,,,,,,,
14040,ILLINOIS                 ,BROWN,-994,"-3,618","3,639","4,054",-890,,,,,,,,,,,
14050,ILLINOIS                 ,BUREAU,"-49,310","-53,017","-20,363","-7,132","1,981",,,,,,,,,,,
14060,ILLINOIS                 ,CALHOUN,110,323,"1,087",-841,"-4,520",,,,,,,,,,,
14070,ILLINOIS                 ,CARROLL,"3,553","2,749","-1,322","-4,158","2,582",,,,,,,,,,,
14080,ILLINOIS                 ,CASS,"-3,739","-10,113","6,965","8,127","-3,830",,,,,,,,,,,
14090,ILLINOIS                 ,CHAMPAIGN,"-238,741","-499,961","-474,959","-407,428","-404,581",,,,,,,,,,,
14100,ILLINOIS                 ,CHRISTIAN,"-25,610","-49,968",996,"11,300","-11,754",,,,,,,,,,,
14110,ILLINOIS                 ,CLARK,"3,645","19,791","22,420","26,325","7,512",,,,,,,,,,,
14120,ILLINOIS                 ,CLAY,"2,264","5,152","7,600","-8,941","1,000",,,,,,,,,,,
14130,ILLINOIS                 ,CLINTON,"-1,937","-8,053","3,680","-6,128","-13,164",,,,,,,,,,,
14140,ILLINOIS                 ,COLES,"-25,214","-62,527","-37,346","-47,317","-48,622",,,,,,,,,,,
14141,ILLINOIS                 ,COOK,"432,426","-2,606,975","-4,650,350","-3,310,389","-1,447,068",,,,,,,,,,,
14150,ILLINOIS                 ,CRAWFORD,"1,106","2,015",-673,"-1,734","-6,928",,,,,,,,,,,
14160,ILLINOIS                 ,CUMBERLAND,868,"-10,227","1,778","-8,367","-1,809",,,,,,,,,,,
14170,ILLINOIS                 ,DEKALB,"-18,808","-60,013","-76,678","-68,325","-44,221",,,,,,,,,,,
14180,ILLINOIS                 ,DE WITT,"-13,386","-27,498","-16,592","-15,383","-16,708",,,,,,,,,,,
14190,ILLINOIS                 ,DOUGLAS,"-25,601","-37,538","-43,856","-27,401","-43,115",,,,,,,,,,,
14250,ILLINOIS                 ,DUPAGE,"-50,866","-295,656","-484,058","-427,259","-233,761",,,,,,,,,,,
14310,ILLINOIS                 ,EDGAR,"3,958","-8,046","9,442","2,134","-5,579",,,,,,,,,,,
14320,ILLINOIS                 ,EDWARDS,-232,-273,-4,569,399,,,,,,,,,,,
14330,ILLINOIS                 ,EFFINGHAM,"7,698","-3,528","7,316","7,451","-17,057",,,,,,,,,,,
14340,ILLINOIS                 ,FAYETTE,"-6,262",-968,"13,502","9,557","-3,669",,,,,,,,,,,
14350,ILLINOIS                 ,FORD,"-14,244","-47,229","-25,909","-29,029","-16,178",,,,,,,,,,,
14360,ILLINOIS                 ,FRANKLIN,"-16,018","-15,655","8,920","-5,094","-15,941",,,,,,,,,,,
14370,ILLINOIS                 ,FULTON,"-33,590","-55,689","-38,697","-8,311","12,126",,,,,,,,,,,
14380,ILLINOIS                 ,GALLATIN,"-2,046","3,425","4,568",775,"1,360",,,,,,,,,,,
14390,ILLINOIS                 ,GREENE,"-10,016","-10,415","-1,373","3,228","-10,001",,,,,,,,,,,
14400,ILLINOIS                 ,GRUNDY,"-3,527","-27,348","-40,792","-38,996","-17,612",,,,,,,,,,,
14410,ILLINOIS                 ,HAMILTON,"2,982","3,312","6,156","4,411",560,,,,,,,,,,,
14420,ILLINOIS                 ,HANCOCK,"-3,158","1,331","-1,171","-9,222","-1,983",,,,,,,,,,,
14421,ILLINOIS                 ,HARDIN,-94,181,"1,454","3,279",-605,,,,,,,,,,,
14440,ILLINOIS                 ,HENDERSON,"3,898","2,139","3,981","-2,353","-1,700",,,,,,,,,,,
14450,ILLINOIS                 ,HENRY,"34,538","16,139","3,103","14,619","31,032",,,,,,,,,,,
14460,ILLINOIS                 ,IROQUOIS,"-28,293","-53,975","-40,337","-39,203","-30,546",,,,,,,,,,,
14470,ILLINOIS                 ,JACKSON,"-69,698","-42,807","1,251",-524,"-16,493",,,,,,,,,,,
14480,ILLINOIS                 ,JASPER,-755,"-4,051","5,488","2,280","-9,651",,,,,,,,,,,
14490,ILLINOIS                 ,JEFFERSON,"31,785","37,365","35,723","19,965",-30,,,,,,,,,,,
14500,ILLINOIS                 ,JERSEY,557,-450,282,"-9,623","-14,925",,,,,,,,,,,
14510,ILLINOIS                 ,JO DAVIESS,"-2,485","-2,698",447,"1,925","7,908",,,,,,,,,,,
14520,ILLINOIS                 ,JOHNSON,"-4,262","-2,564",-633,"2,460","-2,648",,,,,,,,,,,
14530,ILLINOIS                 ,KANE,"-86,456","-286,864","-417,547","-387,774","-213,152",,,,,,,,,,,
14540,ILLINOIS                 ,KANKAKEE,"-112,479","-148,200","-203,145","-138,819","-110,206",,,,,,,,,,,
14550,ILLINOIS                 ,KENDALL,"-3,173","-18,432","-30,559","-31,414","-20,630",,,,,,,,,,,
14560,ILLINOIS                 ,KNOX,"36,298","12,385","67,840","84,190","50,001",,,,,,,,,,,
14570,ILLINOIS                 ,LAKE,"-38,160","-239,121","-494,918","-245,548","-190,200",,,,,,,,,,,
14580,ILLINOIS                 ,LA SALLE,"-95,534","-104,737","-95,199","-71,528","-21,455",,,,,,,,,,,
14590,ILLINOIS                 ,LAWRENCE,"1,362","5,463","12,631","2,747","-5,500",,,,,,,,,,,
14600,ILLINOIS                 ,LEE,"-5,471","-18,861","-30,684","-37,771","-25,523",,,,,,,,,,,
14610,ILLINOIS                 ,LIVINGSTON,"-29,504","-50,034","-37,860","-29,488","-14,020",,,,,,,,,,,
14620,ILLINOIS                 ,LOGAN,"-13,479","-21,233","-2,577","8,629","-4,086",,,,,,,,,,,
14630,ILLINOIS                 ,MCDONOUGH,"-3,449","-15,913","-6,188","2,112","8,851",,,,,,,,,,,
14640,ILLINOIS                 ,MCHENRY,"-10,084","-103,930","-191,788","-138,441","-64,372",,,,,,,,,,,
14650,ILLINOIS                 ,MCLEAN,"-120,270","-165,917","-170,144","-154,454","-91,210",,,,,,,,,,,
14660,ILLINOIS                 ,MACON,"-74,835","-230,465","-233,067","-133,665","-39,067",,,,,,,,,,,
14670,ILLINOIS                 ,MACOUPIN,"-7,680","-16,618","26,081","24,604","-14,926",,,,,,,,,,,
14680,ILLINOIS                 ,MADISON,"256,283","167,398","204,539","75,435","-91,569",,,,,,,,,,,
14690,ILLINOIS                 ,MARION,"85,430","97,390","101,931","69,092","1,499",,,,,,,,,,,
14700,ILLINOIS                 ,MARSHALL,"-25,305","-18,365","-9,358","-5,382","-2,858",,,,,,,,,,,
14710,ILLINOIS                 ,MASON,"-14,290","-25,916","-24,074","-6,613",-163,,,,,,,,,,,
14720,ILLINOIS                 ,MASSAC,"7,028","6,497","-6,772","1,810","-6,621",,,,,,,,,,,
14730,ILLINOIS                 ,MENARD,"-11,758","-7,359","3,675","7,757","-2,537",,,,,,,,,,,
14740,ILLINOIS                 ,MERCER,"21,207","28,601","37,285","11,824","8,496",,,,,,,,,,,
14750,ILLINOIS                 ,MONROE,"10,869","8,045","7,024","3,187","-4,149",,,,,,,,,,,
14760,ILLINOIS                 ,MONTGOMERY,"-11,193","-25,393","12,435","16,182","-12,599",,,,,,,,,,,
14770,ILLINOIS                 ,MORGAN,"-12,827","-27,866","4,931","14,902","-9,580",,,,,,,,,,,
14780,ILLINOIS                 ,MOULTRIE,"-6,457","-30,027","-24,194","-21,076","-1,059",,,,,,,,,,,
14790,ILLINOIS                 ,OGLE,"-16,131","-50,296","-44,562","-35,197","-14,759",,,,,,,,,,,
14800,ILLINOIS                 ,PEORIA,"-308,309","-417,878","-409,032","-142,659","21,505",,,,,,,,,,,
14810,ILLINOIS                 ,PERRY,"-13,107","-5,605","6,683","2,818","-4,033",,,,,,,,,,,
14820,ILLINOIS                 ,PIATT,"-10,837","-43,357","-22,475","-18,651","-17,034",,,,,,,,,,,
14830,ILLINOIS                 ,PIKE,487,"-3,752","6,540","2,910","-3,849",,,,,,,,,,,
14831,ILLINOIS                 ,POPE,-504,"2,963",566,462,-852,,,,,,,,,,,
14850,ILLINOIS                 ,PULASKI,"3,140","1,228","3,048",469,"-2,051",,,,,,,,,,,
14860,ILLINOIS                 ,PUTNAM,"-7,401","-7,706",-488,"-2,730","1,595",,,,,,,,,,,
14870,ILLINOIS                 ,RANDOLPH,"14,545","15,136","16,997","2,382","-6,878",,,,,,,,,,,
14880,ILLINOIS                 ,RICHLAND,"-1,590","3,743","3,580","-3,964","-1,033",,,,,,,,,,,
14890,ILLINOIS                 ,ROCK ISLAND,"462,250","592,094","467,567","194,703","222,746",,,,,,,,,,,
14900,ILLINOIS                 ,ST. CLAIR,"251,995","210,267","194,063","82,664","-77,295",,,,,,,,,,,
14910,ILLINOIS                 ,SALINE,-335,"-13,749","4,205","-1,698","5,711",,,,,,,,,,,
14920,ILLINOIS                 ,SANGAMON,"-153,120","-266,205","81,478","129,020","-83,431",,,,,,,,,,,
14921,ILLINOIS                 ,SCHUYLER,"-4,048","-1,147",844,"1,881",-704,,,,,,,,,,,
14940,ILLINOIS                 ,SCOTT,"-2,782","-3,122","1,120","1,839",-849,,,,,,,,,,,
14950,ILLINOIS                 ,SHELBY,"-7,453","-20,881","-4,689",863,"-8,123",,,,,,,,,,,
14960,ILLINOIS                 ,STARK,"-2,993","-3,418","-6,636","-1,977",-461,,,,,,,,,,,
14970,ILLINOIS                 ,STEPHENSON,"-10,967","-38,230","-28,224","-13,426","16,434",,,,,,,,,,,
14980,ILLINOIS                 ,TAZEWELL,"-176,912","-217,103","-215,314","-89,271","4,045",,,,,,,,,,,
14981,ILLINOIS                 ,UNION,"-1,774","1,042","4,619",442,"-2,661",,,,,,,,,,,
14982,ILLINOIS                 ,VERMILION,"-25,399","-5,641","-217,021","-161,567","-193,451",,,,,,,,,,,
14983,ILLINOIS                 ,WABASH,789,"1,121","5,931",347,"2,829",,,,,,,,,,,
14984,ILLINOIS                 ,WARREN,"14,483","-5,056","-4,378","8,796","4,508",,,,,,,,,,,
14985,ILLINOIS                 ,WASHINGTON,"5,217","8,865","7,659","1,662",-564,,,,,,,,,,,
14986,ILLINOIS                 ,WAYNE,"4,809","6,955","10,578","6,729","2,321",,,,,,,,,,,
14987,ILLINOIS                 ,WHITE,"5,968","6,122","9,729","2,574","8,391",,,,,,,,,,,
14988,ILLINOIS                 ,WHITESIDE,"188,165","176,132","130,331","32,016","48,822",,,,,,,,,,,
14989,ILLINOIS                 ,WILL,"-70,499","-283,217","-477,231","-471,569","-234,771",,,,,,,,,,,
14990,ILLINOIS                 ,WILLIAMSON,"-24,226","-19,229","-2,352","-19,207","-20,092",,,,,,,,,,,
14991,ILLINOIS                 ,WINNEBAGO,"-258,447","-556,616","-411,976","-271,060","-102,462",,,,,,,,,,,
14992,ILLINOIS                 ,WOODFORD,"-32,637","-27,761","-25,599","-13,966","-3,475",,,,,,,,,,,
15000,INDIANA                  ,ADAMS,"42,309","37,231","42,149","65,702","36,706",,,,,,,,,,,
15010,INDIANA                  ,ALLEN,"370,942","331,115","85,712","39,553","-7,610",,,,,,,,,,,
15020,INDIANA                  ,BARTHOLOMEW,"79,064","175,129","202,827","221,919","107,173",,,,,,,,,,,
15030,INDIANA                  ,BENTON,"5,852","18,583","9,165","8,260","5,573",,,,,,,,,,,
15040,INDIANA                  ,BLACKFORD,"57,397","66,912","41,783","62,658","30,181",,,,,,,,,,,
15050,INDIANA                  ,BOONE,"176,355","114,132","91,944","98,031","33,178",,,,,,,,,,,
15060,INDIANA                  ,BROWN,"10,499","4,344","23,397","11,182","4,354",,,,,,,,,,,
15070,INDIANA                  ,CARROLL,"17,208","17,548","20,378","10,505","6,591",,,,,,,,,,,
15080,INDIANA                  ,CASS,"23,143","36,534","28,577","30,764","19,650",,,,,,,,,,,
15090,INDIANA                  ,CLARK,"-462,098","-229,888","-55,498","-254,175","-183,410",,,,,,,,,,,
15100,INDIANA                  ,CLAY,"27,069","47,651","58,371","52,315","22,090",,,,,,,,,,,
15110,INDIANA                  ,CLINTON,"37,916","48,338","49,403","41,020","32,223",,,,,,,,,,,
15120,INDIANA                  ,CRAWFORD,"-27,447","-16,546","-15,446","-15,911","-10,171",,,,,,,,,,,
15130,INDIANA                  ,DAVIESS,"2,031","11,349","10,609","-9,175","7,712",,,,,,,,,,,
15140,INDIANA                  ,DEARBORN,"-38,841","-26,257","-53,009","-9,826","-4,866",,,,,,,,,,,
15150,INDIANA                  ,DECATUR,"16,590","26,767","55,546","36,469","19,473",,,,,,,,,,,
15160,INDIANA                  ,DE KALB,"11,582","15,788","4,229","-9,541","2,795",,,,,,,,,,,
15170,INDIANA                  ,DELAWARE,"622,030","692,920","810,198","798,963","578,573",,,,,,,,,,,
15180,INDIANA                  ,DUBOIS,"-2,177","5,122","27,774","5,031","8,425",,,,,,,,,,,
15190,INDIANA                  ,ELKHART,"-320,483","-256,202","-277,625","-208,484","-240,423",,,,,,,,,,,
15200,INDIANA                  ,FAYETTE,"1,941","-4,994","-32,869","-34,729","-36,418",,,,,,,,,,,
15210,INDIANA                  ,FLOYD,"-276,796","-190,010","-160,230","-150,574","-114,762",,,,,,,,,,,
15220,INDIANA                  ,FOUNTAIN,"14,759","21,982","27,487","25,297","9,719",,,,,,,,,,,
15230,INDIANA                  ,FRANKLIN,"-3,272","-2,796","-8,416","-2,400","-10,071",,,,,,,,,,,
15240,INDIANA                  ,FULTON,"-7,220",-450,"-2,757","-2,274","-3,729",,,,,,,,,,,
15250,INDIANA                  ,GIBSON,"13,126","13,378","20,118","4,396","18,445",,,,,,,,,,,
15260,INDIANA                  ,GRANT,"73,501","109,251","75,850","97,968","45,537",,,,,,,,,,,
15270,INDIANA                  ,GREENE,"30,218","54,327","43,567","52,337","21,926",,,,,,,,,,,
15280,INDIANA                  ,HAMILTON,"80,697","134,938","139,766","167,595","68,550",,,,,,,,,,,
15290,INDIANA                  ,HANCOCK,"54,874","83,523","103,993","93,737","36,245",,,,,,,,,,,
15300,INDIANA                  ,HARRISON,"-78,840","-58,000","-55,320","-42,878","-36,376",,,,,,,,,,,
15310,INDIANA                  ,HENDRICKS,"84,988","158,269","159,509","153,255","67,568",,,,,,,,,,,
15320,INDIANA                  ,HENRY,"144,080","144,675","184,815","188,547","117,967",,,,,,,,,,,
15330,INDIANA                  ,HOWARD,"-81,207","-119,912","55,638","81,036","124,763",,,,,,,,,,,
15340,INDIANA                  ,HUNTINGTON,"45,578","35,611","10,241","9,471","-4,869",,,,,,,,,,,
15350,INDIANA                  ,JACKSON,"-64,118","-47,549","-55,307","-64,491","-42,018",,,,,,,,,,,
15360,INDIANA                  ,JASPER,"-4,948",-586,"-3,919","7,757","-15,388",,,,,,,,,,,
15370,INDIANA                  ,JAY,"50,763","69,011","94,327","66,122","32,436",,,,,,,,,,,
15380,INDIANA                  ,JEFFERSON,"-85,243","-59,905","-35,885","-7,909","-5,141",,,,,,,,,,,
15390,INDIANA                  ,JENNINGS,"10,707","24,438","16,253","9,465","3,672",,,,,,,,,,,
15400,INDIANA                  ,JOHNSON,"110,461","217,591","224,740","215,561","74,335",,,,,,,,,,,
15410,INDIANA                  ,KNOX,"27,520","34,377","31,468","31,954","19,753",,,,,,,,,,,
15420,INDIANA                  ,KOSCIUSKO,"-43,450","-13,527","-35,976","-33,458","-42,805",,,,,,,,,,,
15430,INDIANA                  ,LAGRANGE,"12,933","8,686","3,884","2,950","-3,556",,,,,,,,,,,
15440,INDIANA                  ,LAKE,"-100,108","-368,300","-407,327","-409,722","-386,004",,,,,,,,,,,
15450,INDIANA                  ,LA PORTE,"-10,799","25,173","21,033","-1,228","-15,226",,,,,,,,,,,
15460,INDIANA                  ,LAWRENCE,"30,818","70,591","56,953","59,130","28,223",,,,,,,,,,,
15470,INDIANA                  ,MADISON,"378,996","473,393","519,505","521,427","379,858",,,,,,,,,,,
15480,INDIANA                  ,MARION,"1,498,521","2,424,595","2,862,950","2,831,543","1,257,773",,,,,,,,,,,
15490,INDIANA                  ,MARSHALL,"-55,362","-37,916","-47,521","-21,174","-24,348",,,,,,,,,,,
15500,INDIANA                  ,MARTIN,670,"6,678","5,532","1,329","3,828",,,,,,,,,,,
15510,INDIANA                  ,MIAMI,"19,566",728,"27,383","20,325","24,030",,,,,,,,,,,
15520,INDIANA                  ,MONROE,"62,940","132,228","180,680","159,912","69,644",,,,,,,,,,,
15530,INDIANA                  ,MONTGOMERY,"36,550","86,191","68,472","61,549","34,750",,,,,,,,,,,
15540,INDIANA                  ,MORGAN,"80,254","110,911","162,806","141,654","64,165",,,,,,,,,,,
15550,INDIANA                  ,NEWTON,"4,166","4,487","-2,041","-3,243","1,472",,,,,,,,,,,
15560,INDIANA                  ,NOBLE,"18,386","24,301","6,223","10,197","3,197",,,,,,,,,,,
15570,INDIANA                  ,OHIO,"-3,284","-5,381","-4,320","-2,601","-1,112",,,,,,,,,,,
15580,INDIANA                  ,ORANGE,"3,030","10,491","23,649","10,867","3,986",,,,,,,,,,,
15590,INDIANA                  ,OWEN,"20,733","34,488","26,578","33,524","13,847",,,,,,,,,,,
15600,INDIANA                  ,PARKE,"9,739","20,705","26,239","24,768","7,602",,,,,,,,,,,
15610,INDIANA                  ,PERRY,"-1,062",-548,-304,-150,"3,503",,,,,,,,,,,
15620,INDIANA                  ,PIKE,51,"4,687","24,096","-1,735","7,871",,,,,,,,,,,
15630,INDIANA                  ,PORTER,"-164,032","86,039","89,490","65,621","11,249",,,,,,,,,,,
15640,INDIANA                  ,POSEY,"4,591","10,698","13,099","4,682","14,445",,,,,,,,,,,
15650,INDIANA                  ,PULASKI,"-5,005","5,784","10,923","9,483","8,328",,,,,,,,,,,
15660,INDIANA                  ,PUTNAM,"26,527","50,926","60,987","47,348","18,093",,,,,,,,,,,
15670,INDIANA                  ,RANDOLPH,"44,284","91,597","86,962","79,365","48,859",,,,,,,,,,,
15680,INDIANA                  ,RIPLEY,"-21,794","-8,284","-2,143","1,401",-360,,,,,,,,,,,
15690,INDIANA                  ,RUSH,"18,470","29,313","33,346","24,685","12,664",,,,,,,,,,,
15700,INDIANA                  ,ST. JOSEPH,"-442,184","-475,753","-546,350","-254,607","-300,252",,,,,,,,,,,
15710,INDIANA                  ,SCOTT,"-126,989","-67,808","-60,897","-54,192","-47,359",,,,,,,,,,,
15720,INDIANA                  ,SHELBY,"48,676","80,717","88,201","87,131","45,659",,,,,,,,,,,
15730,INDIANA                  ,SPENCER,"-7,913","5,313","4,880","5,802","7,851",,,,,,,,,,,
15740,INDIANA                  ,STARKE,"-8,300","11,252","16,331","11,898","3,624",,,,,,,,,,,
15750,INDIANA                  ,STEUBEN,"37,226","17,918","5,551","-2,062",470,,,,,,,,,,,
15760,INDIANA                  ,SULLIVAN,"14,693","24,732","21,869","21,886","7,742",,,,,,,,,,,
15770,INDIANA                  ,SWITZERLAND,"-18,321","-11,430","-6,509","-4,391","-4,778",,,,,,,,,,,
15780,INDIANA                  ,TIPPECANOE,"213,135","253,823","186,504","181,492","102,480",,,,,,,,,,,
15790,INDIANA                  ,TIPTON,"15,735","11,196","12,795","21,885","13,006",,,,,,,,,,,
15800,INDIANA                  ,UNION,"-2,389","5,097",-190,"3,042","3,045",,,,,,,,,,,
15810,INDIANA                  ,VANDERBURGH,"87,757","130,146","177,441","70,975","182,783",,,,,,,,,,,
15820,INDIANA                  ,VERMILLION,"16,974","30,768","41,192","26,868","11,675",,,,,,,,,,,
15830,INDIANA                  ,VIGO,"133,030","188,382","230,727","230,162","104,164",,,,,,,,,,,
15840,INDIANA                  ,WABASH,"17,795","33,234","16,293","9,151","5,957",,,,,,,,,,,
15850,INDIANA                  ,WARREN,"7,887","8,181","14,290","9,891","7,956",,,,,,,,,,,
15860,INDIANA                  ,WARRICK,"9,950","24,224","29,274","13,109","24,165",,,,,,,,,,,
15870,INDIANA                  ,WASHINGTON,"-81,431","-47,204","-39,826","-37,693","-29,699",,,,,,,,,,,
15880,INDIANA                  ,WAYNE,"38,310","50,249","83,781","54,192","20,710",,,,,,,,,,,
15890,INDIANA                  ,WELLS,"26,340","19,335","7,948","1,742","-4,301",,,,,,,,,,,
15900,INDIANA                  ,WHITE,"36,356","48,946","33,157","24,821","17,700",,,,,,,,,,,
15910,INDIANA                  ,WHITLEY,"27,628","15,807","-1,234",68,"-5,187",,,,,,,,,,,
16000,IOWA                     ,ADAIR,"-3,301","-3,459","-4,276","-4,472","-4,038",,,,,,,,,,,
16010,IOWA                     ,ADAMS,"1,348",-818,-747,"-3,456","-3,294",,,,,,,,,,,
16020,IOWA                     ,ALLAMAKEE,"-5,130","-5,850","-2,901","-5,822","-11,279",,,,,,,,,,,
16030,IOWA                     ,APPANOOSE,"-7,810","-8,798","-11,796","-21,735","-15,489",,,,,,,,,,,
16040,IOWA                     ,AUDUBON,"1,973","1,432",-447,"-1,655","-2,018",,,,,,,,,,,
16050,IOWA                     ,BENTON,"-5,145","-5,511","-3,581","-5,432","-4,982",,,,,,,,,,,
16060,IOWA                     ,BLACK HAWK,"-77,591","-36,225","71,889","27,039","24,230",,,,,,,,,,,
16070,IOWA                     ,BOONE,"-11,631","-11,973","-24,285","-30,571","-13,579",,,,,,,,,,,
16080,IOWA                     ,BREMER,"-5,894",-868,"6,099",-412,"1,831",,,,,,,,,,,
16090,IOWA                     ,BUCHANAN,"-3,367",743,"5,591","-11,116",195,,,,,,,,,,,
16100,IOWA                     ,BUENA VISTA,-18,"-1,848","-1,439","-4,812","-1,347",,,,,,,,,,,
16110,IOWA                     ,BUTLER,"-5,788","-6,492","3,039",454,"1,681",,,,,,,,,,,
16120,IOWA                     ,CALHOUN,"1,521","-3,281","6,691","-2,345","1,676",,,,,,,,,,,
16130,IOWA                     ,CARROLL,"-2,951","-6,075","-7,048","-17,139","-6,886",,,,,,,,,,,
16140,IOWA                     ,CASS,"7,130","2,252","-2,749","-13,916","-11,275",,,,,,,,,,,
16150,IOWA                     ,CEDAR,"6,904","3,730","2,391","-7,222","-2,713",,,,,,,,,,,
16160,IOWA                     ,CERRO GORDO,"12,402","4,320","24,208","22,573","17,319",,,,,,,,,,,
16170,IOWA                     ,CHEROKEE,230,"8,855","-3,050","-4,293",18,,,,,,,,,,,
16180,IOWA                     ,CHICKASAW,-778,"1,508","12,176","8,039",-863,,,,,,,,,,,
16190,IOWA                     ,CLARKE,"-6,488","-11,776","-11,226","-11,199","-6,873",,,,,,,,,,,
16200,IOWA                     ,CLAY,"-2,068","14,934","2,712","4,104","3,207",,,,,,,,,,,
16210,IOWA                     ,CLAYTON,829,"4,697","1,841","-1,774","3,691",,,,,,,,,,,
16220,IOWA                     ,CLINTON,"50,754","63,313","34,553","-1,378","14,837",,,,,,,,,,,
16230,IOWA                     ,CRAWFORD,"6,889",-100,"-8,295","-16,573","-8,542",,,,,,,,,,,
16240,IOWA                     ,DALLAS,"-33,906","-39,901","-51,223","-47,828","-41,281",,,,,,,,,,,
16250,IOWA                     ,DAVIS,"-1,301","-2,632","1,636","-1,727","-4,276",,,,,,,,,,,
16260,IOWA                     ,DECATUR,"-6,425","-6,835","-6,436","-7,968","-8,262",,,,,,,,,,,
16270,IOWA                     ,DELAWARE,"1,716","6,093",227,"-2,571",-437,,,,,,,,,,,
16280,IOWA                     ,DES MOINES,"94,538","63,427","20,601","-44,900","-36,509",,,,,,,,,,,
16290,IOWA                     ,DICKINSON,"11,918","18,465",-473,"-1,135","6,672",,,,,,,,,,,
16300,IOWA                     ,DUBUQUE,"-12,328","28,546","28,937","16,330","43,630",,,,,,,,,,,
16310,IOWA                     ,EMMET,"1,831","4,652","2,763","4,651",-245,,,,,,,,,,,
16320,IOWA                     ,FAYETTE,"-2,388",276,"2,650","-1,988","-1,881",,,,,,,,,,,
16330,IOWA                     ,FLOYD,"5,295","8,129","17,198","5,811","14,894",,,,,,,,,,,
16340,IOWA                     ,FRANKLIN,"2,328",628,448,704,550,,,,,,,,,,,
16350,IOWA                     ,FREMONT,"7,357","1,042","-1,728","-11,148","-6,961",,,,,,,,,,,
16360,IOWA                     ,GREENE,"-1,411","-5,930","-16,481","-9,170","-4,348",,,,,,,,,,,
16370,IOWA                     ,GRUNDY,747,"-3,079","1,549","1,364","-6,406",,,,,,,,,,,
16380,IOWA                     ,GUTHRIE,"-7,297","-8,473","-12,084","-12,646","-13,780",,,,,,,,,,,
16390,IOWA                     ,HAMILTON,"-1,736","-8,113","-10,831","-14,459","-9,208",,,,,,,,,,,
16400,IOWA                     ,HANCOCK,"2,204","4,413","2,677","7,818","3,229",,,,,,,,,,,
16410,IOWA                     ,HARDIN,"1,837","-4,027","2,600","-15,093","-11,950",,,,,,,,,,,
16420,IOWA                     ,HARRISON,"7,569","9,257","-2,838","-14,192","-13,348",,,,,,,,,,,
16430,IOWA                     ,HENRY,"16,764","12,803","2,492","-13,307","-9,926",,,,,,,,,,,
16440,IOWA                     ,HOWARD,"7,701","11,095","4,777","5,818","9,556",,,,,,,,,,,
