"IPPS and OPPS Wage Indices by Fiscal Year 
Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,
SSACD,State,County,CBSA 2015,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2015
01490,AL,MONROE,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01500,AL,MONTGOMERY,33860,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7597
01510,AL,MORGAN,19460,0.7685,0.7694,0.7694,0.7505,0.7286,0.7071,0.6874
01520,AL,PERRY,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01530,AL,PICKENS,46220,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.8574
01540,AL,PIKE,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01550,AL,RANDOLPH,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01560,AL,RUSSELL,17980,0.9028,0.8781,0.8781,0.9073,0.9013,0.8873,0.8286
01570,AL,ST. CLAIR,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01580,AL,SHELBY,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01590,AL,SUMTER,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01600,AL,TALLADEGA,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01610,AL,TALLAPOOSA,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01620,AL,TUSCALOOSA,46220,0.8731,0.8942,0.8942,0.9061,0.8887,0.8753,0.8574
01630,AL,WALKER,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01640,AL,WASHINGTON,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01650,AL,WILCOX,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01660,AL,WINSTON,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01999,AL,STATEWIDE,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
02013,AK,ALEUTIANS EAST,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02016,AK,ALEUTIANS WEST,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02020,AK,ANCHORAGE,11260,1.1852,1.1920,1.1920,1.2573,1.2798,1.2727,1.3065
02050,AK,BETHEL,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02060,AK,BRISTOL BAY BOROUGH,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02068,AK,DENALI,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02070,AK,DILLINGHAM,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02090,AK,FAIRBANKS NORTH STAR,21820,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02100,AK,HAINES,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02105,AK,HOONAH-ANGOON CENSUS AREA,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02110,AK,JUNEAU,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02122,AK,KENAI PENINSULA,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02130,AK,KETCHIKAN GATEWAY,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02150,AK,KODIAK ISLAND BOROUGH,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02164,AK,LAKE AND PENINSULA,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02170,AK,MATANUSKA-SUSITNA,11260,1.1852,1.1920,1.1920,1.2573,1.2798,1.2727,1.3065
02180,AK,NOME,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02185,AK,NORTH SLOPE BOROUH,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02188,AK,NORTHWEST ARTIC BOROUGH,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02195,AK,PETERSBURG CENSUS AREA,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02198,AK,PR.OF WALES-HYDER CNS AREA,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02220,AK,SITKA BOROUGH,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02230,AK,SKAGWAY-YAKUTAT,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02240,AK,SOUTHEAST FAIRBANKS,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02261,AK,VALDEZ-CORDOVA,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02270,AK,WADE HAMPTON,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02275,AK,WRANGELL CITY AND BOROUGH,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02282,AK,YAKUTAT BOROUGH,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02290,AK,YUKON-KOYUKUK,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02999,AK,STATEWIDE,NA,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
03000,AZ,APACHE,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03010,AZ,COCHISE,43420,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03020,AZ,COCONINO,22380,1.1609,1.2450,1.2450,1.2394,1.2380,1.1974,1.1996
03030,AZ,GILA,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03040,AZ,GRAHAM,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03050,AZ,GREENLEE,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03055,AZ,LAPAZ,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03060,AZ,MARICOPA,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03070,AZ,MOHAVE,29420,0.9801,1.0590,1.0590,1.0236,0.9965,1.0569,0.9179
03080,AZ,NAVAJO,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03090,AZ,PIMA,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03100,AZ,PINAL,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03110,AZ,SANTA CRUZ,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03120,AZ,YAVAPAI,39140,1.0160,1.0169,1.0169,1.2257,1.2316,1.1804,1.0962
03130,AZ,YUMA,49740,0.9866,0.9284,0.9284,0.9408,0.9477,1.0569,1.0012
03999,AZ,STATEWIDE,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
04000,AR,ARKANSAS,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04010,AR,ASHLEY,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04020,AR,BAXTER,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04030,AR,BENTON,22220,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8808
04040,AR,BOONE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04050,AR,BRADLEY,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04060,AR,CALHOUN,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04070,AR,CARROLL,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04080,AR,CHICOT,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04090,AR,CLARK,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04100,AR,CLAY,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04110,AR,CLEBURNE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04120,AR,CLEVELAND,38220,0.8243,0.7767,0.7767,0.8269,0.7937,0.8009,0.8062
04130,AR,COLUMBIA,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04140,AR,CONWAY,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04150,AR,CRAIGHEAD,27860,0.8423,0.7796,0.7796,0.7794,0.7695,0.8125,0.7815
04160,AR,CRAWFORD,22900,0.7814,0.7994,0.7994,0.7713,0.7451,0.7923,0.7670
04170,AR,CRITTENDEN,32820,0.9294,0.9265,0.9265,0.9244,0.9202,0.8967,0.8924
04180,AR,CROSS,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04190,AR,DALLAS,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04200,AR,DESHA,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04210,AR,DREW,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04220,AR,FAULKNER,30780,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8362
04230,AR,FRANKLIN,NA,0.7940,0.7994,0.7994,0.8021,0.7988,0.7923,0.7402
04240,AR,FULTON,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04250,AR,GARLAND,26300,0.9112,0.9115,0.9115,0.9249,0.9172,0.8850,0.8586
04260,AR,GRANT,30780,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8362
04270,AR,GREENE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04280,AR,HEMPSTEAD,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04290,AR,HOT SPRING,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04300,AR,HOWARD,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04310,AR,INDEPENDENCE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04320,AR,IZARD,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04330,AR,JACKSON,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04340,AR,JEFFERSON,38220,0.8243,0.7767,0.7767,0.8269,0.7937,0.8009,0.8062
04350,AR,JOHNSON,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04360,AR,LAFAYETTE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04370,AR,LAWRENCE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04380,AR,LEE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04390,AR,LINCOLN,38220,0.8243,0.7767,0.7767,0.8269,0.7937,0.8009,0.8062
04400,AR,LITTLE RIVER,45500,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7528
04410,AR,LOGAN,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04420,AR,LONOKE,30780,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8362
04430,AR,MADISON,22220,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8808
04440,AR,MARION,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04450,AR,MILLER,45500,0.8167,0.8153,0.8153,0.7773,0.7972,0.8169,0.7926
04460,AR,MISSISSIPPI,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04470,AR,MONROE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04480,AR,MONTGOMERY,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04490,AR,NEVADA,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04500,AR,NEWTON,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04510,AR,OUACHITA,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04520,AR,PERRY,30780,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8362
04530,AR,PHILLIPS,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04540,AR,PIKE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04550,AR,POINSETT,27860,0.8423,0.7796,0.7796,0.7794,0.7695,0.8125,0.7815
04560,AR,POLK,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04570,AR,POPE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04580,AR,PRAIRIE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04590,AR,PULASKI,30780,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8362
04600,AR,RANDOLPH,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04610,AR,ST. FRANCIS,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04620,AR,SALINE,30780,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8362
04630,AR,SCOTT,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04640,AR,SEARCY,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04650,AR,SEBASTIAN,22900,0.7940,0.7994,0.7994,0.8021,0.7988,0.7923,0.7820
04660,AR,SEVIER,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04670,AR,SHARP,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04680,AR,STONE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04690,AR,UNION,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04700,AR,VAN BUREN,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04710,AR,WASHINGTON,22220,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8808
04720,AR,WHITE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04730,AR,WOODRUFF,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04740,AR,YELL,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04999,AR,STATEWIDE,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
05000,CA,ALAMEDA,36084,1.5630,1.5857,1.5841,1.5852,1.5553,1.6090,1.6478
05010,CA,ALPINE,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05020,CA,AMADOR,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05030,CA,BUTTE,17020,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05040,CA,CALAVERAS,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05050,CA,COLUSA,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05060,CA,CONTRA COSTA,36084,1.5630,1.5857,1.5841,1.5852,1.5553,1.6090,1.6478
05070,CA,DEL NORTE,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05080,CA,EL DORADO,40900,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.5256
05090,CA,FRESNO,23420,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05100,CA,GLENN,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05110,CA,HUMBOLDT,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05120,CA,IMPERIAL,20940,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05130,CA,INYO,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05140,CA,KERN,12540,1.1972,1.1831,1.1820,1.1870,1.1871,1.2282,1.2882
05150,CA,KINGS,25260,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05160,CA,LAKE,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05170,CA,LASSEN,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05200,CA,LOS ANGELES,31084,1.2032,1.1890,1.1878,1.2014,1.2151,1.2282,1.2882
05210,CA,LOS ANGELES,31084,1.2032,1.1890,1.1878,1.2014,1.2151,1.2282,1.2882
05300,CA,MADERA,31460,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05310,CA,MARIN,42034,1.5065,1.5454,1.5439,1.5352,1.5372,1.5889,1.6855
05320,CA,MARIPOSA,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05330,CA,MENDOCINO,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05340,CA,MERCED,32900,1.2055,1.1853,1.1842,1.2111,1.2160,1.2613,1.2882
05350,CA,MODOC,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05360,CA,MONO,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05370,CA,MONTEREY,41500,1.4797,1.5301,1.5286,1.5821,1.5741,1.5968,1.5558
05380,CA,NAPA,34900,1.3945,1.4240,1.4226,1.4425,1.4516,1.5575,1.5604
05390,CA,NEVADA,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05400,CA,ORANGE,11244,1.1972,1.1831,1.1820,1.1954,1.1791,1.2282,1.2882
05410,CA,PLACER,40900,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.5256
05420,CA,PLUMAS,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05430,CA,RIVERSIDE,40140,1.1972,1.1831,1.1820,1.1870,1.1248,1.2282,1.2882
05440,CA,SACRAMENTO,40900,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.5256
05450,CA,SAN BENITO,41940,1.5830,1.6059,1.6043,1.6363,1.6435,1.6801,1.7180
05460,CA,SAN BERNARDINO,40140,1.1972,1.1831,1.1820,1.1870,1.1248,1.2282,1.2882
05470,CA,SAN DIEGO,41740,1.1972,1.1831,1.1820,1.1870,1.1627,1.2282,1.2882
05480,CA,SAN FRANCISCO,41884,1.5065,1.5454,1.5439,1.5352,1.5372,1.5889,1.6738
05490,CA,SAN JOAQUIN,44700,1.1972,1.2245,1.2233,1.2584,1.3085,1.3148,1.3579
05500,CA,SAN LUIS OBISPO,42020,1.1972,1.1990,1.1979,1.2371,1.2513,1.2461,1.2882
05510,CA,SAN MATEO,41884,1.5065,1.5454,1.5439,1.5352,1.5372,1.5889,1.6738
05520,CA,SANTA BARBARA,42200,1.1972,1.1972,1.1960,1.1870,1.2021,1.2359,1.2882
05530,CA,SANTA CLARA,41940,1.5830,1.6059,1.6043,1.6363,1.6435,1.6801,1.7180
05540,CA,SANTA CRUZ,42100,1.5902,1.6191,1.6175,1.6379,1.6989,1.7471,1.7239
05550,CA,SHASTA,39820,1.2935,1.3428,1.3415,1.3551,1.4346,1.3822,1.4188
05560,CA,SIERRA,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05570,CA,SISKIYOU,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05580,CA,SOLANO,46700,1.4074,1.4473,1.4459,1.4506,1.4222,1.5353,1.6121
05590,CA,SONOMA,42220,1.5224,1.5483,1.5468,1.5765,1.5420,1.6082,1.6188
05600,CA,STANISLAUS,33700,1.2114,1.2337,1.2325,1.2145,1.2523,1.2880,1.2892
05610,CA,SUTTER,49700,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05620,CA,TEHAMA,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05630,CA,TRINITY,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05640,CA,TULARE,47300,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05650,CA,TUOLUMNE,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05660,CA,VENTURA,37100,1.1972,1.2216,1.2204,1.2318,1.2983,1.2815,1.2882
05670,CA,YOLO,40900,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.5256
05680,CA,YUBA,49700,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
05999,CA,STATEWIDE,NA,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2882
06000,CO,ADAMS,19740,1.0549,1.0563,1.0563,1.0571,1.0508,1.0300,1.0235
06010,CO,ALAMOSA,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06020,CO,ARAPAHOE,19740,1.0549,1.0563,1.0563,1.0571,1.0508,1.0300,1.0235
06030,CO,ARCHULETA,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06040,CO,BACA,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06050,CO,BENT,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06060,CO,BOULDER,14500,0.9981,1.0244,1.0244,1.0067,1.0090,1.0266,0.9588
06070,CO,CHAFFEE,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06080,CO,CHEYENNE,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06090,CO,CLEAR CREEK,19740,1.0549,1.0563,1.0563,1.0571,1.0508,1.0300,1.0235
06100,CO,CONEJOS,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06110,CO,COSTILLA,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06120,CO,CROWLEY,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06130,CO,CUSTER,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
06140,CO,DELTA,NA,0.9311,0.9642,0.9642,0.9661,0.9826,0.9975,0.9419
