"DISABLED- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
16020,IOWA,ALLAMAKEE,247,0,0,0,0,0,0,0,218,0,0
16030,IOWA,APPANOOSE,395,"102,283",22,"102,283",22,0,0,0,367,0,0
16040,IOWA,AUDUBON,122,"25,049",17,"25,049",17,0,0,0,111,0,0
16050,IOWA,BENTON,438,"91,530",17,"91,530",17,0,0,0,382,0,0
16060,IOWA,BLACK HAWK,"3,807","499,687",11,"499,687",11,0,0,0,"3,492",0,0
16070,IOWA,BOONE,451,"24,004",4,"24,004",4,0,0,0,402,0,0
16080,IOWA,BREMER,284,"11,453",3,"11,453",3,0,0,0,236,0,0
16090,IOWA,BUCHANAN,389,"98,249",21,"98,250",21,0,0,0,350,0,0
16100,IOWA,BUENA VISTA,367,"2,462",1,"2,462",1,0,0,0,331,0,0
16110,IOWA,BUTLER,279,"27,186",8,"27,186",8,0,0,0,251,0,0
16120,IOWA,CALHOUN,217,"38,573",15,"38,573",15,0,0,0,203,0,0
16130,IOWA,CARROLL,615,"41,836",6,"41,837",6,0,0,0,573,0,0
16140,IOWA,CASS,344,"26,770",6,"26,771",6,0,0,0,320,0,0
16150,IOWA,CEDAR,223,"50,110",19,"50,110",19,0,0,0,177,0,0
16160,IOWA,CERRO GORDO,"1,634","130,946",7,"130,946",7,0,0,0,"1,514",0,0
16170,IOWA,CHEROKEE,197,"19,084",8,"19,083",8,0,0,0,173,0,0
16180,IOWA,CHICKASAW,204,"27,964",11,"27,964",11,0,0,0,180,0,0
16190,IOWA,CLARKE,194,"46,569",20,"46,569",20,0,0,0,181,0,0
16200,IOWA,CLAY,517,"47,011",8,"47,011",8,0,0,0,478,0,0
16210,IOWA,CLAYTON,432,"50,308",10,"50,308",10,0,0,0,389,0,0
16220,IOWA,CLINTON,"1,306","108,952",7,"108,951",7,0,0,0,"1,202",0,0
16230,IOWA,CRAWFORD,338,"7,016",2,"7,015",2,0,0,0,311,0,0
16240,IOWA,DALLAS,716,"130,756",15,"130,756",15,0,0,0,631,0,0
16250,IOWA,DAVIS,181,"21,447",10,"21,448",10,0,0,0,167,0,0
16260,IOWA,DECATUR,192,"18,262",8,"18,261",8,0,0,0,177,0,0
16270,IOWA,DELAWARE,269,"11,926",4,"11,927",4,0,0,0,238,0,0
16280,IOWA,DES MOINES,"1,361","81,079",5,"81,079",5,0,0,0,"1,256",0,0
16290,IOWA,DICKINSON,289,0,0,0,0,0,0,0,267,0,0
16300,IOWA,DUBUQUE,"2,130","227,974",9,"227,975",9,0,0,0,"1,926",0,0
16310,IOWA,EMMET,239,"17,673",6,"17,673",6,0,0,0,222,0,0
16320,IOWA,FAYETTE,450,"14,737",3,"14,737",3,0,0,0,413,0,0
16330,IOWA,FLOYD,394,"89,841",19,"89,842",19,0,0,0,362,0,0
16340,IOWA,FRANKLIN,182,"73,266",34,"73,266",34,0,0,0,168,0,0
16350,IOWA,FREMONT,178,"2,334",1,"2,334",1,0,0,0,160,0,0
16360,IOWA,GREENE,206,"39,580",16,"39,579",16,0,0,0,188,0,0
16370,IOWA,GRUNDY,175,"64,810",31,"64,809",31,0,0,0,160,0,0
16380,IOWA,GUTHRIE,228,"126,589",46,"126,588",46,0,0,0,216,0,0
16390,IOWA,HAMILTON,349,"64,051",15,"64,051",15,0,0,0,316,0,0
16400,IOWA,HANCOCK,186,"11,420",5,"11,420",5,0,0,0,164,0,0
16410,IOWA,HARDIN,343,"136,546",33,"136,546",33,0,0,0,312,0,0
16420,IOWA,HARRISON,334,"17,447",4,"17,446",4,0,0,0,309,0,0
16430,IOWA,HENRY,444,"14,195",3,"14,195",3,0,0,0,398,0,0
16440,IOWA,HOWARD,179,"22,486",10,"22,486",10,0,0,0,160,0,0
16450,IOWA,HUMBOLDT,206,"2,619",1,"2,619",1,0,0,0,190,0,0
16460,IOWA,IDA,104,"1,247",1,"1,246",1,0,0,0,91,0,0
16470,IOWA,IOWA,282,"8,151",2,"8,152",2,0,0,0,240,0,0
16480,IOWA,JACKSON,390,"73,778",16,"73,777",16,0,0,0,354,0,0
16490,IOWA,JASPER,801,"13,592",1,"13,591",1,0,0,0,713,0,0
16500,IOWA,JEFFERSON,367,"9,679",2,"9,678",2,0,0,0,344,0,0
16510,IOWA,JOHNSON,"1,968","162,933",7,"162,933",7,0,0,0,"1,738",0,0
16520,IOWA,JONES,359,"76,354",18,"76,353",18,0,0,0,316,0,0
16530,IOWA,KEOKUK,209,0,0,0,0,0,0,0,177,0,0
16540,IOWA,KOSSUTH,302,"17,984",5,"17,985",5,0,0,0,279,0,0
16550,IOWA,LEE,986,"110,829",9,"110,829",9,0,0,0,882,0,0
16560,IOWA,LINN,"4,309","368,703",7,"368,703",7,0,0,0,"3,870",0,0
16570,IOWA,LOUISA,220,"12,369",5,"12,369",5,0,0,0,183,0,0
16580,IOWA,LUCAS,195,"66,282",28,"66,282",28,0,0,0,177,0,0
16590,IOWA,LYON,135,"14,740",9,"14,739",9,0,0,0,115,0,0
16600,IOWA,MADISON,250,"41,634",14,"41,635",14,0,0,0,219,0,0
16610,IOWA,MAHASKA,492,"85,916",15,"85,917",15,0,0,0,438,0,0
16620,IOWA,MARION,660,"39,761",5,"39,761",5,0,0,0,557,0,0
16630,IOWA,MARSHALL,"1,161","216,141",16,"216,141",16,0,0,0,"1,054",0,0
16640,IOWA,MILLS,531,"17,481",3,"17,481",3,0,0,0,489,0,0
16650,IOWA,MITCHELL,158,823,0,823,0,0,0,0,143,0,0
16660,IOWA,MONONA,208,"16,871",7,"16,871",7,0,0,0,190,0,0
16670,IOWA,MONROE,181,"64,673",30,"64,674",30,0,0,0,167,0,0
16680,IOWA,MONTGOMERY,299,"15,835",4,"15,835",4,0,0,0,272,0,0
16690,IOWA,MUSCATINE,825,"36,469",4,"36,468",4,0,0,0,745,0,0
16700,IOWA,OBRIEN,338,831,0,831,0,0,0,0,310,0,0
16710,IOWA,OSCEOLA,123,0,0,0,0,0,0,0,110,0,0
16720,IOWA,PAGE,415,"36,826",7,"36,826",7,0,0,0,379,0,0
16730,IOWA,PALO ALTO,232,"5,197",2,"5,196",2,0,0,0,215,0,0
16740,IOWA,PLYMOUTH,303,"45,380",12,"45,380",12,0,0,0,269,0,0
16750,IOWA,POCAHONTAS,187,"47,043",21,"47,044",21,0,0,0,170,0,0
16760,IOWA,POLK,"8,188","1,060,604",11,"1,060,604",11,0,0,0,"7,227",0,0
16770,IOWA,POTTAWATTAMIE,"2,722","347,051",11,"347,051",11,0,0,0,"2,445",0,0
16780,IOWA,POWESHIEK,310,"64,501",17,"64,501",17,0,0,0,283,0,0
16790,IOWA,RINGGOLD,94,0,0,0,0,0,0,0,90,0,0
16800,IOWA,SAC,193,"1,108",0,"1,108",0,0,0,0,179,0,0
16810,IOWA,SCOTT,"3,851","274,842",6,"274,843",6,0,0,0,"3,494",0,0
16820,IOWA,SHELBY,294,"7,613",2,"7,612",2,0,0,0,278,0,0
16830,IOWA,SIOUX,320,"39,808",10,"39,808",10,0,0,0,277,0,0
16840,IOWA,STORY,"1,270","90,334",6,"90,334",6,0,0,0,"1,141",0,0
16850,IOWA,TAMA,305,"20,368",6,"20,368",6,0,0,0,256,0,0
16860,IOWA,TAYLOR,153,"6,312",3,"6,312",3,0,0,0,139,0,0
16870,IOWA,UNION,694,"109,164",13,"109,164",13,0,0,0,649,0,0
16880,IOWA,VAN BUREN,198,"7,431",3,"7,431",3,0,0,0,178,0,0
16890,IOWA,WAPELLO,"1,565","136,095",7,"136,094",7,0,0,0,"1,450",0,0
16900,IOWA,WARREN,654,"142,506",18,"142,505",18,0,0,0,562,0,0
16910,IOWA,WASHINGTON,398,"31,788",7,"31,788",7,0,0,0,344,0,0
16920,IOWA,WAYNE,155,"16,963",9,"16,964",9,0,0,0,143,0,0
16930,IOWA,WEBSTER,"1,226","228,912",16,"228,912",16,0,0,0,"1,127",0,0
16940,IOWA,WINNEBAGO,219,"45,376",17,"45,377",17,0,0,0,194,0,0
16950,IOWA,WINNESHIEK,361,"7,498",2,"7,498",2,0,0,0,329,0,0
16960,IOWA,WOODBURY,"2,731","422,081",13,"422,081",13,0,0,0,"2,531",0,0
16970,IOWA,WORTH,147,"7,895",4,"7,895",4,0,0,0,132,0,0
16980,IOWA,WRIGHT,261,"57,737",18,"57,737",18,0,0,0,240,0,0
17000,KANSAS,ALLEN,427,"36,492",7,"36,492",7,0,0,0,395,0,0
17010,KANSAS,ANDERSON,186,"10,127",5,"10,127",5,0,0,0,173,0,0
17020,KANSAS,ATCHISON,433,"6,922",1,"6,922",1,0,0,0,401,0,0
17030,KANSAS,BARBER,109,"6,862",5,"6,861",5,0,0,0,102,0,0
17040,KANSAS,BARTON,681,"12,282",2,"12,283",2,0,0,0,632,0,0
17050,KANSAS,BOURBON,413,"57,964",12,"57,963",12,0,0,0,387,0,0
17060,KANSAS,BROWN,264,"1,334",0,"1,335",0,0,0,0,251,0,0
17070,KANSAS,BUTLER,"1,297","330,006",21,"330,007",21,0,0,0,"1,122",0,0
17080,KANSAS,CHASE,62,"3,648",5,"3,648",5,0,0,0,55,0,0
17090,KANSAS,CHAUTAUQUA,127,0,0,0,0,0,0,0,120,0,0
17100,KANSAS,CHEROKEE,798,"104,478",11,"104,478",11,0,0,0,742,0,0
17110,KANSAS,CHEYENNE,51,0,0,0,0,0,0,0,47,0,0
17120,KANSAS,CLARK,30,0,0,0,0,0,0,0,29,0,0
17130,KANSAS,CLAY,190,"1,189",1,"1,189",1,0,0,0,171,0,0
17140,KANSAS,CLOUD,261,"56,150",18,"56,149",18,0,0,0,243,0,0
17150,KANSAS,COFFEY,178,"22,007",10,"22,006",10,0,0,0,163,0,0
17160,KANSAS,COMANCHE,49,"42,676",73,"42,675",73,0,0,0,48,0,0
17170,KANSAS,COWLEY,943,"46,025",4,"46,025",4,0,0,0,857,0,0
17180,KANSAS,CRAWFORD,"1,396","193,268",12,"193,267",12,0,0,0,"1,310",0,0
17190,KANSAS,DECATUR,81,0,0,0,0,0,0,0,76,0,0
17200,KANSAS,DICKINSON,381,"46,282",10,"46,282",10,0,0,0,334,0,0
17210,KANSAS,DONIPHAN,209,"64,486",26,"64,486",26,0,0,0,183,0,0
17220,KANSAS,DOUGLAS,"2,353","204,282",7,"204,282",7,0,0,0,"2,139",0,0
17230,KANSAS,EDWARDS,67,"3,729",5,"3,729",5,0,0,0,58,0,0
17240,KANSAS,ELK,113,0,0,0,0,0,0,0,99,0,0
17250,KANSAS,ELLIS,708,"32,731",4,"32,731",4,0,0,0,663,0,0
17260,KANSAS,ELLSWORTH,145,0,0,0,0,0,0,0,127,0,0
17270,KANSAS,FINNEY,603,"29,127",4,"29,128",4,0,0,0,549,0,0
17280,KANSAS,FORD,713,"2,136",0,"2,135",0,0,0,0,665,0,0
17290,KANSAS,FRANKLIN,622,"66,071",9,"66,072",9,0,0,0,561,0,0
17300,KANSAS,GEARY,596,"26,723",4,"26,723",4,0,0,0,504,0,0
17310,KANSAS,GOVE,48,0,0,0,0,0,0,0,43,0,0
17320,KANSAS,GRAHAM,83,"40,659",41,"40,659",41,0,0,0,78,0,0
17330,KANSAS,GRANT,100,"5,459",5,"5,459",5,0,0,0,91,0,0
17340,KANSAS,GRAY,72,"12,556",15,"12,557",15,0,0,0,68,0,0
17350,KANSAS,GREELEY,26,0,0,0,0,0,0,0,25,0,0
17360,KANSAS,GREENWOOD,228,"31,159",11,"31,159",11,0,0,0,212,0,0
17370,KANSAS,HAMILTON,34,0,0,0,0,0,0,0,30,0,0
17380,KANSAS,HARPER,129,"30,139",19,"30,138",19,0,0,0,122,0,0
17390,KANSAS,HARVEY,706,"139,955",17,"139,955",17,0,0,0,626,0,0
17391,KANSAS,HASKELL,40,0,0,0,0,0,0,0,37,0,0
17410,KANSAS,HODGEMAN,30,0,0,0,0,0,0,0,28,0,0
17420,KANSAS,JACKSON,353,"17,657",4,"17,657",4,0,0,0,313,0,0
17430,KANSAS,JEFFERSON,449,"3,883",1,"3,884",1,0,0,0,410,0,0
17440,KANSAS,JEWELL,84,"13,528",13,"13,527",13,0,0,0,77,0,0
17450,KANSAS,JOHNSON,"6,072","1,001,871",14,"1,001,870",14,0,0,0,"5,160",0,0
17451,KANSAS,KEARNY,65,"21,280",27,"21,280",27,0,0,0,59,0,0
17470,KANSAS,KINGMAN,155,"5,111",3,"5,111",3,0,0,0,138,0,0
17480,KANSAS,KIOWA,77,0,0,0,0,0,0,0,75,0,0
17490,KANSAS,LABETTE,861,"35,772",3,"35,772",3,0,0,0,815,0,0
17500,KANSAS,LANE,37,0,0,0,0,0,0,0,34,0,0
17510,KANSAS,LEAVENWORTH,"1,393","95,343",6,"95,343",6,0,0,0,"1,169",0,0
17520,KANSAS,LINCOLN,78,0,0,0,0,0,0,0,74,0,0
17530,KANSAS,LINN,285,"1,329",0,"1,329",0,0,0,0,260,0,0
17540,KANSAS,LOGAN,52,0,0,0,0,0,0,0,48,0,0
17550,KANSAS,LYON,948,"95,660",8,"95,660",8,0,0,0,890,0,0
17560,KANSAS,MCPHERSON,565,"26,238",4,"26,238",4,0,0,0,504,0,0
17570,KANSAS,MARION,261,"14,012",4,"14,012",4,0,0,0,235,0,0
17580,KANSAS,MARSHALL,220,"6,235",2,"6,236",2,0,0,0,203,0,0
17590,KANSAS,MEADE,65,0,0,0,0,0,0,0,57,0,0
17600,KANSAS,MIAMI,555,"61,440",9,"61,441",9,0,0,0,489,0,0
17610,KANSAS,MITCHELL,116,0,0,0,0,0,0,0,104,0,0
17620,KANSAS,MONTGOMERY,"1,511","166,736",9,"166,736",9,0,0,0,"1,413",0,0
17630,KANSAS,MORRIS,181,"8,808",4,"8,808",4,0,0,0,167,0,0
17640,KANSAS,MORTON,64,0,0,0,0,0,0,0,59,0,0
17650,KANSAS,NEMAHA,187,0,0,0,0,0,0,0,173,0,0
17660,KANSAS,NEOSHO,482,"35,029",6,"35,029",6,0,0,0,453,0,0
17670,KANSAS,NESS,49,0,0,0,0,0,0,0,46,0,0
17680,KANSAS,NORTON,130,"20,486",13,"20,486",13,0,0,0,123,0,0
17690,KANSAS,OSAGE,480,"68,877",12,"68,877",12,0,0,0,427,0,0
17700,KANSAS,OSBORNE,86,0,0,0,0,0,0,0,82,0,0
17710,KANSAS,OTTAWA,115,"7,577",5,"7,578",5,0,0,0,110,0,0
17720,KANSAS,PAWNEE,80,"8,106",8,"8,106",8,0,0,0,65,0,0
17730,KANSAS,PHILLIPS,147,0,0,0,0,0,0,0,133,0,0
17740,KANSAS,POTTAWATOMIE,350,"5,872",1,"5,872",1,0,0,0,314,0,0
17750,KANSAS,PRATT,204,"23,607",10,"23,607",10,0,0,0,189,0,0
17760,KANSAS,RAWLINS,60,0,0,0,0,0,0,0,55,0,0
17770,KANSAS,RENO,"1,945","169,102",7,"169,103",7,0,0,0,"1,810",0,0
17780,KANSAS,REPUBLIC,106,0,0,0,0,0,0,0,97,0,0
17790,KANSAS,RICE,232,"38,839",14,"38,838",14,0,0,0,210,0,0
17800,KANSAS,RILEY,973,"59,879",5,"59,880",5,0,0,0,889,0,0
17810,KANSAS,ROOKS,123,0,0,0,0,0,0,0,115,0,0
17820,KANSAS,RUSH,98,0,0,0,0,0,0,0,87,0,0
17830,KANSAS,RUSSELL,197,675,0,676,0,0,0,0,190,0,0
17840,KANSAS,SALINE,"1,593","108,644",6,"108,643",6,0,0,0,"1,443",0,0
17841,KANSAS,SCOTT,54,0,0,0,0,0,0,0,52,0,0
17860,KANSAS,SEDGWICK,"11,566","1,473,735",11,"1,473,735",11,0,0,0,"10,329",0,0
17870,KANSAS,SEWARD,314,"48,077",13,"48,076",13,0,0,0,277,0,0
17880,KANSAS,SHAWNEE,"6,322","625,660",8,"625,660",8,0,0,0,"5,684",0,0
17890,KANSAS,SHERIDAN,34,0,0,0,0,0,0,0,28,0,0
17900,KANSAS,SHERMAN,165,0,0,0,0,0,0,0,153,0,0
17910,KANSAS,SMITH,89,"21,700",20,"21,700",20,0,0,0,84,0,0
17920,KANSAS,STAFFORD,144,"1,721",1,"1,721",1,0,0,0,132,0,0
17921,KANSAS,STANTON,18,0,0,0,0,0,0,0,15,0,0
17940,KANSAS,STEVENS,71,"9,156",11,"9,157",11,0,0,0,66,0,0
17950,KANSAS,SUMNER,615,"113,236",15,"113,236",15,0,0,0,542,0,0
17960,KANSAS,THOMAS,170,"10,892",5,"10,892",5,0,0,0,163,0,0
17970,KANSAS,TREGO,70,0,0,0,0,0,0,0,65,0,0
17980,KANSAS,WABAUNSEE,156,"1,351",1,"1,351",1,0,0,0,145,0,0
17981,KANSAS,WALLACE,22,0,0,0,0,0,0,0,22,0,0
17982,KANSAS,WASHINGTON,123,"11,038",7,"11,038",7,0,0,0,113,0,0
17983,KANSAS,WICHITA,28,0,0,0,0,0,0,0,27,0,0
17984,KANSAS,WILSON,326,"1,340",0,"1,340",0,0,0,0,304,0,0
17985,KANSAS,WOODSON,105,"1,991",2,"1,991",2,0,0,0,103,0,0
17986,KANSAS,WYANDOTTE,"4,360","557,314",11,"557,314",11,0,0,0,"3,873",0,0
18000,KENTUCKY,ADAIR,760,"59,325",7,"59,325",7,0,0,0,702,0,0
18010,KENTUCKY,ALLEN,836,"67,193",7,"67,193",7,0,0,0,760,0,0
18020,KENTUCKY,ANDERSON,519,"35,280",6,"35,279",6,0,0,0,442,0,0
18030,KENTUCKY,BALLARD,409,"6,712",1,"6,712",1,0,0,0,369,0,0
18040,KENTUCKY,BARREN,"1,645","14,465",1,"14,466",1,0,0,0,"1,506",0,0
18050,KENTUCKY,BATH,477,"23,950",4,"23,950",4,0,0,0,425,0,0
18060,KENTUCKY,BELL,"2,161","79,534",3,"79,534",3,0,0,0,"2,042",0,0
18070,KENTUCKY,BOONE,"2,822","251,353",7,"251,352",7,0,0,0,"2,393",0,0
18080,KENTUCKY,BOURBON,579,"50,826",7,"50,826",7,0,0,0,506,0,0
18090,KENTUCKY,BOYD,"2,460","113,264",4,"113,264",4,0,0,0,"2,244",0,0
18100,KENTUCKY,BOYLE,"1,320","117,229",7,"117,228",7,0,0,0,"1,191",0,0
18110,KENTUCKY,BRACKEN,364,"47,640",11,"47,640",11,0,0,0,320,0,0
18120,KENTUCKY,BREATHITT,"1,204","95,110",7,"95,110",7,0,0,0,"1,132",0,0
18130,KENTUCKY,BRECKINRIDGE,840,"17,034",2,"17,034",2,0,0,0,749,0,0
18140,KENTUCKY,BULLITT,"1,861","74,211",3,"74,211",3,0,0,0,"1,603",0,0
18150,KENTUCKY,BUTLER,490,"2,822",0,"2,822",0,0,0,0,460,0,0
18160,KENTUCKY,CALDWELL,636,"5,756",1,"5,756",1,0,0,0,582,0,0
18170,KENTUCKY,CALLOWAY,984,"70,746",6,"70,746",6,0,0,0,909,0,0
18180,KENTUCKY,CAMPBELL,"1,910","190,558",8,"190,559",8,0,0,0,"1,600",0,0
18190,KENTUCKY,CARLISLE,206,"1,952",1,"1,951",1,0,0,0,190,0,0
18191,KENTUCKY,CARROLL,477,"28,334",5,"28,334",5,0,0,0,422,0,0
18210,KENTUCKY,CARTER,967,"42,224",4,"42,223",4,0,0,0,894,0,0
18220,KENTUCKY,CASEY,689,"44,432",5,"44,432",5,0,0,0,637,0,0
18230,KENTUCKY,CHRISTIAN,"2,400","92,262",3,"92,262",3,0,0,0,"2,166",0,0
18240,KENTUCKY,CLARK,"1,263","68,325",5,"68,325",5,0,0,0,"1,125",0,0
18250,KENTUCKY,CLAY,"1,544","75,093",4,"75,093",4,0,0,0,"1,462",0,0
18260,KENTUCKY,CLINTON,634,"57,272",8,"57,272",8,0,0,0,603,0,0
18270,KENTUCKY,CRITTENDEN,396,"8,403",2,"8,404",2,0,0,0,362,0,0
18271,KENTUCKY,CUMBERLAND,295,"4,708",1,"4,707",1,0,0,0,283,0,0
18290,KENTUCKY,DAVIESS,"4,052","290,829",6,"290,829",6,0,0,0,"3,669",0,0
18291,KENTUCKY,EDMONSON,379,"3,219",1,"3,219",1,0,0,0,355,0,0
18310,KENTUCKY,ELLIOTT,662,"46,198",6,"46,197",6,0,0,0,617,0,0
18320,KENTUCKY,ESTILL,768,"68,774",7,"68,774",7,0,0,0,699,0,0
18330,KENTUCKY,FAYETTE,"6,186","811,691",11,"811,691",11,0,0,0,"5,390",0,0
18340,KENTUCKY,FLEMING,640,"255,694",33,"255,694",33,0,0,0,581,0,0
18350,KENTUCKY,FLOYD,"3,914","115,658",2,"115,658",2,0,0,0,"3,695",0,0
18360,KENTUCKY,FRANKLIN,"2,960","393,459",11,"393,459",11,0,0,0,"2,767",0,0
18361,KENTUCKY,FULTON,444,"17,542",3,"17,542",3,0,0,0,425,0,0
18362,KENTUCKY,GALLATIN,319,"91,296",24,"91,296",24,0,0,0,285,0,0
18390,KENTUCKY,GARRARD,656,"63,604",8,"63,604",8,0,0,0,576,0,0
18400,KENTUCKY,GRANT,"1,021","81,003",7,"81,002",7,0,0,0,890,0,0
18410,KENTUCKY,GRAVES,"1,688","75,336",4,"75,336",4,0,0,0,"1,564",0,0
18420,KENTUCKY,GRAYSON,"1,283","22,205",1,"22,205",1,0,0,0,"1,176",0,0
18421,KENTUCKY,GREEN,455,"13,930",3,"13,930",3,0,0,0,419,0,0
18440,KENTUCKY,GREENUP,"2,298","129,459",5,"129,459",5,0,0,0,"2,105",0,0
18450,KENTUCKY,HANCOCK,297,"4,153",1,"4,154",1,0,0,0,266,0,0
18460,KENTUCKY,HARDIN,"3,829","110,765",2,"110,765",2,0,0,0,"3,468",0,0
18470,KENTUCKY,HARLAN,"2,367","205,116",7,"205,116",7,0,0,0,"2,234",0,0
18480,KENTUCKY,HARRISON,757,"180,323",20,"180,322",20,0,0,0,662,0,0
18490,KENTUCKY,HART,803,"19,443",2,"19,443",2,0,0,0,745,0,0
18500,KENTUCKY,HENDERSON,"1,682","251,456",12,"251,455",12,0,0,0,"1,506",0,0
18510,KENTUCKY,HENRY,487,"63,445",11,"63,446",11,0,0,0,425,0,0
18511,KENTUCKY,HICKMAN,153,"8,915",5,"8,916",5,0,0,0,140,0,0
18530,KENTUCKY,HOPKINS,"2,115","142,046",6,"142,047",6,0,0,0,"1,951",0,0
18540,KENTUCKY,JACKSON,809,"73,977",8,"73,977",8,0,0,0,745,0,0
18550,KENTUCKY,JEFFERSON,"21,572","1,896,476",7,"1,896,476",7,0,0,0,"18,924",0,0
18560,KENTUCKY,JESSAMINE,"1,238","192,311",13,"192,311",13,0,0,0,"1,059",0,0
18570,KENTUCKY,JOHNSON,"1,703","77,104",4,"77,104",4,0,0,0,"1,570",0,0
18580,KENTUCKY,KENTON,"3,396","261,627",6,"261,627",6,0,0,0,"2,888",0,0
18590,KENTUCKY,KNOTT,948,"73,279",6,"73,278",6,0,0,0,899,0,0
18600,KENTUCKY,KNOX,"1,742","41,903",2,"41,902",2,0,0,0,"1,652",0,0
18610,KENTUCKY,LARUE,501,"12,994",2,"12,994",2,0,0,0,461,0,0
18620,KENTUCKY,LAUREL,"3,018","189,798",5,"189,798",5,0,0,0,"2,773",0,0
18630,KENTUCKY,LAWRENCE,"1,089","25,039",2,"25,039",2,0,0,0,"1,012",0,0
18640,KENTUCKY,LEE,459,"27,939",5,"27,939",5,0,0,0,432,0,0
18650,KENTUCKY,LESLIE,861,"81,764",8,"81,763",8,0,0,0,808,0,0
18660,KENTUCKY,LETCHER,"1,743","117,016",6,"117,016",6,0,0,0,"1,629",0,0
18670,KENTUCKY,LEWIS,689,"36,155",4,"36,156",4,0,0,0,642,0,0
18680,KENTUCKY,LINCOLN,"1,232","105,947",7,"105,947",7,0,0,0,"1,112",0,0
18690,KENTUCKY,LIVINGSTON,499,"21,155",4,"21,155",4,0,0,0,460,0,0
18700,KENTUCKY,LOGAN,951,"116,059",10,"116,059",10,0,0,0,855,0,0
18710,KENTUCKY,LYON,306,"6,345",2,"6,345",2,0,0,0,278,0,0
18720,KENTUCKY,MC CRACKEN,"2,765","195,358",6,"195,358",6,0,0,0,"2,512",0,0
18730,KENTUCKY,MC CREARY,"1,131","22,585",2,"22,584",2,0,0,0,"1,054",0,0
18740,KENTUCKY,MC LEAN,393,"40,800",9,"40,800",9,0,0,0,362,0,0
18750,KENTUCKY,MADISON,"2,850","194,632",6,"194,633",6,0,0,0,"2,535",0,0
18760,KENTUCKY,MAGOFFIN,958,"7,328",1,"7,329",1,0,0,0,906,0,0
18770,KENTUCKY,MARION,743,"49,608",6,"49,608",6,0,0,0,686,0,0
18780,KENTUCKY,MARSHALL,"1,217","23,487",2,"23,487",2,0,0,0,"1,096",0,0
18790,KENTUCKY,MARTIN,961,"10,917",1,"10,917",1,0,0,0,906,0,0
18800,KENTUCKY,MASON,770,"195,108",21,"195,109",21,0,0,0,683,0,0
18801,KENTUCKY,MEADE,725,"16,898",2,"16,899",2,0,0,0,651,0,0
18802,KENTUCKY,MENIFEE,398,0,0,0,0,0,0,0,351,0,0
18830,KENTUCKY,MERCER,758,"50,787",6,"50,787",6,0,0,0,663,0,0
18831,KENTUCKY,METCALFE,519,"3,778",1,"3,779",1,0,0,0,485,0,0
18850,KENTUCKY,MONROE,595,0,0,0,0,0,0,0,554,0,0
18860,KENTUCKY,MONTGOMERY,"1,049","7,652",1,"7,652",1,0,0,0,911,0,0
18861,KENTUCKY,MORGAN,641,"88,764",12,"88,764",12,0,0,0,594,0,0
18880,KENTUCKY,MUHLENBERG,"1,482","35,353",2,"35,353",2,0,0,0,"1,385",0,0
18890,KENTUCKY,NELSON,"1,461","111,583",6,"111,583",6,0,0,0,"1,308",0,0
18900,KENTUCKY,NICHOLAS,297,"58,293",16,"58,293",16,0,0,0,263,0,0
18910,KENTUCKY,OHIO,"1,002","52,683",4,"52,682",4,0,0,0,904,0,0
18920,KENTUCKY,OLDHAM,726,"44,446",5,"44,446",5,0,0,0,607,0,0
18930,KENTUCKY,OWEN,265,0,0,0,0,0,0,0,238,0,0
18931,KENTUCKY,OWSLEY,333,"1,450",0,"1,450",0,0,0,0,313,0,0
18932,KENTUCKY,PENDLETON,519,"32,000",5,"32,000",5,0,0,0,459,0,0
18960,KENTUCKY,PERRY,"2,422","183,974",6,"183,974",6,0,0,0,"2,283",0,0
18970,KENTUCKY,PIKE,"5,832","269,104",4,"269,104",4,0,0,0,"5,480",0,0
18971,KENTUCKY,POWELL,746,"119,102",13,"119,103",13,0,0,0,676,0,0
18972,KENTUCKY,PULASKI,"3,699","234,492",5,"234,491",5,0,0,0,"3,413",0,0
18973,KENTUCKY,ROBERTSON,103,"47,774",39,"47,775",39,0,0,0,97,0,0
18974,KENTUCKY,ROCKCASTLE,827,"51,739",5,"51,740",5,0,0,0,778,0,0
18975,KENTUCKY,ROWAN,921,"51,767",5,"51,766",5,0,0,0,841,0,0
18976,KENTUCKY,RUSSELL,882,"88,777",8,"88,776",8,0,0,0,809,0,0
18977,KENTUCKY,SCOTT,"1,058","145,422",11,"145,422",11,0,0,0,896,0,0
18978,KENTUCKY,SHELBY,826,"41,748",4,"41,748",4,0,0,0,727,0,0
18979,KENTUCKY,SIMPSON,602,"24,466",3,"24,466",3,0,0,0,548,0,0
18980,KENTUCKY,SPENCER,435,"62,896",12,"62,896",12,0,0,0,380,0,0
