"DISABLED- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01600,ALABAMA,TALLADEGA,"4,201","1,050,092",21,"1,050,092",21,0,0,0,"3,705",0,0
01610,ALABAMA,TALLAPOOSA,"2,470","739,915",25,"739,915",25,0,0,0,"2,253",0,0
01620,ALABAMA,TUSCALOOSA,"7,535","535,801",6,"535,800",6,0,0,0,"6,802",0,0
01630,ALABAMA,WALKER,"3,187","593,075",16,"593,075",16,0,0,0,"2,859",0,0
01640,ALABAMA,WASHINGTON,829,"101,706",10,"101,707",10,0,0,0,758,0,0
01650,ALABAMA,WILCOX,941,"107,446",10,"107,446",10,0,0,0,891,0,0
01660,ALABAMA,WINSTON,"1,175","137,710",10,"137,710",10,0,0,0,"1,097",0,0
02010,ALASKA,ALEUTIANS ISLANDS,44,0,0,0,0,0,0,0,38,0,0
02020,ALASKA,ANCHORAGE,"5,427","255,384",4,"255,384",4,0,0,0,"4,843",0,0
02040,ALASKA,BARROW DIVISION,73,0,0,0,0,0,0,0,65,0,0
02050,ALASKA,BETHEL,95,0,0,0,0,0,0,0,85,0,0
02060,ALASKA,BRISTOL BAY BOROUGH,115,"1,337",1,"1,337",1,0,0,0,102,0,0
02070,ALASKA,DILLINGHAM,65,0,0,0,0,0,0,0,62,0,0
02080,ALASKA,CORDOVA-MC CARTHY,22,0,0,0,0,0,0,0,21,0,0
02090,ALASKA,FAIRBANKS NORTH STAR,"1,287","114,095",7,"114,095",7,0,0,0,"1,143",0,0
02100,ALASKA,HAINES,43,0,0,0,0,0,0,0,40,0,0
02110,ALASKA,JUNEAU,678,"9,918",1,"9,919",1,0,0,0,599,0,0
02120,ALASKA,KENAI-COOK INLET DIVISION,"1,192","1,525",0,"1,524",0,0,0,0,"1,079",0,0
02130,ALASKA,KETCHIKAN GATEWAY,284,0,0,0,0,0,0,0,256,0,0
02140,ALASKA,KOBUK,62,0,0,0,0,0,0,0,58,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,85,0,0,0,0,0,0,0,68,0,0
02160,ALASKA,KUSKOKWIN,22,0,0,0,0,0,0,0,18,0,0
02170,ALASKA,MATANUSKA-SUSITNA,"1,558","64,704",3,"64,704",3,0,0,0,"1,385",0,0
02180,ALASKA,NOME,76,0,0,0,0,0,0,0,66,0,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,36,0,0,0,0,0,0,0,35,0,0
