"AGED -- 2013 REIMBURSEMENT FOR COST CONTRACTS 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
10600,FLORIDA,SUWANNEE,0,0,0,,,,,,
10610,FLORIDA,TAYLOR,0,0,"9,417",,,,,,
10620,FLORIDA,UNION,0,0,0,,,,,,
10630,FLORIDA,VOLUSIA,"193,299","185,757","96,902",,,,,,
10640,FLORIDA,WAKULLA,0,0,893,,,,,,
10650,FLORIDA,WALTON,0,0,"11,627",,,,,,
10660,FLORIDA,WASHINGTON,0,0,0,,,,,,
11000,GEORGIA,APPLING,0,0,0,,,,,,
11010,GEORGIA,ATKINSON,0,0,0,,,,,,
11011,GEORGIA,BACON,0,0,0,,,,,,
11020,GEORGIA,BAKER,0,0,0,,,,,,
11030,GEORGIA,BALDWIN,0,0,"4,460",,,,,,
11040,GEORGIA,BANKS,0,0,0,,,,,,
11050,GEORGIA,BARROW,0,0,"2,391",,,,,,
11060,GEORGIA,BARTOW,"32,566","30,648",540,,,,,,
11070,GEORGIA,BEN HILL,0,0,0,,,,,,
11080,GEORGIA,BERRIEN,0,0,0,,,,,,
11090,GEORGIA,BIBB,0,0,185,,,,,,
11100,GEORGIA,BLECKLEY,0,0,0,,,,,,
11110,GEORGIA,BRANTLEY,0,0,98,,,,,,
11120,GEORGIA,BROOKS,"23,355","21,006","2,123",,,,,,
11130,GEORGIA,BRYAN,0,0,0,,,,,,
11140,GEORGIA,BULLOCH,0,0,337,,,,,,
11150,GEORGIA,BURKE,0,0,0,,,,,,
11160,GEORGIA,BUTTS,"21,873","21,081","8,022",,,,,,
11161,GEORGIA,CALHOUN,0,0,0,,,,,,
11170,GEORGIA,CAMDEN,0,0,156,,,,,,
11180,GEORGIA,CANDLER,0,0,0,,,,,,
11190,GEORGIA,CARROLL,"37,678","36,143","29,486",,,,,,
11200,GEORGIA,CATOOSA,"30,068","30,068","10,089",,,,,,
11210,GEORGIA,CHARLTON,0,0,0,,,,,,
11220,GEORGIA,CHATHAM,"109,297","109,297","42,900",,,,,,
11230,GEORGIA,CHATTAHOOCHEE,0,0,0,,,,,,
11240,GEORGIA,CHATTOOGA,0,0,0,,,,,,
11250,GEORGIA,CHEROKEE,"36,851","35,377","14,659",,,,,,
11260,GEORGIA,CLARKE,0,0,663,,,,,,
11270,GEORGIA,CLAY,0,0,0,,,,,,
11280,GEORGIA,CLAYTON,"13,267","12,158","4,764",,,,,,
11281,GEORGIA,CLINCH,0,0,0,,,,,,
11290,GEORGIA,COBB,"206,844","197,188","39,295",,,,,,
11291,GEORGIA,COFFEE,0,0,0,,,,,,
11300,GEORGIA,COLQUITT,0,0,"1,625",,,,,,
11310,GEORGIA,COLUMBIA,0,0,117,,,,,,
11311,GEORGIA,COOK,0,0,0,,,,,,
11320,GEORGIA,COWETA,0,0,"9,429",,,,,,
11330,GEORGIA,CRAWFORD,0,0,0,,,,,,
11340,GEORGIA,CRISP,0,0,0,,,,,,
11341,GEORGIA,DADE,0,0,0,,,,,,
11350,GEORGIA,DAWSON,0,0,0,,,,,,
11360,GEORGIA,DECATUR,0,0,0,,,,,,
11370,GEORGIA,DE KALB,"59,336","52,625","13,792",,,,,,
11380,GEORGIA,DODGE,0,0,0,,,,,,
11381,GEORGIA,DOOLY,0,0,0,,,,,,
11390,GEORGIA,DOUGHERTY,0,0,0,,,,,,
11400,GEORGIA,DOUGLAS,"32,103","31,313","26,299",,,,,,
11410,GEORGIA,EARLY,0,0,0,,,,,,
11420,GEORGIA,ECHOLS,0,0,0,,,,,,
11421,GEORGIA,EFFINGHAM,0,0,0,,,,,,
11430,GEORGIA,ELBERT,0,0,806,,,,,,
11440,GEORGIA,EMANUEL,0,0,0,,,,,,
11441,GEORGIA,EVANS,0,0,0,,,,,,
11450,GEORGIA,FANNIN,0,0,0,,,,,,
11451,GEORGIA,FAYETTE,"20,766","20,587","50,935",,,,,,
11460,GEORGIA,FLOYD,"10,018","10,018","2,334",,,,,,
11461,GEORGIA,FORSYTH,"4,447","4,210","29,919",,,,,,
11462,GEORGIA,FRANKLIN,0,0,0,,,,,,
11470,GEORGIA,FULTON,"86,468","81,439","12,399",,,,,,
11471,GEORGIA,GILMER,0,0,0,,,,,,
11480,GEORGIA,GLASCOCK,0,0,0,,,,,,
11490,GEORGIA,GLYNN,"12,294","10,531",0,,,,,,
11500,GEORGIA,GORDON,"133,660","110,550","2,646",,,,,,
11510,GEORGIA,GRADY,0,0,0,,,,,,
11520,GEORGIA,GREENE,0,0,0,,,,,,
11530,GEORGIA,GWINNETT,"49,838","46,410","28,248",,,,,,
11540,GEORGIA,HABERSHAM,0,0,640,,,,,,
11550,GEORGIA,HALL,0,0,0,,,,,,
11560,GEORGIA,HANCOCK,0,0,0,,,,,,
11570,GEORGIA,HARALSON,0,0,0,,,,,,
11580,GEORGIA,HARRIS,0,0,"1,346",,,,,,
11581,GEORGIA,HART,0,0,0,,,,,,
11590,GEORGIA,HEARD,0,0,0,,,,,,
11591,GEORGIA,HENRY,"18,827","15,180","25,846",,,,,,
11600,GEORGIA,HOUSTON,0,0,"1,728",,,,,,
11601,GEORGIA,IRWIN,0,0,0,,,,,,
11610,GEORGIA,JACKSON,0,0,0,,,,,,
11611,GEORGIA,JASPER,0,0,0,,,,,,
11612,GEORGIA,JEFF DAVIS,0,0,0,,,,,,
11620,GEORGIA,JEFFERSON,0,0,0,,,,,,
11630,GEORGIA,JENKINS,0,0,"2,509",,,,,,
11640,GEORGIA,JOHNSON,0,0,0,,,,,,
11650,GEORGIA,JONES,0,0,0,,,,,,
11651,GEORGIA,LAMAR,0,0,0,,,,,,
11652,GEORGIA,LANIER,0,0,0,,,,,,
11660,GEORGIA,LAURENS,0,0,0,,,,,,
11670,GEORGIA,LEE,0,0,25,,,,,,
11680,GEORGIA,LIBERTY,0,0,0,,,,,,
11690,GEORGIA,LINCOLN,0,0,0,,,,,,
11691,GEORGIA,LONG,0,0,0,,,,,,
11700,GEORGIA,LOWNDES,0,0,0,,,,,,
11701,GEORGIA,LUMPKIN,0,0,0,,,,,,
11702,GEORGIA,MC DUFFIE,"5,256","4,991",437,,,,,,
11703,GEORGIA,MC INTOSH,0,0,0,,,,,,
11710,GEORGIA,MACON,0,0,0,,,,,,
11720,GEORGIA,MADISON,0,0,0,,,,,,
11730,GEORGIA,MARION,0,0,0,,,,,,
11740,GEORGIA,MERIWETHER,0,0,0,,,,,,
11741,GEORGIA,MILLER,0,0,0,,,,,,
11750,GEORGIA,MITCHELL,0,0,0,,,,,,
11760,GEORGIA,MONROE,"28,399","28,193",31,,,,,,
11770,GEORGIA,MONTGOMERY,0,0,0,,,,,,
11771,GEORGIA,MORGAN,0,0,0,,,,,,
11772,GEORGIA,MURRAY,0,0,0,,,,,,
11780,GEORGIA,MUSCOGEE,"14,078","13,679",809,,,,,,
11790,GEORGIA,NEWTON,0,0,"8,206",,,,,,
11800,GEORGIA,OCONEE,"10,132","7,222","4,383",,,,,,
11801,GEORGIA,OGLETHORPE,0,0,0,,,,,,
11810,GEORGIA,PAULDING,"6,032","5,432","15,411",,,,,,
11811,GEORGIA,PEACH,0,0,0,,,,,,
11812,GEORGIA,PICKENS,0,0,0,,,,,,
11820,GEORGIA,PIERCE,0,0,0,,,,,,
11821,GEORGIA,PIKE,0,0,"4,478",,,,,,
11830,GEORGIA,POLK,"8,350","6,734",932,,,,,,
11831,GEORGIA,PULASKI,0,0,0,,,,,,
11832,GEORGIA,PUTNAM,0,0,0,,,,,,
11833,GEORGIA,QUITMAN,0,0,0,,,,,,
11834,GEORGIA,RABUN,0,0,"9,110",,,,,,
11835,GEORGIA,RANDOLPH,0,0,0,,,,,,
11840,GEORGIA,RICHMOND,0,0,57,,,,,,
11841,GEORGIA,ROCKDALE,0,0,"8,213",,,,,,
11842,GEORGIA,SCHLEY,0,0,0,,,,,,
11850,GEORGIA,SCREVEN,0,0,0,,,,,,
11851,GEORGIA,SEMINOLE,0,0,0,,,,,,
11860,GEORGIA,SPALDING,0,0,"2,778",,,,,,
11861,GEORGIA,STEPHENS,0,0,0,,,,,,
11862,GEORGIA,STEWART,0,0,0,,,,,,
11870,GEORGIA,SUMTER,0,0,0,,,,,,
11880,GEORGIA,TALBOT,0,0,0,,,,,,
11881,GEORGIA,TALIAFERRO,0,0,0,,,,,,
11882,GEORGIA,TATTNALL,0,0,0,,,,,,
11883,GEORGIA,TAYLOR,0,0,0,,,,,,
11884,GEORGIA,TELFAIR,0,0,0,,,,,,
11885,GEORGIA,TERRELL,0,0,0,,,,,,
11890,GEORGIA,THOMAS,0,0,"2,548",,,,,,
11900,GEORGIA,TIFT,0,0,0,,,,,,
11901,GEORGIA,TOOMBS,0,0,0,,,,,,
11902,GEORGIA,TOWNS,0,0,0,,,,,,
11903,GEORGIA,TREUTLEN,0,0,0,,,,,,
11910,GEORGIA,TROUP,0,0,0,,,,,,
11911,GEORGIA,TURNER,0,0,0,,,,,,
11912,GEORGIA,TWIGGS,0,0,0,,,,,,
11913,GEORGIA,UNION,0,0,"1,631",,,,,,
11920,GEORGIA,UPSON,0,0,0,,,,,,
11921,GEORGIA,WALKER,"4,782","4,512","6,066",,,,,,
11930,GEORGIA,WALTON,"6,533","6,389","4,366",,,,,,
11940,GEORGIA,WARE,0,0,0,,,,,,
11941,GEORGIA,WARREN,0,0,0,,,,,,
11950,GEORGIA,WASHINGTON,0,0,0,,,,,,
11960,GEORGIA,WAYNE,0,0,0,,,,,,
11961,GEORGIA,WEBSTER,0,0,0,,,,,,
11962,GEORGIA,WHEELER,0,0,0,,,,,,
11963,GEORGIA,WHITE,0,0,0,,,,,,
11970,GEORGIA,WHITFIELD,0,0,457,,,,,,
11971,GEORGIA,WILCOX,0,0,0,,,,,,
11972,GEORGIA,WILKES,0,0,0,,,,,,
11973,GEORGIA,WILKINSON,"12,302","10,818","9,814",,,,,,
11980,GEORGIA,WORTH,0,0,0,,,,,,
12010,HAWAII,HAWAII,"57,382","46,537","168,937",,,,,,
12020,HAWAII,HONOLULU,"836,683","791,761","694,985",,,,,,
12030,HAWAII,KALAWAO,0,0,0,,,,,,
12040,HAWAII,KAUAI,"32,643","32,121","77,343",,,,,,
12050,HAWAII,MAUI,"47,121","43,612","98,651",,,,,,
13000,IDAHO,ADA,"264,435","231,103","162,669",,,,,,
13010,IDAHO,ADAMS,0,0,408,,,,,,
13020,IDAHO,BANNOCK,"2,161,508","1,988,591","2,521,673",,,,,,
13030,IDAHO,BEAR LAKE,"182,298","182,298","164,500",,,,,,
13040,IDAHO,BENEWAH,0,0,"2,655",,,,,,
13050,IDAHO,BINGHAM,"45,031","41,718","96,199",,,,,,
13060,IDAHO,BLAINE,0,0,"8,524",,,,,,
13070,IDAHO,BOISE,0,0,0,,,,,,
13080,IDAHO,BONNER,"12,065","11,018","10,357",,,,,,
13090,IDAHO,BONNEVILLE,"31,685","31,479","79,965",,,,,,
13100,IDAHO,BOUNDARY,"17,901","16,854","7,558",,,,,,
13110,IDAHO,BUTTE,0,0,"24,129",,,,,,
13120,IDAHO,CAMAS,0,0,0,,,,,,
13130,IDAHO,CANYON,"780,627","696,350","762,914",,,,,,
13140,IDAHO,CARIBOU,"27,870","27,870","5,195",,,,,,
13150,IDAHO,CASSIA,"3,868","3,868","7,703",,,,,,
13160,IDAHO,CLARK,0,0,0,,,,,,
13170,IDAHO,CLEARWATER,518,518,"8,589",,,,,,
13180,IDAHO,CUSTER,0,0,"6,857",,,,,,
13190,IDAHO,ELMORE,"35,246","31,484","65,325",,,,,,
13200,IDAHO,FRANKLIN,"56,813","53,016","16,958",,,,,,
13210,IDAHO,FREMONT,"50,842","47,855","16,464",,,,,,
13220,IDAHO,GEM,0,0,"3,888",,,,,,
13230,IDAHO,GOODING,"45,641","45,531","113,766",,,,,,
13240,IDAHO,IDAHO,0,0,74,,,,,,
13250,IDAHO,JEFFERSON,"22,837","21,883","21,557",,,,,,
13260,IDAHO,JEROME,"5,491","4,140","6,132",,,,,,
13270,IDAHO,KOOTENAI,"45,477","43,828","34,543",,,,,,
13280,IDAHO,LATAH,0,0,"2,911",,,,,,
13290,IDAHO,LEMHI,0,0,"1,183",,,,,,
13300,IDAHO,LEWIS,"11,337","11,203","3,840",,,,,,
13310,IDAHO,LINCOLN,"61,425","60,621","7,761",,,,,,
13320,IDAHO,MADISON,0,0,"21,717",,,,,,
13330,IDAHO,MINIDOKA,"30,220","29,844","22,186",,,,,,
13340,IDAHO,NEZ PERCE,0,0,904,,,,,,
13350,IDAHO,ONEIDA,0,0,"6,643",,,,,,
13360,IDAHO,OWYHEE,"10,286","10,286","2,401",,,,,,
13370,IDAHO,PAYETTE,"15,125","15,012","29,676",,,,,,
13380,IDAHO,POWER,"17,643","16,376","36,760",,,,,,
13390,IDAHO,SHOSHONE,"73,633","70,510","11,167",,,,,,
13400,IDAHO,TETON,0,0,0,,,,,,
13410,IDAHO,TWIN FALLS,"13,626","12,235","47,421",,,,,,
13420,IDAHO,VALLEY,0,0,"7,202",,,,,,
13430,IDAHO,WASHINGTON,"19,162","18,879","12,772",,,,,,
14000,ILLINOIS,ADAMS,0,0,"11,651",,,,,,
14010,ILLINOIS,ALEXANDER,0,0,0,,,,,,
14020,ILLINOIS,BOND,"26,666","26,161","4,646",,,,,,
14030,ILLINOIS,BOONE,0,0,"2,463",,,,,,
14040,ILLINOIS,BROWN,0,0,0,,,,,,
14050,ILLINOIS,BUREAU,0,0,0,,,,,,
14060,ILLINOIS,CALHOUN,0,0,0,,,,,,
14070,ILLINOIS,CARROLL,"68,367","65,642","11,273",,,,,,
14080,ILLINOIS,CASS,0,0,"2,162",,,,,,
14090,ILLINOIS,CHAMPAIGN,0,0,"5,523",,,,,,
14100,ILLINOIS,CHRISTIAN,"287,474","266,117","137,894",,,,,,
14110,ILLINOIS,CLARK,0,0,"4,811",,,,,,
14120,ILLINOIS,CLAY,"42,098","41,009","21,758",,,,,,
14130,ILLINOIS,CLINTON,"63,757","60,771","56,720",,,,,,
14140,ILLINOIS,COLES,"71,970","65,364","71,558",,,,,,
14141,ILLINOIS,COOK,"14,117,542","11,538,253","9,938,474",,,,,,
14150,ILLINOIS,CRAWFORD,"46,674","46,205","6,486",,,,,,
14160,ILLINOIS,CUMBERLAND,0,0,0,,,,,,
14170,ILLINOIS,DE KALB,0,0,0,,,,,,
14180,ILLINOIS,DE WITT,"100,052","92,676","25,623",,,,,,
14190,ILLINOIS,DOUGLAS,"152,638","134,713","52,470",,,,,,
14250,ILLINOIS,DU PAGE,"789,484","750,176","584,039",,,,,,
14310,ILLINOIS,EDGAR,"93,459","88,201","16,522",,,,,,
14320,ILLINOIS,EDWARDS,0,0,0,,,,,,
14330,ILLINOIS,EFFINGHAM,0,0,0,,,,,,
14340,ILLINOIS,FAYETTE,0,0,"7,237",,,,,,
14350,ILLINOIS,FORD,0,0,"14,227",,,,,,
14360,ILLINOIS,FRANKLIN,"2,687,926","2,486,623","1,025,677",,,,,,
14370,ILLINOIS,FULTON,"288,639","267,240","88,616",,,,,,
14380,ILLINOIS,GALLATIN,"61,472","60,065","17,645",,,,,,
14390,ILLINOIS,GREENE,0,0,0,,,,,,
14400,ILLINOIS,GRUNDY,0,0,"2,909",,,,,,
14410,ILLINOIS,HAMILTON,0,0,"7,152",,,,,,
14420,ILLINOIS,HANCOCK,0,0,"44,854",,,,,,
14421,ILLINOIS,HARDIN,"6,985","6,985","10,593",,,,,,
14440,ILLINOIS,HENDERSON,"36,362","36,362","11,842",,,,,,
14450,ILLINOIS,HENRY,"24,235","24,235","5,745",,,,,,
14460,ILLINOIS,IROQUOIS,"42,815","41,609","4,044",,,,,,
14470,ILLINOIS,JACKSON,"177,844","161,994","68,468",,,,,,
14480,ILLINOIS,JASPER,0,0,0,,,,,,
14490,ILLINOIS,JEFFERSON,"125,256","121,637","46,142",,,,,,
14500,ILLINOIS,JERSEY,0,0,0,,,,,,
14510,ILLINOIS,JO DAVIESS,"4,478,416","4,296,769","2,435,133",,,,,,
14520,ILLINOIS,JOHNSON,"6,095","6,014","22,419",,,,,,
14530,ILLINOIS,KANE,"256,792","247,269","137,758",,,,,,
14540,ILLINOIS,KANKAKEE,"97,755","91,159","41,086",,,,,,
14550,ILLINOIS,KENDALL,0,0,249,,,,,,
14560,ILLINOIS,KNOX,"48,122","47,838","34,901",,,,,,
14570,ILLINOIS,LAKE,"104,003","94,285","87,223",,,,,,
14580,ILLINOIS,LA SALLE,"99,405","98,321","63,402",,,,,,
14590,ILLINOIS,LAWRENCE,"4,792","4,206","11,545",,,,,,
14600,ILLINOIS,LEE,0,0,0,,,,,,
14610,ILLINOIS,LIVINGSTON,0,0,"4,101",,,,,,
14620,ILLINOIS,LOGAN,"36,801","33,938","7,664",,,,,,
14630,ILLINOIS,MC DONOUGH,0,0,"7,682",,,,,,
14640,ILLINOIS,MC HENRY,"91,223","88,245","28,463",,,,,,
14650,ILLINOIS,MC LEAN,0,0,"9,280",,,,,,
14660,ILLINOIS,MACON,"2,220,144","2,066,311","1,785,469",,,,,,
14670,ILLINOIS,MACOUPIN,"29,196","25,858","40,673",,,,,,
14680,ILLINOIS,MADISON,"597,218","512,614","297,602",,,,,,
14690,ILLINOIS,MARION,"32,228","32,228","28,660",,,,,,
14700,ILLINOIS,MARSHALL,"9,546","7,575","24,911",,,,,,
14710,ILLINOIS,MASON,"6,174","5,894","9,570",,,,,,
14720,ILLINOIS,MASSAC,"26,892","25,641","4,357",,,,,,
14730,ILLINOIS,MENARD,0,0,0,,,,,,
14740,ILLINOIS,MERCER,0,0,0,,,,,,
14750,ILLINOIS,MONROE,"134,851","127,095","62,836",,,,,,
14760,ILLINOIS,MONTGOMERY,"234,977","204,917","85,497",,,,,,
14770,ILLINOIS,MORGAN,"10,632","9,267","20,430",,,,,,
14780,ILLINOIS,MOULTRIE,"128,017","119,024","139,467",,,,,,
14790,ILLINOIS,OGLE,0,0,"4,188",,,,,,
14800,ILLINOIS,PEORIA,"160,377","139,730","150,543",,,,,,
14810,ILLINOIS,PERRY,"731,300","692,226","327,842",,,,,,
14820,ILLINOIS,PIATT,0,0,"45,692",,,,,,
14830,ILLINOIS,PIKE,"15,672","15,672","30,708",,,,,,
14831,ILLINOIS,POPE,0,0,691,,,,,,
14850,ILLINOIS,PULASKI,0,0,0,,,,,,
14860,ILLINOIS,PUTNAM,0,0,0,,,,,,
14870,ILLINOIS,RANDOLPH,"488,924","459,291","285,242",,,,,,
14880,ILLINOIS,RICHLAND,"31,348","30,307","6,897",,,,,,
14890,ILLINOIS,ROCK ISLAND,"43,548","43,436","15,875",,,,,,
14900,ILLINOIS,ST. CLAIR,"578,845","519,878","433,241",,,,,,
14910,ILLINOIS,SALINE,"151,045","144,806","74,073",,,,,,
14920,ILLINOIS,SANGAMON,"116,895","103,428","72,127",,,,,,
14921,ILLINOIS,SCHUYLER,0,0,"4,411",,,,,,
14940,ILLINOIS,SCOTT,"12,442","12,442","30,406",,,,,,
14950,ILLINOIS,SHELBY,"82,175","80,039","48,064",,,,,,
14960,ILLINOIS,STARK,"8,246","7,251","9,133",,,,,,
14970,ILLINOIS,STEPHENSON,"23,424","15,094","32,555",,,,,,
14980,ILLINOIS,TAZEWELL,"13,480","12,857","7,324",,,,,,
14981,ILLINOIS,UNION,"25,838","21,795","10,687",,,,,,
14982,ILLINOIS,VERMILION,"476,865","444,864","143,625",,,,,,
14983,ILLINOIS,WABASH,"43,692","30,821","8,080",,,,,,
14984,ILLINOIS,WARREN,"10,246","10,176","10,118",,,,,,
14985,ILLINOIS,WASHINGTON,"84,926","79,950","13,608",,,,,,
14986,ILLINOIS,WAYNE,"7,714","7,282","3,108",,,,,,
14987,ILLINOIS,WHITE,0,0,"7,759",,,,,,
14988,ILLINOIS,WHITESIDE,0,0,0,,,,,,
14989,ILLINOIS,WILL,"552,119","512,778","316,558",,,,,,
14990,ILLINOIS,WILLIAMSON,"1,773,606","1,645,153","604,497",,,,,,
14991,ILLINOIS,WINNEBAGO,"10,878","9,182","15,169",,,,,,
14992,ILLINOIS,WOODFORD,"8,711","7,221","2,549",,,,,,
15000,INDIANA,ADAMS,0,0,0,,,,,,
15010,INDIANA,ALLEN,"196,209","187,084","52,865",,,,,,
15020,INDIANA,BARTHOLOMEW,"27,263","25,736","4,552",,,,,,
15030,INDIANA,BENTON,0,0,0,,,,,,
15040,INDIANA,BLACKFORD,0,0,"2,193",,,,,,
15050,INDIANA,BOONE,"29,446","25,873","8,480",,,,,,
15060,INDIANA,BROWN,"44,385","43,038","3,969",,,,,,
15070,INDIANA,CARROLL,"12,572","12,212","9,723",,,,,,
15080,INDIANA,CASS,"31,019","30,657","18,706",,,,,,
15090,INDIANA,CLARK,0,0,888,,,,,,
15100,INDIANA,CLAY,"215,891","205,378","165,747",,,,,,
15110,INDIANA,CLINTON,0,0,74,,,,,,
15120,INDIANA,CRAWFORD,0,0,"2,340",,,,,,
15130,INDIANA,DAVIESS,"31,823","29,743","62,108",,,,,,
15140,INDIANA,DEARBORN,0,0,"7,350",,,,,,
15150,INDIANA,DECATUR,0,0,"8,424",,,,,,
15160,INDIANA,DE KALB,0,0,"1,442",,,,,,
15170,INDIANA,DELAWARE,"42,805","41,254","15,544",,,,,,
15180,INDIANA,DUBOIS,"117,434","115,963","17,208",,,,,,
15190,INDIANA,ELKHART,"6,838","6,471","5,439",,,,,,
15200,INDIANA,FAYETTE,0,0,0,,,,,,
15210,INDIANA,FLOYD,0,0,"3,713",,,,,,
15220,INDIANA,FOUNTAIN,0,0,0,,,,,,
15230,INDIANA,FRANKLIN,0,0,0,,,,,,
15240,INDIANA,FULTON,"37,778","37,778","42,857",,,,,,
15250,INDIANA,GIBSON,"738,121","710,248","304,784",,,,,,
15260,INDIANA,GRANT,"3,485","2,979","8,394",,,,,,
15270,INDIANA,GREENE,"317,063","307,222","97,581",,,,,,
15280,INDIANA,HAMILTON,0,0,"39,810",,,,,,
15290,INDIANA,HANCOCK,"63,362","60,612","24,412",,,,,,
15300,INDIANA,HARRISON,0,0,0,,,,,,
15310,INDIANA,HENDRICKS,"25,255","19,953","9,419",,,,,,
15320,INDIANA,HENRY,"8,712","8,159","2,295",,,,,,
15330,INDIANA,HOWARD,0,0,345,,,,,,
15340,INDIANA,HUNTINGTON,"5,844","4,907","53,549",,,,,,
15350,INDIANA,JACKSON,0,0,"1,653",,,,,,
15360,INDIANA,JASPER,0,0,"8,023",,,,,,
15370,INDIANA,JAY,"11,378","9,828","5,014",,,,,,
15380,INDIANA,JEFFERSON,0,0,0,,,,,,
15390,INDIANA,JENNINGS,"29,124","29,124","3,809",,,,,,
15400,INDIANA,JOHNSON,"22,150","21,213","10,946",,,,,,
15410,INDIANA,KNOX,"300,896","296,695","36,189",,,,,,
15420,INDIANA,KOSCIUSKO,0,0,"7,220",,,,,,
15430,INDIANA,LAGRANGE,0,0,0,,,,,,
15440,INDIANA,LAKE,"237,974","221,031","155,215",,,,,,
15450,INDIANA,LA PORTE,"23,167","21,082","93,611",,,,,,
15460,INDIANA,LAWRENCE,"12,526","12,526","2,156",,,,,,
15470,INDIANA,MADISON,"69,299","68,415","9,231",,,,,,
15480,INDIANA,MARION,"152,709","143,656","30,811",,,,,,
15490,INDIANA,MARSHALL,"4,223","3,631","13,974",,,,,,
15500,INDIANA,MARTIN,0,0,107,,,,,,
15510,INDIANA,MIAMI,"864,496","815,187","751,380",,,,,,
15520,INDIANA,MONROE,"30,091","26,891","4,392",,,,,,
15530,INDIANA,MONTGOMERY,0,0,"1,067",,,,,,
15540,INDIANA,MORGAN,0,0,"3,208",,,,,,
15550,INDIANA,NEWTON,0,0,0,,,,,,
15560,INDIANA,NOBLE,"36,527","36,154","15,484",,,,,,
15570,INDIANA,OHIO,0,0,"5,529",,,,,,
15580,INDIANA,ORANGE,0,0,"4,185",,,,,,
15590,INDIANA,OWEN,0,0,"1,178",,,,,,
15600,INDIANA,PARKE,"50,955","48,060","4,260",,,,,,
15610,INDIANA,PERRY,0,0,0,,,,,,
15620,INDIANA,PIKE,"657,931","634,329","364,980",,,,,,
15630,INDIANA,PORTER,"31,644","30,727","31,052",,,,,,
15640,INDIANA,POSEY,0,0,"2,044",,,,,,
15650,INDIANA,PULASKI,0,0,"2,547",,,,,,
15660,INDIANA,PUTNAM,0,0,477,,,,,,
15670,INDIANA,RANDOLPH,0,0,"1,525",,,,,,
15680,INDIANA,RIPLEY,0,0,0,,,,,,
15690,INDIANA,RUSH,0,0,"2,597",,,,,,
15700,INDIANA,ST. JOSEPH,"68,623","62,730",809,,,,,,
15710,INDIANA,SCOTT,0,0,"3,735",,,,,,
15720,INDIANA,SHELBY,"3,399","3,098","7,683",,,,,,
15730,INDIANA,SPENCER,"93,192","88,741","8,102",,,,,,
15740,INDIANA,STARKE,"27,704","25,715","13,996",,,,,,
15750,INDIANA,STEUBEN,"25,721","25,721","2,351",,,,,,
15760,INDIANA,SULLIVAN,"166,969","159,980","107,335",,,,,,
15770,INDIANA,SWITZERLAND,0,0,0,,,,,,
15780,INDIANA,TIPPECANOE,"54,773","52,111","86,648",,,,,,
15790,INDIANA,TIPTON,0,0,0,,,,,,
15800,INDIANA,UNION,0,0,0,,,,,,
15810,INDIANA,VANDERBURGH,"219,857","209,926","55,858",,,,,,
15820,INDIANA,VERMILLION,"123,465","119,092","24,714",,,,,,
15830,INDIANA,VIGO,"146,208","133,289","42,065",,,,,,
15840,INDIANA,WABASH,"6,608","6,279","5,600",,,,,,
15850,INDIANA,WARREN,0,0,"1,097",,,,,,
15860,INDIANA,WARRICK,"309,871","295,146","188,900",,,,,,
15870,INDIANA,WASHINGTON,"27,816","27,145","7,580",,,,,,
15880,INDIANA,WAYNE,0,0,833,,,,,,
15890,INDIANA,WELLS,0,0,0,,,,,,
15900,INDIANA,WHITE,0,0,0,,,,,,
15910,INDIANA,WHITLEY,"20,199","20,199","22,253",,,,,,
16000,IOWA,ADAIR,0,0,0,,,,,,
16010,IOWA,ADAMS,0,0,690,,,,,,
16020,IOWA,ALLAMAKEE,0,0,366,,,,,,
16030,IOWA,APPANOOSE,"7,346","4,672","24,840",,,,,,
16040,IOWA,AUDUBON,"24,676","17,644","14,316",,,,,,
16050,IOWA,BENTON,0,0,"1,199",,,,,,
16060,IOWA,BLACK HAWK,0,0,"17,050",,,,,,
16070,IOWA,BOONE,"34,456","34,456","16,114",,,,,,
16080,IOWA,BREMER,0,0,0,,,,,,
16090,IOWA,BUCHANAN,0,0,549,,,,,,
16100,IOWA,BUENA VISTA,0,0,0,,,,,,
16110,IOWA,BUTLER,0,0,0,,,,,,
16120,IOWA,CALHOUN,"125,093","124,774","16,705",,,,,,
16130,IOWA,CARROLL,0,0,0,,,,,,
16140,IOWA,CASS,0,0,529,,,,,,
16150,IOWA,CEDAR,0,0,0,,,,,,
16160,IOWA,CERRO GORDO,0,0,"9,713",,,,,,
16170,IOWA,CHEROKEE,0,0,"5,353",,,,,,
16180,IOWA,CHICKASAW,"3,347","2,786","8,776",,,,,,
16190,IOWA,CLARKE,0,0,0,,,,,,
16200,IOWA,CLAY,0,0,0,,,,,,
16210,IOWA,CLAYTON,"2,123,961","1,899,312","1,336,908",,,,,,
16220,IOWA,CLINTON,"93,650","64,111","55,345",,,,,,
16230,IOWA,CRAWFORD,0,0,0,,,,,,
16240,IOWA,DALLAS,0,0,653,,,,,,
16250,IOWA,DAVIS,0,0,0,,,,,,
16260,IOWA,DECATUR,0,0,0,,,,,,
16270,IOWA,DELAWARE,"801,784","793,906","370,945",,,,,,
