"AGED -- 2013 REIMBURSEMENT FOR COST CONTRACTS 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
02280,ALASKA,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,,,,,,
02290,ALASKA,YUKON-KOYUKUK,0,0,0,,,,,,
03000,ARIZONA,APACHE,0,0,0,,,,,,
03010,ARIZONA,COCHISE,"53,144","48,891","33,278",,,,,,
03020,ARIZONA,COCONINO,"113,651","102,226","80,068",,,,,,
03030,ARIZONA,GILA,"13,853","12,380","14,320",,,,,,
03040,ARIZONA,GRAHAM,0,0,506,,,,,,
03050,ARIZONA,GREENLEE,0,0,0,,,,,,
03055,ARIZONA,LAPAZ,"22,075","21,745","9,105",,,,,,
03060,ARIZONA,MARICOPA,"1,486,694","1,354,268","1,270,346",,,,,,
03070,ARIZONA,MOHAVE,"200,504","176,010","336,749",,,,,,
03080,ARIZONA,NAVAJO,"327,493","289,791","347,185",,,,,,
03090,ARIZONA,PIMA,"439,620","363,307","334,006",,,,,,
03100,ARIZONA,PINAL,"206,513","195,096","280,060",,,,,,
03110,ARIZONA,SANTA CRUZ,0,0,"8,731",,,,,,
03120,ARIZONA,YAVAPAI,"168,846","152,255","206,579",,,,,,
03130,ARIZONA,YUMA,"197,015","183,462","167,938",,,,,,
04000,ARKANSAS,ARKANSAS,0,0,0,,,,,,
04010,ARKANSAS,ASHLEY,0,0,"4,273",,,,,,
04020,ARKANSAS,BAXTER,"47,656","46,151","52,720",,,,,,
04030,ARKANSAS,BENTON,532,532,"590,328",,,,,,
04040,ARKANSAS,BOONE,"17,945","17,594","1,751",,,,,,
04050,ARKANSAS,BRADLEY,0,0,0,,,,,,
04060,ARKANSAS,CALHOUN,0,0,0,,,,,,
04070,ARKANSAS,CARROLL,0,0,"4,841",,,,,,
04080,ARKANSAS,CHICOT,0,0,"14,334",,,,,,
04090,ARKANSAS,CLARK,0,0,"37,221",,,,,,
04100,ARKANSAS,CLAY,0,0,0,,,,,,
04110,ARKANSAS,CLEBURNE,"2,852","2,440","25,899",,,,,,
04120,ARKANSAS,CLEVELAND,0,0,"9,502",,,,,,
04130,ARKANSAS,COLUMBIA,0,0,0,,,,,,
04140,ARKANSAS,CONWAY,0,0,"21,738",,,,,,
04150,ARKANSAS,CRAIGHEAD,"3,884","3,170","2,792",,,,,,
04160,ARKANSAS,CRAWFORD,"4,972","4,078","29,120",,,,,,
04170,ARKANSAS,CRITTENDEN,0,0,463,,,,,,
04180,ARKANSAS,CROSS,"2,869","2,869","6,717",,,,,,
04190,ARKANSAS,DALLAS,0,0,0,,,,,,
04200,ARKANSAS,DESHA,"18,850","17,747","21,954",,,,,,
04210,ARKANSAS,DREW,0,0,237,,,,,,
04220,ARKANSAS,FAULKNER,"232,747","222,955","269,463",,,,,,
04230,ARKANSAS,FRANKLIN,"109,531","108,922","23,198",,,,,,
04240,ARKANSAS,FULTON,0,0,"1,309",,,,,,
04250,ARKANSAS,GARLAND,"29,255","28,462","57,547",,,,,,
04260,ARKANSAS,GRANT,0,0,"18,963",,,,,,
04270,ARKANSAS,GREENE,"36,704","35,066","32,234",,,,,,
04280,ARKANSAS,HEMPSTEAD,"7,762","6,845","4,051",,,,,,
04290,ARKANSAS,HOT SPRING,"4,576","4,576","13,593",,,,,,
04300,ARKANSAS,HOWARD,0,0,0,,,,,,
04310,ARKANSAS,INDEPENDENCE,0,0,"4,453",,,,,,
04320,ARKANSAS,IZARD,0,0,"2,608",,,,,,
04330,ARKANSAS,JACKSON,0,0,"5,438",,,,,,
04340,ARKANSAS,JEFFERSON,"85,770","76,074","77,405",,,,,,
04350,ARKANSAS,JOHNSON,"78,491","74,336","29,368",,,,,,
04360,ARKANSAS,LAFAYETTE,"21,220","16,732","13,124",,,,,,
04370,ARKANSAS,LAWRENCE,0,0,"10,158",,,,,,
04380,ARKANSAS,LEE,0,0,0,,,,,,
04390,ARKANSAS,LINCOLN,0,0,0,,,,,,
04400,ARKANSAS,LITTLE RIVER,"10,859","8,324","15,492",,,,,,
04410,ARKANSAS,LOGAN,"2,270","2,212","13,696",,,,,,
04420,ARKANSAS,LONOKE,"158,417","152,084","92,607",,,,,,
04430,ARKANSAS,MADISON,"17,603","16,503","6,856",,,,,,
04440,ARKANSAS,MARION,"11,252","8,109","21,550",,,,,,
04450,ARKANSAS,MILLER,"106,439","103,135","13,345",,,,,,
04460,ARKANSAS,MISSISSIPPI,0,0,"4,960",,,,,,
04470,ARKANSAS,MONROE,0,0,0,,,,,,
04480,ARKANSAS,MONTGOMERY,"103,465","97,859","19,480",,,,,,
04490,ARKANSAS,NEVADA,"38,157","37,135","7,098",,,,,,
04500,ARKANSAS,NEWTON,0,0,0,,,,,,
04510,ARKANSAS,OUACHITA,"6,997","6,107","12,518",,,,,,
04520,ARKANSAS,PERRY,"9,086","9,086","30,403",,,,,,
04530,ARKANSAS,PHILLIPS,0,0,543,,,,,,
04540,ARKANSAS,PIKE,0,0,"1,717",,,,,,
04550,ARKANSAS,POINSETT,"9,728","9,247","7,378",,,,,,
04560,ARKANSAS,POLK,0,0,"1,481",,,,,,
04570,ARKANSAS,POPE,"69,767","68,906","65,024",,,,,,
04580,ARKANSAS,PRAIRIE,0,0,"3,138",,,,,,
04590,ARKANSAS,PULASKI,"1,430,379","1,349,968","1,159,712",,,,,,
04600,ARKANSAS,RANDOLPH,"4,536","4,282","10,849",,,,,,
04610,ARKANSAS,ST. FRANCIS,0,0,0,,,,,,
04620,ARKANSAS,SALINE,"215,122","205,530","259,220",,,,,,
04630,ARKANSAS,SCOTT,"7,844","7,844","6,905",,,,,,
04640,ARKANSAS,SEARCY,0,0,0,,,,,,
04650,ARKANSAS,SEBASTIAN,"290,390","274,019","194,110",,,,,,
04660,ARKANSAS,SEVIER,0,0,0,,,,,,
04670,ARKANSAS,SHARP,0,0,"5,083",,,,,,
04680,ARKANSAS,STONE,"2,515","2,515","21,784",,,,,,
04690,ARKANSAS,UNION,0,0,"9,042",,,,,,
04700,ARKANSAS,VAN BUREN,"10,557","10,557","18,882",,,,,,
