"AGED -- PUERTO RICO 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PART A AND/OR PART B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
STATE,CODE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
40340,PUERTO RICO              ,HUMACAO,"2,445","2,574,612",87.75,"2,386,863",81.35,"36,917","126,215","24,616","1,018","2,091,162",171.10,0.898,,,,,,
40350,PUERTO RICO              ,ISABELA,"1,797","1,481,623",68.70,"1,307,333",60.61,"42,414","102,324","29,551",501,"1,141,900",189.87,0.911,,,,,,
40360,PUERTO RICO              ,JAYUYA,647,"730,614",94.07,"633,791",81.60,"20,078","22,830","53,914",99,"162,235",135.30,0.835,,,,,,
40370,PUERTO RICO              ,JUANA DIAZ,"1,470","1,394,569",79.03,"1,204,355",68.25,"38,071","75,041","77,101",385,"868,325",187.87,0.914,,,,,,
40380,PUERTO RICO              ,JUNCOS,"1,392","1,360,920",81.46,"1,245,268",74.54,"25,177","73,700","16,775",452,"892,800",164.30,0.973,,,,,,
40390,PUERTO RICO              ,LAJAS,"1,079","1,295,668",99.98,"1,182,293",91.23,"35,830","32,703","44,841",381,"1,093,447",238.80,0.917,,,,,,
40400,PUERTO RICO              ,LARES,"1,649","1,848,046",93.34,"1,721,194",86.93,"17,522","81,355","27,973",375,"587,275",130.33,0.921,,,,,,
40410,PUERTO RICO              ,LAS MARIAS,381,"227,736",49.78,"200,337",43.79,"9,480","7,167","10,751",45,"70,974",129.51,0.849,,,,,,
40420,PUERTO RICO              ,LAS PIEDRAS,"1,485","1,297,390",72.80,"1,195,432",67.08,"12,594","77,624","11,738",610,"1,538,762",210.04,0.959,,,,,,
40430,PUERTO RICO              ,LOIZA,"2,110","1,817,558",71.76,"1,547,364",61.09,"80,965","64,176","125,052",619,"1,162,220",156.30,0.885,,,,,,
40440,PUERTO RICO              ,LUQUILLO,203,"124,114",50.83,"116,049",47.52,"3,412","2,676","1,976",39,"133,722",279.78,0.994,,,,,,
40450,PUERTO RICO              ,MANATI,"2,038","2,046,584",83.65,"1,909,501",78.05,"35,494","90,223","11,366",631,"1,618,030",213.43,0.953,,,,,,
40460,PUERTO RICO              ,MARICAO,170,"149,480",72.92,"140,013",68.30,"2,562","1,707","5,197",26,"25,243",80.38,0.901,,,,,,
40470,PUERTO RICO              ,MAUNABO,455,"265,435",48.55,"230,035",42.08,"5,750","23,394","6,255",133,"315,322",196.46,1.048,,,,,,
40480,PUERTO RICO              ,MAYAGUEZ,"5,059","5,210,772",85.83,"4,834,772",79.64,"122,408","79,596","173,994","1,795","4,384,519",203.46,0.944,,,,,,
40490,PUERTO RICO              ,MOCA,"1,251","1,022,907",68.13,"931,357",62.03,"28,896","43,204","19,449",321,"826,365",213.98,0.936,,,,,,
40500,PUERTO RICO              ,MOROVIS,896,"719,776",66.89,"666,162",61.91,"14,729","33,742","5,141",165,"380,239",191.26,0.994,,,,,,
40510,PUERTO RICO              ,NAGUABO,969,"770,097",66.17,"674,498",57.95,"27,144","58,455","9,999",307,"600,026",162.65,0.896,,,,,,
40520,PUERTO RICO              ,NARANJITO,983,"780,323",66.13,"695,919",58.98,"21,114","34,389","28,900",250,"544,179",180.97,1.038,,,,,,
40530,PUERTO RICO              ,OROCOVIS,828,"756,303",76.05,"708,398",71.23,"8,107","31,670","8,126",184,"454,408",205.15,0.966,,,,,,
40540,PUERTO RICO              ,PATILLAS,751,"794,855",88.15,"721,007",79.96,"16,322","42,043","15,481",158,"310,815",163.59,0.899,,,,,,
40550,PUERTO RICO              ,PENUELAS,758,"768,238",84.36,"633,693",69.58,"32,292","39,821","62,431",236,"546,255",192.75,0.919,,,,,,
40560,PUERTO RICO              ,PONCE,"8,354","8,809,634",87.87,"7,475,319",74.56,"329,475","396,150","608,688","3,043","7,139,203",195.50,0.942,,,,,,
40570,PUERTO RICO              ,QUEBRADILLAS,"1,067","1,527,818",119.26,"1,377,493",107.52,"45,220","82,894","22,209",297,"558,214",156.49,0.947,,,,,,
40580,PUERTO RICO              ,RINCON,726,"850,513",97.60,"783,003",89.86,"25,776","16,406","25,326",233,"490,102",175.10,0.910,,,,,,
40590,PUERTO RICO              ,RIO GRANDE,893,"812,114",75.78,"732,134",68.32,"22,438","25,113","32,428",276,"545,649",164.60,0.940,,,,,,
40610,PUERTO RICO              ,SABANA GRANDE,"1,105","1,039,555",78.34,"940,984",70.91,"25,300","27,670","45,598",359,"780,873",181.14,0.999,,,,,,
40620,PUERTO RICO              ,SALINAS,"1,605","1,408,500",73.10,"1,232,348",63.95,"32,054","97,496","46,600",436,"900,527",171.89,0.909,,,,,,
40630,PUERTO RICO              ,SAN GERMAN,"1,655","1,766,912",88.92,"1,561,525",78.58,"69,336","66,418","69,631",597,"1,410,674",196.89,0.915,,,,,,
40640,PUERTO RICO              ,SAN JUAN,"28,142","27,541,749",81.56,"25,511,149",75.54,"591,101","958,067","481,431","15,214","41,166,052",225.47,1.001,,,,,,
40650,PUERTO RICO              ,SAN LORENZO,"1,242","744,614",49.92,"710,666",47.65,"5,520","23,799","4,627",359,"709,775",164.41,0.983,,,,,,
40660,PUERTO RICO              ,SAN SEBASTIAN,"1,893","1,408,997",62.01,"1,289,102",56.73,"30,307","58,710","30,878",516,"1,206,152",194.60,0.956,,,,,,
40670,PUERTO RICO              ,SANTA ISABEL,759,"679,551",74.56,"586,143",64.31,"19,919","32,368","41,119",186,"365,618",163.74,0.960,,,,,,
40680,PUERTO RICO              ,TOA ALTA,"1,425","1,371,486",80.16,"1,289,511",75.37,"11,951","59,097","10,925",509,"1,338,504",218.74,0.917,,,,,,
40690,PUERTO RICO              ,TOA BAJA,"1,041","617,184",49.41,"565,951",45.31,"16,106","25,354","9,771",361,"746,915",172.18,0.918,,,,,,
40700,PUERTO RICO              ,TRUJILLO ALTO,"1,978","1,328,731",55.97,"1,220,053",51.39,"28,182","43,413","37,082",978,"2,324,440",198.01,0.970,,,,,,
40710,PUERTO RICO              ,UTUADO,"1,188","849,718",59.57,"782,571",54.86,"10,438","42,705","14,003",181,"258,604",118.52,0.906,,,,,,
40720,PUERTO RICO              ,VEGA ALTA,"1,120","935,758",69.61,"891,273",66.30,"11,627","25,583","7,273",372,"911,028",203.95,0.994,,,,,,
40730,PUERTO RICO              ,VEGA BAJA,"1,921","2,305,724",99.99,"2,166,888",93.97,"39,389","84,598","14,847",660,"1,606,956",202.77,0.961,,,,,,
40740,PUERTO RICO              ,VIEQUES,"1,142","1,013,899",73.94,"917,415",66.91,"29,178","30,426","36,878",449,"1,002,919",185.97,0.816,,,,,,
40750,PUERTO RICO              ,VILLALBA,"1,060","1,056,521",83.05,"919,489",72.28,"33,934","54,464","48,633",199,"467,200",195.15,1.021,,,,,,
