SSA Code,State,County,Provider Number,CBSA 2015,IPPS Provider  2009,IPPS Provider  2010 A,IPPS Provider  2010 B,IPPS Provider  2011,IPPS Provider  2012,IPPS Provider  2013,IPPS Provider  2015
01410,AL,LIMESTONE,010079,26620,0.8953,0.8924,0.8924,0.9033,0.884,0.8457,0.8528
01440,AL,MADISON,010039,26620,0.8953,0.8924,0.8924,0.9033,0.884,0.8457,0.8528
01440,AL,MADISON,010131,26620,0.8953,0.8924,0.8924,0.9033,0.884,0.8457,0.8528
01450,AL,MARENGO,010112,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01460,AL,MARION,010044,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.8301,0.8128
01460,AL,MARION,010086,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01470,AL,MARSHALL,010005,NA,0.8632,0.8558,0.8558,0.862,0.8404,0.8301,0.8212
01480,AL,MOBILE,010144,33660,0.7828,0.7735,0.7735,0.7889,0.8008,0.7506,0.757
01480,AL,MOBILE,010152,33660,0.7828,0.7735,0.7735,0.7889,0.8008,0.7506,0.757
01480,AL,MOBILE,010090,33660,0.8,0.8156,0.8156,0.7889,0.8008,0.7506,0.757
01480,AL,MOBILE,010113,33660,0.7828,0.7735,0.7735,0.7889,0.8008,0.7506,0.757
01480,AL,MOBILE,010087,33660,0.7828,0.7735,0.7735,0.7889,0.8008,0.7506,0.757
01490,AL,MONROE,010120,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01500,AL,MONTGOMERY,010023,33860,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7597
01500,AL,MONTGOMERY,010024,33860,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7597
01500,AL,MONTGOMERY,010149,33860,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7597
01510,AL,MORGAN,010085,19460,0.8679,0.8558,0.8558,0.862,0.847,0.7071,0.7112
01510,AL,MORGAN,010054,19460,0.8679,0.8558,0.8558,0.862,0.847,0.7071,0.7112
01530,AL,PICKENS,010109,46220,0.8023,0.7794,0.7794,0.7841,0.7286,0.7662,0.8554
01540,AL,PIKE,010126,NA,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.6874
01550,AL,RANDOLPH,010032,NA,0.7943,0.7714,0.7714,0.7745,0.7595,0.738,0.7238
01560,AL,RUSSELL,010168,17980,0.9028,0.8781,0.8781,0.9073,0.9013,0.8873,0.8286
01570,AL,ST. CLAIR,010130,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01580,AL,SHELBY,010016,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01590,AL,SUMTER,010138,NA,0.7684,0.7455,0.7455,0.7525,0.7375,0.716,0.704
01600,AL,TALLADEGA,010164,NA,0.8632,0.8512,0.8512,0.8409,0.7474,0.7259,0.7174
01600,AL,TALLADEGA,010101,NA,0.8632,0.8512,0.8512,0.8409,0.8404,0.8301,0.8128
01610,AL,TALLAPOOSA,010065,NA,0.8632,0.8512,0.8512,0.8409,0.8404,0.8301,0.8128
01610,AL,TALLAPOOSA,010052,NA,0.8302,0.8459,0.8459,0.8579,0.7531,0.7196,0.6999
01620,AL,TUSCALOOSA,010092,46220,0.8731,0.8942,0.8942,0.9061,0.8887,0.8753,0.8574
01630,AL,WALKER,010089,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01650,AL,WILCOX,010102,NA,0.8302,0.8459,0.8459,0.8579,0.7286,0.7071,0.6874
01660,AL,WINSTON,010125,NA,0.8094,0.7865,0.7865,0.7861,0.7711,0.7496,0.7317
02020,AK,ANCHORAGE,020001,11260,1.1852,1.192,1.192,1.2573,1.2798,1.2727,1.3065
02020,AK,ANCHORAGE,020026,11260,1.9249,1.9311,1.9311,1.9343,1.9343,1.9343,1.9343
02020,AK,ANCHORAGE,020017,11260,1.1852,1.192,1.192,1.2573,1.2798,1.2727,1.3065
02050,AK,BETHEL,020018,NA,1.9249,1.9311,1.9311,1.9343,1.9343,1.9343,1.9343
02090,AK,FAIRBANKS NORTH STAR,020012,21820,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3065
02110,AK,JUNEAU,020008,NA,1.2554,1.192,1.2747,1.2573,1.2798,1.2727,1.3065
02170,AK,MATANUSKA-SUSITNA,020006,11260,1.1852,1.192,1.192,1.2573,1.2798,1.2727,1.3065
02220,AK,SITKA BOROUGH,020027,NA,1.9249,1.9311,1.9311,1.9343,1.9343,1.9343,1.9343
03000,AZ,APACHE,030071,NA,1.4402,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448
03000,AZ,APACHE,030084,NA,1.4402,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448
03010,AZ,COCHISE,030043,43420,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03020,AZ,COCONINO,030073,22380,1.4402,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448
03020,AZ,COCONINO,030023,22380,1.1609,1.245,1.245,1.2394,1.238,1.1974,1.1996
03030,AZ,GILA,030033,NA,1.1263,1.1887,1.1887,1.2088,1.2024,1.152,1.0278
03030,AZ,GILA,030077,NA,1.4402,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448
03040,AZ,GRAHAM,030068,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03060,AZ,MARICOPA,030112,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030022,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030065,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030131,38060,,,,,,1.0569,1.0278
03060,AZ,MARICOPA,030024,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0962
03060,AZ,MARICOPA,030030,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030014,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030103,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030126,38060,,,,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030105,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030121,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030038,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030108,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030107,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030123,38060,,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030061,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030119,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0962
03060,AZ,MARICOPA,030037,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030122,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030083,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030120,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030092,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030036,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0962
03060,AZ,MARICOPA,030110,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030001,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030094,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030093,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030087,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030089,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030002,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030115,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03060,AZ,MARICOPA,030078,38060,1.4402,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448
03060,AZ,MARICOPA,030088,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03070,AZ,MOHAVE,030069,29420,1.1275,1.1147,1.1147,1.141,1.1248,1.1167,1.1312
03070,AZ,MOHAVE,030117,29420,0.9801,1.059,1.059,1.0236,0.9965,1.0569,0.9179
03070,AZ,MOHAVE,030055,29420,0.9988,1.059,1.059,1.0236,1.1544,1.1485,1.1237
03070,AZ,MOHAVE,030101,29420,1.1342,1.1523,1.1523,1.1751,1.1544,1.1485,1.1237
03080,AZ,NAVAJO,030113,NA,1.4402,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448
03080,AZ,NAVAJO,030062,NA,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9179
03090,AZ,PIMA,030011,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03090,AZ,PIMA,030114,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03090,AZ,PIMA,030010,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03090,AZ,PIMA,030064,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03090,AZ,PIMA,030111,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03090,AZ,PIMA,030006,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03090,AZ,PIMA,030085,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,1.0278
03090,AZ,PIMA,030074,46060,1.4402,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448
03090,AZ,PIMA,030100,46060,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9179
03100,AZ,PINAL,030130,38060,,,,,,1.0569,1.0278
03100,AZ,PINAL,030016,38060,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0278
03120,AZ,YAVAPAI,030007,39140,1.1263,1.1887,1.1887,1.2257,1.2316,1.1804,1.0962
03120,AZ,YAVAPAI,030012,39140,1.016,1.0169,1.0169,1.2257,1.2316,1.1804,1.0962
03120,AZ,YAVAPAI,030118,39140,1.016,1.0169,1.0169,1.2257,1.2316,1.1804,1.0962
03130,AZ,YUMA,030013,49740,0.9866,0.9284,0.9284,0.9408,0.9477,1.0569,1.0012
04000,AR,ARKANSAS,040072,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04020,AR,BAXTER,040027,NA,0.8523,0.8586,0.8586,0.8485,0.8543,0.8503,0.839
04030,AR,BENTON,040001,22220,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8808
04030,AR,BENTON,040010,22220,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8808
04040,AR,BOONE,040017,NA,0.8918,0.8164,0.8164,0.8458,0.895,0.9028,0.839
04130,AR,COLUMBIA,040067,NA,0.7652,0.7566,0.7566,0.7525,0.7497,0.7547,0.7427
04150,AR,CRAIGHEAD,040118,27860,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7815
04150,AR,CRAIGHEAD,040020,27860,0.8876,0.8936,0.8936,0.892,0.8788,0.8592,0.8607
