"ESRD -- 2013 PEURTO RICO ENROLLMENT, REIMBURSEMENT, 
PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE 
BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
40430,PUERTO RICO,LOIZA,60,"494,183",686.37,"452,999",629.17,"17,349","13,950","9,885",49,"1,414,998",2406.46
40440,PUERTO RICO,LUQUILLO,2,0,0,0,0,0,0,0,1,"7,035",586.25
40450,PUERTO RICO,MANATI,35,"422,356",1005.61,"404,943",964.15,"2,738","14,456",219,26,"1,006,913",3227.29
40460,PUERTO RICO,MARICAO,2,"120,489",5020.38,"109,383","4,557.63","3,720","2,796","4,590",2,"71,418",2975.75
40470,PUERTO RICO,MAUNABO,10,"54,598",454.98,"48,490",404.08,"1,619","2,584","1,905",10,"230,032",1916.93
40480,PUERTO RICO,MAYAGUEZ,91,"793,706",726.84,"728,304",666.95,"27,141","8,019","30,242",77,"2,593,728",2807.06
40490,PUERTO RICO,MOCA,33,"250,766",633.25,"232,847",588,"3,022","13,095","1,802",29,"982,035",2821.94
40500,PUERTO RICO,MOROVIS,15,"326,089",1811.61,"310,524","1,725.13","4,298","10,274",993,12,"409,086",2840.88
40510,PUERTO RICO,MAGUABO,17,"291,387",1428.37,"281,762","1,381.19","3,577","4,984","1,064",13,"434,209",2783.39
40520,PUERTO RICO,NARANJITO,25,"269,831",899.44,"256,152",853.84,"7,923","2,022","3,734",18,"684,886",3170.77
40530,PUERTO RICO,OROCOVIS,12,"154,271",1071.33,"147,219","1,022.35","1,753","4,239","1,060",10,"365,852",3048.77
40540,PUERTO RICO,PATILLAS,14,"80,766",480.75,"76,963",458.11,330,"2,964",509,11,"274,237",2077.55
40550,PUERTO RICO,PENUELAS,17,"215,857",1058.12,"188,791",925.45,"8,563","8,613","9,890",15,"451,409",2507.83
40560,PUERTO RICO,PONCE,183,"3,076,703",1401.05,"2,584,282","1,176.81","145,458","142,805","204,158",158,"5,061,370",2669.5
40570,PUERTO RICO,QUEBRADILLAS,16,"210,319",1095.41,"201,476","1,049.35",0,"8,843",0,12,"398,266",2765.74
40580,PUERTO RICO,RINCON,12,"172,772",1199.81,"159,527","1,107.83","5,924",672,"6,649",10,"359,219",2993.49
40590,PUERTO RICO,RIO GRANDE,11,"15,247",115.51,"14,698",111.35,0,549,0,7,"244,242",2907.64
40610,PUERTO RICO,SABANA GRANDE,29,"291,242",836.9,"260,204",747.71,"9,541","8,721","12,776",25,"831,418",2771.39
