DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,
01660,ALABAMA                  ,WINSTON,"-35,266","-32,138","-29,814","-25,079","-13,802"
02010,ALASKA                   ,ALEUTIANS ISLANDS,253,607,79,152,376
02020,ALASKA                   ,ANCHORAGE,"189,685","160,547","81,172","56,019","30,798"
02040,ALASKA                   ,BARROW DIVISION,"1,825",306,246,18,-208
02050,ALASKA                   ,BETHEL,301,403,615,59,-488
02060,ALASKA                   ,BRISTOL BAY,"4,665","3,478","1,939","1,104",703
02070,ALASKA                   ,DILLINGHAM,87,865,494,322,478
02080,ALASKA                   ,CORDOVA-MC CARTHY,12,687,87,102,36
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"58,203","58,663","26,468","19,002","6,885"
02100,ALASKA                   ,HAINES,814,"1,157",290,127,-15
02110,ALASKA                   ,JUNEAU,"12,175","11,960","10,101","7,220","4,509"
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"53,338","62,500","23,978","16,842","9,747"
02130,ALASKA                   ,KETCHIKAN GATEWAY,"2,465","1,741","2,529","1,043",663
02140,ALASKA                   ,KOBUK,79,129,292,117,-83
02150,ALASKA                   ,KODIAK ISLAND,"1,306","1,056","1,222",702,145
02160,ALASKA                   ,KUSKOKWIN DIVISION,114,503,357,69,115
02170,ALASKA                   ,MATANUSKA-SUSITNA,"62,256","56,832","28,483","21,160","10,401"
02180,ALASKA                   ,NOME,44,340,"1,388",107,426
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,21,203,68,31,15
02200,ALASKA                   ,PRINCE OF WALES DIVISION,295,276,283,132,66
02210,ALASKA                   ,SEWARD,751,558,566,307,306
02220,ALASKA                   ,SITKA,231,400,282,637,306
02230,ALASKA                   ,SKAGWAY,563,670,381,105,191
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"3,071","2,326",350,852,326
02250,ALASKA                   ,UPPER YUKON DIVISION,469,"2,237",374,294,126
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"5,354","4,153","1,368",514,97
02270,ALASKA                   ,WADE HAMPTON,71,843,89,111,73
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"1,105",487,699,537,494
02290,ALASKA                   ,YUKON-KOYUKUK,"5,038","1,404","1,162",375,293
03000,ARIZONA                  ,APACHE,"3,059","2,268",-650,"-3,484","-17,505"
