HHA Wage Indices by Fiscal Year,,,,,,,,,,,
SSACD,State,County,CBSA Code,Wage 2009,Wage 2010,Wage 2011,Wage 2012,Wage 2013,Wage 2014,Wage 2015,
02270,AK,WADE HAMPTON,02,1.1898,1.1669,1.2626,1.2846,1.2836,1.372,1.3175,
02275,AK,WRANGELL CITY AND BOROUGH,02,1.1898,1.1669,1.2626,1.2846,1.2836,1.372,1.3175,
02282,AK,YAKUTAT BOROUGH,02,1.1898,1.1669,1.2626,1.2846,1.2836,1.372,1.3175,
02290,AK,YUKON-KOYUKUK,02,1.1898,1.1669,1.2626,1.2846,1.2836,1.372,1.3175,
03000,AZ,APACHE,03,0.8453,0.879,0.9095,0.8826,0.9203,0.9205,0.9172,
03030,AZ,GILA,03,0.8453,0.879,0.9095,0.8826,0.9203,0.9205,0.9172,
03040,AZ,GRAHAM,03,0.8453,0.879,0.9095,0.8826,0.9203,0.9205,0.9172,
03050,AZ,GREENLEE,03,0.8453,0.879,0.9095,0.8826,0.9203,0.9205,0.9172,
03055,AZ,LAPAZ,03,0.8453,0.879,0.9095,0.8826,0.9203,0.9205,0.9172,
03080,AZ,NAVAJO,03,0.8453,0.879,0.9095,0.8826,0.9203,0.9205,0.9172,
03110,AZ,SANTA CRUZ,03,0.8453,0.879,0.9095,0.8826,0.9203,0.9205,0.9172,
04000,AR,ARKANSAS,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04010,AR,ASHLEY,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04020,AR,BAXTER,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04040,AR,BOONE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04050,AR,BRADLEY,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04060,AR,CALHOUN,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04070,AR,CARROLL,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04080,AR,CHICOT,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04090,AR,CLARK,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04100,AR,CLAY,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04110,AR,CLEBURNE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04130,AR,COLUMBIA,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04140,AR,CONWAY,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04180,AR,CROSS,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04190,AR,DALLAS,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04200,AR,DESHA,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04210,AR,DREW,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04230,AR,FRANKLIN,04,0.7697,0.7861,0.7599,0.762,0.7865,0.7588,0.7452,
04240,AR,FULTON,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04270,AR,GREENE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04280,AR,HEMPSTEAD,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04290,AR,HOT SPRING,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04300,AR,HOWARD,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04310,AR,INDEPENDENCE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04320,AR,IZARD,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04330,AR,JACKSON,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04350,AR,JOHNSON,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04360,AR,LAFAYETTE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04370,AR,LAWRENCE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04380,AR,LEE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04410,AR,LOGAN,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04440,AR,MARION,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04460,AR,MISSISSIPPI,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04470,AR,MONROE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04480,AR,MONTGOMERY,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04490,AR,NEVADA,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04500,AR,NEWTON,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04510,AR,OUACHITA,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
