"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
16820,IOWA                     ,SHELBY,"-116,647","-123,652","-122,142","-108,656","-121,190","-12,833",,,,,,
16830,IOWA                     ,SIOUX,"-46,524","-67,917","-88,862","-100,894","-119,922","-5,021",,,,,,
16840,IOWA                     ,STORY,"-62,800","-133,632","-111,842","-132,951","-138,641","-15,479",,,,,,
16850,IOWA                     ,TAMA,"-26,276","-36,357","-115,541","-162,958","-130,894","-12,671",,,,,,
16860,IOWA                     ,TAYLOR,"-24,994","-35,003","-69,334","-36,072","-35,410","-5,172",,,,,,
16870,IOWA                     ,UNION,"19,076","-13,468","-42,160","-46,218","-64,281",-973,,,,,,
16880,IOWA                     ,VAN BUREN,"-66,923","-39,036","-64,526","-76,416","-62,267","-15,025",,,,,,
16890,IOWA                     ,WAPELLO,"-75,800","-101,144","-169,384","-223,229","-206,574","-21,891",,,,,,
16900,IOWA                     ,WARREN,"99,912","-35,265","-84,017","-112,048","-65,603","-37,581",,,,,,
16910,IOWA                     ,WASHINGTON,"7,545","-2,077","-52,654","-98,423","-121,376","-5,764",,,,,,
16920,IOWA                     ,WAYNE,"-34,648","-33,371","-32,588","-64,898","-50,541","-9,173",,,,,,
16930,IOWA                     ,WEBSTER,"-36,866","-61,500","-107,263","-77,278","-54,756","-7,132",,,,,,
16940,IOWA                     ,WINNEBAGO,"-13,292","-25,245",-401,"-4,276","-4,495","-40,036",,,,,,
16950,IOWA                     ,WINNESHIEK,"-24,554",-38,"-19,617","-63,057","-43,962","-34,153",,,,,,
16960,IOWA                     ,WOODBURY,"-136,011","-44,090","-77,019","-222,595","-151,491","-30,547",,,,,,
16970,IOWA                     ,WORTH,"-3,150","-4,614","6,752","-14,431","-9,186","-37,655",,,,,,
16980,IOWA                     ,WRIGHT,"-9,715","-18,961","-22,253","-17,220","-34,701","-232,766",,,,,,
17000,KANSAS                   ,ALLEN,"-13,618","-20,550","-56,752","-11,018","-19,159","-28,844",,,,,,
17010,KANSAS                   ,ANDERSON,"-4,078","-1,389","-11,537","-25,105","-34,814","-41,782",,,,,,
17020,KANSAS                   ,ATCHISON,"-33,428","-18,932","-64,248","-64,303","-66,554","-2,844",,,,,,
17030,KANSAS                   ,BARBER,"-10,195","-14,262","-18,637","-23,710","-16,850","-88,517",,,,,,
17040,KANSAS                   ,BARTON,"-34,573","-40,441","-78,433","-88,686","-66,026","-240,544",,,,,,
17050,KANSAS                   ,BOURBON,"-145,642","-108,006","-86,616","-71,829","-47,448","-23,508",,,,,,
17060,KANSAS                   ,BROWN,"-16,043","-36,765","-69,235","-65,490","-58,386","-5,451",,,,,,
17070,KANSAS                   ,BUTLER,"-61,164","-128,813","-168,105","-398,264","-254,720","-10,428",,,,,,
17080,KANSAS                   ,CHASE,"-5,448","-5,879","-25,234","-12,486","-16,144","-14,891",,,,,,
17090,KANSAS                   ,CHAUTAUQUA,"-21,534","-32,159","-36,423","-25,234","-27,535","-20,307",,,,,,
17100,KANSAS                   ,CHEROKEE,"-531,649","-473,743","-368,921","-279,835","-205,223","-30,944",,,,,,
17110,KANSAS                   ,CHEYENNE,"-6,277","9,659","3,069","5,059","-1,114","-32,037",,,,,,
17120,KANSAS                   ,CLARK,760,"-9,167","-2,865","-7,288","-11,302","-17,655",,,,,,
17130,KANSAS                   ,CLAY,"15,214","-20,516","-54,379","-21,475","-53,680","-4,974",,,,,,
17140,KANSAS                   ,CLOUD,"-13,425","-20,881","-12,844","-31,748","-26,044","-11,489",,,,,,
17150,KANSAS                   ,COFFEY,"-39,737","-20,620","-56,440","-55,364","-38,819","-8,193",,,,,,
17160,KANSAS                   ,COMANCHE,"-3,920",-52,"-7,243","-11,203","-6,218","-9,381",,,,,,
17170,KANSAS                   ,COWLEY,"-75,345","-85,432","-122,382","-191,856","-202,633","-84,663",,,,,,
17180,KANSAS                   ,CRAWFORD,"-876,912","-863,637","-232,771","-198,169","-144,915","-6,772",,,,,,
17190,KANSAS                   ,DECATUR,"-9,623","-11,967","-23,454","-3,698","-8,543","-2,716",,,,,,
17200,KANSAS                   ,DICKINSON,"-9,154","-14,603","-35,854","-32,336","-38,310","-16,122",,,,,,
17210,KANSAS                   ,DONIPHAN,"-11,005","-23,590","-37,141","-8,563","-11,709",-601,,,,,,
17220,KANSAS                   ,DOUGLAS,"-95,574","-117,535","-154,972","-163,312","-151,098","-17,378",,,,,,
17230,KANSAS                   ,EDWARDS,"-6,024","-13,243","-13,691","-14,047","-4,601","-5,232",,,,,,
17240,KANSAS                   ,ELK,"-5,108","-10,166","-15,558","-15,543","-17,415","-521,777",,,,,,
17250,KANSAS                   ,ELLIS,"-20,097","-43,874","-76,603","-51,809","-15,774","-74,751",,,,,,
17260,KANSAS                   ,ELLSWORTH,"-4,347","2,857","-15,022","-16,417","-22,736","-23,634",,,,,,
17270,KANSAS                   ,FINNEY,"-24,282","-41,645","-58,235","-70,969","-60,948","-4,741",,,,,,
17280,KANSAS                   ,FORD,"-22,766","-33,226","-38,157","-91,406","-53,215","-8,167",,,,,,
17290,KANSAS                   ,FRANKLIN,"61,357","120,363","89,458","19,721","-91,310","-184,816",,,,,,
17300,KANSAS                   ,GEARY,"-34,236","-28,582","-17,268","-56,639","-45,003","-15,314",,,,,,
17310,KANSAS                   ,GOVE,"3,497",-387,"-3,374","-8,875","-4,253","-27,070",,,,,,
17320,KANSAS                   ,GRAHAM,"-5,924","-5,622","-7,506",-497,"-2,375","-23,788",,,,,,
17330,KANSAS                   ,GRANT,"-5,517","-13,414","-9,717","-18,595","-10,395","-39,036",,,,,,
17340,KANSAS                   ,GRAY,"3,486","-18,335","-12,500","-6,830","-3,624","-8,870",,,,,,
17350,KANSAS                   ,GREELEY,"-1,673","-1,187","-3,426","-3,899",-407,"-14,120",,,,,,
17360,KANSAS                   ,GREENWOOD,"-17,038","-45,958","-80,947","-72,441","-47,906","-20,200",,,,,,
17370,KANSAS                   ,HAMILTON,"-5,102","-8,544","-20,253","-6,390",-492,"-68,970",,,,,,
17380,KANSAS                   ,HARPER,"-7,289","-29,887","-33,121","-50,559","-41,066","-59,872",,,,,,
17390,KANSAS                   ,HARVEY,"74,749","69,437","28,131","-155,343","-82,740","-89,702",,,,,,
17391,KANSAS                   ,HASKELL,-848,"-8,645","-1,974","-3,452","-8,791","-6,307",,,,,,
17410,KANSAS                   ,HODGEMAN,"-1,818","-2,537","-5,328",-827,"-4,805","-21,780",,,,,,
17420,KANSAS                   ,JACKSON,"-20,119","-61,827","-100,491","-126,060","-113,840","-2,210",,,,,,
17430,KANSAS                   ,JEFFERSON,"-63,944","-67,245","-143,515","-162,119","-112,266","-6,672",,,,,,
17440,KANSAS                   ,JEWELL,"-11,579","-9,264","-8,400","-11,259","-8,194","-154,556",,,,,,
17450,KANSAS                   ,JOHNSON,"1,956,264","1,834,709","1,495,655","1,487,131","548,147",-248,,,,,,
17451,KANSAS                   ,KEARNY,"-5,828","-7,414","-16,982","-18,273","-2,608","-4,659",,,,,,
17470,KANSAS                   ,KINGMAN,"-24,486","-16,316","-26,660","-51,884","-22,962",-766,,,,,,
17480,KANSAS                   ,KIOWA,"-7,062","-1,835","-3,642","-7,099","-7,403","-10,753",,,,,,
17490,KANSAS                   ,LABETTE,"-267,743","-200,203","-121,983","-129,792","-122,749","-10,433",,,,,,
17500,KANSAS                   ,LANE,"-3,516","-4,811","-3,756","-1,723",-235,"-13,303",,,,,,
17510,KANSAS                   ,LEAVENWORTH,"-181,673","-228,551","-194,686","-133,676","-100,346","-3,771",,,,,,
17520,KANSAS                   ,LINCOLN,"-4,359","-6,060","-7,764","-5,038","-1,875","-24,863",,,,,,
17530,KANSAS                   ,LINN,"27,132","39,864","28,293","23,303","1,777","-2,403",,,,,,
17540,KANSAS                   ,LOGAN,"1,641","1,386","1,572","-4,117","-7,738","-10,700",,,,,,
17550,KANSAS                   ,LYON,"-74,829","-179,597","-159,422","-217,735","-181,428","-104,284",,,,,,
17560,KANSAS                   ,MCPHERSON,"-51,056","-86,949","-132,423","-93,647","-67,125","-4,067",,,,,,
17570,KANSAS                   ,MARION,"-2,725","8,425","-7,388","-74,925","-66,616","-6,672",,,,,,
17580,KANSAS                   ,MARSHALL,"-7,980","-17,798","-53,803","-44,265","-40,527","-4,764",,,,,,
17590,KANSAS                   ,MEADE,"-4,735","-7,831","-28,475","-20,343","-16,332","-5,229",,,,,,
17600,KANSAS                   ,MIAMI,"65,528","81,497","92,870","80,165","30,668",-181,,,,,,
17610,KANSAS                   ,MITCHELL,"-10,245","-35,150","-16,313","-9,898","-5,560","-5,964",,,,,,
17620,KANSAS                   ,MONTGOMERY,"-319,665","-267,853","-214,259","-251,100","-186,147","-4,786",,,,,,
17630,KANSAS                   ,MORRIS,"-31,538","-35,111","-36,251","-40,742","-17,526","-10,074",,,,,,
17640,KANSAS                   ,MORTON,"-17,380","-7,011","-10,149","-7,534","-5,623","-6,067",,,,,,
17650,KANSAS                   ,NEMAHA,"-51,600","-49,377","-93,001","-119,087","-68,761","-55,078",,,,,,
17660,KANSAS                   ,NEOSHO,"-65,880","-72,808","-69,448","-70,258","-63,761",-161,,,,,,
17670,KANSAS                   ,NESS,"-1,890","-5,064","-7,418","-7,261","-11,553","-12,847",,,,,,
17680,KANSAS                   ,NORTON,"-26,980","-23,169","-23,256","-4,846","-12,286","-1,569",,,,,,
17690,KANSAS                   ,OSAGE,"-38,792","-82,801","-161,436","-206,858","-173,566","-8,895",,,,,,
17700,KANSAS                   ,OSBORNE,724,"-5,552","-9,670","-12,380","-15,776","-1,149",,,,,,
17710,KANSAS                   ,OTTAWA,"-2,867","-14,568","-3,270","-16,037","-8,354","-33,713",,,,,,
17720,KANSAS                   ,PAWNEE,"-3,313","-24,877","-3,343","-13,844","-10,346","-1,065",,,,,,
17730,KANSAS                   ,PHILLIPS,"-25,012","-26,479","-10,466","-5,327","-2,572","-8,822",,,,,,
17740,KANSAS                   ,POTTAWATOMIE,"-36,244","-65,688","-62,662","-73,375","-69,473","-5,216",,,,,,
17750,KANSAS                   ,PRATT,"-8,067","-23,258","-35,623","-25,118","-25,568","-2,130",,,,,,
17760,KANSAS                   ,RAWLINS,"3,259","8,523",-31,"6,332","-5,815","-10,133",,,,,,
17770,KANSAS                   ,RENO,"-55,753","-85,622","-102,847","-165,075","-156,967","-12,860",,,,,,
17780,KANSAS                   ,REPUBLIC,"-15,272","-14,663","-19,672","-9,451","-12,872","3,295",,,,,,
17790,KANSAS                   ,RICE,-93,"-22,214","-26,894","-22,708","-26,495","-6,160",,,,,,
17800,KANSAS                   ,RILEY,"105,150","-45,150","52,546","-9,367","-64,899","-2,602",,,,,,
17810,KANSAS                   ,ROOKS,"-4,482","-8,711","-14,371","-6,889","-11,974",-692,,,,,,
17820,KANSAS                   ,RUSH,"-1,444","-10,898","-12,997","-8,764","-7,250","-3,734",,,,,,
17830,KANSAS                   ,RUSSELL,"-5,322","-11,116","-6,016","-10,062","-19,461",-695,,,,,,
17840,KANSAS                   ,SALINE,"-65,068","-55,330","-63,948","-84,125","-61,205",-688,,,,,,
17841,KANSAS                   ,SCOTT,-849,"-8,486","-5,804","1,755","-5,340","-11,745",,,,,,
17860,KANSAS                   ,SEDGWICK,"72,943","-503,665","-1,033,484","-2,048,834","-1,879,101","-2,796",,,,,,
17870,KANSAS                   ,SEWARD,"-17,929","-27,751","-19,095","-28,392","-47,273","-16,613",,,,,,
17880,KANSAS                   ,SHAWNEE,"-254,237","-783,829","-1,497,647","-1,867,793","-1,374,459","-32,529",,,,,,
17890,KANSAS                   ,SHERIDAN,"1,909","-3,939","4,313","-1,858","-2,647",-883,,,,,,
17900,KANSAS                   ,SHERMAN,"1,464","5,650","4,982","3,718","-5,126",-815,,,,,,
17910,KANSAS                   ,SMITH,"-17,319","-19,177","-3,357","-9,105","-2,469","-18,550",,,,,,
17920,KANSAS                   ,STAFFORD,"-2,931","-17,267","-11,869","-20,351","-18,341","-22,794",,,,,,
17921,KANSAS                   ,STANTON,"-2,676","-3,026","-4,643","-4,847","-10,623",-389,,,,,,
17940,KANSAS                   ,STEVENS,"-4,194","-18,411","-8,825","-10,555","-12,889","-294,715",,,,,,
17950,KANSAS                   ,SUMNER,"-45,646","-70,933","-93,594","-158,802","-96,206","-4,146",,,,,,
17960,KANSAS                   ,THOMAS,"17,542","8,961","4,924","4,161","2,801","-14,215",,,,,,
17970,KANSAS                   ,TREGO,-168,"-7,112","-2,238","-14,382","-1,300","-1,992",,,,,,
17980,KANSAS                   ,WABAUNSEE,"-18,508","-26,541","-58,202","-78,670","-65,237","-10,800",,,,,,
17981,KANSAS                   ,WALLACE,"1,484","4,823","-5,852","-1,716","5,971","-2,253",,,,,,
17982,KANSAS                   ,WASHINGTON,"-19,173","-24,675","-37,821","-39,841","-28,377","-65,601",,,,,,
17983,KANSAS                   ,WICHITA,"-5,267","1,671","-1,717","-1,481","-1,109","-2,434",,,,,,
17984,KANSAS                   ,WILSON,"-35,632","-24,565","-38,826","-54,330","-31,779","-1,036",,,,,,
17985,KANSAS                   ,WOODSON,"-15,958","-12,990","-25,624","-31,949","-12,286","-3,401",,,,,,
17986,KANSAS                   ,WYANDOTTE,"-312,432","-397,658","-202,914","-188,717","-55,746","-19,547",,,,,,
18000,KENTUCKY                 ,ADAIR,"-698,002","-723,208","-610,584","-356,336","-153,877","-17,025",,,,,,
18010,KENTUCKY                 ,ALLEN,"-325,586","-276,662","-367,979","-283,945","-179,519","-10,209",,,,,,
18020,KENTUCKY                 ,ANDERSON,"-90,760","-126,127","-116,946","-116,094","-95,670","-6,309",,,,,,
18030,KENTUCKY                 ,BALLARD,"-28,815","-41,567","-12,511","4,912","16,712","-4,016",,,,,,
18040,KENTUCKY                 ,BARREN,"-980,098","-822,924","-995,159","-931,590","-587,497","13,320",,,,,,
18050,KENTUCKY                 ,BATH,"-115,931","-231,533","-219,993","-205,459","-96,874","-1,315",,,,,,
18060,KENTUCKY                 ,BELL,"-271,013","-363,378","-241,931","-213,145","-46,685","-32,188",,,,,,
18070,KENTUCKY                 ,BOONE,"-172,786","-381,249","-560,253","-637,358","-310,222","-6,218",,,,,,
18080,KENTUCKY                 ,BOURBON,"-94,492","-73,461","-112,958","-42,366","-20,781","-2,703",,,,,,
18090,KENTUCKY                 ,BOYD,"-1,640,775","-1,628,385","-1,549,298","-1,150,151","-766,982","-9,736",,,,,,
18100,KENTUCKY                 ,BOYLE,"-638,947","-718,862","-587,657","-548,966","-380,400","-14,773",,,,,,
18110,KENTUCKY                 ,BRACKEN,"-53,622","-76,040","-81,684","-59,515","-36,339","-1,543",,,,,,
18120,KENTUCKY                 ,BREATHITT,"-217,931","-239,326","-196,541","-145,027","-121,315","-1,550",,,,,,
18130,KENTUCKY                 ,BRECKINRIDGE,"-141,688","-130,223","-91,914","-205,038","-227,093","-28,179",,,,,,
18140,KENTUCKY                 ,BULLITT,"-298,397","-261,293","-497,675","-518,796","-322,969","-1,744",,,,,,
18150,KENTUCKY                 ,BUTLER,"-219,949","-209,249","-191,030","-181,676","-90,737","-2,060",,,,,,
18160,KENTUCKY                 ,CALDWELL,"-107,451","-95,487","-39,971","-53,143","-36,932","-4,698",,,,,,
18170,KENTUCKY                 ,CALLOWAY,"-190,409","-289,596","-328,634","-153,965","-31,326","-1,405",,,,,,
18180,KENTUCKY                 ,CAMPBELL,"-328,102","-405,741","-367,693","-118,432","-103,354","-17,211",,,,,,
18190,KENTUCKY                 ,CARLISLE,"-29,219","-41,052","-20,705","-2,625","2,109","-6,564",,,,,,
18191,KENTUCKY                 ,CARROLL,"-116,398","-91,424","-109,837","-154,962","-65,578","-4,675",,,,,,
18210,KENTUCKY                 ,CARTER,"-713,041","-585,960","-593,618","-487,309","-251,477","-38,844",,,,,,
18220,KENTUCKY                 ,CASEY,"-362,282","-404,173","-280,447","-269,732","-167,841","-3,697",,,,,,
18230,KENTUCKY                 ,CHRISTIAN,"-806,766","-761,445","-676,814","-735,988","-491,134","-8,929",,,,,,
18240,KENTUCKY                 ,CLARK,"-206,957","-272,441","-358,510","-288,139","-153,674","-26,751",,,,,,
18250,KENTUCKY                 ,CLAY,"-1,117,419","-1,231,696","-1,343,871","-1,240,208","-658,331","-1,903",,,,,,
18260,KENTUCKY                 ,CLINTON,"-477,840","-465,295","-390,924","-359,922","-268,033","-1,176",,,,,,
18270,KENTUCKY                 ,CRITTENDEN,"-104,910","-49,748","-62,802","-23,152","4,465","-9,326",,,,,,
18271,KENTUCKY                 ,CUMBERLAND,"-174,774","-187,199","-161,241","-147,182","-81,750","-11,767",,,,,,
18290,KENTUCKY                 ,DAVIESS,"-128,436","-191,955","-177,069","-200,764","-107,762","-2,169",,,,,,
18291,KENTUCKY                 ,EDMONSON,"-175,813","-136,793","-163,800","-176,200","-108,777","-1,055,478",,,,,,
18310,KENTUCKY                 ,ELLIOTT,"-278,171","-287,316","-309,031","-289,075","-151,355","-8,850",,,,,,
18320,KENTUCKY                 ,ESTILL,"-174,894","-193,889","-174,112","-206,109","-120,082","-337,341",,,,,,
18330,KENTUCKY                 ,FAYETTE,"-769,795","-1,666,290","-1,302,944","-1,237,296","-659,348","-1,392",,,,,,
18340,KENTUCKY                 ,FLEMING,"-259,913","-328,707","-317,031","-394,744","-172,093","-6,701",,,,,,
18350,KENTUCKY                 ,FLOYD,"-1,046,821","-1,029,555","-862,540","-830,420","-372,489",-889,,,,,,
18360,KENTUCKY                 ,FRANKLIN,"-628,989","-738,535","-762,823","-850,285","-557,539","-7,924",,,,,,
18361,KENTUCKY                 ,FULTON,"-185,350","-176,348","-138,164","-97,721","-51,279",-361,,,,,,
18362,KENTUCKY                 ,GALLATIN,"-21,808","-30,118","-66,582","-77,326","-28,239","-3,025",,,,,,
18390,KENTUCKY                 ,GARRARD,"-201,288","-243,252","-220,501","-221,569","-130,389","-50,092",,,,,,
18400,KENTUCKY                 ,GRANT,"-42,465","-83,424","-142,498","-109,161","-82,015","-4,088",,,,,,
18410,KENTUCKY                 ,GRAVES,"-614,839","-579,977","-466,464","-324,246","-167,004","-3,386",,,,,,
18420,KENTUCKY                 ,GRAYSON,"-335,782","-268,043","-334,395","-657,633","-380,515","-11,137",,,,,,
18421,KENTUCKY                 ,GREEN,"-111,363","-170,238","-153,913","-120,924","-133,767","-1,899",,,,,,
18440,KENTUCKY                 ,GREENUP,"-1,580,300","-1,417,511","-1,209,174","-877,005","-563,863","-4,309",,,,,,
18450,KENTUCKY                 ,HANCOCK,"-4,165","5,570","-7,994","-25,006","-6,160","-3,492",,,,,,
18460,KENTUCKY                 ,HARDIN,"-655,468","-303,345","-291,361","-749,720","-760,633","-7,865",,,,,,
18470,KENTUCKY                 ,HARLAN,"-1,159,955","-969,136","-1,056,949","-1,011,306","-703,820","-3,760",,,,,,
18480,KENTUCKY                 ,HARRISON,"-265,994","-216,074","-304,938","-268,842","-136,956","-196,536",,,,,,
18490,KENTUCKY                 ,HART,"-302,764","-321,532","-337,085","-312,326","-238,465","-2,059",,,,,,
18500,KENTUCKY                 ,HENDERSON,"-419,511","-382,634","-415,033","-211,101","-118,338","20,233",,,,,,
18510,KENTUCKY                 ,HENRY,"-117,273","-36,698","-200,142","-142,106","-102,546","-16,333",,,,,,
18511,KENTUCKY                 ,HICKMAN,"-70,469","-74,688","-43,616","-24,595","-31,494","-25,444",,,,,,
18530,KENTUCKY                 ,HOPKINS,"-106,287","-111,833","-89,810","-129,827","-25,822","12,397",,,,,,
18540,KENTUCKY                 ,JACKSON,"-223,783","-262,106","-283,215","-233,476","-214,740","-41,763",,,,,,
18550,KENTUCKY                 ,JEFFERSON,"-3,800,111","-4,476,669","-5,667,632","-6,082,373","-3,651,541","-5,961",,,,,,
18560,KENTUCKY                 ,JESSAMINE,"-117,068","-174,653","-159,356","-177,013","-123,414","-4,642",,,,,,
18570,KENTUCKY                 ,JOHNSON,"-584,923","-613,043","-548,963","-512,736","-219,949","-146,002",,,,,,
18580,KENTUCKY                 ,KENTON,"91,995","-172,464","-298,587","-221,334","-173,903","-21,724",,,,,,
18590,KENTUCKY                 ,KNOTT,"-370,133","-319,800","-307,628","-312,223","-166,224","-42,880",,,,,,
18600,KENTUCKY                 ,KNOX,"-477,316","-523,426","-465,813","-341,529","-225,050","-28,892",,,,,,
18610,KENTUCKY                 ,LARUE,"-108,140","-80,652","-46,341","-124,290","-117,827","-9,489",,,,,,
18620,KENTUCKY                 ,LAUREL,"-1,608,420","-1,670,536","-1,602,684","-1,184,989","-696,651","-29,579",,,,,,
18630,KENTUCKY                 ,LAWRENCE,"-353,774","-362,895","-302,505","-210,303","-111,889","-27,200",,,,,,
18640,KENTUCKY                 ,LEE,"-118,117","-107,413","-98,544","-71,168","-31,984","-71,268",,,,,,
18650,KENTUCKY                 ,LESLIE,"-313,965","-324,115","-314,693","-279,553","-175,785","-13,893",,,,,,
18660,KENTUCKY                 ,LETCHER,"-290,956","-252,969","-193,730","-132,913","-129,590","5,675",,,,,,
18670,KENTUCKY                 ,LEWIS,"-278,555","-340,224","-154,074","-145,298","-72,453","-33,817",,,,,,
18680,KENTUCKY                 ,LINCOLN,"-469,790","-474,776","-433,887","-465,802","-337,384","-81,411",,,,,,
18690,KENTUCKY                 ,LIVINGSTON,"-34,836","-44,166","-39,574","-17,439","9,200","10,288",,,,,,
18700,KENTUCKY                 ,LOGAN,"-534,165","-441,087","-484,236","-400,315","-251,814","-12,768",,,,,,
18710,KENTUCKY                 ,LYON,"-24,538","-25,851","-37,380","-9,495","-11,485","-17,020",,,,,,
18720,KENTUCKY                 ,MCCRACKEN,"-173,453","-101,474","-63,226","26,888","122,917","-15,236",,,,,,
18730,KENTUCKY                 ,MCCREARY,"-406,400","-368,844","-410,573","-432,032","-305,576","-43,928",,,,,,
18740,KENTUCKY                 ,MCLEAN,"-11,587","-9,204","-10,374","-18,465","-20,250","-51,986",,,,,,
18750,KENTUCKY                 ,MADISON,"-782,916","-806,002","-934,836","-816,797","-623,223","-81,923",,,,,,
18760,KENTUCKY                 ,MAGOFFIN,"-308,086","-272,122","-232,604","-231,826","-92,816","-25,757",,,,,,
18770,KENTUCKY                 ,MARION,"-110,300","-140,820","-160,896","-215,485","-62,146","6,767",,,,,,
18780,KENTUCKY                 ,MARSHALL,"-128,199","-204,921","-180,887","-116,154","-68,235","-8,219",,,,,,
18790,KENTUCKY                 ,MARTIN,"-343,379","-248,066","-227,497","-229,571","-140,071","-24,305",,,,,,
18800,KENTUCKY                 ,MASON,"-197,273","-164,914","-132,172","-157,661","-111,134","-11,308",,,,,,
18801,KENTUCKY                 ,MEADE,"-154,116","-174,649","-163,027","-173,619","-154,284","-6,249",,,,,,
18802,KENTUCKY                 ,MENIFEE,"-97,864","-130,154","-114,746","-107,145","-70,049","-21,646",,,,,,
18830,KENTUCKY                 ,MERCER,"-278,858","-341,401","-281,506","-279,724","-224,339","-289,617",,,,,,
18831,KENTUCKY                 ,METCALFE,"-240,006","-300,107","-294,755","-237,188","-149,737",-60,,,,,,
18850,KENTUCKY                 ,MONROE,"-682,069","-719,966","-721,763","-493,532","-220,676","-25,458",,,,,,
18860,KENTUCKY                 ,MONTGOMERY,"-169,582","-192,842","-307,724","-177,130","-111,218","-38,243",,,,,,
18861,KENTUCKY                 ,MORGAN,"-242,862","-309,104","-313,437","-317,707","-142,918","-60,988",,,,,,
18880,KENTUCKY                 ,MUHLENBERG,"-116,928","-81,460","-16,787","-117,567","-24,685","-3,017",,,,,,
18890,KENTUCKY                 ,NELSON,"-351,777","-328,091","-448,833","-536,506","-364,436","-10,412",,,,,,
18900,KENTUCKY                 ,NICHOLAS,"-88,607","-80,677","-65,633","-72,087","-47,878","-14,514",,,,,,
18910,KENTUCKY                 ,OHIO,"-51,652","-27,315","-56,831","-64,007","-36,875","-27,697",,,,,,
18920,KENTUCKY                 ,OLDHAM,"-125,181","-127,828","-173,418","-219,285","-118,300","18,914",,,,,,
18930,KENTUCKY                 ,OWEN,"-39,462","-114,226","-97,542","-98,820","-44,310","-68,457",,,,,,
18931,KENTUCKY                 ,OWSLEY,"-129,664","-90,629","-122,950","-68,344","-36,252","-9,647",,,,,,
18932,KENTUCKY                 ,PENDLETON,"-37,493","-74,382","-91,654","-68,892","-35,441","-31,333",,,,,,
18960,KENTUCKY                 ,PERRY,"-1,083,509","-1,193,661","-1,017,741","-929,999","-653,357",-781,,,,,,
18970,KENTUCKY                 ,PIKE,"-479,007","-546,802","-376,405","-329,789","-271,144","-135,973",,,,,,
18971,KENTUCKY                 ,POWELL,"-64,273","-76,381","-56,052","-69,710","-86,631","-74,759",,,,,,
18972,KENTUCKY                 ,PULASKI,"-1,850,863","-1,980,788","-1,902,504","-1,800,813","-1,252,030","-24,216",,,,,,
18973,KENTUCKY                 ,ROBERTSON,"-21,736","-34,409","-33,646","-59,728","-9,332","-15,533",,,,,,
18974,KENTUCKY                 ,ROCKCASTLE,"-345,501","-491,636","-367,597","-385,545","-240,011","-75,241",,,,,,
18975,KENTUCKY                 ,ROWAN,"-502,346","-672,050","-583,112","-578,601","-317,936","-5,412",,,,,,
18976,KENTUCKY                 ,RUSSELL,"-377,228","-451,484","-394,354","-379,889","-255,309","1,967",,,,,,
18977,KENTUCKY                 ,SCOTT,"-172,280","-207,727","-270,110","-254,444","-159,156",166,,,,,,
18978,KENTUCKY                 ,SHELBY,"-300,513","-219,417","-266,608","-430,220","-157,894","-18,181",,,,,,
18979,KENTUCKY                 ,SIMPSON,"-222,853","-231,694","-219,935","-200,895","-115,348","-17,199",,,,,,
18980,KENTUCKY                 ,SPENCER,"-65,581","-81,283","-39,522","-88,293","-57,340","-931,317",,,,,,
18981,KENTUCKY                 ,TAYLOR,"-432,527","-507,947","-474,181","-526,319","-349,749","-42,594",,,,,,
18982,KENTUCKY                 ,TODD,"-235,958","-203,380","-192,163","-157,463","-101,952","-35,435",,,,,,
18983,KENTUCKY                 ,TRIGG,"-149,097","-165,298","-175,054","-174,727","-122,948","-108,236",,,,,,
18984,KENTUCKY                 ,TRIMBLE,"-84,088","-56,257","-45,380","-74,257","-19,706","-21,160",,,,,,
18985,KENTUCKY                 ,UNION,"-56,441","-152,042","-55,674","-101,323","-30,917","-33,866",,,,,,
18986,KENTUCKY                 ,WARREN,"-1,352,365","-1,444,413","-1,676,210","-1,432,152","-838,171","-19,301",,,,,,
18987,KENTUCKY                 ,WASHINGTON,"-94,722","-114,615","-147,014","-133,181","-94,077","-72,504",,,,,,
18988,KENTUCKY                 ,WAYNE,"-316,202","-370,750","-447,508","-405,444","-235,252","-16,305",,,,,,
18989,KENTUCKY                 ,WEBSTER,"-79,525","-85,983","-93,526","-72,456","-24,756","-11,099",,,,,,
18990,KENTUCKY                 ,WHITLEY,"-1,219,097","-1,461,901","-1,615,549","-1,339,435","-932,011","-16,697",,,,,,
18991,KENTUCKY                 ,WOLFE,"-99,766","-107,193","-95,369","-120,481","-82,956","25,015",,,,,,
18992,KENTUCKY                 ,WOODFORD,"-83,151","-110,759","-123,260","-118,234","-86,595","-10,415",,,,,,
19000,LOUISIANA                ,ACADIA,"-140,596","-250,129","-434,535","-402,816","-258,298","-24,958",,,,,,
