"AGED - HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
15750,INDIANA,STEUBEN,"3,391","548,716",13,"548,715",13,0,0,0,"3,107",0,0
15760,INDIANA,SULLIVAN,"2,877","754,021",22,"754,021",22,0,0,0,"2,736",0,0
15770,INDIANA,SWITZERLAND,"1,109","182,988",14,"182,988",14,0,0,0,"1,039",0,0
15780,INDIANA,TIPPECANOE,"14,774","6,921,350",39,"6,921,350",39,0,0,0,"13,351",0,0
15790,INDIANA,TIPTON,"2,199","401,895",15,"401,895",15,0,0,0,"2,104",0,0
15800,INDIANA,UNION,982,"248,916",21,"248,917",21,0,0,0,926,0,0
15810,INDIANA,VANDERBURGH,"20,067","9,310,064",39,"9,310,064",39,0,0,0,"18,560",0,0
15820,INDIANA,VERMILLION,"2,397","710,357",25,"710,357",25,0,0,0,"2,270",0,0
15830,INDIANA,VIGO,"13,462","5,461,737",34,"5,461,737",34,0,0,0,"12,717",0,0
15840,INDIANA,WABASH,"3,514","2,681,021",64,"2,681,021",64,0,0,0,"3,284",0,0
15850,INDIANA,WARREN,944,"147,150",13,"147,149",13,0,0,0,885,0,0
15860,INDIANA,WARRICK,"6,683","2,138,424",27,"2,138,424",27,0,0,0,"6,141",0,0
15870,INDIANA,WASHINGTON,"2,730","1,191,678",36,"1,191,677",36,0,0,0,"2,507",0,0
15880,INDIANA,WAYNE,"10,383","3,194,478",26,"3,194,477",26,0,0,0,"9,781",0,0
15890,INDIANA,WELLS,"2,512","1,227,487",41,"1,227,488",41,0,0,0,"2,336",0,0
15900,INDIANA,WHITE,"4,088","827,846",17,"827,846",17,0,0,0,"3,835",0,0
15910,INDIANA,WHITLEY,"2,562","1,605,559",52,"1,605,559",52,0,0,0,"2,263",0,0
16000,IOWA,ADAIR,"1,217","619,408",42,"619,408",42,0,0,0,"1,142",0,0
16010,IOWA,ADAMS,781,"178,870",19,"178,869",19,0,0,0,733,0,0
16020,IOWA,ALLAMAKEE,"2,471","273,597",9,"273,597",9,0,0,0,"2,362",0,0
16030,IOWA,APPANOOSE,"2,225","1,208,113",45,"1,208,113",45,0,0,0,"2,109",0,0
16040,IOWA,AUDUBON,"1,254","266,534",18,"266,534",18,0,0,0,"1,194",0,0
16050,IOWA,BENTON,"3,161","1,638,892",43,"1,638,893",43,0,0,0,"2,978",0,0
16060,IOWA,BLACK HAWK,"16,222","7,172,026",37,"7,172,025",37,0,0,0,"15,266",0,0
16070,IOWA,BOONE,"3,626","1,014,899",23,"1,014,899",23,0,0,0,"3,396",0,0
16080,IOWA,BREMER,"4,137","1,037,461",21,"1,037,461",21,0,0,0,"3,919",0,0
16090,IOWA,BUCHANAN,"2,999","883,510",25,"883,509",25,0,0,0,"2,841",0,0
16100,IOWA,BUENA VISTA,"2,806","881,387",26,"881,387",26,0,0,0,"2,648",0,0
16110,IOWA,BUTLER,"2,775","996,256",30,"996,256",30,0,0,0,"2,648",0,0
16120,IOWA,CALHOUN,"2,009","1,157,345",48,"1,157,344",48,0,0,0,"1,919",0,0
16130,IOWA,CARROLL,"3,745","1,555,853",35,"1,555,853",35,0,0,0,"3,579",0,0
16140,IOWA,CASS,"2,711","931,620",29,"931,619",29,0,0,0,"2,593",0,0
16150,IOWA,CEDAR,"2,415","647,605",22,"647,605",22,0,0,0,"2,214",0,0
16160,IOWA,CERRO GORDO,"8,282","2,208,637",22,"2,208,636",22,0,0,0,"7,859",0,0
16170,IOWA,CHEROKEE,"2,132","606,409",24,"606,409",24,0,0,0,"2,018",0,0
16180,IOWA,CHICKASAW,"2,141","894,892",35,"894,892",35,0,0,0,"2,063",0,0
16190,IOWA,CLARKE,"1,343","842,716",52,"842,716",52,0,0,0,"1,234",0,0
16200,IOWA,CLAY,"3,184","748,636",20,"748,636",20,0,0,0,"3,063",0,0
16210,IOWA,CLAYTON,"2,966","617,961",17,"617,962",17,0,0,0,"2,792",0,0
16220,IOWA,CLINTON,"7,006","1,598,637",19,"1,598,638",19,0,0,0,"6,622",0,0
16230,IOWA,CRAWFORD,"2,515","371,645",12,"371,645",12,0,0,0,"2,371",0,0
16240,IOWA,DALLAS,"4,999","1,783,000",30,"1,783,001",30,0,0,0,"4,546",0,0
16250,IOWA,DAVIS,"1,278","437,626",29,"437,626",29,0,0,0,"1,220",0,0
16260,IOWA,DECATUR,"1,298","592,638",38,"592,639",38,0,0,0,"1,223",0,0
16270,IOWA,DELAWARE,"2,224","311,271",12,"311,270",12,0,0,0,"2,119",0,0
16280,IOWA,DES MOINES,"6,860","1,859,009",23,"1,859,009",23,0,0,0,"6,517",0,0
16290,IOWA,DICKINSON,"3,743","890,569",20,"890,570",20,0,0,0,"3,580",0,0
16300,IOWA,DUBUQUE,"8,718","4,099,566",39,"4,099,566",39,0,0,0,"7,955",0,0
16310,IOWA,EMMET,"1,826","450,748",21,"450,748",21,0,0,0,"1,752",0,0
16320,IOWA,FAYETTE,"3,402","824,460",20,"824,460",20,0,0,0,"3,272",0,0
16330,IOWA,FLOYD,"2,950","567,464",16,"567,465",16,0,0,0,"2,814",0,0
16340,IOWA,FRANKLIN,"1,701","250,240",12,"250,241",12,0,0,0,"1,631",0,0
16350,IOWA,FREMONT,"1,283","252,291",16,"252,290",16,0,0,0,"1,221",0,0
16360,IOWA,GREENE,"1,658","454,591",23,"454,591",23,0,0,0,"1,585",0,0
16370,IOWA,GRUNDY,"1,974","543,980",23,"543,980",23,0,0,0,"1,888",0,0
16380,IOWA,GUTHRIE,"1,978","1,233,074",52,"1,233,074",52,0,0,0,"1,867",0,0
16390,IOWA,HAMILTON,"2,543","966,243",32,"966,244",32,0,0,0,"2,409",0,0
16400,IOWA,HANCOCK,"1,966","518,903",22,"518,903",22,0,0,0,"1,881",0,0
16410,IOWA,HARDIN,"3,525","1,419,889",34,"1,419,889",34,0,0,0,"3,385",0,0
16420,IOWA,HARRISON,"2,492","626,354",21,"626,354",21,0,0,0,"2,367",0,0
16430,IOWA,HENRY,"3,127","983,456",26,"983,456",26,0,0,0,"2,975",0,0
16440,IOWA,HOWARD,"1,694","221,536",11,"221,535",11,0,0,0,"1,612",0,0
16450,IOWA,HUMBOLDT,"1,748","783,312",37,"783,311",37,0,0,0,"1,658",0,0
16460,IOWA,IDA,"1,311","301,734",19,"301,734",19,0,0,0,"1,231",0,0
16470,IOWA,IOWA,"2,363","990,039",35,"990,040",35,0,0,0,"2,205",0,0
16480,IOWA,JACKSON,"2,818","845,814",25,"845,815",25,0,0,0,"2,653",0,0
16490,IOWA,JASPER,"5,288","1,240,172",20,"1,240,172",20,0,0,0,"5,038",0,0
16500,IOWA,JEFFERSON,"2,372","1,017,805",36,"1,017,805",36,0,0,0,"2,176",0,0
16510,IOWA,JOHNSON,"11,004","3,910,272",30,"3,910,271",30,0,0,0,"9,437",0,0
16520,IOWA,JONES,"2,715","1,248,804",38,"1,248,804",38,0,0,0,"2,538",0,0
16530,IOWA,KEOKUK,"1,846","675,991",31,"675,990",31,0,0,0,"1,707",0,0
16540,IOWA,KOSSUTH,"3,045","448,540",12,"448,540",12,0,0,0,"2,918",0,0
16550,IOWA,LEE,"5,572","1,301,036",19,"1,301,037",19,0,0,0,"5,285",0,0
16560,IOWA,LINN,"21,551","10,903,619",42,"10,903,618",42,0,0,0,"19,687",0,0
16570,IOWA,LOUISA,"1,547","410,134",22,"410,134",22,0,0,0,"1,452",0,0
16580,IOWA,LUCAS,"1,536","757,879",41,"757,879",41,0,0,0,"1,419",0,0
16590,IOWA,LYON,"1,735","272,073",13,"272,074",13,0,0,0,"1,657",0,0
16600,IOWA,MADISON,"1,960","356,315",15,"356,315",15,0,0,0,"1,828",0,0
16610,IOWA,MAHASKA,"3,052","1,179,753",32,"1,179,753",32,0,0,0,"2,878",0,0
16620,IOWA,MARION,"5,023","1,633,378",27,"1,633,377",27,0,0,0,"4,707",0,0
16630,IOWA,MARSHALL,"6,238","2,068,817",28,"2,068,817",28,0,0,0,"5,874",0,0
16640,IOWA,MILLS,"1,910","462,436",20,"462,435",20,0,0,0,"1,785",0,0
16650,IOWA,MITCHELL,"2,284","325,244",12,"325,244",12,0,0,0,"2,204",0,0
16660,IOWA,MONONA,"1,700","452,386",22,"452,385",22,0,0,0,"1,618",0,0
16670,IOWA,MONROE,"1,248","366,617",24,"366,617",24,0,0,0,"1,175",0,0
16680,IOWA,MONTGOMERY,"1,988","643,574",27,"643,573",27,0,0,0,"1,886",0,0
16690,IOWA,MUSCATINE,"5,227","1,980,963",32,"1,980,964",32,0,0,0,"4,848",0,0
16700,IOWA,OBRIEN,"2,738","839,376",26,"839,376",26,0,0,0,"2,619",0,0
16710,IOWA,OSCEOLA,"1,101","127,052",10,"127,051",10,0,0,0,"1,041",0,0
16720,IOWA,PAGE,"2,837","637,559",19,"637,559",19,0,0,0,"2,709",0,0
16730,IOWA,PALO ALTO,"1,900","526,832",23,"526,832",23,0,0,0,"1,813",0,0
16740,IOWA,PLYMOUTH,"3,272","1,286,294",33,"1,286,294",33,0,0,0,"3,071",0,0
16750,IOWA,POCAHONTAS,"1,515","581,243",32,"581,243",32,0,0,0,"1,451",0,0
16760,IOWA,POLK,"44,169","16,746,375",32,"16,746,375",32,0,0,0,"39,480",0,0
16770,IOWA,POTTAWATTAMIE,"10,723","4,125,205",32,"4,125,206",32,0,0,0,"9,855",0,0
16780,IOWA,POWESHIEK,"3,091","1,141,856",31,"1,141,856",31,0,0,0,"2,894",0,0
16790,IOWA,RINGGOLD,974,"225,556",19,"225,556",19,0,0,0,930,0,0
16800,IOWA,SAC,"2,144","542,001",21,"542,002",21,0,0,0,"2,056",0,0
16810,IOWA,SCOTT,"18,762","7,377,808",33,"7,377,808",33,0,0,0,"17,144",0,0
16820,IOWA,SHELBY,"2,261","423,869",16,"423,869",16,0,0,0,"2,150",0,0
16830,IOWA,SIOUX,"4,433","1,412,272",27,"1,412,272",27,0,0,0,"4,207",0,0
16840,IOWA,STORY,"9,193","2,812,595",25,"2,812,596",25,0,0,0,"8,296",0,0
16850,IOWA,TAMA,"2,824","1,148,099",34,"1,148,099",34,0,0,0,"2,656",0,0
16860,IOWA,TAYLOR,"1,274","551,978",36,"551,978",36,0,0,0,"1,221",0,0
16870,IOWA,UNION,"2,428","1,420,843",49,"1,420,844",49,0,0,0,"2,279",0,0
16880,IOWA,VAN BUREN,"1,394","330,288",20,"330,287",20,0,0,0,"1,324",0,0
16890,IOWA,WAPELLO,"5,640","2,585,541",38,"2,585,541",38,0,0,0,"5,357",0,0
16900,IOWA,WARREN,"5,327","2,435,920",38,"2,435,920",38,0,0,0,"4,875",0,0
16910,IOWA,WASHINGTON,"3,563","1,244,978",29,"1,244,978",29,0,0,0,"3,274",0,0
16920,IOWA,WAYNE,"1,165","478,338",34,"478,337",34,0,0,0,"1,105",0,0
16930,IOWA,WEBSTER,"6,019","2,547,926",35,"2,547,925",35,0,0,0,"5,740",0,0
16940,IOWA,WINNEBAGO,"2,135","514,455",20,"514,455",20,0,0,0,"2,024",0,0
16950,IOWA,WINNESHIEK,"3,106","721,854",19,"721,854",19,0,0,0,"2,926",0,0
16960,IOWA,WOODBURY,"11,040","5,723,204",43,"5,723,205",43,0,0,0,"10,112",0,0
16970,IOWA,WORTH,"1,270","175,402",12,"175,402",12,0,0,0,"1,198",0,0
16980,IOWA,WRIGHT,"2,608","616,064",20,"616,064",20,0,0,0,"2,514",0,0
17000,KANSAS,ALLEN,"2,078","335,582",13,"335,581",13,0,0,0,"1,976",0,0
17010,KANSAS,ANDERSON,"1,401","240,121",14,"240,121",14,0,0,0,"1,335",0,0
17020,KANSAS,ATCHISON,"2,366","822,913",29,"822,914",29,0,0,0,"2,214",0,0
17030,KANSAS,BARBER,898,"141,704",13,"141,704",13,0,0,0,848,0,0
17040,KANSAS,BARTON,"4,316","606,451",12,"606,452",12,0,0,0,"4,102",0,0
17050,KANSAS,BOURBON,"2,311","715,681",26,"715,681",26,0,0,0,"2,179",0,0
17060,KANSAS,BROWN,"1,699","447,055",22,"447,056",22,0,0,0,"1,607",0,0
17070,KANSAS,BUTLER,"7,299","2,429,949",28,"2,429,949",28,0,0,0,"6,777",0,0
17080,KANSAS,CHASE,472,"74,430",13,"74,431",13,0,0,0,455,0,0
17090,KANSAS,CHAUTAUQUA,723,"274,197",32,"274,197",32,0,0,0,694,0,0
17100,KANSAS,CHEROKEE,"3,047","672,263",18,"672,263",18,0,0,0,"2,873",0,0
17110,KANSAS,CHEYENNE,623,"74,893",10,"74,893",10,0,0,0,606,0,0
17120,KANSAS,CLARK,342,"52,475",13,"52,475",13,0,0,0,332,0,0
17130,KANSAS,CLAY,"1,589","195,684",10,"195,685",10,0,0,0,"1,505",0,0
17140,KANSAS,CLOUD,"1,829","239,422",11,"239,422",11,0,0,0,"1,729",0,0
17150,KANSAS,COFFEY,"1,439","493,709",29,"493,708",29,0,0,0,"1,350",0,0
17160,KANSAS,COMANCHE,432,"28,566",6,"28,566",6,0,0,0,401,0,0
17170,KANSAS,COWLEY,"4,753","1,232,593",22,"1,232,593",22,0,0,0,"4,454",0,0
17180,KANSAS,CRAWFORD,"5,593","2,176,373",32,"2,176,373",32,0,0,0,"5,285",0,0
17190,KANSAS,DECATUR,664,"56,403",7,"56,403",7,0,0,0,634,0,0
17200,KANSAS,DICKINSON,"2,978","501,164",14,"501,163",14,0,0,0,"2,797",0,0
17210,KANSAS,DONIPHAN,"1,240","266,955",18,"266,955",18,0,0,0,"1,174",0,0
17220,KANSAS,DOUGLAS,"10,704","3,910,698",30,"3,910,698",30,0,0,0,"9,530",0,0
17230,KANSAS,EDWARDS,570,"140,208",20,"140,208",20,0,0,0,528,0,0
17240,KANSAS,ELK,631,"20,822",3,"20,822",3,0,0,0,602,0,0
17250,KANSAS,ELLIS,"3,961","524,329",11,"524,329",11,0,0,0,"3,660",0,0
17260,KANSAS,ELLSWORTH,"1,083","159,712",12,"159,712",12,0,0,0,"1,034",0,0
17270,KANSAS,FINNEY,"3,408","374,794",9,"374,794",9,0,0,0,"3,038",0,0
17280,KANSAS,FORD,"3,404","1,005,874",25,"1,005,874",25,0,0,0,"3,105",0,0
17290,KANSAS,FRANKLIN,"3,448","920,243",22,"920,242",22,0,0,0,"3,195",0,0
17300,KANSAS,GEARY,"2,414","383,313",13,"383,313",13,0,0,0,"2,265",0,0
17310,KANSAS,GOVE,612,"87,000",12,"86,999",12,0,0,0,576,0,0
17320,KANSAS,GRAHAM,563,"24,920",4,"24,921",4,0,0,0,540,0,0
17330,KANSAS,GRANT,809,"63,465",7,"63,466",7,0,0,0,759,0,0
17340,KANSAS,GRAY,843,"78,428",8,"78,427",8,0,0,0,795,0,0
17350,KANSAS,GREELEY,254,"8,906",3,"8,906",3,0,0,0,238,0,0
17360,KANSAS,GREENWOOD,"1,374","143,367",9,"143,367",9,0,0,0,"1,306",0,0
17370,KANSAS,HAMILTON,341,"64,235",16,"64,234",16,0,0,0,315,0,0
17380,KANSAS,HARPER,"1,092","155,926",12,"155,926",12,0,0,0,"1,044",0,0
17390,KANSAS,HARVEY,"5,088","1,963,765",32,"1,963,765",32,0,0,0,"4,697",0,0
17391,KANSAS,HASKELL,459,"33,130",6,"33,130",6,0,0,0,421,0,0
17410,KANSAS,HODGEMAN,325,"67,180",17,"67,179",17,0,0,0,303,0,0
17420,KANSAS,JACKSON,"2,006","230,010",10,"230,010",10,0,0,0,"1,886",0,0
17430,KANSAS,JEFFERSON,"2,711","684,063",21,"684,062",21,0,0,0,"2,522",0,0
17440,KANSAS,JEWELL,727,"32,946",4,"32,947",4,0,0,0,684,0,0
17450,KANSAS,JOHNSON,"48,919","31,255,568",53,"31,255,569",53,0,0,0,"42,587",0,0
17451,KANSAS,KEARNY,473,"17,431",3,"17,431",3,0,0,0,435,0,0
17470,KANSAS,KINGMAN,"1,349","372,560",23,"372,559",23,0,0,0,"1,273",0,0
17480,KANSAS,KIOWA,454,"99,552",18,"99,551",18,0,0,0,430,0,0
17490,KANSAS,LABETTE,"3,280","855,897",22,"855,897",22,0,0,0,"3,089",0,0
17500,KANSAS,LANE,389,0,0,0,0,0,0,0,378,0,0
17510,KANSAS,LEAVENWORTH,"7,293","3,031,097",35,"3,031,098",35,0,0,0,"6,719",0,0
17520,KANSAS,LINCOLN,573,"12,733",2,"12,733",2,0,0,0,542,0,0
17530,KANSAS,LINN,"1,372","789,853",48,"789,853",48,0,0,0,"1,259",0,0
17540,KANSAS,LOGAN,546,"21,832",3,"21,831",3,0,0,0,519,0,0
17550,KANSAS,LYON,"4,446","1,278,860",24,"1,278,860",24,0,0,0,"4,140",0,0
17560,KANSAS,MCPHERSON,"4,850","1,153,644",20,"1,153,645",20,0,0,0,"4,534",0,0
17570,KANSAS,MARION,"2,347","486,162",17,"486,162",17,0,0,0,"2,220",0,0
17580,KANSAS,MARSHALL,"1,986","493,759",21,"493,758",21,0,0,0,"1,895",0,0
17590,KANSAS,MEADE,684,"47,251",6,"47,251",6,0,0,0,631,0,0
17600,KANSAS,MIAMI,"2,985","1,421,261",40,"1,421,260",40,0,0,0,"2,762",0,0
17610,KANSAS,MITCHELL,"1,279","147,102",10,"147,102",10,0,0,0,"1,225",0,0
17620,KANSAS,MONTGOMERY,"5,849","1,086,561",15,"1,086,561",15,0,0,0,"5,544",0,0
17630,KANSAS,MORRIS,"1,211","115,452",8,"115,453",8,0,0,0,"1,138",0,0
17640,KANSAS,MORTON,497,"39,324",7,"39,325",7,0,0,0,470,0,0
17650,KANSAS,NEMAHA,"1,873","320,339",14,"320,338",14,0,0,0,"1,802",0,0
17660,KANSAS,NEOSHO,"2,655","445,614",14,"445,615",14,0,0,0,"2,501",0,0
17670,KANSAS,NESS,704,"105,304",12,"105,305",12,0,0,0,672,0,0
17680,KANSAS,NORTON,929,"41,393",4,"41,392",4,0,0,0,870,0,0
17690,KANSAS,OSAGE,"2,470","639,841",22,"639,840",22,0,0,0,"2,336",0,0
17700,KANSAS,OSBORNE,866,"84,362",8,"84,362",8,0,0,0,821,0,0
17710,KANSAS,OTTAWA,883,"33,731",3,"33,731",3,0,0,0,842,0,0
17720,KANSAS,PAWNEE,703,"165,602",20,"165,602",20,0,0,0,677,0,0
17730,KANSAS,PHILLIPS,"1,136","274,426",20,"274,426",20,0,0,0,"1,089",0,0
17740,KANSAS,POTTAWATOMIE,"2,376","361,518",13,"361,518",13,0,0,0,"2,194",0,0
17750,KANSAS,PRATT,"1,544","686,196",37,"686,196",37,0,0,0,"1,472",0,0
17760,KANSAS,RAWLINS,587,"97,643",14,"97,644",14,0,0,0,569,0,0
17770,KANSAS,RENO,"10,436","4,009,116",32,"4,009,116",32,0,0,0,"9,884",0,0
17780,KANSAS,REPUBLIC,"1,147","46,817",3,"46,818",3,0,0,0,"1,097",0,0
17790,KANSAS,RICE,"1,668","547,956",27,"547,956",27,0,0,0,"1,593",0,0
17800,KANSAS,RILEY,"5,625","772,252",11,"772,252",11,0,0,0,"4,999",0,0
17810,KANSAS,ROOKS,"1,022","47,003",4,"47,003",4,0,0,0,966,0,0
17820,KANSAS,RUSH,741,"47,429",5,"47,429",5,0,0,0,699,0,0
17830,KANSAS,RUSSELL,"1,494","118,650",7,"118,650",7,0,0,0,"1,431",0,0
17840,KANSAS,SALINE,"7,650","1,369,792",15,"1,369,792",15,0,0,0,"7,097",0,0
17841,KANSAS,SCOTT,465,"4,003",1,"4,003",1,0,0,0,429,0,0
17860,KANSAS,SEDGWICK,"50,703","23,183,060",38,"23,183,060",38,0,0,0,"46,368",0,0
17870,KANSAS,SEWARD,"1,790","384,076",18,"384,075",18,0,0,0,"1,594",0,0
17880,KANSAS,SHAWNEE,"25,568","11,526,516",38,"11,526,516",38,0,0,0,"23,737",0,0
17890,KANSAS,SHERIDAN,458,"17,207",3,"17,206",3,0,0,0,439,0,0
17900,KANSAS,SHERMAN,"1,029","150,390",12,"150,390",12,0,0,0,980,0,0
17910,KANSAS,SMITH,963,"82,560",7,"82,560",7,0,0,0,917,0,0
17920,KANSAS,STAFFORD,"1,189","269,217",19,"269,217",19,0,0,0,"1,111",0,0
17921,KANSAS,STANTON,319,"2,224",1,"2,225",1,0,0,0,293,0,0
17940,KANSAS,STEVENS,687,"89,012",11,"89,012",11,0,0,0,627,0,0
17950,KANSAS,SUMNER,"3,646","1,234,663",28,"1,234,663",28,0,0,0,"3,409",0,0
17960,KANSAS,THOMAS,"1,097","131,822",10,"131,822",10,0,0,0,"1,034",0,0
17970,KANSAS,TREGO,600,"41,734",6,"41,734",6,0,0,0,572,0,0
17980,KANSAS,WABAUNSEE,"1,029","238,617",19,"238,617",19,0,0,0,954,0,0
17981,KANSAS,WALLACE,297,"9,666",3,"9,666",3,0,0,0,291,0,0
17982,KANSAS,WASHINGTON,"1,274","148,688",10,"148,689",10,0,0,0,"1,207",0,0
17983,KANSAS,WICHITA,355,"13,937",3,"13,937",3,0,0,0,330,0,0
17984,KANSAS,WILSON,"1,606","368,081",19,"368,081",19,0,0,0,"1,542",0,0
17985,KANSAS,WOODSON,646,"93,577",12,"93,576",12,0,0,0,607,0,0
17986,KANSAS,WYANDOTTE,"12,043","8,563,612",59,"8,563,613",59,0,0,0,"10,681",0,0
18000,KENTUCKY,ADAIR,"2,165","188,611",7,"188,612",7,0,0,0,"2,070",0,0
18010,KENTUCKY,ALLEN,"2,191","276,475",11,"276,475",11,0,0,0,"2,109",0,0
18020,KENTUCKY,ANDERSON,"1,899","780,092",34,"780,093",34,0,0,0,"1,736",0,0
18030,KENTUCKY,BALLARD,"1,545","450,401",24,"450,401",24,0,0,0,"1,465",0,0
18040,KENTUCKY,BARREN,"5,076","571,310",9,"571,310",9,0,0,0,"4,853",0,0
18050,KENTUCKY,BATH,"1,118","213,709",16,"213,709",16,0,0,0,"1,077",0,0
18060,KENTUCKY,BELL,"3,476","833,366",20,"833,366",20,0,0,0,"3,440",0,0
18070,KENTUCKY,BOONE,"9,074","4,171,034",38,"4,171,033",38,0,0,0,"7,996",0,0
18080,KENTUCKY,BOURBON,"2,028","943,995",39,"943,996",39,0,0,0,"1,873",0,0
18090,KENTUCKY,BOYD,"6,034","3,097,737",43,"3,097,738",43,0,0,0,"5,789",0,0
18100,KENTUCKY,BOYLE,"3,844","1,240,934",27,"1,240,934",27,0,0,0,"3,638",0,0
18110,KENTUCKY,BRACKEN,929,"428,743",38,"428,744",38,0,0,0,871,0,0
18120,KENTUCKY,BREATHITT,"1,422","846,811",50,"846,811",50,0,0,0,"1,420",0,0
18130,KENTUCKY,BRECKINRIDGE,"2,446","240,997",8,"240,997",8,0,0,0,"2,349",0,0
18140,KENTUCKY,BULLITT,"5,518","1,303,443",20,"1,303,443",20,0,0,0,"5,131",0,0
18150,KENTUCKY,BUTLER,"1,266","149,777",10,"149,777",10,0,0,0,"1,233",0,0
18160,KENTUCKY,CALDWELL,"1,884","270,589",12,"270,588",12,0,0,0,"1,801",0,0
18170,KENTUCKY,CALLOWAY,"4,409","856,151",16,"856,151",16,0,0,0,"4,161",0,0
18180,KENTUCKY,CAMPBELL,"7,151","3,519,347",41,"3,519,347",41,0,0,0,"6,356",0,0
18190,KENTUCKY,CARLISLE,786,"122,747",13,"122,747",13,0,0,0,757,0,0
18191,KENTUCKY,CARROLL,"1,277","243,351",16,"243,351",16,0,0,0,"1,173",0,0
18210,KENTUCKY,CARTER,"2,468","907,467",31,"907,467",31,0,0,0,"2,389",0,0
18220,KENTUCKY,CASEY,"1,921","408,561",18,"408,561",18,0,0,0,"1,851",0,0
18230,KENTUCKY,CHRISTIAN,"5,904","940,560",13,"940,559",13,0,0,0,"5,595",0,0
18240,KENTUCKY,CLARK,"3,860","1,558,909",34,"1,558,909",34,0,0,0,"3,585",0,0
18250,KENTUCKY,CLAY,"2,102","508,355",20,"508,355",20,0,0,0,"2,149",0,0
18260,KENTUCKY,CLINTON,"1,408","156,792",9,"156,791",9,0,0,0,"1,378",0,0
18270,KENTUCKY,CRITTENDEN,"1,255","90,373",6,"90,373",6,0,0,0,"1,210",0,0
18271,KENTUCKY,CUMBERLAND,997,"124,698",10,"124,698",10,0,0,0,969,0,0
18290,KENTUCKY,DAVIESS,"12,324","3,326,681",22,"3,326,682",22,0,0,0,"11,743",0,0
18291,KENTUCKY,EDMONSON,"1,093","204,324",16,"204,324",16,0,0,0,"1,060",0,0
18310,KENTUCKY,ELLIOTT,"1,212","393,651",27,"393,651",27,0,0,0,"1,217",0,0
18320,KENTUCKY,ESTILL,"1,879","802,837",36,"802,837",36,0,0,0,"1,860",0,0
18330,KENTUCKY,FAYETTE,"24,378","9,349,919",32,"9,349,919",32,0,0,0,"21,504",0,0
18340,KENTUCKY,FLEMING,"1,703","902,209",44,"902,209",44,0,0,0,"1,604",0,0
18350,KENTUCKY,FLOYD,"3,905","996,353",21,"996,353",21,0,0,0,"3,864",0,0
18360,KENTUCKY,FRANKLIN,"5,407","3,113,214",48,"3,113,214",48,0,0,0,"5,073",0,0
18361,KENTUCKY,FULTON,"1,231","149,964",10,"149,964",10,0,0,0,"1,189",0,0
18362,KENTUCKY,GALLATIN,678,"388,514",48,"388,514",48,0,0,0,625,0,0
18390,KENTUCKY,GARRARD,"1,889","819,732",36,"819,731",36,0,0,0,"1,770",0,0
18400,KENTUCKY,GRANT,"2,250","788,037",29,"788,037",29,0,0,0,"2,052",0,0
18410,KENTUCKY,GRAVES,"5,379","862,757",13,"862,756",13,0,0,0,"5,190",0,0
18420,KENTUCKY,GRAYSON,"3,481","535,902",13,"535,902",13,0,0,0,"3,332",0,0
18421,KENTUCKY,GREEN,"1,429","294,885",17,"294,885",17,0,0,0,"1,378",0,0
18440,KENTUCKY,GREENUP,"5,300","2,513,604",40,"2,513,605",40,0,0,0,"5,094",0,0
18450,KENTUCKY,HANCOCK,"1,109","339,001",25,"339,002",25,0,0,0,"1,055",0,0
18460,KENTUCKY,HARDIN,"11,635","2,127,720",15,"2,127,720",15,0,0,0,"11,102",0,0
18470,KENTUCKY,HARLAN,"3,387","1,496,664",37,"1,496,663",37,0,0,0,"3,404",0,0
18480,KENTUCKY,HARRISON,"2,096","1,095,793",44,"1,095,792",44,0,0,0,"1,992",0,0
18490,KENTUCKY,HART,"2,071","327,749",13,"327,749",13,0,0,0,"1,993",0,0
18500,KENTUCKY,HENDERSON,"5,110","2,808,007",46,"2,808,007",46,0,0,0,"4,839",0,0
18510,KENTUCKY,HENRY,"1,727","312,000",15,"312,000",15,0,0,0,"1,578",0,0
18511,KENTUCKY,HICKMAN,623,"20,436",3,"20,436",3,0,0,0,602,0,0
18530,KENTUCKY,HOPKINS,"5,875","1,059,852",15,"1,059,852",15,0,0,0,"5,589",0,0
18540,KENTUCKY,JACKSON,"1,446","316,110",18,"316,109",18,0,0,0,"1,419",0,0
18550,KENTUCKY,JEFFERSON,"75,958","19,833,046",22,"19,833,046",22,0,0,0,"69,378",0,0
18560,KENTUCKY,JESSAMINE,"4,204","1,503,780",30,"1,503,779",30,0,0,0,"3,732",0,0
18570,KENTUCKY,JOHNSON,"2,635","577,463",18,"577,463",18,0,0,0,"2,564",0,0
18580,KENTUCKY,KENTON,"12,369","4,423,634",30,"4,423,634",30,0,0,0,"11,011",0,0
18590,KENTUCKY,KNOTT,"1,286","514,855",33,"514,856",33,0,0,0,"1,294",0,0
