"AGED - HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01550,ALABAMA,RANDOLPH,"3,331","1,840,122",46,"1,840,121",46,0,0,0,"3,215",0,0
01560,ALABAMA,RUSSELL,"6,613","4,528,960",57,"4,528,959",57,0,0,0,"6,248",0,0
01570,ALABAMA,ST. CLAIR,"6,296","4,016,369",53,"4,016,369",53,0,0,0,"5,706",0,0
01580,ALABAMA,SHELBY,"10,022","5,396,646",45,"5,396,645",45,0,0,0,"8,971",0,0
01590,ALABAMA,SUMTER,"1,678","1,944,913",97,"1,944,913",97,0,0,0,"1,643",0,0
01600,ALABAMA,TALLADEGA,"9,191","8,924,396",81,"8,924,396",81,0,0,0,"8,722",0,0
01610,ALABAMA,TALLAPOOSA,"6,404","4,870,892",63,"4,870,891",63,0,0,0,"6,115",0,0
01620,ALABAMA,TUSCALOOSA,"19,605","8,779,253",37,"8,779,253",37,0,0,0,"18,282",0,0
01630,ALABAMA,WALKER,"8,924","7,345,711",69,"7,345,711",69,0,0,0,"8,495",0,0
01640,ALABAMA,WASHINGTON,"2,352","1,973,117",70,"1,973,117",70,0,0,0,"2,276",0,0
01650,ALABAMA,WILCOX,"1,638","1,340,890",68,"1,340,890",68,0,0,0,"1,598",0,0
01660,ALABAMA,WINSTON,"3,925","1,559,822",33,"1,559,822",33,0,0,0,"3,733",0,0
02010,ALASKA,ALEUTIANS ISLANDS,340,"2,440",1,"2,439",1,0,0,0,231,0,0
02020,ALASKA,ANCHORAGE,"25,103","4,079,973",14,"4,079,974",14,0,0,0,"21,862",0,0
02040,ALASKA,BARROW DIVISION,359,"1,003",0,"1,003",0,0,0,0,278,0,0
02050,ALASKA,BETHEL,711,0,0,0,0,0,0,0,600,0,0
02060,ALASKA,BRISTOL BAY BOROUGH,565,"32,184",5,"32,184",5,0,0,0,518,0,0
02070,ALASKA,DILLINGHAM,439,"3,457",1,"3,458",1,0,0,0,352,0,0
