"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
01510,ALABAMA                  ,MORGAN,"-257,520","-245,325","-215,796","-333,794","-205,776","-61,461",,,,,,
01520,ALABAMA                  ,PERRY,"-47,285","-76,517","-45,045","-67,450","-26,843","-55,755",,,,,,
01530,ALABAMA                  ,PICKENS,"-31,872","-11,859","-30,519","-91,873","-76,747","-3,801",,,,,,
01540,ALABAMA                  ,PIKE,"-109,329","-113,978","-98,076","-107,470","-86,770","-6,104",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-68,263","-114,769","-122,902","-80,978","-66,536","-8,056",,,,,,
01560,ALABAMA                  ,RUSSELL,"-44,453","-8,092","-25,058","-31,182","40,545","-9,863",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"20,482","35,338","39,454","-20,363","28,038","-42,845",,,,,,
01580,ALABAMA                  ,SHELBY,"26,223","9,078","17,803","2,358","-31,744","-11,619",,,,,,
01590,ALABAMA                  ,SUMTER,"-24,176","-50,271","-20,778","-16,303","-4,971","-24,011",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-243,648","-209,348","-266,816","-176,722","-224,613",-774,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-182,349","-168,569","-247,870","-233,140","-166,368","-29,670",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-253,846","-320,868","-185,877","-438,004","-441,054","-14,314",,,,,,
01630,ALABAMA                  ,WALKER,"-161,121","-140,180","-162,194","-195,078","-124,725","-65,946",,,,,,
01640,ALABAMA                  ,WASHINGTON,"4,835","6,196",163,"-4,183","-11,237","-31,722",,,,,,
01650,ALABAMA                  ,WILCOX,"-52,794","-91,943","-80,651","-105,775","-44,272","-8,652",,,,,,
01660,ALABAMA                  ,WINSTON,"-112,285","-114,902","-131,820","-124,714","-51,084","-3,956",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"-8,036",250,"-2,046","-17,386","-29,544","-7,768",,,,,,
02020,ALASKA                   ,ANCHORAGE,"-419,294","-522,331","-728,504","-750,427","-520,212",0,,,,,,
02040,ALASKA                   ,BARROW DIVISION,"-49,495","-17,507","-28,215","-16,623","-8,814",0,,,,,,
02050,ALASKA                   ,BETHEL,"-61,524","-15,037","-8,164","3,839","8,658","-1,180",,,,,,
02060,ALASKA                   ,BRISTOL BAY,"-16,512","-5,357","-7,575","-25,582","-5,829","-157,302",,,,,,
02070,ALASKA                   ,DILLINGHAM,"-20,676","-5,091","-8,047","-3,949","-3,189",0,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"-1,225","1,105","-8,914",-400,"-3,088","-1,468",,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-62,888","-69,991","-87,721","-80,759","-51,622","2,958",,,,,,
02100,ALASKA                   ,HAINES,-78,"-2,220",-238,-12,-804,0,,,,,,
02110,ALASKA                   ,JUNEAU,"-50,913","-45,415","-29,936","-99,689","-47,511",0,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"-121,815","-163,473","-78,663","-60,279","-70,004",0,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"-9,136","-8,656","-11,740","-42,887","-8,047","-7,273",,,,,,
02140,ALASKA                   ,KOBUK,"-5,175","-13,013","-34,774","-15,363","-13,610",80,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"-2,384","-6,981","-10,376","-28,339",-542,"-6,185",,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"-1,763",-771,"1,311","-3,456","2,358","-13,393",,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"-65,025","-111,585","-106,511","-133,593","-101,740",0,,,,,,
02180,ALASKA                   ,NOME,"-2,108","-45,591","-9,024","-34,505","-6,685",-872,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"-1,704",-461,"-10,580","1,051","-9,358",438,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"-19,210","-11,673","-5,555","-12,107","-2,662",0,,,,,,
02210,ALASKA                   ,SEWARD,"-6,598","-7,441","-8,914","-15,751","-10,622",-629,,,,,,
02220,ALASKA                   ,SITKA,"-5,628","-31,870","-30,402","-7,801","-14,469",-499,,,,,,
02230,ALASKA                   ,SKAGWAY,"-2,595",271,95,"1,312",0,"-19,528",,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"-28,633","-4,618","-4,362","-4,761","-2,292",0,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"-5,187",0,-145,"-2,420","1,444",-61,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"-6,130","-4,391","-14,284","-15,362",628,0,,,,,,
02270,ALASKA                   ,WADE HAMPTON,"-9,459","-24,480","-40,594","-41,256","-58,321","1,284",,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"-4,089","-4,974","-5,113","-9,515","-4,457","-2,466",,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,-313,"-4,376","-10,847","-6,627",307,"-2,277",,,,,,
03000,ARIZONA                  ,APACHE,"77,759","72,786","70,251","87,607","98,776",-244,,,,,,
03010,ARIZONA                  ,COCHISE,"-217,593","-166,204","-154,955","-160,787","-52,777",-499,,,,,,
03020,ARIZONA                  ,COCONINO,"34,726","41,011","-5,291","69,123","102,213",-499,,,,,,
03030,ARIZONA                  ,GILA,"-100,223","-89,808","-119,745","-121,026","-106,875","-1,956",,,,,,
03040,ARIZONA                  ,GRAHAM,"-18,577","-22,698","-45,188","-40,302","-19,983",461,,,,,,
03050,ARIZONA                  ,GREENLEE,"-13,621","-2,760","-4,697","-8,563","-7,757","-2,829",,,,,,
03055,ARIZONA                  ,LA PAZ,"-27,744","-55,568","-32,878","-53,609","-20,624",-507,,,,,,
03060,ARIZONA                  ,MARICOPA,"1,033,455","112,504","24,477","-11,645","856,120",-138,,,,,,
03070,ARIZONA                  ,MOHAVE,"-233,981","-439,283","-307,588","-359,249","-182,333","-60,398",,,,,,
03080,ARIZONA                  ,NAVAJO,"134,882","20,233","1,666","44,456","115,294","-24,580",,,,,,
03090,ARIZONA                  ,PIMA,"-762,722","-600,528","-522,378","-741,630","-122,612","-7,279",,,,,,
03100,ARIZONA                  ,PINAL,"-160,519","-221,692","-287,693","-371,401","-155,737","-33,162",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-34,135","-2,311","-14,896","-46,354","-6,047","-14,866",,,,,,
03120,ARIZONA                  ,YAVAPAI,"-2,593","-280,989","-351,414","-287,704","-121,285","-2,356",,,,,,
03130,ARIZONA                  ,YUMA,"-82,890","-93,645","-71,539","-38,735","-40,137","-11,097",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-93,622","-64,886","-45,658","-57,900","-18,465","-1,197,697",,,,,,
04010,ARKANSAS                 ,ASHLEY,"-83,782","-43,953","-53,273","-30,932","-22,172","-55,989",,,,,,
04020,ARKANSAS                 ,BAXTER,"-96,914","-75,511","-104,025","-62,967","-41,763","-21,293",,,,,,
04030,ARKANSAS                 ,BENTON,"-72,288","-71,080","-79,742","-63,651","-47,202","-387,014",,,,,,
04040,ARKANSAS                 ,BOONE,"-122,011","-106,848","-148,782","-117,883","-88,980","-89,938",,,,,,
04050,ARKANSAS                 ,BRADLEY,"-26,829","-11,723","-22,624","-23,435","-10,701","-4,192",,,,,,
04060,ARKANSAS                 ,CALHOUN,"-4,230","-6,104","-7,901","-6,849","-4,447","-55,492",,,,,,
04070,ARKANSAS                 ,CARROLL,"-29,380","-25,149","-31,343","-25,574","-39,322","-9,144",,,,,,
04080,ARKANSAS                 ,CHICOT,"-32,412","-27,879","-19,627","-10,440","-24,345",0,,,,,,
04090,ARKANSAS                 ,CLARK,"-28,260","-33,089","-29,074","-28,206","-8,283","-4,434",,,,,,
04100,ARKANSAS                 ,CLAY,"-77,962","-80,640","-110,384","-93,435","-48,743","-7,127",,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-78,825","-77,247","-66,988","-102,188","-54,110","-11,139",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-8,069","-22,719","-6,257","-21,989","-17,060","-5,740",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-79,544","-69,223","-75,640","-51,474","-29,538","-10,840",,,,,,
04140,ARKANSAS                 ,CONWAY,"-35,632","-87,594","-46,665","-42,332","-45,761","-2,127",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-450,453","-419,257","-398,207","-318,754","-226,015","-2,835",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-99,366","-161,275","-122,362","-101,142","-49,004","-8,116",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-223,740","-233,572","-195,863","-160,815","-145,985","-6,482",,,,,,
04180,ARKANSAS                 ,CROSS,"-64,519","-46,696","-63,940","-67,574","-20,540","-6,357",,,,,,
04190,ARKANSAS                 ,DALLAS,"-9,386","-9,786","-4,101","-9,289","-12,005","-4,774",,,,,,
04200,ARKANSAS                 ,DESHA,"-40,709","-43,321","-25,787","-14,105","-8,425","-5,185",,,,,,
04210,ARKANSAS                 ,DREW,"-14,749","-18,162","-30,366","-40,982","-21,452",-807,,,,,,
04220,ARKANSAS                 ,FAULKNER,"-112,634","-123,802","-117,864","-157,560","-161,684","-5,655",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-22,646","-22,893","-21,614","-35,559","-18,661","-7,972",,,,,,
04240,ARKANSAS                 ,FULTON,"-46,207","-39,945","-64,920","-45,780","-15,571","-40,839",,,,,,
