"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
15900,INDIANA                  ,WHITE,"17,031","-43,266","-31,728","-27,563","-10,536","-126,985",,,,,,
15910,INDIANA                  ,WHITLEY,"5,105","26,130","-4,626","-2,131","4,293","-22,803",,,,,,
16000,IOWA                     ,ADAIR,"1,355","3,195",475,"-1,145","1,235","-9,775",,,,,,
16010,IOWA                     ,ADAMS,"-3,957","-5,209","-6,370","-4,143","-4,209","-53,948",,,,,,
16020,IOWA                     ,ALLAMAKEE,-655,-298,-142,"-23,277","-6,771","-601,239",,,,,,
16030,IOWA                     ,APPANOOSE,"-3,995","-28,701","-1,702","-20,680","-17,712","-4,739",,,,,,
16040,IOWA                     ,AUDUBON,"-5,153","-1,871","-8,161",-744,"-1,528","-1,160",,,,,,
16050,IOWA                     ,BENTON,"-3,916","-3,209","-14,900","-32,774","-16,604","-6,980",,,,,,
16060,IOWA                     ,BLACK HAWK,"17,192","4,947","-142,832","-286,045","-302,487","-26,311",,,,,,
16070,IOWA                     ,BOONE,"-2,412","-3,843","-6,285","-18,089","-10,643","-5,025",,,,,,
16080,IOWA                     ,BREMER,"3,150","-9,895","-11,988","-15,934","-28,755","-13,040",,,,,,
16090,IOWA                     ,BUCHANAN,"3,505","-17,057","-16,918","-56,808","-13,911","-3,594",,,,,,
16100,IOWA                     ,BUENA VISTA,89,"-3,457","-2,191","-3,345","-1,401","-12,404",,,,,,
16110,IOWA                     ,BUTLER,"-1,936","-5,190","-4,150","-10,447","-36,983","-1,980",,,,,,
16120,IOWA                     ,CALHOUN,"-7,829",-776,"-2,046","-9,795","-2,384","-4,296",,,,,,
16130,IOWA                     ,CARROLL,"-3,514","-19,653","-22,249","-17,883","-12,298","-5,893",,,,,,
16140,IOWA                     ,CASS,"-16,983","-18,474","-6,458","-25,465","-13,516","-2,742",,,,,,
16150,IOWA                     ,CEDAR,"1,582","-31,039","-21,403","-17,254","-14,323","-2,755",,,,,,
16160,IOWA                     ,CERRO GORDO,"5,722","-6,473","-5,005","-16,548","-20,899",-966,,,,,,
16170,IOWA                     ,CHEROKEE,"-1,247","-9,794","-2,626","1,703",-649,"-33,455",,,,,,
16180,IOWA                     ,CHICKASAW,"2,187","2,004","-2,736","-3,402","-14,692","-4,981",,,,,,
16190,IOWA                     ,CLARKE,"6,900","4,737","-4,894","-1,323",180,"-2,635",,,,,,
16200,IOWA                     ,CLAY,"-7,393","-11,046","-5,019","-9,428","-14,691","-5,180",,,,,,
16210,IOWA                     ,CLAYTON,"-2,931","-5,478",82,"-2,272","-26,121","-6,103",,,,,,
16220,IOWA                     ,CLINTON,"-28,209","-41,712","-33,740","-72,643","-29,882","-6,956",,,,,,
16230,IOWA                     ,CRAWFORD,"-22,765","-41,571","-22,939","-10,941","-15,842","-3,688",,,,,,
16240,IOWA                     ,DALLAS,"12,562","-6,805","22,006",335,"-6,743","-21,788",,,,,,
16250,IOWA                     ,DAVIS,"-2,704","1,110","2,341","6,409","-13,116","-10,724",,,,,,
16260,IOWA                     ,DECATUR,"-1,609","-2,684","-3,712","-1,029","2,584","-10,520",,,,,,
16270,IOWA                     ,DELAWARE,"-7,910","-23,696","-18,422","-7,204","-6,855","-3,834",,,,,,
16280,IOWA                     ,DES MOINES,"-28,016","-33,399","-70,165","-76,742","-95,516","-7,699",,,,,,
16290,IOWA                     ,DICKINSON,"2,353","-4,474","-14,143","-12,053","-5,460","-6,350",,,,,,
16300,IOWA                     ,DUBUQUE,"63,699","50,496","3,011","17,435","-23,295","-6,641",,,,,,
16310,IOWA                     ,EMMET,-686,"-2,997",-762,"-9,081","-13,939","-3,154",,,,,,
16320,IOWA                     ,FAYETTE,"-1,680","-7,987","-15,601","-25,773","-39,938","-18,772",,,,,,
16330,IOWA                     ,FLOYD,"-3,483",420,"-1,689","-3,621","-8,542","-4,950",,,,,,
16340,IOWA                     ,FRANKLIN,"-8,251","2,965","1,435",-761,-355,-738,,,,,,
16350,IOWA                     ,FREMONT,"-32,893","-19,473","-23,101","-10,090","-6,349","-68,818",,,,,,
16360,IOWA                     ,GREENE,793,"2,232","-9,925","-4,510","-4,001","-4,308",,,,,,
16370,IOWA                     ,GRUNDY,"-15,477","-3,108","-11,090","-8,316","-45,184","-34,824",,,,,,
16380,IOWA                     ,GUTHRIE,"10,098","7,091",-494,"-7,557","-8,828","-9,018",,,,,,
16390,IOWA                     ,HAMILTON,"-5,245","-1,184",593,"-17,174","-7,447","-2,720",,,,,,
16400,IOWA                     ,HANCOCK,"20,055","3,149","-1,989","-9,291","-6,388","-8,819",,,,,,
16410,IOWA                     ,HARDIN,"-9,322","-3,882","-9,752","-35,902","-32,876","-2,588",,,,,,
16420,IOWA                     ,HARRISON,"-15,823","-27,618","-44,540","-25,292","-19,651","-6,670",,,,,,
16430,IOWA                     ,HENRY,"-6,590","-35,336","-18,118","-15,998","3,266","-3,624",,,,,,
16440,IOWA                     ,HOWARD,"-3,343","5,395",228,"-13,547","-2,107","-6,005",,,,,,
16450,IOWA                     ,HUMBOLDT,"-16,751","-1,199",-150,"3,846",-585,"-3,651",,,,,,
16460,IOWA                     ,IDA,"-3,075","-5,135",414,"2,155","-2,253",0,,,,,,
16470,IOWA                     ,IOWA,"6,907","2,878","3,808","-1,269","-15,256",-613,,,,,,
16480,IOWA                     ,JACKSON,"-23,978","13,563","5,032","-17,290","-14,748",-987,,,,,,
16490,IOWA                     ,JASPER,"-7,966","10,837","14,796","8,049","-13,597","-1,001",,,,,,
16500,IOWA                     ,JEFFERSON,"-2,996","-5,020","2,183","-35,015","-19,046","-5,639",,,,,,
16510,IOWA                     ,JOHNSON,"104,586","106,239","22,822","-34,361","-82,691",-851,,,,,,
16520,IOWA                     ,JONES,"1,796","-19,894","-8,518","-5,743","-54,781","-7,711",,,,,,
16530,IOWA                     ,KEOKUK,"3,581",-200,"-3,474","-12,530","-10,134","-81,406",,,,,,
16540,IOWA                     ,KOSSUTH,"-1,827","-1,328",-200,"-1,456","-4,047","-3,814",,,,,,
16550,IOWA                     ,LEE,"-55,296","-43,905","-57,383","-68,513","-65,224","-8,592",,,,,,
16560,IOWA                     ,LINN,"15,606","-71,609","-78,962","-221,455","-112,298","-5,445",,,,,,
16570,IOWA                     ,LOUISA,"1,602",40,"-3,700","-25,677","-28,460","-1,052",,,,,,
16580,IOWA                     ,LUCAS,"-2,774","-6,821",-950,"-4,919","-2,953","-3,817",,,,,,
16590,IOWA                     ,LYON,"3,594","3,339","-6,029","-1,190","-9,749","-1,424",,,,,,
16600,IOWA                     ,MADISON,"3,513","5,176",192,"-3,181","-11,017","-3,902",,,,,,
16610,IOWA                     ,MAHASKA,"-19,606","-19,201","-2,277","-32,810","-15,793","-3,000",,,,,,
16620,IOWA                     ,MARION,"-4,530","-16,711","1,054","-11,184","-3,583","-5,768",,,,,,
16630,IOWA                     ,MARSHALL,"-17,217","-31,377","-21,664","-22,588","-15,758","-10,686",,,,,,
16640,IOWA                     ,MILLS,"-82,205","-40,831","-24,829","-23,189","-44,539",-78,,,,,,
16650,IOWA                     ,MITCHELL,"1,327","-8,972",-981,"-1,886","-1,651","-4,854",,,,,,
16660,IOWA                     ,MONONA,"-7,050","-9,061","-3,876","-2,030","-2,669","-1,955",,,,,,
16670,IOWA                     ,MONROE,-747,"-5,205","-11,504","-2,643","-13,643","-1,809",,,,,,
16680,IOWA                     ,MONTGOMERY,"-3,247","-15,880","-16,199","-8,156","-6,734","-11,520",,,,,,
16690,IOWA                     ,MUSCATINE,"-24,366","25,764","-36,748","-39,314","-33,193","-19,925",,,,,,
16700,IOWA                     ,O'BRIEN,"-10,901","-2,475","-2,846","-6,897","-7,057","-3,109",,,,,,
16710,IOWA                     ,OSCEOLA,"-1,569","-15,192","-5,545","-1,165","-2,914","-7,223",,,,,,
16720,IOWA                     ,PAGE,"-21,712","-19,279","-7,859","-11,021","-22,670","-2,546",,,,,,
16730,IOWA                     ,PALO ALTO,"2,466","-1,889","2,831","-13,281","2,390","-1,162",,,,,,
16740,IOWA                     ,PLYMOUTH,"-9,181","-4,952","-10,673","-4,926",-651,"-6,414",,,,,,
16750,IOWA                     ,POCAHONTAS,-355,747,"1,837",-385,"-2,549","-31,204",,,,,,
16760,IOWA                     ,POLK,"808,705","641,692","1,016,996","658,785","388,466","-1,361",,,,,,
16770,IOWA                     ,POTTAWATTAMIE,"-81,596","-92,605","-125,764","-105,637","-144,767","-7,386",,,,,,
16780,IOWA                     ,POWESHIEK,"2,445","-16,661","-37,441","-12,745","-7,425",-673,,,,,,
16790,IOWA                     ,RINGGOLD,847,"-1,013",158,209,"-15,674","-9,584",,,,,,
16800,IOWA                     ,SAC,"-6,824","-2,260","-3,382","-5,205","-1,831","-2,446",,,,,,
16810,IOWA                     ,SCOTT,"-89,813","-120,293","-185,634","-297,839","-229,928","-2,541",,,,,,
16820,IOWA                     ,SHELBY,"-6,154","-9,811","-8,712","-3,121","-13,881","-2,062",,,,,,
16830,IOWA                     ,SIOUX,"-6,263",-292,"-5,524","-9,497","-14,756","-1,354",,,,,,
16840,IOWA                     ,STORY,"3,694","16,162","28,497","20,900","23,272","-4,367",,,,,,
16850,IOWA                     ,TAMA,"5,261",195,"-9,845","-18,686","-19,354","-2,255",,,,,,
16860,IOWA                     ,TAYLOR,"1,807","-4,018","-3,562","-4,142","-2,998","-2,323",,,,,,
16870,IOWA                     ,UNION,"6,050","-1,301","-12,957","-4,939","-20,231",-649,,,,,,
16880,IOWA                     ,VAN BUREN,459,"-20,123","-3,937","-1,820","-1,500","-5,861",,,,,,
16890,IOWA                     ,WAPELLO,"-45,944","-28,854","-57,290","-11,081","-51,343","-3,089",,,,,,
16900,IOWA                     ,WARREN,"26,291","10,399","26,547","8,900","-4,959","-28,102",,,,,,
16910,IOWA                     ,WASHINGTON,"4,703","-41,416","-36,503","-28,793","-2,510","-1,395",,,,,,
16920,IOWA                     ,WAYNE,-503,"-4,112","-1,431","-8,518","-2,395","-1,058",,,,,,
16930,IOWA                     ,WEBSTER,"-12,738","-7,622","-13,792","7,288","-15,034","-2,860",,,,,,
16940,IOWA                     ,WINNEBAGO,"1,872","2,033","-3,222","-2,012",67,"-15,552",,,,,,
16950,IOWA                     ,WINNESHIEK,"-6,775","9,387","6,967","-2,267","-21,653","-6,873",,,,,,
16960,IOWA                     ,WOODBURY,"-17,578","-6,705","-36,719","-54,236","-27,168","-9,365",,,,,,
16970,IOWA                     ,WORTH,582,-96,"-1,161",0,"-1,131","-7,006",,,,,,
16980,IOWA                     ,WRIGHT,"-1,132",-445,"1,790","-12,738",311,"-102,223",,,,,,
17000,KANSAS                   ,ALLEN,"-12,006","-2,138","-4,053","-12,944","1,174","-12,975",,,,,,
17010,KANSAS                   ,ANDERSON,"3,853","5,989","-1,500","4,171","-5,977","-12,707",,,,,,
17020,KANSAS                   ,ATCHISON,"-4,519","-17,763","-9,014","-13,540","-4,915","-1,058",,,,,,
17030,KANSAS                   ,BARBER,"-1,998","-7,273","-7,415","-2,558","-1,226","-18,267",,,,,,
17040,KANSAS                   ,BARTON,"-10,936","-10,345","-17,081","-13,200","-4,768","-99,989",,,,,,
17050,KANSAS                   ,BOURBON,"-31,665","-27,592","-10,083","-20,283","-8,981","-8,426",,,,,,
17060,KANSAS                   ,BROWN,"-1,640","-2,095","-17,505","-8,568","-13,798","-1,980",,,,,,
17070,KANSAS                   ,BUTLER,"-12,870","-28,018","-35,527","-41,709","-35,856",-979,,,,,,
17080,KANSAS                   ,CHASE,"-1,505","-3,987","-5,595","-1,295","-1,523","-1,646",,,,,,
17090,KANSAS                   ,CHAUTAUQUA,"-4,786","-5,714","-4,183","-3,601","-1,756","-1,497",,,,,,
17100,KANSAS                   ,CHEROKEE,"-116,516","-140,099","-75,066","-108,425","-42,557","-3,154",,,,,,
17110,KANSAS                   ,CHEYENNE,"1,691",374,-255,"1,325",353,"-13,891",,,,,,
17120,KANSAS                   ,CLARK,773,130,"-1,085",-282,0,"-10,612",,,,,,
17130,KANSAS                   ,CLAY,"4,900","-2,269","-1,840","-4,101","-8,708",-466,,,,,,
17140,KANSAS                   ,CLOUD,"1,193","-5,480","-3,065","-5,453","-1,683","-2,258",,,,,,
17150,KANSAS                   ,COFFEY,"-5,094","4,070","-5,165","-1,729","-3,070","-1,522",,,,,,
17160,KANSAS                   ,COMANCHE,815,"-1,024","-1,656",-878,"-1,026","-2,200",,,,,,
17170,KANSAS                   ,COWLEY,"-11,835","-15,385","-34,510","-69,649","-26,173","-24,798",,,,,,
17180,KANSAS                   ,CRAWFORD,"-152,973","-217,950","-54,795","-38,090","-36,469","-1,510",,,,,,
17190,KANSAS                   ,DECATUR,"-4,220","-1,650",-795,-904,"-1,935",-680,,,,,,
17200,KANSAS                   ,DICKINSON,"-7,804","-3,079","-4,906","-5,587",-781,"-1,855",,,,,,
17210,KANSAS                   ,DONIPHAN,"-1,602","-2,607","-5,684","-5,352","-3,476",-566,,,,,,
17220,KANSAS                   ,DOUGLAS,"9,013","-34,552","-69,334","-39,797","-29,741","-4,037",,,,,,
17230,KANSAS                   ,EDWARDS,"-1,256","-6,498",0,249,0,"-1,305",,,,,,
17240,KANSAS                   ,ELK,"-2,852",-653,243,"-5,385",-301,"-248,466",,,,,,
17250,KANSAS                   ,ELLIS,"-4,954","-9,303",-122,"-13,608","-4,518","-40,277",,,,,,
17260,KANSAS                   ,ELLSWORTH,"-1,217",19,456,"-2,835","-2,370","-12,903",,,,,,
17270,KANSAS                   ,FINNEY,"-8,635","-1,630","-9,814","-20,638","-16,866","-1,607",,,,,,
17280,KANSAS                   ,FORD,"-3,508","-8,619","-26,052","-11,943","-11,717","-1,563",,,,,,
17290,KANSAS                   ,FRANKLIN,"12,271","20,189","18,045","-2,754","-11,651","-82,482",,,,,,
17300,KANSAS                   ,GEARY,"-11,391","-9,595","-3,326","-17,867","-8,129","-1,462",,,,,,
17310,KANSAS                   ,GOVE,710,"-1,017",142,-154,-565,"-5,404",,,,,,
17320,KANSAS                   ,GRAHAM,"-1,082",37,"-1,389","1,194",346,"-13,249",,,,,,
17330,KANSAS                   ,GRANT,"-1,030","-4,160","-3,686","-5,268","-8,296","-4,565",,,,,,
17340,KANSAS                   ,GRAY,"-1,055",420,-139,"-5,357","-1,453",-590,,,,,,
17350,KANSAS                   ,GREELEY,-772,0,-177,0,0,"-5,510",,,,,,
17360,KANSAS                   ,GREENWOOD,-288,"-5,943","-9,206","-19,047","-6,296","-5,475",,,,,,
17370,KANSAS                   ,HAMILTON,"1,025","1,271",207,124,-80,"-28,154",,,,,,
17380,KANSAS                   ,HARPER,"1,114","-4,291","-12,396","1,401","-3,777","-12,393",,,,,,
17390,KANSAS                   ,HARVEY,"24,647","-1,015","-5,685","-18,849","-25,810","-21,163",,,,,,
17391,KANSAS                   ,HASKELL,"-13,016","1,331",398,"-1,119",0,"-1,374",,,,,,
17410,KANSAS                   ,HODGEMAN,"1,271",-832,0,17,392,"-8,018",,,,,,
17420,KANSAS                   ,JACKSON,477,"-6,556","-12,416","-15,576","-23,325",-246,,,,,,
17430,KANSAS                   ,JEFFERSON,-447,"-22,375","-21,449","-24,314","-11,471","-2,661",,,,,,
17440,KANSAS                   ,JEWELL,"-2,209","-5,097","-1,481","-2,585",-602,"-43,809",,,,,,
17450,KANSAS                   ,JOHNSON,"270,682","253,125","211,941","221,604","107,814",709,,,,,,
17451,KANSAS                   ,KEARNY,-988,-62,-313,"-4,195",-548,"-1,948",,,,,,
17470,KANSAS                   ,KINGMAN,"-1,686","1,830","-3,587","-2,452","-2,453",0,,,,,,
17480,KANSAS                   ,KIOWA,"-1,003",119,"-2,261","-1,402",478,"-5,603",,,,,,
17490,KANSAS                   ,LABETTE,"-50,863","-74,612","-35,691","-42,489","-25,692","-1,197",,,,,,
17500,KANSAS                   ,LANE,0,"-8,250",791,-172,-132,"-4,826",,,,,,
17510,KANSAS                   ,LEAVENWORTH,"-29,876","-74,112","-27,825","-16,979",-224,0,,,,,,
17520,KANSAS                   ,LINCOLN,-36,-208,-59,332,55,"-3,640",,,,,,
17530,KANSAS                   ,LINN,"-3,025","-5,242","2,321","6,059","3,780","-1,125",,,,,,
17540,KANSAS                   ,LOGAN,0,"-1,837",0,-89,815,-328,,,,,,
17550,KANSAS                   ,LYON,"-7,063","-20,952","-21,740","-58,155","-43,638","-15,431",,,,,,
17560,KANSAS                   ,MCPHERSON,"-13,435","-2,814","-14,229","-12,690","-23,400",-262,,,,,,
17570,KANSAS                   ,MARION,"2,312","-5,344","-1,755","-23,790","-4,011","-1,811",,,,,,
17580,KANSAS                   ,MARSHALL,-799,"1,755","-33,917","-4,424","-9,280","-1,204",,,,,,
17590,KANSAS                   ,MEADE,-309,-904,-502,0,186,"-1,015",,,,,,
17600,KANSAS                   ,MIAMI,"21,122","23,197","9,387","2,692","15,085",0,,,,,,
17610,KANSAS                   ,MITCHELL,435,"-3,937","-2,754",63,-292,"-1,194",,,,,,
17620,KANSAS                   ,MONTGOMERY,"-66,360","-79,411","-44,990","-68,137","-35,155",-500,,,,,,
17630,KANSAS                   ,MORRIS,423,"-10,831","-14,224","-8,462","-1,316",-291,,,,,,
17640,KANSAS                   ,MORTON,924,"-1,748",254,215,-888,0,,,,,,
17650,KANSAS                   ,NEMAHA,"-1,821","-1,251","-2,792","-13,951","-1,866","-6,725",,,,,,
17660,KANSAS                   ,NEOSHO,"-10,765","-23,619","-12,877","-19,959","-9,093",0,,,,,,
17670,KANSAS                   ,NESS,255,-334,-378,-972,-588,"-4,084",,,,,,
17680,KANSAS                   ,NORTON,661,"-1,676","-1,648","-4,715","-2,481",-383,,,,,,
17690,KANSAS                   ,OSAGE,"-8,395","-11,393","-34,691","-45,850","-27,841","-1,598",,,,,,
17700,KANSAS                   ,OSBORNE,"-2,812",-961,356,194,"-1,241",-634,,,,,,
17710,KANSAS                   ,OTTAWA,"-3,711",395,-199,"-1,340",945,"-12,529",,,,,,
17720,KANSAS                   ,PAWNEE,238,-757,652,"-5,037","-4,379",-181,,,,,,
17730,KANSAS                   ,PHILLIPS,-741,"-1,568","-1,110",284,0,"-2,965",,,,,,
17740,KANSAS                   ,POTTAWATOMIE,"2,543",-672,"-5,784","-4,987","-17,625","-1,225",,,,,,
17750,KANSAS                   ,PRATT,"-1,203","-1,938","-2,180","-3,062","-4,554",-884,,,,,,
17760,KANSAS                   ,RAWLINS,951,-391,"-5,591","3,376",53,"-5,613",,,,,,
17770,KANSAS                   ,RENO,"-37,805","-28,123","-29,758","-30,243","-42,874","-3,491",,,,,,
17780,KANSAS                   ,REPUBLIC,78,"-5,587","-3,730",-435,116,-651,,,,,,
17790,KANSAS                   ,RICE,"-3,187","-1,625","-3,977","-3,929","-1,378","-3,166",,,,,,
17800,KANSAS                   ,RILEY,"9,189","-3,532","-8,692","-13,328","-37,740",-361,,,,,,
17810,KANSAS                   ,ROOKS,"3,179",-770,567,"-2,101","-5,992","-1,017",,,,,,
17820,KANSAS                   ,RUSH,"-2,730",136,"-5,442","-1,719","-4,637","-1,176",,,,,,
17830,KANSAS                   ,RUSSELL,"-3,151","-3,456","-5,835","-3,354","-6,627",-181,,,,,,
17840,KANSAS                   ,SALINE,"-7,578","-24,840","-12,985","-6,920","-26,061",-815,,,,,,
17841,KANSAS                   ,SCOTT,-91,0,"-4,991","-1,273",0,"-1,982",,,,,,
17860,KANSAS                   ,SEDGWICK,"89,049","-16,420","-206,402","-401,475","-316,131",-442,,,,,,
17870,KANSAS                   ,SEWARD,"-30,715","-13,455","-3,596","-11,656",-682,"-3,168",,,,,,
17880,KANSAS                   ,SHAWNEE,"-16,695","-75,157","-303,091","-496,564","-299,985","-6,197",,,,,,
17890,KANSAS                   ,SHERIDAN,0,"-5,672",-686,"2,041","1,434",0,,,,,,
17900,KANSAS                   ,SHERMAN,-292,"6,272","7,348","-1,581",779,0,,,,,,
17910,KANSAS                   ,SMITH,-725,-471,50,"-1,748",-939,"-6,190",,,,,,
17920,KANSAS                   ,STAFFORD,-932,"-2,477","-4,497",-592,"-4,417","-4,811",,,,,,
17921,KANSAS                   ,STANTON,2,-913,"-1,854",0,0,0,,,,,,
17940,KANSAS                   ,STEVENS,"-1,256",-303,"-1,467","-1,930",-749,"-54,751",,,,,,
17950,KANSAS                   ,SUMNER,"-2,496","-26,841","-7,919","-24,000","-19,761",-181,,,,,,
17960,KANSAS                   ,THOMAS,"10,678","6,930",-499,"-7,625","-2,475","-3,441",,,,,,
17970,KANSAS                   ,TREGO,-530,0,"-2,128","1,642",0,-181,,,,,,
17980,KANSAS                   ,WABAUNSEE,"1,786","-12,662","-9,551","-10,980",-852,"-2,553",,,,,,
17981,KANSAS                   ,WALLACE,435,"1,340",213,0,"1,132",0,,,,,,
17982,KANSAS                   ,WASHINGTON,"-3,616","-3,863",-682,-455,398,"-23,502",,,,,,
17983,KANSAS                   ,WICHITA,-756,-515,"-6,823","-15,797",-438,0,,,,,,
17984,KANSAS                   ,WILSON,"-12,048","-10,233","-2,303","-23,133","-6,335",759,,,,,,
17985,KANSAS                   ,WOODSON,"1,820","-3,633","-2,485","-6,333","-5,816",0,,,,,,
17986,KANSAS                   ,WYANDOTTE,"1,134","-19,870","-90,442","-93,495","23,370","-12,183",,,,,,
18000,KENTUCKY                 ,ADAIR,"-154,940","-156,630","-154,603","-78,760","-75,969","-3,428",,,,,,
18010,KENTUCKY                 ,ALLEN,"-94,682","-87,051","-105,509","-83,651","-49,154","-3,680",,,,,,
18020,KENTUCKY                 ,ANDERSON,"-42,825","-32,119","-44,540","-22,443","-31,058","-1,613",,,,,,
18030,KENTUCKY                 ,BALLARD,"-6,327","-6,883","-1,668","-6,223",-253,0,,,,,,
18040,KENTUCKY                 ,BARREN,"-245,325","-232,191","-276,176","-245,433","-173,398",-311,,,,,,
18050,KENTUCKY                 ,BATH,"-70,192","-80,997","-55,762","-60,056","-49,007",-343,,,,,,
18060,KENTUCKY                 ,BELL,"-174,761","-185,867","-156,511","-103,435","-43,137","-6,734",,,,,,
18070,KENTUCKY                 ,BOONE,"-79,429","-89,856","-163,571","-207,566","-47,907","-4,041",,,,,,
18080,KENTUCKY                 ,BOURBON,"-3,734","-33,332","-32,545","-53,715","-46,506",0,,,,,,
18090,KENTUCKY                 ,BOYD,"-458,311","-527,415","-444,414","-385,062","-219,421","-1,099",,,,,,
18100,KENTUCKY                 ,BOYLE,"-165,264","-197,363","-228,538","-120,143","-98,168","-1,605",,,,,,
18110,KENTUCKY                 ,BRACKEN,"-43,650","-54,490","-8,479","-18,449","2,517",-815,,,,,,
18120,KENTUCKY                 ,BREATHITT,"-98,475","-143,419","-121,325","-129,526","-48,561",0,,,,,,
18130,KENTUCKY                 ,BRECKINRIDGE,"-27,562","-44,978","-33,362","-56,431","-55,614","-4,829",,,,,,
18140,KENTUCKY                 ,BULLITT,"-70,235","-79,495","-141,325","-185,736","-151,990",0,,,,,,
18150,KENTUCKY                 ,BUTLER,"-50,086","-69,384","-54,180","-32,122","-34,297",-649,,,,,,
18160,KENTUCKY                 ,CALDWELL,"-19,155","-16,483","-18,058","-8,134","-37,930",-815,,,,,,
18170,KENTUCKY                 ,CALLOWAY,"-38,807","-57,435","-76,230","-78,230","-23,284",0,,,,,,
18180,KENTUCKY                 ,CAMPBELL,"-44,255","-108,951","-65,656","-29,142","-13,889","-3,776",,,,,,
18190,KENTUCKY                 ,CARLISLE,"-5,948","-14,406","-9,446","-4,547","1,034","-1,176",,,,,,
18191,KENTUCKY                 ,CARROLL,"-27,227","-24,336","-39,379","-63,715","-36,434","-1,144",,,,,,
18210,KENTUCKY                 ,CARTER,"-226,066","-186,420","-167,531","-159,646","-107,051","-9,077",,,,,,
18220,KENTUCKY                 ,CASEY,"-106,496","-100,596","-101,492","-76,240","-55,264",0,,,,,,
18230,KENTUCKY                 ,CHRISTIAN,"-232,890","-206,423","-191,981","-265,070","-129,216",-427,,,,,,
18240,KENTUCKY                 ,CLARK,"-75,661","-95,357","-61,039","-38,132","-50,298","-7,006",,,,,,
18250,KENTUCKY                 ,CLAY,"-505,861","-548,425","-588,787","-491,135","-319,049","-3,432",,,,,,
18260,KENTUCKY                 ,CLINTON,"-239,600","-197,604","-158,070","-172,647","-97,905",0,,,,,,
18270,KENTUCKY                 ,CRITTENDEN,"-17,162","-13,116","-10,909","-7,119","-6,085",-361,,,,,,
18271,KENTUCKY                 ,CUMBERLAND,"-36,242","-57,759","-65,196","-33,926","-22,602","-6,673",,,,,,
18290,KENTUCKY                 ,DAVIESS,"-78,577","-150,831","-162,943","-86,322","-59,882",0,,,,,,
18291,KENTUCKY                 ,EDMONSON,"-46,049","-79,259","-36,466","-30,688","-24,552","-295,470",,,,,,
18310,KENTUCKY                 ,ELLIOTT,"-64,558","-101,231","-130,883","-110,498","-74,312","-2,816",,,,,,
18320,KENTUCKY                 ,ESTILL,"-59,514","-62,574","-109,364","-53,293","-22,548","-107,018",,,,,,
18330,KENTUCKY                 ,FAYETTE,"-39,198","-363,979","-358,676","-433,756","-125,539",-442,,,,,,
18340,KENTUCKY                 ,FLEMING,"-88,720","-113,769","-111,399","-136,755","-58,456","-1,428",,,,,,
18350,KENTUCKY                 ,FLOYD,"-561,739","-472,993","-468,514","-321,773","-188,762",-495,,,,,,
18360,KENTUCKY                 ,FRANKLIN,"-164,167","-342,180","-233,782","-328,098","-153,580","-1,923",,,,,,
18361,KENTUCKY                 ,FULTON,"-31,768","-50,756","-40,399","-16,887","-4,716",0,,,,,,
18362,KENTUCKY                 ,GALLATIN,"-2,547","-8,500","-31,596","-32,088","-10,020",-889,,,,,,
18390,KENTUCKY                 ,GARRARD,"-31,404","-69,904","-75,864","-54,470","-60,030","-13,152",,,,,,
18400,KENTUCKY                 ,GRANT,198,"-28,376","-38,301","-69,554","-19,170","-1,323",,,,,,
18410,KENTUCKY                 ,GRAVES,"-138,415","-128,484","-141,843","-62,261","-62,738",0,,,,,,
18420,KENTUCKY                 ,GRAYSON,"-82,203","-86,470","-93,165","-134,064","-126,209",-958,,,,,,
18421,KENTUCKY                 ,GREEN,"-61,024","-30,016","-39,351","-62,145","-17,717",-355,,,,,,
18440,KENTUCKY                 ,GREENUP,"-538,720","-504,762","-417,171","-357,375","-260,402",-40,,,,,,
18450,KENTUCKY                 ,HANCOCK,"-16,119","-5,395","-5,921","-4,314","-1,155",-181,,,,,,
18460,KENTUCKY                 ,HARDIN,"-193,012","-139,326","-124,719","-328,732","-217,488","-2,212",,,,,,
18470,KENTUCKY                 ,HARLAN,"-391,934","-403,581","-361,659","-336,137","-234,305",-248,,,,,,
18480,KENTUCKY                 ,HARRISON,"-59,424","-53,596","-48,922","-77,907","-30,157","-117,995",,,,,,
18490,KENTUCKY                 ,HART,"-80,104","-88,155","-71,431","-103,590","-68,193",0,,,,,,
18500,KENTUCKY                 ,HENDERSON,"-123,361","-55,688","-91,559","-44,486","37,828","-5,775",,,,,,
18510,KENTUCKY                 ,HENRY,"-11,368","-27,004","-21,080","-58,431","-44,197","-5,678",,,,,,
18511,KENTUCKY                 ,HICKMAN,"-17,194","-22,363","-21,567","-4,489","-7,353","-11,023",,,,,,
