DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMSBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,
15060,INDIANA                  ,BROWN,0,0,0,0,0,,,,,,,,
15070,INDIANA                  ,CARROLL,0,0,0,0,0,,,,,,,,
15080,INDIANA                  ,CASS,0,0,0,0,0,,,,,,,,
15090,INDIANA                  ,CLARK,"-237,955","-300,314","-310,677","-317,164","-162,358",,,,,,,,
15100,INDIANA                  ,CLAY,-46,0,0,0,0,,,,,,,,
15110,INDIANA                  ,CLINTON,0,0,0,0,0,,,,,,,,
15120,INDIANA                  ,CRAWFORD,0,0,0,0,-259,,,,,,,,
15130,INDIANA                  ,DAVIESS,0,0,0,0,0,,,,,,,,
15140,INDIANA                  ,DEARBORN,"-52,750","-56,081","-18,423","-18,215","-16,926",,,,,,,,
15150,INDIANA                  ,DECATUR,0,0,0,0,0,,,,,,,,
15160,INDIANA                  ,DE KALB,0,0,0,0,0,,,,,,,,
15170,INDIANA                  ,DELAWARE,-119,-605,0,0,0,,,,,,,,
15180,INDIANA                  ,DUBOIS,0,0,0,0,0,,,,,,,,
15190,INDIANA                  ,ELKHART,0,0,-275,-65,-164,,,,,,,,
15200,INDIANA                  ,FAYETTE,"-2,214",-990,0,-266,-39,,,,,,,,
15210,INDIANA                  ,FLOYD,"-171,218","-187,642","-178,475","-171,495","-88,392",,,,,,,,
15220,INDIANA                  ,FOUNTAIN,0,0,0,0,0,,,,,,,,
15230,INDIANA                  ,FRANKLIN,"-26,470","-22,076","-22,283","-23,376","-27,625",,,,,,,,
15240,INDIANA                  ,FULTON,0,0,0,0,0,,,,,,,,
15250,INDIANA                  ,GIBSON,0,0,0,0,0,,,,,,,,
15260,INDIANA                  ,GRANT,0,0,0,0,0,,,,,,,,
15270,INDIANA                  ,GREENE,0,0,0,0,0,,,,,,,,
15280,INDIANA                  ,HAMILTON,"-122,337","-135,357","-133,807","-152,271","-82,223",,,,,,,,
15290,INDIANA                  ,HANCOCK,"-82,788","-77,726","-77,172","-77,438","-29,866",,,,,,,,
15300,INDIANA                  ,HARRISON,"-86,681","-87,978","-99,390","-90,705","-39,304",,,,,,,,
15310,INDIANA                  ,HENDRICKS,"-95,490","-96,036","-80,982","-74,042","-34,749",,,,,,,,
15320,INDIANA                  ,HENRY,0,0,0,0,0,,,,,,,,
15330,INDIANA                  ,HOWARD,0,0,0,0,0,,,,,,,,
15340,INDIANA                  ,HUNTINGTON,0,0,0,0,0,,,,,,,,
15350,INDIANA                  ,JACKSON,"-13,865","-7,201",-413,-126,0,,,,,,,,
15360,INDIANA                  ,JASPER,"-52,038","-45,333","-46,984","-53,512","-23,228",,,,,,,,
15370,INDIANA                  ,JAY,0,0,0,0,0,,,,,,,,
15380,INDIANA                  ,JEFFERSON,"-1,480","-4,365","-5,656","-7,424","-6,232",,,,,,,,
15390,INDIANA                  ,JENNINGS,0,0,0,0,0,,,,,,,,
15400,INDIANA                  ,JOHNSON,"-114,542","-125,634","-138,615","-159,794","-69,012",,,,,,,,
15410,INDIANA                  ,KNOX,0,0,0,0,0,,,,,,,,
15420,INDIANA                  ,KOSCIUSKO,0,0,0,0,0,,,,,,,,
15430,INDIANA                  ,LAGRANGE,0,0,0,0,0,,,,,,,,
15440,INDIANA                  ,LAKE,"-690,736","-738,116","-757,793","-819,825","-362,805",,,,,,,,
15450,INDIANA                  ,LA PORTE,0,-133,0,0,0,,,,,,,,
15460,INDIANA                  ,LAWRENCE,0,0,0,0,0,,,,,,,,
15470,INDIANA                  ,MADISON,"-18,379","-41,878","-47,972","-52,953","-29,793",,,,,,,,
15480,INDIANA                  ,MARION,"-1,141,712","-1,264,351","-1,373,259","-1,466,933","-725,507",,,,,,,,
15490,INDIANA                  ,MARSHALL,0,0,0,0,0,,,,,,,,
15500,INDIANA                  ,MARTIN,0,0,0,0,0,,,,,,,,
15510,INDIANA                  ,MIAMI,0,0,0,0,0,,,,,,,,
15520,INDIANA                  ,MONROE,"-5,148","-7,089","-8,393","-9,547","-1,843",,,,,,,,
15530,INDIANA                  ,MONTGOMERY,"-1,661","-4,483","-4,429","-7,711","-4,000",,,,,,,,
15540,INDIANA                  ,MORGAN,"-97,749","-103,282","-114,984","-113,340","-54,005",,,,,,,,
15550,INDIANA                  ,NEWTON,"-18,146","-17,328","-24,082","-25,928","-10,583",,,,,,,,
15560,INDIANA                  ,NOBLE,0,0,0,0,0,,,,,,,,
15570,INDIANA                  ,OHIO,0,0,0,0,0,,,,,,,,
15580,INDIANA                  ,ORANGE,-187,-51,0,0,0,,,,,,,,
15590,INDIANA                  ,OWEN,0,0,-550,0,0,,,,,,,,
15600,INDIANA                  ,PARKE,-549,-333,0,0,0,,,,,,,,
15610,INDIANA                  ,PERRY,0,0,0,0,0,,,,,,,,
15620,INDIANA                  ,PIKE,0,0,0,0,0,,,,,,,,
15630,INDIANA                  ,PORTER,"-171,314","-185,598","-205,251","-232,364","-104,990",,,,,,,,
15640,INDIANA                  ,POSEY,0,-588,-810,-75,0,,,,,,,,
15650,INDIANA                  ,PULASKI,0,0,0,0,0,,,,,,,,
15660,INDIANA                  ,PUTNAM,"-52,997","-53,914","-50,451","-49,227","-21,646",,,,,,,,
15670,INDIANA                  ,RANDOLPH,0,0,0,0,0,,,,,,,,
15680,INDIANA                  ,RIPLEY,"-20,336","-15,508","-11,853","-15,678","-17,220",,,,,,,,
15690,INDIANA                  ,RUSH,0,0,0,0,0,,,,,,,,
15700,INDIANA                  ,ST. JOSEPH,0,0,0,0,0,,,,,,,,
15710,INDIANA                  ,SCOTT,0,0,0,0,-468,,,,,,,,
15720,INDIANA                  ,SHELBY,"-84,201","-85,937","-102,599","-114,636","-58,975",,,,,,,,
15730,INDIANA                  ,SPENCER,0,0,0,0,0,,,,,,,,
15740,INDIANA                  ,STARKE,-116,0,0,0,0,,,,,,,,
15750,INDIANA                  ,STEUBEN,-306,-372,0,0,0,,,,,,,,
15760,INDIANA                  ,SULLIVAN,0,0,0,0,0,,,,,,,,
15770,INDIANA                  ,SWITZERLAND,0,0,-12,-17,0,,,,,,,,
15780,INDIANA                  ,TIPPECANOE,-641,"-3,007","-5,544","-5,937","-3,116",,,,,,,,
15790,INDIANA                  ,TIPTON,0,0,0,0,-45,,,,,,,,
15800,INDIANA                  ,UNION,"-3,096","-1,125","-1,673","-2,954","-1,694",,,,,,,,
15810,INDIANA                  ,VANDERBURGH,-612,-68,0,0,-50,,,,,,,,
15820,INDIANA                  ,VERMILLION,0,0,0,0,0,,,,,,,,
15830,INDIANA                  ,VIGO,-261,0,0,0,0,,,,,,,,
15840,INDIANA                  ,WABASH,0,0,0,0,0,,,,,,,,
15850,INDIANA                  ,WARREN,0,0,0,0,0,,,,,,,,
15860,INDIANA                  ,WARRICK,0,0,0,0,0,,,,,,,,
15870,INDIANA                  ,WASHINGTON,"-73,997","-76,741","-74,654","-85,765","-30,737",,,,,,,,
15880,INDIANA                  ,WAYNE,-878,-81,-882,"-1,785",-876,,,,,,,,
15890,INDIANA                  ,WELLS,0,0,0,0,0,,,,,,,,
15900,INDIANA                  ,WHITE,0,0,0,0,0,,,,,,,,
15910,INDIANA                  ,WHITLEY,0,0,0,0,0,,,,,,,,
16000,IOWA                     ,ADAIR,0,0,0,0,0,,,,,,,,
16010,IOWA                     ,ADAMS,0,0,0,0,0,,,,,,,,
16020,IOWA                     ,ALLAMAKEE,0,0,0,0,0,,,,,,,,
16030,IOWA                     ,APPANOOSE,0,0,0,0,0,,,,,,,,
16040,IOWA                     ,AUDUBON,0,0,0,0,0,,,,,,,,
16050,IOWA                     ,BENTON,0,0,0,0,0,,,,,,,,
16060,IOWA                     ,BLACK HAWK,0,0,0,0,0,,,,,,,,
16070,IOWA                     ,BOONE,0,0,0,0,0,,,,,,,,
16080,IOWA                     ,BREMER,-43,0,0,0,0,,,,,,,,
16090,IOWA                     ,BUCHANAN,0,0,0,0,0,,,,,,,,
16100,IOWA                     ,BUENA VISTA,0,0,0,0,0,,,,,,,,
16110,IOWA                     ,BUTLER,0,0,0,0,0,,,,,,,,
16120,IOWA                     ,CALHOUN,0,0,0,0,0,,,,,,,,
16130,IOWA                     ,CARROLL,0,0,0,0,0,,,,,,,,
16140,IOWA                     ,CASS,0,0,0,0,0,,,,,,,,
16150,IOWA                     ,CEDAR,0,0,0,"-1,519",-987,,,,,,,,
16160,IOWA                     ,CERRO GORDO,0,0,0,0,0,,,,,,,,
16170,IOWA                     ,CHEROKEE,0,0,0,0,0,,,,,,,,
16180,IOWA                     ,CHICKASAW,0,0,0,0,0,,,,,,,,
16190,IOWA                     ,CLARKE,0,0,0,0,0,,,,,,,,
16200,IOWA                     ,CLAY,0,0,0,0,0,,,,,,,,
16210,IOWA                     ,CLAYTON,0,-271,0,0,0,,,,,,,,
16220,IOWA                     ,CLINTON,0,0,0,0,0,,,,,,,,
16230,IOWA                     ,CRAWFORD,0,0,0,0,0,,,,,,,,
16240,IOWA                     ,DALLAS,0,0,0,0,0,,,,,,,,
16250,IOWA                     ,DAVIS,0,0,0,0,0,,,,,,,,
16260,IOWA                     ,DECATUR,0,0,0,0,0,,,,,,,,
16270,IOWA                     ,DELAWARE,0,0,0,0,0,,,,,,,,
16280,IOWA                     ,DES MOINES,0,0,0,0,0,,,,,,,,
16290,IOWA                     ,DICKINSON,0,0,0,0,0,,,,,,,,
16300,IOWA                     ,DUBUQUE,0,0,0,0,0,,,,,,,,
16310,IOWA                     ,EMMET,0,0,0,0,0,,,,,,,,
16320,IOWA                     ,FAYETTE,0,0,0,0,0,,,,,,,,
16330,IOWA                     ,FLOYD,0,0,0,0,0,,,,,,,,
16340,IOWA                     ,FRANKLIN,0,0,0,0,0,,,,,,,,
16350,IOWA                     ,FREMONT,0,0,-143,0,0,,,,,,,,
16360,IOWA                     ,GREENE,0,0,0,0,0,,,,,,,,
16370,IOWA                     ,GRUNDY,0,0,0,0,0,,,,,,,,
16380,IOWA                     ,GUTHRIE,0,0,0,0,0,,,,,,,,
16390,IOWA                     ,HAMILTON,0,0,0,0,0,,,,,,,,
16400,IOWA                     ,HANCOCK,0,0,0,0,0,,,,,,,,
16410,IOWA                     ,HARDIN,0,0,0,0,0,,,,,,,,
16420,IOWA                     ,HARRISON,"-18,855","-16,986","-17,435","-22,203","-13,851",,,,,,,,
16430,IOWA                     ,HENRY,0,0,0,0,0,,,,,,,,
16440,IOWA                     ,HOWARD,0,-152,-16,-45,0,,,,,,,,
16450,IOWA                     ,HUMBOLDT,0,0,0,0,0,,,,,,,,
16460,IOWA                     ,IDA,0,0,0,0,0,,,,,,,,
16470,IOWA                     ,IOWA,0,0,0,0,0,,,,,,,,
16480,IOWA                     ,JACKSON,0,0,0,0,0,,,,,,,,
16490,IOWA                     ,JASPER,0,0,0,0,0,,,,,,,,
16500,IOWA                     ,JEFFERSON,0,0,0,0,0,,,,,,,,
16510,IOWA                     ,JOHNSON,0,0,0,0,0,,,,,,,,
16520,IOWA                     ,JONES,0,0,0,0,0,,,,,,,,
16530,IOWA                     ,KEOKUK,0,0,0,0,0,,,,,,,,
16540,IOWA                     ,KOSSUTH,0,0,0,0,0,,,,,,,,
16550,IOWA                     ,LEE,0,0,0,0,0,,,,,,,,
16560,IOWA                     ,LINN,0,0,0,0,0,,,,,,,,
16570,IOWA                     ,LOUISA,0,0,0,0,0,,,,,,,,
16580,IOWA                     ,LUCAS,0,0,0,0,0,,,,,,,,
16590,IOWA                     ,LYON,0,0,0,0,0,,,,,,,,
16600,IOWA                     ,MADISON,0,0,0,0,0,,,,,,,,
16610,IOWA                     ,MAHASKA,0,0,0,0,-256,,,,,,,,
16620,IOWA                     ,MARION,0,0,0,0,0,,,,,,,,
16630,IOWA                     ,MARSHALL,0,0,0,0,0,,,,,,,,
16640,IOWA                     ,MILLS,"-22,493","-24,828","-27,650","-24,688","-9,469",,,,,,,,
16650,IOWA                     ,MITCHELL,0,0,0,0,0,,,,,,,,
16660,IOWA                     ,MONONA,0,0,0,0,0,,,,,,,,
16670,IOWA                     ,MONROE,0,0,0,0,0,,,,,,,,
16680,IOWA                     ,MONTGOMERY,0,0,0,0,0,,,,,,,,
16690,IOWA                     ,MUSCATINE,0,0,0,0,0,,,,,,,,
16700,IOWA                     ,O'BRIEN,0,0,0,0,0,,,,,,,,
16710,IOWA                     ,OSCEOLA,0,0,0,0,0,,,,,,,,
16720,IOWA                     ,PAGE,0,-349,0,0,0,,,,,,,,
16730,IOWA                     ,PALO ALTO,0,0,0,0,0,,,,,,,,
16740,IOWA                     ,PLYMOUTH,0,0,0,0,0,,,,,,,,
16750,IOWA                     ,POCAHONTAS,0,0,0,0,0,,,,,,,,
16760,IOWA                     ,POLK,0,0,0,0,0,,,,,,,,
16770,IOWA                     ,POTTAWATTAMIE,"-150,372","-139,647","-182,027","-183,621","-83,295",,,,,,,,
16780,IOWA                     ,POWESHIEK,0,0,0,0,0,,,,,,,,
16790,IOWA                     ,RINGGOLD,-17,0,0,0,0,,,,,,,,
16800,IOWA                     ,SAC,0,0,0,0,0,,,,,,,,
16810,IOWA                     ,SCOTT,0,0,0,0,0,,,,,,,,
16820,IOWA                     ,SHELBY,0,0,0,0,0,,,,,,,,
16830,IOWA                     ,SIOUX,0,0,0,0,0,,,,,,,,
16840,IOWA                     ,STORY,0,-67,0,0,0,,,,,,,,
16850,IOWA                     ,TAMA,0,0,0,0,0,,,,,,,,
16860,IOWA                     ,TAYLOR,0,0,0,0,0,,,,,,,,
16870,IOWA                     ,UNION,0,0,0,0,0,,,,,,,,
16880,IOWA                     ,VAN BUREN,0,0,0,0,0,,,,,,,,
16890,IOWA                     ,WAPELLO,0,0,0,0,0,,,,,,,,
16900,IOWA                     ,WARREN,0,0,0,0,0,,,,,,,,
16910,IOWA                     ,WASHINGTON,0,0,0,0,0,,,,,,,,
16920,IOWA                     ,WAYNE,0,0,0,0,0,,,,,,,,
16930,IOWA                     ,WEBSTER,0,0,0,0,0,,,,,,,,
16940,IOWA                     ,WINNEBAGO,0,0,0,0,0,,,,,,,,
16950,IOWA                     ,WINNESHIEK,0,0,0,0,0,,,,,,,,
16960,IOWA                     ,WOODBURY,0,0,0,0,0,,,,,,,,
16970,IOWA                     ,WORTH,0,0,0,0,0,,,,,,,,
16980,IOWA                     ,WRIGHT,0,0,0,0,0,,,,,,,,
17000,KANSAS                   ,ALLEN,0,0,0,0,0,,,,,,,,
17010,KANSAS                   ,ANDERSON,0,-42,-104,0,0,,,,,,,,
17020,KANSAS                   ,ATCHISON,0,0,0,0,0,,,,,,,,
17030,KANSAS                   ,BARBER,0,0,0,0,0,,,,,,,,
17040,KANSAS                   ,BARTON,0,0,0,0,-32,,,,,,,,
17050,KANSAS                   ,BOURBON,0,0,0,0,0,,,,,,,,
17060,KANSAS                   ,BROWN,0,0,0,0,0,,,,,,,,
17070,KANSAS                   ,BUTLER,"-74,037","-70,540","-81,241","-86,427","-38,290",,,,,,,,
17080,KANSAS                   ,CHASE,0,0,0,0,0,,,,,,,,
17090,KANSAS                   ,CHAUTAUQUA,0,0,0,0,0,,,,,,,,
17100,KANSAS                   ,CHEROKEE,0,0,0,0,0,,,,,,,,
17110,KANSAS                   ,CHEYENNE,0,0,0,0,0,,,,,,,,
17120,KANSAS                   ,CLARK,0,0,0,0,0,,,,,,,,
17130,KANSAS                   ,CLAY,0,0,0,0,0,,,,,,,,
17140,KANSAS                   ,CLOUD,0,0,0,0,0,,,,,,,,
17150,KANSAS                   ,COFFEY,0,0,0,0,0,,,,,,,,
17160,KANSAS                   ,COMANCHE,0,0,0,0,0,,,,,,,,
17170,KANSAS                   ,COWLEY,-834,-782,-189,-193,-391,,,,,,,,
17180,KANSAS                   ,CRAWFORD,0,0,0,-40,0,,,,,,,,
17190,KANSAS                   ,DECATUR,0,0,0,0,0,,,,,,,,
17200,KANSAS                   ,DICKINSON,-611,0,-70,0,0,,,,,,,,
17210,KANSAS                   ,DONIPHAN,0,0,0,0,0,,,,,,,,
17220,KANSAS                   ,DOUGLAS,"-14,445","-10,680","-5,347","-4,979","-6,884",,,,,,,,
17230,KANSAS                   ,EDWARDS,0,0,0,0,0,,,,,,,,
17240,KANSAS                   ,ELK,0,0,0,0,0,,,,,,,,
17250,KANSAS                   ,ELLIS,0,-349,-193,0,0,,,,,,,,
17260,KANSAS                   ,ELLSWORTH,0,0,0,0,0,,,,,,,,
17270,KANSAS                   ,FINNEY,0,0,0,0,0,,,,,,,,
17280,KANSAS                   ,FORD,0,0,0,0,0,,,,,,,,
17290,KANSAS                   ,FRANKLIN,"-47,131","-46,323","-18,787","-21,157","-18,184",,,,,,,,
17300,KANSAS                   ,GEARY,0,0,0,0,0,,,,,,,,
17310,KANSAS                   ,GOVE,0,0,0,0,0,,,,,,,,
17320,KANSAS                   ,GRAHAM,0,0,0,0,0,,,,,,,,
17330,KANSAS                   ,GRANT,0,0,0,0,0,,,,,,,,
17340,KANSAS                   ,GRAY,0,0,0,0,0,,,,,,,,
17350,KANSAS                   ,GREELEY,0,0,0,0,0,,,,,,,,
17360,KANSAS                   ,GREENWOOD,0,0,0,0,0,,,,,,,,
17370,KANSAS                   ,HAMILTON,0,0,0,0,0,,,,,,,,
17380,KANSAS                   ,HARPER,0,0,0,0,0,,,,,,,,
17390,KANSAS                   ,HARVEY,"-48,269","-49,416","-48,063","-50,202","-20,994",,,,,,,,
17391,KANSAS                   ,HASKELL,0,0,0,0,0,,,,,,,,
17410,KANSAS                   ,HODGEMAN,0,0,0,0,0,,,,,,,,
17420,KANSAS                   ,JACKSON,0,0,0,0,0,,,,,,,,
17430,KANSAS                   ,JEFFERSON,0,0,0,0,0,,,,,,,,
17440,KANSAS                   ,JEWELL,0,0,0,0,0,,,,,,,,
17450,KANSAS                   ,JOHNSON,"-287,062","-325,624","-151,290","-134,653","-126,641",,,,,,,,
17451,KANSAS                   ,KEARNY,0,0,0,0,0,,,,,,,,
17470,KANSAS                   ,KINGMAN,0,0,0,-40,0,,,,,,,,
17480,KANSAS                   ,KIOWA,0,0,0,0,0,,,,,,,,
17490,KANSAS                   ,LABETTE,-639,0,0,0,0,,,,,,,,
17500,KANSAS                   ,LANE,0,0,0,0,0,,,,,,,,
17510,KANSAS                   ,LEAVENWORTH,"-94,589","-118,470","-42,351","-30,399","-24,478",,,,,,,,
17520,KANSAS                   ,LINCOLN,0,0,0,0,0,,,,,,,,
17530,KANSAS                   ,LINN,0,0,0,0,0,,,,,,,,
17540,KANSAS                   ,LOGAN,0,0,0,0,0,,,,,,,,
17550,KANSAS                   ,LYON,0,0,0,0,0,,,,,,,,
17560,KANSAS                   ,MCPHERSON,0,-779,-851,-217,0,,,,,,,,
17570,KANSAS                   ,MARION,0,0,0,0,0,,,,,,,,
17580,KANSAS                   ,MARSHALL,0,0,0,0,0,,,,,,,,
17590,KANSAS                   ,MEADE,0,0,0,0,0,,,,,,,,
17600,KANSAS                   ,MIAMI,"-35,367","-34,558","-16,199","-9,343","-15,946",,,,,,,,
17610,KANSAS                   ,MITCHELL,0,0,0,0,0,,,,,,,,
17620,KANSAS                   ,MONTGOMERY,0,0,-316,-167,0,,,,,,,,
17630,KANSAS                   ,MORRIS,0,0,0,0,0,,,,,,,,
17640,KANSAS                   ,MORTON,0,0,0,0,0,,,,,,,,
17650,KANSAS                   ,NEMAHA,0,0,0,0,0,,,,,,,,
17660,KANSAS                   ,NEOSHO,0,0,0,0,0,,,,,,,,
17670,KANSAS                   ,NESS,0,0,0,0,0,,,,,,,,
17680,KANSAS                   ,NORTON,-860,-500,0,-172,0,,,,,,,,
17690,KANSAS                   ,OSAGE,0,-45,-209,-130,0,,,,,,,,
17700,KANSAS                   ,OSBORNE,0,0,0,0,0,,,,,,,,
17710,KANSAS                   ,OTTAWA,0,0,0,0,0,,,,,,,,
17720,KANSAS                   ,PAWNEE,-40,-4,0,0,0,,,,,,,,
17730,KANSAS                   ,PHILLIPS,0,0,0,0,0,,,,,,,,
17740,KANSAS                   ,POTTAWATOMIE,0,0,0,0,0,,,,,,,,
17750,KANSAS                   ,PRATT,0,0,0,0,0,,,,,,,,
17760,KANSAS                   ,RAWLINS,0,0,0,0,0,,,,,,,,
17770,KANSAS                   ,RENO,0,0,-177,0,0,,,,,,,,
17780,KANSAS                   ,REPUBLIC,0,0,0,0,0,,,,,,,,
17790,KANSAS                   ,RICE,0,0,0,0,0,,,,,,,,
17800,KANSAS                   ,RILEY,0,0,0,0,0,,,,,,,,
17810,KANSAS                   ,ROOKS,0,0,0,0,0,,,,,,,,
17820,KANSAS                   ,RUSH,0,0,0,0,0,,,,,,,,
17830,KANSAS                   ,RUSSELL,0,0,0,0,0,,,,,,,,
17840,KANSAS                   ,SALINE,0,-139,0,0,0,,,,,,,,
17841,KANSAS                   ,SCOTT,0,0,0,0,0,,,,,,,,
17860,KANSAS                   ,SEDGWICK,"-552,680","-604,695","-599,915","-639,298","-293,416",,,,,,,,
17870,KANSAS                   ,SEWARD,0,0,0,0,0,,,,,,,,
17880,KANSAS                   ,SHAWNEE,0,0,0,0,-56,,,,,,,,
17890,KANSAS                   ,SHERIDAN,0,0,0,0,0,,,,,,,,
17900,KANSAS                   ,SHERMAN,0,0,0,0,0,,,,,,,,
17910,KANSAS                   ,SMITH,0,0,0,0,0,,,,,,,,
17920,KANSAS                   ,STAFFORD,0,0,0,0,0,,,,,,,,
17921,KANSAS                   ,STANTON,0,0,0,0,0,,,,,,,,
17940,KANSAS                   ,STEVENS,0,0,0,0,0,,,,,,,,
17950,KANSAS                   ,SUMNER,"-24,244","-24,068","-26,649","-31,363","-18,415",,,,,,,,
17960,KANSAS                   ,THOMAS,0,0,0,0,0,,,,,,,,
17970,KANSAS                   ,TREGO,0,0,0,0,0,,,,,,,,
17980,KANSAS                   ,WABAUNSEE,0,-35,0,0,0,,,,,,,,
17981,KANSAS                   ,WALLACE,0,0,0,0,0,,,,,,,,
17982,KANSAS                   ,WASHINGTON,0,0,0,0,0,,,,,,,,
17983,KANSAS                   ,WICHITA,0,0,0,0,0,,,,,,,,
17984,KANSAS                   ,WILSON,0,0,0,0,0,,,,,,,,
17985,KANSAS                   ,WOODSON,0,0,0,0,0,,,,,,,,
17986,KANSAS                   ,WYANDOTTE,"-219,639","-252,117","-132,093","-116,579","-103,212",,,,,,,,
18000,KENTUCKY                 ,ADAIR,0,-229,-75,0,0,,,,,,,,
18010,KENTUCKY                 ,ALLEN,-42,0,0,0,0,,,,,,,,
18020,KENTUCKY                 ,ANDERSON,0,0,0,0,0,,,,,,,,
18030,KENTUCKY                 ,BALLARD,0,0,0,0,0,,,,,,,,
18040,KENTUCKY                 ,BARREN,0,-806,-813,-121,0,,,,,,,,
18050,KENTUCKY                 ,BATH,0,0,0,0,0,,,,,,,,
18060,KENTUCKY                 ,BELL,0,0,0,0,0,,,,,,,,
18070,KENTUCKY                 ,BOONE,"-87,742","-108,434","-48,565","-50,080","-41,518",,,,,,,,
18080,KENTUCKY                 ,BOURBON,-273,-250,0,0,0,,,,,,,,
18090,KENTUCKY                 ,BOYD,"-132,298","-139,435","-137,615","-146,551","-63,203",,,,,,,,
18100,KENTUCKY                 ,BOYLE,-16,0,0,0,0,,,,,,,,
18110,KENTUCKY                 ,BRACKEN,-5,0,0,0,0,,,,,,,,
18120,KENTUCKY                 ,BREATHITT,0,0,0,0,0,,,,,,,,
18130,KENTUCKY                 ,BRECKINRIDGE,-45,0,0,-42,-463,,,,,,,,
18140,KENTUCKY                 ,BULLITT,"-89,823","-94,491","-101,183","-136,362","-52,050",,,,,,,,
18150,KENTUCKY                 ,BUTLER,0,0,0,0,0,,,,,,,,
18160,KENTUCKY                 ,CALDWELL,0,0,0,0,0,,,,,,,,
18170,KENTUCKY                 ,CALLOWAY,0,0,0,0,0,,,,,,,,
18180,KENTUCKY                 ,CAMPBELL,"-91,820","-96,908","-37,816","-31,795","-32,580",,,,,,,,
18190,KENTUCKY                 ,CARLISLE,0,0,0,0,0,,,,,,,,
18191,KENTUCKY                 ,CARROLL,0,0,0,0,0,,,,,,,,
18210,KENTUCKY                 ,CARTER,-212,-739,-141,0,0,,,,,,,,
18220,KENTUCKY                 ,CASEY,0,0,0,0,0,,,,,,,,
18230,KENTUCKY                 ,CHRISTIAN,0,0,0,0,0,,,,,,,,
18240,KENTUCKY                 ,CLARK,0,0,0,0,0,,,,,,,,
18250,KENTUCKY                 ,CLAY,0,0,0,0,0,,,,,,,,
18260,KENTUCKY                 ,CLINTON,0,0,0,0,0,,,,,,,,
18270,KENTUCKY                 ,CRITTENDEN,0,0,0,0,0,,,,,,,,
18271,KENTUCKY                 ,CUMBERLAND,0,0,0,0,0,,,,,,,,
18290,KENTUCKY                 ,DAVIESS,0,-85,0,0,0,,,,,,,,
18291,KENTUCKY                 ,EDMONSON,0,0,0,0,0,,,,,,,,
18310,KENTUCKY                 ,ELLIOTT,0,0,0,0,0,,,,,,,,
18320,KENTUCKY                 ,ESTILL,0,0,0,0,0,,,,,,,,
18330,KENTUCKY                 ,FAYETTE,0,0,0,-453,0,,,,,,,,
18340,KENTUCKY                 ,FLEMING,0,0,0,0,0,,,,,,,,
18350,KENTUCKY                 ,FLOYD,0,0,0,0,0,,,,,,,,
18360,KENTUCKY                 ,FRANKLIN,"-4,913","-4,153","-5,144","-8,442","-4,646",,,,,,,,
18361,KENTUCKY                 ,FULTON,0,0,0,0,0,,,,,,,,
18362,KENTUCKY                 ,GALLATIN,"-4,480","-2,557","-6,231","-5,354","-4,533",,,,,,,,
18390,KENTUCKY                 ,GARRARD,0,0,0,0,0,,,,,,,,
18400,KENTUCKY                 ,GRANT,"-41,071","-47,159","-50,577","-57,276","-51,608",,,,,,,,
18410,KENTUCKY                 ,GRAVES,0,0,0,0,0,,,,,,,,
18420,KENTUCKY                 ,GRAYSON,0,0,-8,-515,-589,,,,,,,,
18421,KENTUCKY                 ,GREEN,0,0,0,0,0,,,,,,,,
18440,KENTUCKY                 ,GREENUP,"-170,807","-164,111","-177,676","-160,311","-78,044",,,,,,,,
18450,KENTUCKY                 ,HANCOCK,0,0,0,0,0,,,,,,,,
18460,KENTUCKY                 ,HARDIN,"-2,585","-8,457","-7,964","-9,666","-4,550",,,,,,,,
18470,KENTUCKY                 ,HARLAN,0,0,0,0,0,,,,,,,,
18480,KENTUCKY                 ,HARRISON,-214,-154,0,0,0,,,,,,,,
18490,KENTUCKY                 ,HART,0,0,0,0,0,,,,,,,,
18500,KENTUCKY                 ,HENDERSON,-305,0,0,0,0,,,,,,,,
18510,KENTUCKY                 ,HENRY,"-36,099","-26,352","-25,111","-47,250","-19,785",,,,,,,,
18511,KENTUCKY                 ,HICKMAN,0,0,0,0,0,,,,,,,,
18530,KENTUCKY                 ,HOPKINS,0,0,0,0,0,,,,,,,,
18540,KENTUCKY                 ,JACKSON,0,0,0,0,0,,,,,,,,
18550,KENTUCKY                 ,JEFFERSON,"-1,070,854","-1,150,567","-1,218,445","-1,504,341","-681,323",,,,,,,,
18560,KENTUCKY                 ,JESSAMINE,0,0,0,0,0,,,,,,,,
18570,KENTUCKY                 ,JOHNSON,0,0,0,0,0,,,,,,,,
18580,KENTUCKY                 ,KENTON,"-197,144","-189,581","-68,403","-55,021","-49,338",,,,,,,,
18590,KENTUCKY                 ,KNOTT,0,0,0,0,0,,,,,,,,
18600,KENTUCKY                 ,KNOX,0,0,0,0,0,,,,,,,,
18610,KENTUCKY                 ,LARUE,0,0,0,-46,0,,,,,,,,
18620,KENTUCKY                 ,LAUREL,0,0,0,0,0,,,,,,,,
