DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMSBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,0,-24,-48,-486,0,,,,,,,,
02100,ALASKA                   ,HAINES,0,0,0,0,0,,,,,,,,
02110,ALASKA                   ,JUNEAU,0,0,0,0,0,,,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,0,0,0,0,0,,,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,0,0,0,0,0,,,,,,,,
02140,ALASKA                   ,KOBUK,0,0,0,0,0,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,0,0,0,0,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,0,0,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,0,0,0,0,0,,,,,,,,
02180,ALASKA                   ,NOME,0,0,0,0,0,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,0,0,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0,0,0,,,,,,,,
02210,ALASKA                   ,SEWARD,0,0,0,0,0,,,,,,,,
02220,ALASKA                   ,SITKA,0,"-1,617",-519,-53,0,,,,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,0,0,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0,0,0,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,0,0,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,0,0,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,0,0,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,0,0,,,,,,,,
03000,ARIZONA                  ,APACHE,0,0,-24,-183,0,,,,,,,,
03010,ARIZONA                  ,COCHISE,"-2,241",-900,-450,-874,-917,,,,,,,,
03020,ARIZONA                  ,COCONINO,-197,-454,-439,-697,0,,,,,,,,
03030,ARIZONA                  ,GILA,0,-540,-178,-334,0,,,,,,,,
03040,ARIZONA                  ,GRAHAM,0,0,0,0,0,,,,,,,,
03050,ARIZONA                  ,GREENLEE,0,0,0,0,0,,,,,,,,
03055,ARIZONA                  ,LA PAZ,0,0,0,0,0,,,,,,,,
03060,ARIZONA                  ,MARICOPA,"-1,118,769","-1,189,486","-1,332,987","-1,359,320","-592,486",,,,,,,,
03070,ARIZONA                  ,MOHAVE,0,0,0,0,0,,,,,,,,
03080,ARIZONA                  ,NAVAJO,0,0,0,0,0,,,,,,,,
03090,ARIZONA                  ,PIMA,"-380,568","-401,634","-377,586","-407,837","-173,933",,,,,,,,
03100,ARIZONA                  ,PINAL,"-184,666","-226,189","-247,316","-252,945","-92,549",,,,,,,,
