AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
01630,ALABAMA                  ,WALKER,"327,658","-275,095","-277,284","166,954","158,524",,,,,
01640,ALABAMA                  ,WASHINGTON,"52,021","-52,910","-55,703","37,340","35,648",,,,,
01650,ALABAMA                  ,WILCOX,"30,856","-26,955","-34,271","18,960","18,870",,,,,
01660,ALABAMA                  ,WINSTON,"112,108","-95,030","-102,526","60,859","63,315",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,755,"1,232",786,704,892,,,,,
02020,ALASKA                   ,ANCHORAGE,"228,185","214,754","231,270","548,869","583,448",,,,,
02040,ALASKA                   ,BARROW DIVISION,386,224,313,"2,130","1,836",,,,,
02050,ALASKA                   ,BETHEL,"1,670",684,817,928,"1,186",,,,,
02060,ALASKA                   ,BRISTOL BAY,"5,885","5,108","5,338","8,965","9,291",,,,,
02070,ALASKA                   ,DILLINGHAM,"1,083",681,796,"3,203","2,608",,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"2,318","1,788",981,"2,606","3,342",,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"54,704","49,928","52,900","103,272","111,372",,,,,
02100,ALASKA                   ,HAINES,"3,112","2,657","2,441","3,608","3,605",,,,,
02110,ALASKA                   ,JUNEAU,"31,800","29,080","22,690","28,547","31,361",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"55,016","51,227","49,987","104,633","115,854",,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"14,972","13,271","5,149","1,195","-1,058",,,,,
02140,ALASKA                   ,KOBUK,985,737,748,"1,581","2,399",,,,,
02150,ALASKA                   ,KODIAK ISLAND,"3,579","3,329","3,861","6,120","7,866",,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,375,324,495,880,"1,276",,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"81,413","80,058","77,122","184,518","188,274",,,,,
02180,ALASKA                   ,NOME,"1,961","1,168","2,209","4,899","5,277",,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"1,210",-104,208,777,529,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"2,643","3,186",919,643,577,,,,,
02210,ALASKA                   ,SEWARD,"3,452","3,301","4,201","9,523","8,197",,,,,
02220,ALASKA                   ,SITKA,"8,455","8,382","4,630","3,921","4,474",,,,,
02230,ALASKA                   ,SKAGWAY,"1,735","1,610","1,119",275,547,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"5,131","4,588","4,638","8,063","8,920",,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,770,851,823,"1,102","1,381",,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"6,619","4,463","4,232","11,660","11,301",,,,,
02270,ALASKA                   ,WADE HAMPTON,464,926,342,747,"1,639",,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"9,702","9,094","5,235","1,645",-297,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"3,182","2,630","4,284","6,852","6,060",,,,,
03000,ARIZONA                  ,APACHE,"78,291","29,220","13,255","18,488","19,545",,,,,
03010,ARIZONA                  ,COCHISE,"552,127","287,916","169,719","132,499","133,118",,,,,
03020,ARIZONA                  ,COCONINO,"343,652","190,505","109,262","105,185","108,830",,,,,
03030,ARIZONA                  ,GILA,"345,955","196,844","118,881","94,401","92,645",,,,,
03040,ARIZONA                  ,GRAHAM,"69,333","39,088","20,203","15,194","16,784",,,,,
03050,ARIZONA                  ,GREENLEE,"19,812","8,922","5,451","3,744","3,449",,,,,
03055,ARIZONA                  ,LA PAZ,"92,873","56,804","26,892","16,002","17,353",,,,,
03060,ARIZONA                  ,MARICOPA,"10,382,595","5,713,927","3,921,048","3,782,718","3,874,911",,,,,
03070,ARIZONA                  ,MOHAVE,"1,109,090","584,972","280,260","180,984","216,332",,,,,
03080,ARIZONA                  ,NAVAJO,"250,552","127,602","73,405","55,678","55,099",,,,,
03090,ARIZONA                  ,PIMA,"3,030,992","1,609,125","1,009,972","916,620","914,393",,,,,
03100,ARIZONA                  ,PINAL,"835,483","448,977","300,513","300,562","303,511",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"86,833","45,522","27,929","25,819","24,294",,,,,
03120,ARIZONA                  ,YAVAPAI,"1,258,999","686,750","447,722","402,619","415,066",,,,,
03130,ARIZONA                  ,YUMA,"719,552","398,222","234,051","191,044","205,961",,,,,
04000,ARKANSAS                 ,ARKANSAS,"55,098","-98,792","-91,555","19,587","19,171",,,,,
04010,ARKANSAS                 ,ASHLEY,"71,335","-108,740","-124,508","45,728","44,250",,,,,
04020,ARKANSAS                 ,BAXTER,"213,705","-346,427","-371,795","63,222","58,231",,,,,
04030,ARKANSAS                 ,BENTON,"345,918","-639,562","-669,384","134,191","134,288",,,,,
04040,ARKANSAS                 ,BOONE,"100,786","-187,747","-212,357","29,886","26,247",,,,,
04050,ARKANSAS                 ,BRADLEY,"37,854","-68,044","-70,727","14,306","14,428",,,,,
04060,ARKANSAS                 ,CALHOUN,"12,985","-21,199","-22,709","5,503","5,691",,,,,
04070,ARKANSAS                 ,CARROLL,"52,773","-102,849","-113,390","17,441","17,251",,,,,
04080,ARKANSAS                 ,CHICOT,"21,196","-68,617","-65,372","6,450","6,413",,,,,
04090,ARKANSAS                 ,CLARK,"47,539","-81,962","-87,448","19,127","19,583",,,,,
04100,ARKANSAS                 ,CLAY,"39,698","-73,252","-80,450","13,020","11,900",,,,,
04110,ARKANSAS                 ,CLEBURNE,"102,177","-183,482","-187,592","36,382","35,436",,,,,
04120,ARKANSAS                 ,CLEVELAND,"24,163","-49,001","-41,856","8,940","9,139",,,,,
04130,ARKANSAS                 ,COLUMBIA,"67,384","-107,959","-122,712","46,079","42,252",,,,,
