"ESRD -- 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
1420,ALABAMA,LOWNDES,41,"645,526",1312.04,"544,393","1,106.49","20,212","75,574","5,347",40,"1,573,415",3277.95
1430,ALABAMA,MACON,81,"755,721",777.49,"682,796",702.47,"10,260","61,386","1,279",73,"2,610,380",2979.89
1440,ALABAMA,MADISON,521,"8,705,184",1392.38,"7,834,664","1,253.15","228,956","583,005","58,559",502,"18,814,459",3123.25
1450,ALABAMA,MARENGO,48,"986,144",1712.06,"848,039","1,472.29","32,649","96,984","8,472",48,"2,028,992",3522.56
1460,ALABAMA,MARION,35,"545,681",1299.24,"492,456","1,172.51","14,337","34,654","4,234",35,"1,165,020",2773.86
1470,ALABAMA,MARSHALL,115,"2,578,318",1868.35,"2,288,979","1,658.68","86,501","186,733","16,105",111,"4,780,980",3589.32
1480,ALABAMA,MOBILE,750,"12,045,093",1338.34,"10,188,647","1,132.07","679,048","924,128","253,270",718,"24,815,131",2880.12
1490,ALABAMA,MONROE,31,"309,003",830.65,"279,708",751.9,"6,437","19,361","3,497",30,"1,049,503",2915.29
1500,ALABAMA,MONTGOMERY,509,"7,438,936",1217.9,"6,407,799","1,049.08","168,732","820,796","41,609",483,"17,392,042",3000.7
1510,ALABAMA,MORGAN,173,"2,655,868",1279.32,"2,370,172","1,141.70","72,738","196,772","16,186",162,"6,022,612",3098.05
1520,ALABAMA,PERRY,35,"752,452",1791.55,"629,183","1,498.05","25,546","90,063","7,660",33,"1,275,072",3219.88
1530,ALABAMA,PICKENS,54,"639,112",986.28,"539,262",832.19,"21,181","72,881","5,788",52,"1,851,612",2967.33
