"ESRD -- 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
14150,ILLINOIS,CRAWFORD,41,"534,002",1085.37,"517,430","1,051.69","2,421","13,492",659,40,"1,455,232",3031.73
14160,ILLINOIS,CUMBERLAND,8,"179,135",1865.99,"157,897","1,644.76","8,989","10,278","1,971",7,"349,699",4163.08
14170,ILLINOIS,DE KALB,106,"2,845,956",2237.39,"2,613,623","2,054.74","93,466","113,409","25,458",103,"3,911,663",3164.78
14180,ILLINOIS,DE WITT,20,"379,837",1582.65,"351,137","1,463.07","7,281","18,113","3,306",19,"608,580",2669.21
14190,ILLINOIS,DOUGLAS,5,"111,644",1860.73,"95,344","1,589.07","5,701","6,986","3,613",4,"229,715",4785.73
14250,ILLINOIS,DU PAGE,897,"22,612,114",2100.72,"20,769,790","1,929.56","869,243","753,839","219,242",831,"32,939,971",3303.25
14310,ILLINOIS,EDGAR,32,"520,727",1356.06,"479,230","1,247.99","11,414","26,070","4,013",32,"1,269,875",3306.97
14320,ILLINOIS,EDWARDS,6,"83,311",1157.1,"77,488","1,076.22","3,579","1,639",605,6,"205,455",2853.54
14330,ILLINOIS,EFFINGHAM,46,"880,265",1594.68,"792,995","1,436.59","33,960","43,847","9,463",45,"1,486,444",2752.67
14340,ILLINOIS,FAYETTE,33,"760,840",1921.31,"649,656","1,640.55","53,308","41,368","16,508",32,"1,150,202",2995.32
14350,ILLINOIS,FORD,9,"412,163",3816.32,"372,416","3,448.30","16,394","21,070","2,283",9,"345,943",3203.18
14360,ILLINOIS,FRANKLIN,76,"2,134,806",2340.8,"1,967,690","2,157.55","54,581","98,729","13,806",73,"2,975,563",3396.76
14370,ILLINOIS,FULTON,40,"570,349",1188.23,"474,975",989.53,"30,764","50,641","13,968",38,"1,137,332",2494.15
14380,ILLINOIS,GALLATIN,14,"118,865",707.53,"109,169",649.82,"1,387","7,735",574,13,"504,684",3235.15
14390,ILLINOIS,GREENE,15,"311,134",1728.52,"267,258","1,484.77","26,165","9,881","7,830",15,"599,814",3332.3
14400,ILLINOIS,GRUNDY,54,"1,348,748",2081.4,"1,278,307","1,972.70","29,573","35,344","5,524",51,"1,970,603",3219.94
14410,ILLINOIS,HAMILTON,12,"371,214",2577.88,"327,363","2,273.35","19,697","22,767","1,387",11,"602,163",4561.84
14420,ILLINOIS,HANCOCK,20,"187,384",780.77,"162,015",675.06,"10,243","12,372","2,754",20,"628,242",2617.68
14421,ILLINOIS,HARDIN,7,"104,487",1243.89,"93,207","1,109.61",946,"10,077",257,7,"194,317",2313.3
14440,ILLINOIS,HENDERSON,7,"94,792",1128.48,"88,211","1,050.13","1,304","4,497",780,6,"225,246",3128.42
14450,ILLINOIS,HENRY,52,"759,382",1216.96,"666,417","1,067.98","36,849","48,366","7,750",50,"1,820,635",3034.39
14460,ILLINOIS,IROQUOIS,38,"1,234,059",2706.27,"1,115,280","2,445.79","27,009","81,848","9,922",37,"1,807,906",4071.86
14470,ILLINOIS,JACKSON,87,"2,729,616",2614.57,"2,388,001","2,287.36","94,748","219,307","27,560",83,"3,303,548",3316.82
14480,ILLINOIS,JASPER,9,"310,803",2877.81,"293,367","2,716.36","4,638","11,427","1,371",9,"372,339",3447.58
14490,ILLINOIS,JEFFERSON,71,"1,451,958",1704.18,"1,330,306","1,561.39","39,099","64,675","17,878",69,"2,611,052",3153.44
14500,ILLINOIS,JERSEY,22,"374,194",1417.4,"329,573","1,248.38","18,874","17,400","8,347",22,"886,740",3358.86
14510,ILLINOIS,JO DAVIESS,16,"472,393",2460.38,"442,611","2,305.27","12,278","14,234","3,270",16,"670,280",3491.04
14520,ILLINOIS,JOHNSON,13,"164,548",1054.79,"148,461",951.67,"1,831","13,551",705,13,"466,850",2992.63
14530,ILLINOIS,KANE,677,"17,479,970",2151.65,"16,022,392","1,972.23","527,261","800,295","130,022",637,"27,849,939",3643.37
14540,ILLINOIS,KANKAKEE,227,"6,319,970",2320.11,"5,719,995","2,099.85","149,071","403,089","47,815",219,"10,532,026",4007.62
14550,ILLINOIS,KENDALL,67,"1,211,536",1506.89,"1,105,177","1,374.60","41,054","55,433","9,872",62,"2,387,361",3208.82
14560,ILLINOIS,KNOX,69,"1,364,445",1647.88,"1,252,511","1,512.69","24,130","81,204","6,600",64,"2,435,420",3171.12
14570,ILLINOIS,LAKE,833,"18,508,962",1851.64,"16,875,932","1,688.27","573,407","913,697","145,926",783,"32,088,043",3415.07
14580,ILLINOIS,LA SALLE,125,"2,421,879",1614.59,"2,110,698","1,407.13","141,142","128,005","42,034",122,"4,328,997",2956.97
14590,ILLINOIS,LAWRENCE,30,"863,679",2399.11,"828,911","2,302.53","9,208","22,041","3,519",30,"1,224,525",3401.46
14600,ILLINOIS,LEE,52,"1,519,239",2434.68,"1,381,677","2,214.23","49,813","76,126","11,623",52,"2,015,982",3230.74
14610,ILLINOIS,LIVINGSTON,36,"623,831",1444.05,"587,260","1,359.40","11,552","21,068","3,951",36,"1,430,111",3310.44
14620,ILLINOIS,LOGAN,28,"958,648",2853.12,"866,412","2,578.61","59,800","19,737","12,699",27,"915,805",2826.56
14630,ILLINOIS,MC DONOUGH,28,"665,913",1981.88,"572,194","1,702.96","36,619","48,557","8,543",27,"879,782",2715.38
14640,ILLINOIS,MC HENRY,292,"7,750,803",2211.99,"7,313,707","2,087.25","172,311","215,814","48,971",275,"11,203,677",3395.05
14650,ILLINOIS,MC LEAN,135,"2,291,349",1414.41,"2,097,127","1,294.52","68,248","101,071","24,903",129,"4,480,222",2894.2
14660,ILLINOIS,MACON,209,"5,042,600",2010.61,"4,600,587","1,834.36","92,161","314,986","34,866",205,"8,527,227",3466.35
14670,ILLINOIS,MACOUPIN,65,"1,632,901",2093.46,"1,491,924","1,912.72","63,509","62,624","14,844",63,"2,222,407",2939.69
14680,ILLINOIS,MADISON,357,"8,157,695",1904.22,"7,137,646","1,666.12","330,426","551,364","138,259",346,"13,053,014",3143.79
14690,ILLINOIS,MARION,66,"2,031,835",2565.45,"1,777,537","2,244.36","103,851","117,125","33,322",62,"2,815,379",3784.11
14700,ILLINOIS,MARSHALL,17,"418,803",2052.96,"370,690","1,817.11","18,912","22,145","7,056",17,"493,159",2417.45
14710,ILLINOIS,MASON,18,"611,914",2832.94,"508,144","2,352.52","44,570","47,467","11,733",18,"563,065",2606.78
14720,ILLINOIS,MASSAC,16,"433,090",2255.68,"377,405","1,965.65","29,086","20,843","5,756",16,"719,833",3749.13
14730,ILLINOIS,MENARD,15,"310,441",1724.67,"269,712","1,498.40","23,234","11,290","6,205",15,"515,636",2864.64
14740,ILLINOIS,MERCER,24,"285,919",992.77,"273,872",950.94,588,"11,303",156,23,"692,541",2509.21
14750,ILLINOIS,MONROE,20,"346,695",1444.56,"329,897","1,374.57","6,245","6,578","3,975",19,"637,327",2795.29
14760,ILLINOIS,MONTGOMERY,36,"621,913",1439.61,"549,764","1,272.60","39,551","24,770","7,828",36,"1,325,692",3068.73
14770,ILLINOIS,MORGAN,52,"1,312,385",2103.18,"1,146,064","1,836.64","97,022","43,661","25,638",51,"2,103,080",3436.41
14780,ILLINOIS,MOULTRIE,12,"160,753",1116.34,"143,513",996.62,"2,536","13,785",919,11,"260,542",1973.8
14790,ILLINOIS,OGLE,46,"1,365,919",2474.49,"1,271,875","2,304.12","32,241","55,117","6,686",44,"1,750,814",3315.94
14800,ILLINOIS,PEORIA,277,"5,783,392",1739.89,"4,830,612","1,453.25","340,745","472,688","139,347",270,"9,504,020",2933.34
14810,ILLINOIS,PERRY,31,"621,882",1671.73,"543,593","1,461.27","16,957","55,388","5,944",31,"1,189,903",3198.66
14820,ILLINOIS,PIATT,13,"252,962",1621.55,"226,899","1,454.48","8,360","14,814","2,889",12,"472,740",3282.92
14830,ILLINOIS,PIKE,27,"552,524",1705.32,"505,458","1,560.06","16,412","25,693","4,961",26,"634,668",2034.19
14831,ILLINOIS,POPE,4,"43,996",916.58,"39,820",829.58,152,"3,947",77,4,"128,102",2668.79
14850,ILLINOIS,PULASKI,9,"143,805",1331.53,"134,941","1,249.45","1,623","6,613",628,9,"292,837",2711.45
14860,ILLINOIS,PUTNAM,3,"80,484",2235.67,"61,826","1,717.39","12,875","3,138","2,645",3,"87,261",2423.92
14870,ILLINOIS,RANDOLPH,38,"583,920",1280.53,"486,501","1,066.89","35,399","44,082","17,938",38,"1,313,428",2880.33
14880,ILLINOIS,RICHLAND,20,"224,747",936.45,"207,444",864.35,"6,418","8,940","1,945",18,"545,523",2525.57
14890,ILLINOIS,ROCK ISLAND,243,"3,871,569",1327.7,"3,465,066","1,188.29","140,798","229,532","36,173",234,"8,098,531",2884.09
14900,ILLINOIS,ST. CLAIR,452,"11,448,683",2110.75,"9,980,807","1,840.12","506,519","701,096","260,262",422,"16,433,897",3245.24
14910,ILLINOIS,SALINE,43,"1,099,966",2131.72,"977,933","1,895.22","38,676","72,193","11,164",43,"1,723,797",3340.69
14920,ILLINOIS,SANGAMON,281,"5,267,626",1562.17,"4,549,548","1,349.21","411,457","192,366","114,255",272,"9,994,303",3061.98
14921,ILLINOIS,SCHUYLER,9,"62,222",576.13,"57,725",534.49,"3,186",648,663,9,"263,853",2443.08
14940,ILLINOIS,SCOTT,7,"188,968",2249.62,"166,813","1,985.87","12,569","6,886","2,700",7,"255,413",3040.63
14950,ILLINOIS,SHELBY,27,"806,307",2488.6,"733,671","2,264.42","22,007","44,413","6,216",27,"1,022,852",3156.95
14960,ILLINOIS,STARK,4,"100,864",2101.33,"89,616","1,867.00","3,970","5,119","2,159",4,"138,547",2886.4
14970,ILLINOIS,STEPHENSON,64,"1,848,457",2406.85,"1,640,776","2,136.43","86,859","104,358","16,464",59,"2,828,759",3995.42
14980,ILLINOIS,TAZEWELL,118,"2,199,509",1553.33,"1,904,929","1,345.29","106,930","146,133","41,517",114,"3,573,262",2612.03
14981,ILLINOIS,UNION,24,"617,107",2142.73,"549,881","1,909.31","15,102","45,475","6,649",22,"680,278",2576.81
14982,ILLINOIS,VERMILION,104,"3,567,039",2858.2,"3,162,330","2,533.92","109,525","260,815","34,369",100,"3,796,115",3163.43
14983,ILLINOIS,WABASH,12,"110,778",769.29,"104,037",722.48,"1,069","5,079",593,11,"373,105",2826.55
14984,ILLINOIS,WARREN,6,"102,784",1427.56,"92,751","1,288.21","2,530","5,775","1,728",6,"254,470",3534.31
14985,ILLINOIS,WASHINGTON,8,"163,772",1705.96,"156,803","1,633.36",807,"5,560",602,7,"346,097",4120.2
14986,ILLINOIS,WAYNE,20,"409,444",1706.02,"381,712","1,590.47","9,151","14,552","4,029",20,"532,425",2218.44
14987,ILLINOIS,WHITE,21,"371,272",1473.3,"354,553","1,406.96","3,002","10,381","3,336",20,"729,956",3041.48
14988,ILLINOIS,WHITESIDE,81,"1,437,887",1479.31,"1,286,888","1,323.96","59,556","77,342","14,101",80,"2,963,057",3086.52
14989,ILLINOIS,WILL,686,"18,989,498",2306.79,"17,518,734","2,128.13","558,863","766,253","145,648",650,"28,504,510",3654.42
14990,ILLINOIS,WILLIAMSON,103,"2,961,968",2396.41,"2,597,764","2,101.75","106,656","224,364","33,185",95,"3,098,162",2717.69
14991,ILLINOIS,WINNEBAGO,430,"8,173,763",1584.06,"7,370,923","1,428.47","221,272","531,860","49,708",410,"15,185,411",3086.47
14992,ILLINOIS,WOODFORD,26,"356,318",1142.04,"305,154",978.06,"18,645","25,296","7,223",26,"831,018",2663.52
15000,INDIANA,ADAMS,32,"495,234",1289.67,"463,291","1,206.49","5,598","23,053","3,292",32,"1,224,545",3188.92
15010,INDIANA,ALLEN,416,"8,536,718",1710.08,"7,696,006","1,541.67","171,599","609,268","59,845",402,"14,821,277",3072.4
15020,INDIANA,BARTHOLOMEW,83,"2,149,705",2158.34,"1,970,551","1,978.46","47,221","123,872","8,061",81,"3,167,677",3258.93
15030,INDIANA,BENTON,10,"265,533",2212.78,"252,340","2,102.83","3,435","9,153",605,10,"405,492",3379.1
15040,INDIANA,BLACKFORD,21,"481,229",1909.64,"410,969","1,630.83","31,029","32,570","6,661",21,"837,288",3322.57
15050,INDIANA,BOONE,52,"815,110",1306.27,"732,608","1,174.05","24,712","50,107","7,683",50,"2,392,595",3987.66
15060,INDIANA,BROWN,6,"66,936",929.67,"63,113",876.57,0,"3,823",0,6,"195,832",2719.89
15070,INDIANA,CARROLL,14,"446,683",2658.83,"412,499","2,455.35","5,984","27,595",605,14,"632,214",3763.18
15080,INDIANA,CASS,44,"1,323,211",2506.08,"1,199,524","2,271.83","43,456","70,901","9,330",44,"1,702,290",3224.03
15090,INDIANA,CLARK,148,"3,411,209",1920.73,"3,137,654","1,766.70","49,187","210,844","13,524",139,"5,807,118",3481.49
15100,INDIANA,CLAY,52,"1,776,618",2847.14,"1,593,139","2,553.11","57,901","110,500","15,078",50,"1,806,101",3010.17
15110,INDIANA,CLINTON,39,"886,504",1894.24,"836,126","1,786.59","12,814","34,274","3,290",39,"1,736,745",3710.99
15120,INDIANA,CRAWFORD,15,"351,450",1952.5,"331,776","1,843.20","3,406","15,603",665,15,"701,346",3896.37
15130,INDIANA,DAVIESS,54,"867,541",1338.8,"802,867","1,238.99","17,460","43,478","3,736",50,"1,715,902",2859.84
15140,INDIANA,DEARBORN,46,"846,975",1534.38,"765,959","1,387.61","24,871","47,474","8,671",41,"1,318,956",2680.8
15150,INDIANA,DECATUR,26,"456,075",1461.78,"398,279","1,276.54","19,819","32,537","5,440",25,"758,946",2529.82
15160,INDIANA,DE KALB,36,"582,755",1348.97,"535,588","1,239.79","7,920","36,927","2,320",34,"1,041,565",2552.86
15170,INDIANA,DELAWARE,157,"3,875,297",2056.95,"3,244,173","1,721.96","262,861","300,688","67,575",152,"5,496,360",3013.36
15180,INDIANA,DUBOIS,41,"535,835",1089.1,"504,764","1,025.94","2,002","28,417",652,41,"1,571,757",3194.63
15190,INDIANA,ELKHART,157,"2,277,819",1209.03,"2,043,546","1,084.68","80,572","127,590","26,111",149,"5,096,323",2850.29
15200,INDIANA,FAYETTE,34,"963,475",2361.46,"907,839","2,225.10","13,359","38,736","3,541",33,"1,394,882",3522.43
15210,INDIANA,FLOYD,103,"2,392,603",1935.76,"2,224,553","1,799.80","33,026","129,552","5,472",98,"3,600,840",3061.94
15220,INDIANA,FOUNTAIN,19,"423,046",1855.46,"382,429","1,677.32","12,448","25,442","2,727",19,"769,076",3373.14
15230,INDIANA,FRANKLIN,12,"83,652",580.92,"63,443",440.58,"7,949","9,064","3,196",12,"375,160",2605.28
15240,INDIANA,FULTON,14,"334,116",1988.79,"315,881","1,880.24","3,671","12,249","2,315",14,"789,100",4697.02
15250,INDIANA,GIBSON,48,"1,364,051",2368.14,"1,262,952","2,192.63","29,043","64,047","8,009",48,"1,789,937",3107.53
15260,INDIANA,GRANT,97,"2,315,233",1989.03,"2,113,413","1,815.65","56,639","128,643","16,538",96,"4,007,135",3478.42
15270,INDIANA,GREENE,50,"1,319,953",2199.92,"1,189,073","1,981.79","31,008","94,631","5,241",49,"1,877,508",3193.04
15280,INDIANA,HAMILTON,157,"2,838,164",1506.46,"2,505,906","1,330.10","114,388","179,226","38,644",148,"5,033,183",2834
15290,INDIANA,HANCOCK,73,"1,734,780",1980.34,"1,552,092","1,771.79","50,561","119,792","12,335",67,"2,237,797",2783.33
15300,INDIANA,HARRISON,43,"891,262",1727.25,"823,358","1,595.66","14,963","50,428","2,513",43,"1,514,728",2935.52
15310,INDIANA,HENDRICKS,112,"2,680,194",1994.19,"2,283,198","1,698.81","168,895","181,906","46,195",106,"4,421,330",3475.89
15320,INDIANA,HENRY,42,"1,215,377",2411.46,"1,055,336","2,093.92","63,796","77,921","18,324",40,"1,644,831",3426.73
15330,INDIANA,HOWARD,136,"2,773,378",1699.37,"2,560,274","1,568.80","61,793","136,316","14,995",131,"4,997,123",3178.83
15340,INDIANA,HUNTINGTON,35,"606,558",1444.19,"576,094","1,371.65","5,721","22,144","2,599",34,"1,114,728",2732.18
15350,INDIANA,JACKSON,46,"759,354",1375.64,"719,038","1,302.61","2,407","37,049",860,43,"1,646,623",3191.13
15360,INDIANA,JASPER,34,"688,012",1686.3,"614,656","1,506.51","32,464","34,653","6,239",32,"1,268,702",3303.91
15370,INDIANA,JAY,24,"816,529",2835.17,"722,264","2,507.86","40,663","45,613","7,989",24,"933,078",3239.85
15380,INDIANA,JEFFERSON,38,"758,542",1663.47,"662,161","1,452.11","28,767","60,412","7,202",38,"1,364,401",2992.11
15390,INDIANA,JENNINGS,21,"465,957",1849.04,"437,576","1,736.41","4,517","22,972",892,20,"785,448",3272.7
15400,INDIANA,JOHNSON,123,"2,729,994",1849.59,"2,534,131","1,716.89","59,408","119,745","16,710",116,"4,512,469",3241.72
15410,INDIANA,KNOX,74,"1,756,232",1977.74,"1,697,788","1,911.92","9,764","46,494","2,186",74,"3,032,394",3414.86
15420,INDIANA,KOSCIUSKO,66,"1,266,417",1599.01,"1,167,129","1,473.65","22,791","71,234","5,263",63,"2,728,790",3609.51
15430,INDIANA,LAGRANGE,13,"260,732",1671.36,"240,316","1,540.49","4,359","13,695","2,362",13,"418,736",2684.21
15440,INDIANA,LAKE,1070,"30,105,661",2344.68,"27,319,312","2,127.67","585,916","2,071,308","129,125",1032,"48,520,868",3918.03
15450,INDIANA,LA PORTE,189,"4,225,429",1863.06,"3,916,719","1,726.95","79,872","207,633","21,205",179,"7,881,019",3669
15460,INDIANA,LAWRENCE,66,"924,088",1166.78,"856,152","1,081.00","11,904","52,925","3,107",64,"2,118,244",2758.13
15470,INDIANA,MADISON,210,"5,158,154",2046.89,"4,728,388","1,876.34","132,812","265,366","31,588",208,"8,341,452",3341.93
15480,INDIANA,MARION,1766,"48,378,899",2282.89,"39,475,937","1,862.78","3,542,580","4,287,579","1,072,803",1672,"67,091,069",3343.85
15490,INDIANA,MARSHALL,36,"335,477",776.57,"308,020",713.01,"7,744","17,097","2,616",35,"1,795,892",4275.93
15500,INDIANA,MARTIN,8,"233,904",2436.5,"219,597","2,287.47","2,235","11,340",732,8,"280,041",2917.09
15510,INDIANA,MIAMI,34,"811,298",1988.48,"744,356","1,824.40","20,546","42,235","4,163",34,"1,140,117",2794.4
15520,INDIANA,MONROE,93,"1,908,483",1710.11,"1,759,859","1,576.93","27,962","111,471","9,191",90,"3,364,205",3115
15530,INDIANA,MONTGOMERY,40,"908,986",1893.72,"849,069","1,768.89","14,532","39,774","5,611",39,"1,689,714",3610.5
15540,INDIANA,MORGAN,77,"1,628,931",1762.91,"1,407,874","1,523.67","80,847","116,836","23,374",75,"2,523,692",2804.1
15550,INDIANA,NEWTON,9,"327,366",3031.17,"316,817","2,933.49",238,"10,221",90,8,"290,432",3025.33
15560,INDIANA,NOBLE,33,"696,767",1759.51,"638,026","1,611.18","13,310","40,996","4,435",31,"1,269,752",3413.31
15570,INDIANA,OHIO,10,"196,007",1633.39,"175,651","1,463.76","5,431","13,064","1,861",9,"288,307",2669.51
15580,INDIANA,ORANGE,20,"337,555",1406.48,"314,880","1,312.00","5,270","15,874","1,531",20,"606,128",2525.53
15590,INDIANA,OWEN,30,"602,577",1673.83,"565,370","1,570.47","4,461","31,621","1,125",30,"1,328,284",3689.68
15600,INDIANA,PARKE,16,"454,088",2365.04,"411,023","2,140.75","12,854","26,934","3,277",16,"705,138",3672.59
15610,INDIANA,PERRY,20,"117,753",490.64,"111,494",464.56,379,"5,708",172,19,"521,769",2288.46
15620,INDIANA,PIKE,18,"321,630",1489.03,"300,897","1,393.04","3,017","16,233","1,483",18,"629,619",2914.9
15630,INDIANA,PORTER,196,"5,263,435",2237.86,"4,911,757","2,088.33","110,372","219,926","21,380",189,"7,392,432",3259.45
15640,INDIANA,POSEY,29,"650,445",1869.09,"616,055","1,770.27","8,359","22,884","3,147",28,"871,879",2594.88
15650,INDIANA,PULASKI,17,"310,673",1522.91,"297,181","1,456.77","1,880","11,007",605,16,"702,545",3659.09
15660,INDIANA,PUTNAM,31,"583,326",1568.08,"540,826","1,453.83","15,103","23,300","4,097",30,"973,801",2705
15670,INDIANA,RANDOLPH,36,"739,120",1710.93,"651,014","1,506.98","32,274","48,249","7,583",35,"1,177,791",2804.26
15680,INDIANA,RIPLEY,28,"518,800",1544.05,"407,655","1,213.26","53,969","48,466","8,710",26,"747,056",2394.41
15690,INDIANA,RUSH,15,"409,857",2276.98,"363,106","2,017.26","17,602","25,184","3,965",15,"502,765",2793.14
15700,INDIANA,ST. JOSEPH,334,"6,506,073",1623.27,"5,866,796","1,463.77","183,254","370,312","85,711",319,"13,842,707",3616.17
15710,INDIANA,SCOTT,46,"791,979",1434.74,"727,601","1,318.12","7,214","55,194","1,970",46,"1,497,336",2712.57
15720,INDIANA,SHELBY,44,"520,356",985.52,"439,927",833.2,"24,525","48,206","7,698",42,"1,517,114",3010.15
15730,INDIANA,SPENCER,17,"183,464",899.33,"172,466",845.42,686,"9,966",346,15,"496,552",2758.62
15740,INDIANA,STARKE,25,"187,667",625.56,"181,206",604.02,90,"6,318",53,24,"964,497",3348.95
15750,INDIANA,STEUBEN,28,"801,320",2384.88,"722,279","2,149.64","16,431","58,184","4,426",27,"1,078,107",3327.49
15760,INDIANA,SULLIVAN,33,"805,359",2033.73,"709,254","1,791.05","28,156","59,611","8,338",33,"1,647,995",4161.6
15770,INDIANA,SWITZERLAND,11,"279,315",2116.02,"250,594","1,898.44","9,113","16,165","3,443",11,"408,989",3098.4
15780,INDIANA,TIPPECANOE,168,"4,355,484",2160.46,"4,109,749","2,038.57","50,181","179,836","15,718",158,"5,974,255",3150.98
15790,INDIANA,TIPTON,13,"248,878",1595.37,"196,771","1,261.35","20,980","22,966","8,161",12,"322,837",2241.92
15800,INDIANA,UNION,11,"266,733",2020.7,"243,406","1,843.98","4,301","17,815","1,211",11,"379,894",2877.98
15810,INDIANA,VANDERBURGH,236,"5,002,512",1766.42,"4,644,118","1,639.87","57,477","281,099","19,818",223,"7,661,984",2863.22
15820,INDIANA,VERMILLION,22,"626,125",2371.69,"566,385","2,145.40","17,371","37,934","4,435",20,"806,973",3362.39
15830,INDIANA,VIGO,175,"4,111,162",1957.7,"3,806,392","1,812.57","77,848","204,739","22,183",170,"6,307,029",3091.68
15840,INDIANA,WABASH,28,"666,422",1983.4,"614,244","1,828.11","9,662","38,487","4,029",27,"1,186,534",3662.14
15850,INDIANA,WARREN,6,"39,415",547.43,"37,826",525.36,0,"1,589",0,6,"196,936",2735.22
15860,INDIANA,WARRICK,42,"850,983",1688.46,"808,069","1,603.31","4,191","36,893","1,830",41,"1,443,935",2934.83
15870,INDIANA,WASHINGTON,44,"1,010,490",1913.81,"963,243","1,824.32","6,493","39,051","1,703",42,"1,559,443",3094.13
15880,INDIANA,WAYNE,152,"3,417,130",1873.43,"3,181,223","1,744.09","54,045","165,181","16,681",148,"5,148,722",2899.06
15890,INDIANA,WELLS,20,"597,570",2489.88,"551,494","2,297.89","11,011","29,593","5,472",19,"704,801",3091.23
15900,INDIANA,WHITE,25,"811,004",2703.35,"775,668","2,585.56","2,251","31,906","1,179",25,"1,553,063",5176.88
15910,INDIANA,WHITLEY,24,"223,282",775.28,"204,573",710.32,"2,150","15,923",636,22,"578,660",2191.89
16000,IOWA,ADAIR,1,"11,655",971.25,"11,655",971.25,0,0,0,1,"44,917",3743.08
16010,IOWA,ADAMS,5,"29,130",485.5,"24,923",415.38,690,"3,163",354,4,"150,058",3126.21
16020,IOWA,ALLAMAKEE,16,"180,928",942.33,"146,470",762.86,"17,013","11,238","6,207",16,"561,394",2923.93
16030,IOWA,APPANOOSE,33,"652,896",1648.73,"586,700","1,481.57","19,650","38,378","8,168",32,"1,008,925",2627.41
16040,IOWA,AUDUBON,9,"71,027",657.66,"60,009",555.64,"3,604","6,032","1,382",9,"318,129",2945.64
16050,IOWA,BENTON,17,"183,089",897.5,"170,225",834.44,"4,979","5,721","2,164",15,"467,494",2597.19
16060,IOWA,BLACK HAWK,173,"3,323,037",1600.69,"2,795,433","1,346.55","178,731","308,097","40,776",168,"6,148,539",3049.87
16070,IOWA,BOONE,16,"143,616",748,"134,895",702.58,"2,359","5,485",877,15,"401,089",2228.27
16080,IOWA,BREMER,28,"762,825",2270.31,"609,983","1,815.43","77,584","59,079","16,179",28,"923,560",2748.69
16090,IOWA,BUCHANAN,20,"295,895",1232.9,"247,590","1,031.63","17,173","26,433","4,699",19,"604,689",2652.14
16100,IOWA,BUENA VISTA,18,"356,637",1651.1,"306,479","1,418.88","30,534","12,137","7,487",17,"668,151",3275.25
16110,IOWA,BUTLER,19,"389,700",1709.21,"353,890","1,552.15","16,580","15,774","3,456",19,"747,174",3277.08
16120,IOWA,CALHOUN,7,"250,520",2982.38,"229,382","2,730.74","9,411","8,888","2,839",7,"232,447",2767.23
16130,IOWA,CARROLL,17,"198,563",973.35,"184,514",904.48,"3,794","8,223","2,032",17,"619,919",3038.82
16140,IOWA,CASS,12,"83,544",580.17,"69,125",480.03,"6,800","4,724","2,895",10,"413,278",3443.98
16150,IOWA,CEDAR,10,"70,538",587.82,"60,693",505.78,"4,366","3,840","1,639",9,"282,114",2612.17
16160,IOWA,CERRO GORDO,55,"1,416,785",2146.64,"1,235,144","1,871.43","103,488","49,990","28,163",53,"2,022,351",3179.8
16170,IOWA,CHEROKEE,12,"111,225",772.4,"108,908",756.31,529,"1,556",232,12,"343,075",2382.47
16180,IOWA,CHICKASAW,14,"129,410",770.3,"106,449",633.63,"10,347","8,149","4,465",12,"495,261",3439.31
16190,IOWA,CLARKE,2,"28,877",1203.21,"23,316",971.5,"2,425","1,879","1,257",2,"48,945",2039.38
16200,IOWA,CLAY,22,"205,558",778.63,"188,630",714.51,"3,433","11,526","1,969",20,"596,947",2487.28
16210,IOWA,CLAYTON,8,"277,152",2887,"246,792","2,570.75","21,133","3,985","5,243",8,"416,617",4339.77
16220,IOWA,CLINTON,65,"1,630,949",2090.96,"1,369,832","1,756.19","122,444","112,828","25,845",63,"2,265,472",2996.66
16230,IOWA,CRAWFORD,26,"285,439",914.87,"237,229",760.35,"19,359","16,721","12,130",25,"991,849",3306.16
16240,IOWA,DALLAS,33,"409,072",1033.01,"356,123",899.3,"17,417","26,900","8,632",31,"1,087,559",2923.55
16250,IOWA,DAVIS,11,"123,523",935.78,"114,596",868.15,519,"8,261",147,11,"236,022",1788.05
16260,IOWA,DECATUR,7,"208,212",2478.71,"181,501","2,160.73","6,780","17,680","2,251",6,"330,761",4593.9
16270,IOWA,DELAWARE,15,"469,979",2610.99,"396,343","2,201.91","34,105","31,376","8,155",15,"502,136",2789.64
16280,IOWA,DES MOINES,62,"1,108,512",1489.94,"930,075","1,250.10","71,740","89,080","17,617",61,"1,953,572",2668.81
16290,IOWA,DICKINSON,26,"423,452",1357.22,"393,473","1,261.13","8,340","18,210","3,429",25,"711,520",2371.73
16300,IOWA,DUBUQUE,75,"1,293,871",1437.63,"1,215,479","1,350.53","34,743","36,560","7,089",72,"3,290,627",3808.6
16310,IOWA,EMMET,6,"79,207",1100.1,"71,914",998.81,"1,602","4,974",717,5,"222,497",3708.28
