AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
01400,ALABAMA                  ,LEE,"-37,628","27,883","-56,994","84,804","-17,753",,"-42,587","27,069","-70,098","90,267","-22,266",
01410,ALABAMA                  ,LIMESTONE,"-131,680","-144,963","-126,983","-139,184","-126,733",,"-227,085","-250,768","-247,777","-253,531","-200,562",
01420,ALABAMA                  ,LOWNDES,"-8,537","-12,006","-10,967","-14,609","-9,102",,"-22,234","-32,689","-35,119","-30,204","-17,863",
01430,ALABAMA                  ,MACON,"-12,627","-15,665","-7,407","-6,598","-4,363",,"-16,408","-20,598","-8,803","-8,260","-3,866",
01440,ALABAMA                  ,MADISON,"-412,950","-470,659","-517,299","-530,194","-478,604",,"-418,760","-494,525","-536,737","-630,359","-541,287",
01450,ALABAMA                  ,MARENGO,"-16,402","-15,713","-7,948","-9,876","-4,327",,"-37,115","-45,023","-16,193","-16,637","-7,203",
01460,ALABAMA                  ,MARION,"-28,370","-44,294","-19,644","-24,301","-9,419",,"-51,230","-75,064","-38,599","-45,262","-18,585",
01470,ALABAMA                  ,MARSHALL,"-91,804","-126,951","-58,012","-52,664","-24,945",,"-136,649","-195,608","-95,375","-96,375","-45,460",
01480,ALABAMA                  ,MOBILE,"-359,723","-326,868","-244,241","-363,104","-381,198",,"-402,228","-362,899","-296,059","-438,326","-474,391",
01490,ALABAMA                  ,MONROE,"-20,396","-25,412","-8,962","-11,553","-3,975",,"-43,181","-51,122","-22,019","-26,772","-10,867",
01500,ALABAMA                  ,MONTGOMERY,"-198,318","-289,762","-327,150","-402,834","-235,895",,"-299,192","-428,227","-456,932","-514,608","-267,612",
01510,ALABAMA                  ,MORGAN,"-185,207","-219,257","-216,989","-161,203","-47,948",,"-218,342","-271,276","-302,841","-212,645","-73,332",
01520,ALABAMA                  ,PERRY,"-8,311","-11,307","-3,984","-6,484","-2,891",,"-31,397","-31,762","-20,269","-27,954","-15,929",
01530,ALABAMA                  ,PICKENS,"-25,287","-30,817","-12,174","-13,776","-6,015",,"-71,643","-102,274","-41,386","-55,576","-18,092",
01540,ALABAMA                  ,PIKE,"-22,194","-26,969","-10,507","-13,591","-6,742",,"-41,219","-46,587","-19,627","-33,622","-13,247",
01550,ALABAMA                  ,RANDOLPH,"-19,739","-23,504","-8,025","-12,459","-4,477",,"-31,838","-32,728","-13,636","-20,956","-8,701",
01560,ALABAMA                  ,RUSSELL,"-100,583","-92,014","-127,360","-134,667","-134,190",,"-80,475","-82,056","-105,591","-106,739","-125,525",
01570,ALABAMA                  ,ST. CLAIR,"-50,403","-44,937","-16,473","-19,133","-4,987",,"-43,924","-40,560","-18,625","-16,774","-4,678",
01580,ALABAMA                  ,SHELBY,"-91,179","-67,792","-31,806","-42,938","-9,081",,"-93,938","-81,183","-39,675","-51,139","-11,243",
01590,ALABAMA                  ,SUMTER,"-8,060","-11,240","-3,908","-6,610","-2,617",,"-22,027","-34,668","-14,509","-18,106","-8,325",
01600,ALABAMA                  ,TALLADEGA,"-68,808","-75,189","-35,154","-42,181","-21,056",,"-68,802","-73,514","-41,239","-60,198","-26,317",
01610,ALABAMA                  ,TALLAPOOSA,"-34,592","-44,261","-18,747","-25,037","-12,165",,"-67,524","-80,733","-41,735","-54,858","-24,160",
01620,ALABAMA                  ,TUSCALOOSA,"68,686","-5,974","-93,449","-152,370","-73,675",,"94,679","-10,205","-183,474","-286,004","-124,960",
01630,ALABAMA                  ,WALKER,"-108,043","-87,262","-37,848","-54,295","-9,895",,"-177,842","-141,315","-61,321","-74,342","-13,427",
