"DIALYSIS -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE, BENEFICIARIES ENROLLED IN BOTH PARTS A AND B",,,,,,,,,,,
CODE,STATE,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A IME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,Risk Score,,
41,RI,"7,394","19,800","2,677.85","1,684","7,317","30,058","4,107.99",1.0372,,
42,SC,"77,400","177,830","2,297.55","5,083","77,103","320,282","4,153.95",0.9613,,
43,SD,"7,781","16,104","2,069.61",318,"7,658","26,714","3,488.37",0.9905,,
44,TN,"81,109","176,264","2,173.17","5,776","80,750","304,862","3,775.38",0.9695,,
45,TX,"360,903","960,366","2,661.01","18,702","358,565","1,366,018","3,809.68",0.9895,,
46,UT,"12,836","24,425","1,902.83","1,019","12,690","43,636","3,438.61",0.9215,,
47,VT,"3,905","10,563","2,704.91","1,556","3,894","15,091","3,875.52",1.0553,,
48,VI,"2,155","3,949","1,832.26",60,"2,132","7,080","3,320.71",0.8253,,
49,VA,"95,787","223,062","2,328.73","8,725","95,053","361,755","3,805.83",0.9738,,
50,WA,"51,616","128,888","2,497.05","3,875","51,342","193,262","3,764.20",0.9849,,
51,WV,"18,561","58,410","3,146.93","2,706","18,478","73,266","3,965.04",1.0278,,
52,WI,"48,964","124,426","2,541.17","5,700","48,744","175,196","3,594.21",1.0148,,
53,WY,"3,032","8,222","2,711.90",183,"3,012","10,493","3,483.85",0.9260,,
65,GU,"5,376","3,167",589.11,6,"5,010","13,914","2,777.26",0.8190,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
