IPPS and OPPS Wage Indices by Fiscal Year ,,,,,,,,,,,
"Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
County code,State,County name,CBSA 2014,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2014
01540,AL,PIKE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01550,AL,RANDOLPH,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01560,AL,RUSSELL,17980,0.9020,0.9028,0.8781,0.8781,0.9073,0.9013,0.8873,0.8171
01570,AL,ST. CLAIR,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01580,AL,SHELBY,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01590,AL,SUMTER,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01600,AL,TALLADEGA,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01610,AL,TALLAPOOSA,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01620,AL,TUSCALOOSA,46220,0.8531,0.8731,0.8942,0.8942,0.9061,0.8887,0.8753,0.8703
01630,AL,WALKER,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01640,AL,WASHINGTON,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01650,AL,WILCOX,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01660,AL,WINSTON,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01999,AL,STATEWIDE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,n/a ,0.7094
02013,AK,ALEUTIANS EAST,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02016,AK,ALEUTIANS WEST,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02020,AK,ANCHORAGE,11260,1.2084,1.1852,1.1920,1.1920,1.2573,1.2798,1.2727,1.3556
02050,AK,BETHEL,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02060,AK,BRISTOL BAY BOROUGH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02068,AK,DENALI,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02070,AK,DILLINGHAM,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02090,AK,FAIRBANKS NORTH STAR,21820,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02100,AK,HAINES,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02105,AK,HOONAH-ANGOON CENSUS AREA,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02110,AK,JUNEAU,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02122,AK,KENAI PENINSULA,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02130,AK,KETCHIKAN GATEWAY,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02150,AK,KODIAK ISLAND BOROUGH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02164,AK,LAKE AND PENINSULA,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02170,AK,MATANUSKA-SUSITNA,11260,1.2084,1.1852,1.1920,1.1920,1.2573,1.2798,1.2727,1.3556
02180,AK,NOME,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02185,AK,NORTH SLOPE BOROUH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02188,AK,NORTHWEST ARTIC BOROUGH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02195,AK,PETERSBURG CENSUS AREA,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02198,AK,PR.OF WALES-HYDER CNS AREA,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02220,AK,SITKA BOROUGH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02230,AK,SKAGWAY-YAKUTAT,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02240,AK,SOUTHEAST FAIRBANKS,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02261,AK,VALDEZ-CORDOVA,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02270,AK,WADE HAMPTON,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02275,AK,WRANGELL CITY AND BOROUGH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02282,AK,YAKUTAT BOROUGH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02290,AK,YUKON-KOYUKUK,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02999,AK,STATEWIDE,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,n/a ,1.3556
03000,AZ,APACHE,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
03010,AZ,COCHISE,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
03020,AZ,COCONINO,22380,1.1552,1.1609,1.2450,1.2450,1.2394,1.2380,1.1974,1.2357
03030,AZ,GILA,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
03040,AZ,GRAHAM,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
03050,AZ,GREENLEE,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
03055,AZ,LAPAZ,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
03060,AZ,MARICOPA,38060,1.0111,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0366
03070,AZ,MOHAVE,29420,0.9334,0.9801,1.0590,1.0590,1.0236,0.9965,1.0569,0.9789
03080,AZ,NAVAJO,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
03090,AZ,PIMA,46060,0.9417,0.9407,0.9686,0.9686,0.9643,0.9483,1.0569,0.9133
03100,AZ,PINAL,38060,1.0111,1.0224,1.0472,1.0472,1.0463,1.0387,1.0569,1.0366
03110,AZ,SANTA CRUZ,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,1.0569,0.9133
