DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-54,076","-57,034","-58,836","-57,482","-45,753",,,,
01620,ALABAMA                  ,TUSCALOOSA,"6,824","-29,727","-77,797","-104,636","-60,778",,,,
01630,ALABAMA                  ,WALKER,"-73,314","-65,388","-43,101","-43,790","-24,169",,,,
01640,ALABAMA                  ,WASHINGTON,"-11,695","-9,046","-9,712","-14,748","-11,552",,,,
01650,ALABAMA                  ,WILCOX,"-10,317","-15,490","-15,106","-16,312","-7,119",,,,
01660,ALABAMA                  ,WINSTON,"-24,526","-24,539","-21,365","-19,632","-13,348",,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,129,328,643,193,454,,,,
02020,ALASKA                   ,ANCHORAGE,"179,399","248,053","214,734","154,940","144,839",,,,
02040,ALASKA                   ,BARROW DIVISION,295,"2,537",379,421,-44,,,,
02050,ALASKA                   ,BETHEL,"1,447",426,583,"1,295",156,,,,
02060,ALASKA                   ,BRISTOL BAY,"3,222","6,159","2,623","3,386","2,986",,,,
02070,ALASKA                   ,DILLINGHAM,483,156,797,"1,071",683,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,396,120,480,89,144,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"55,995","74,765","78,413","52,822","49,919",,,,
02100,ALASKA                   ,HAINES,"1,311","1,157","2,151",524,301,,,,
02110,ALASKA                   ,JUNEAU,"22,638","19,231","18,154","18,769","16,707",,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"61,895","70,196","81,781","51,193","46,566",,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"1,178","3,323","1,177","2,942",607,,,,
02140,ALASKA                   ,KOBUK,197,89,161,549,332,,,,
02150,ALASKA                   ,KODIAK ISLAND,"3,298","1,431","1,112","2,463","1,939",,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,184,99,367,139,154,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"70,964","78,627","77,277","56,833","56,174",,,,
02180,ALASKA                   ,NOME,171,76,428,"2,776",275,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,170,22,156,58,23,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,162,303,429,286,166,,,,
02210,ALASKA                   ,SEWARD,"1,270",966,619,"1,150",792,,,,
02220,ALASKA                   ,SITKA,154,324,961,552,694,,,,
02230,ALASKA                   ,SKAGWAY,602,892,979,705,390,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"2,326","4,056","3,524","1,141","2,649",,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"1,472",581,"2,971",808,761,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"2,868","3,472","6,091","2,357","2,343",,,,
02270,ALASKA                   ,WADE HAMPTON,694,101,"1,206",98,170,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"2,500","2,287","1,142","1,717","1,952",,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"2,808","6,812","1,803","2,328","1,087",,,,
03000,ARIZONA                  ,APACHE,"6,188","2,808","2,486",118,-571,,,,
03010,ARIZONA                  ,COCHISE,"1,696","5,597","-10,151","-9,421","-24,690",,,,
03020,ARIZONA                  ,COCONINO,"16,688","12,580","-5,007","-9,906","-4,540",,,,
03030,ARIZONA                  ,GILA,-623,"-5,129","-24,867","-26,451","-32,366",,,,
03040,ARIZONA                  ,GRAHAM,"4,691","3,405","3,065","-1,112","-4,271",,,,
03050,ARIZONA                  ,GREENLEE,405,-226,453,-223,60,,,,
03055,ARIZONA                  ,LA PAZ,"10,028","4,082","5,609","1,805",-331,,,,
03060,ARIZONA                  ,MARICOPA,"279,383","161,982","-37,114","3,179","13,603",,,,
03070,ARIZONA                  ,MOHAVE,"104,408","11,819","-40,370","-64,000","-110,947",,,,
03080,ARIZONA                  ,NAVAJO,"12,577","13,705","11,570","2,195","-5,330",,,,
03090,ARIZONA                  ,PIMA,"-27,103","-42,896","-128,882","-131,443","-221,518",,,,
03100,ARIZONA                  ,PINAL,"35,199","19,042","-4,790","-1,370","7,747",,,,
03110,ARIZONA                  ,SANTA CRUZ,-964,"-1,400","-3,521","-3,456","-3,362",,,,
03120,ARIZONA                  ,YAVAPAI,"63,626","45,302","-23,961","-171,449","-174,626",,,,
03130,ARIZONA                  ,YUMA,"-14,657",-444,"23,211","20,630","-5,025",,,,
04000,ARKANSAS                 ,ARKANSAS,"-7,200","-6,094","-1,920","-1,972","-1,756",,,,
04010,ARKANSAS                 ,ASHLEY,"-4,079","-5,184","-3,083","-5,549","-3,202",,,,
04020,ARKANSAS                 ,BAXTER,"-16,511","-16,114","-12,858","-9,922","-15,376",,,,
04030,ARKANSAS                 ,BENTON,"-1,736","-11,360","17,634","25,240","-50,240",,,,
04040,ARKANSAS                 ,BOONE,"-18,350","-16,786","4,675","-15,409","-44,708",,,,
04050,ARKANSAS                 ,BRADLEY,"-2,237","-1,808","-1,014","-1,584","-1,301",,,,
04060,ARKANSAS                 ,CALHOUN,-780,-896,-534,"-2,307","-1,385",,,,
04070,ARKANSAS                 ,CARROLL,"-2,965","-2,846","1,446",772,"-8,466",,,,
04080,ARKANSAS                 ,CHICOT,"-2,530","-2,674",-705,"-1,974","-1,579",,,,
04090,ARKANSAS                 ,CLARK,"-9,689","-12,820","-6,847","-10,290","-8,942",,,,
04100,ARKANSAS                 ,CLAY,"-4,457","-5,485","-2,660","-2,281",-95,,,,
04110,ARKANSAS                 ,CLEBURNE,"-10,461","-8,840","-2,530","-2,949","-3,782",,,,
04120,ARKANSAS                 ,CLEVELAND,"-2,666","-3,093",-496,"-1,063","-1,157",,,,
04130,ARKANSAS                 ,COLUMBIA,"-4,987","-6,156","-5,597","-7,038","-5,876",,,,
04140,ARKANSAS                 ,CONWAY,"-7,375","-5,429","-2,306","-2,146","-3,212",,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-40,783","-14,932","-10,907",-97,"10,676",,,,
04160,ARKANSAS                 ,CRAWFORD,"-34,545","-18,284","-17,325","-2,205","1,655",,,,
04170,ARKANSAS                 ,CRITTENDEN,"-14,861","-17,685","-12,985","-17,992","-13,041",,,,
04180,ARKANSAS                 ,CROSS,"-7,077","-3,370","-1,889","-1,295","1,379",,,,
04190,ARKANSAS                 ,DALLAS,"-2,252","-2,727","-1,349","-2,409","-1,735",,,,
04200,ARKANSAS                 ,DESHA,"-3,694","-3,672","-1,587","-1,910","-1,547",,,,
04210,ARKANSAS                 ,DREW,"-5,969","-8,279","-2,562","-2,718","-1,907",,,,
04220,ARKANSAS                 ,FAULKNER,"-26,706","-23,013","-9,293","-11,373","-8,903",,,,
04230,ARKANSAS                 ,FRANKLIN,"-7,037","-3,898","-2,765","-1,179",12,,,,
04240,ARKANSAS                 ,FULTON,"-4,288","-3,030","-1,854",-649,"-4,598",,,,
04250,ARKANSAS                 ,GARLAND,"-119,116","-140,424","-99,547","-145,625","-131,985",,,,
04260,ARKANSAS                 ,GRANT,"-7,034","-6,709","-3,878","-4,177","-4,125",,,,
04270,ARKANSAS                 ,GREENE,"-16,854","-17,666","-6,599","-4,138",-716,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-7,551","-9,295","-6,914","-2,658","-2,906",,,,
04290,ARKANSAS                 ,HOT SPRING,"-23,839","-28,887","-24,359","-33,956","-35,137",,,,
04300,ARKANSAS                 ,HOWARD,"-3,853","-3,971","-3,450","-3,022","-3,601",,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-36,472","-31,315","-5,869","-8,347","-9,920",,,,
04320,ARKANSAS                 ,IZARD,"-6,694","-8,706","-3,292","-2,003","-4,536",,,,
04330,ARKANSAS                 ,JACKSON,"-25,160","-18,971","-6,022","-9,605","-9,253",,,,
04340,ARKANSAS                 ,JEFFERSON,"-24,298","-21,213","-5,328","-10,210","-8,374",,,,
04350,ARKANSAS                 ,JOHNSON,"-5,626","-6,085","-3,190","-2,497","-1,345",,,,
04360,ARKANSAS                 ,LAFAYETTE,"-3,653","-2,628","-1,900","-1,679","-2,614",,,,
04370,ARKANSAS                 ,LAWRENCE,"-10,824","-6,158","-2,842",-933,"1,222",,,,
04380,ARKANSAS                 ,LEE,"-4,748","-4,522","-2,666","-1,406",-731,,,,
04390,ARKANSAS                 ,LINCOLN,"-3,537","-3,318",-489,"-1,367","-1,329",,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-3,883","-4,345","-2,859","-2,644","-4,015",,,,
04410,ARKANSAS                 ,LOGAN,"-6,488","-5,993","-4,445",-884,881,,,,
04420,ARKANSAS                 ,LONOKE,"-26,787","-17,721","-8,096","-8,489","-6,650",,,,
04430,ARKANSAS                 ,MADISON,-584,"-1,675","1,479","4,669","-9,354",,,,
04440,ARKANSAS                 ,MARION,"-5,823","-6,858","-4,427","-4,825","-7,745",,,,
04450,ARKANSAS                 ,MILLER,"-13,675","-13,544","-8,560","-5,396","-10,346",,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-49,015","-41,324","-21,931","-15,785","-12,769",,,,
04470,ARKANSAS                 ,MONROE,"-4,588","-4,926","-2,097","-1,164","-1,109",,,,
04480,ARKANSAS                 ,MONTGOMERY,"-6,928","-10,938","-9,457","-12,332","-8,149",,,,
04490,ARKANSAS                 ,NEVADA,"-4,955","-5,514","-3,315","-1,168","-1,643",,,,
04500,ARKANSAS                 ,NEWTON,"-3,944","-4,207","1,387","-1,854","-7,831",,,,
04510,ARKANSAS                 ,OUACHITA,"-6,055","-7,426","-4,560","-6,074","-5,114",,,,
04520,ARKANSAS                 ,PERRY,"-3,376","-2,260","-1,878","-1,901","-1,247",,,,
04530,ARKANSAS                 ,PHILLIPS,"-8,829","-6,076","-4,093","-5,421","-3,590",,,,
04540,ARKANSAS                 ,PIKE,"-8,238","-7,970","-6,338","-9,883","-11,537",,,,
04550,ARKANSAS                 ,POINSETT,"-13,482","-6,503","-1,437",411,"8,281",,,,
04560,ARKANSAS                 ,POLK,"-9,240","-11,788","-9,818","-11,486","-8,284",,,,
04570,ARKANSAS                 ,POPE,"-21,518","-18,180","-5,600","-5,931","-8,135",,,,
04580,ARKANSAS                 ,PRAIRIE,"-4,063","-4,458","-1,559","-1,257","-1,372",,,,
04590,ARKANSAS                 ,PULASKI,"-144,849","-87,626","-40,639","-49,328","-40,117",,,,
04600,ARKANSAS                 ,RANDOLPH,"-7,203","-5,757","-3,240",-598,"1,773",,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-16,300","-18,087","-10,569","-4,484","-2,561",,,,
04620,ARKANSAS                 ,SALINE,"-28,199","-18,476","-7,554","-8,980","-8,520",,,,
04630,ARKANSAS                 ,SCOTT,"-4,201","-3,077","-3,336","-1,261",47,,,,
04640,ARKANSAS                 ,SEARCY,"-3,855","-3,299",-587,"-2,316","-6,385",,,,
04650,ARKANSAS                 ,SEBASTIAN,"-79,181","-37,010","-34,214","-7,266","8,191",,,,
04660,ARKANSAS                 ,SEVIER,"-2,822","-2,812","-1,904","-1,653","-2,829",,,,
04670,ARKANSAS                 ,SHARP,"-17,836","-13,363","-1,690","-2,316","-5,867",,,,
04680,ARKANSAS                 ,STONE,"-8,112","-7,492","-1,962","-2,752","-3,937",,,,
04690,ARKANSAS                 ,UNION,-300,"-2,838","-7,399","-20,293","-16,721",,,,
04700,ARKANSAS                 ,VAN BUREN,"-4,595","-3,169","-2,348","-1,940","-1,765",,,,
04710,ARKANSAS                 ,WASHINGTON,"-3,172","-12,410","20,873","29,445","-58,775",,,,
04720,ARKANSAS                 ,WHITE,"-32,132","-33,645","-7,890","-10,740","-14,272",,,,
04730,ARKANSAS                 ,WOODRUFF,"-6,038","-6,615",-901,"-1,470","-2,007",,,,
04740,ARKANSAS                 ,YELL,"-8,686","-7,531","-2,799","-3,798","-3,319",,,,
05000,CALIFORNIA               ,ALAMEDA,"604,289","614,113","365,821","408,180","380,446",,,,
05010,CALIFORNIA               ,ALPINE,147,642,598,"1,142","1,011",,,,
05020,CALIFORNIA               ,AMADOR,"13,319","19,727","2,264","4,479","7,994",,,,
05030,CALIFORNIA               ,BUTTE,"171,960","197,547","176,705","333,431","478,164",,,,
05040,CALIFORNIA               ,CALAVERAS,"35,472","38,748","29,874","38,753","42,241",,,,
05050,CALIFORNIA               ,COLUSA,"12,663","15,136","12,891","17,036","25,319",,,,
05060,CALIFORNIA               ,CONTRA COSTA,"328,547","335,610","211,711","309,106","353,142",,,,
05070,CALIFORNIA               ,DEL NORTE,"22,085","23,292","26,769","42,025","54,399",,,,
05080,CALIFORNIA               ,EL DORADO,"135,675","182,799","112,651","183,952","214,792",,,,
05090,CALIFORNIA               ,FRESNO,"215,945","258,828","243,010","382,141","562,186",,,,
05100,CALIFORNIA               ,GLENN,"10,871","18,275","15,450","26,235","38,435",,,,
05110,CALIFORNIA               ,HUMBOLDT,"120,533","123,645","71,396","114,726","116,748",,,,
05120,CALIFORNIA               ,IMPERIAL,"61,769","76,901","82,205","119,447","198,510",,,,
05130,CALIFORNIA               ,INYO,"5,925","10,867","3,995","7,484","8,527",,,,
05140,CALIFORNIA               ,KERN,"229,637","261,923","268,130","332,154","306,407",,,,
05150,CALIFORNIA               ,KINGS,"72,406","85,144","74,805","113,253","169,135",,,,
05160,CALIFORNIA               ,LAKE,"63,232","61,487","43,935","90,180","125,873",,,,
05170,CALIFORNIA               ,LASSEN,"8,790","26,421","9,680","16,917","20,393",,,,
05200,CALIFORNIA               ,LOS ANGELES,"1,730,068","1,788,992","1,788,274","1,746,394","1,394,136",,,,
05300,CALIFORNIA               ,MADERA,"44,813","47,974","40,908","69,381","80,112",,,,
05310,CALIFORNIA               ,MARIN,"103,771","96,765","60,031","85,484","96,463",,,,
05320,CALIFORNIA               ,MARIPOSA,"10,389","14,545","8,515","16,050","10,438",,,,
05330,CALIFORNIA               ,MENDOCINO,"-12,817","-47,913","-22,138","89,590","131,366",,,,
05340,CALIFORNIA               ,MERCED,"97,627","106,670","105,634","123,046","97,539",,,,
05350,CALIFORNIA               ,MODOC,"7,589","4,015","2,799","4,035","2,819",,,,
05360,CALIFORNIA               ,MONO,"2,517","2,815","4,940","7,722","8,785",,,,
05370,CALIFORNIA               ,MONTEREY,"179,869","182,918","65,569","29,510","23,615",,,,
05380,CALIFORNIA               ,NAPA,"77,500","107,553","54,749","48,478","50,661",,,,
05390,CALIFORNIA               ,NEVADA,"80,586","105,078","77,177","100,373","108,890",,,,
05400,CALIFORNIA               ,ORANGE,"508,927","515,157","512,859","540,420","492,786",,,,
05410,CALIFORNIA               ,PLACER,"125,030","178,614","145,863","205,502","235,812",,,,
05420,CALIFORNIA               ,PLUMAS,"16,063","23,367","18,092","32,494","44,266",,,,
05430,CALIFORNIA               ,RIVERSIDE,"392,826","420,200","440,772","539,370","570,975",,,,
05440,CALIFORNIA               ,SACRAMENTO,"828,455","1,097,493","753,877","1,039,121","1,093,017",,,,
05450,CALIFORNIA               ,SAN BENITO,"17,384","24,109","14,147","13,699","6,506",,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"418,797","463,803","449,364","469,546","474,165",,,,
05470,CALIFORNIA               ,SAN DIEGO,"1,150,403","1,148,373","1,104,841","1,366,409","1,597,161",,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"516,061","511,804","340,238","468,367","485,238",,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"501,104","603,401","402,452","536,470","517,159",,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"48,690","70,158","52,882","38,720","21,599",,,,
05510,CALIFORNIA               ,SAN MATEO,"142,830","145,787","100,598","106,475","97,074",,,,
05520,CALIFORNIA               ,SANTA BARBARA,"88,369","102,751","93,259","157,341","124,168",,,,
05530,CALIFORNIA               ,SANTA CLARA,"383,906","399,794","310,203","262,447","139,766",,,,
05540,CALIFORNIA               ,SANTA CRUZ,"125,283","162,707","97,463","86,573","32,912",,,,
05550,CALIFORNIA               ,SHASTA,"213,183","245,972","141,262","192,790","108,180",,,,
05560,CALIFORNIA               ,SIERRA,"1,775","2,563","4,067","4,588","5,483",,,,
05570,CALIFORNIA               ,SISKIYOU,"18,367","14,958","25,401","37,762","32,446",,,,
05580,CALIFORNIA               ,SOLANO,"131,716","164,919","111,812","131,635","153,347",,,,
05590,CALIFORNIA               ,SONOMA,"216,543","212,703","127,215","195,772","261,205",,,,
05600,CALIFORNIA               ,STANISLAUS,"300,477","365,890","300,391","451,784","332,610",,,,
05610,CALIFORNIA               ,SUTTER,"27,408","28,403","22,284","100,503","158,090",,,,
05620,CALIFORNIA               ,TEHAMA,"69,089","81,229","42,368","53,402","47,551",,,,
05630,CALIFORNIA               ,TRINITY,"31,215","25,888","18,254","25,101","16,591",,,,
05640,CALIFORNIA               ,TULARE,"156,679","175,432","169,275","263,746","422,722",,,,
05650,CALIFORNIA               ,TUOLUMNE,"63,737","87,928","67,669","93,553","68,954",,,,
05660,CALIFORNIA               ,VENTURA,"217,837","200,568","219,470","266,235","309,423",,,,
05670,CALIFORNIA               ,YOLO,"95,116","116,902","77,967","91,571","99,375",,,,
05680,CALIFORNIA               ,YUBA,"29,752","29,168","22,819","91,004","136,343",,,,
06000,COLORADO                 ,ADAMS,"-47,067","-37,848","-68,891","-80,004","-66,052",,,,
06010,COLORADO                 ,ALAMOSA,"1,677",734,"-1,519","-2,385","-5,127",,,,
06020,COLORADO                 ,ARAPAHOE,"-52,468","-61,699","-98,413","-108,341","-85,730",,,,
06030,COLORADO                 ,ARCHULETA,574,200,-244,-416,"-2,244",,,,
06040,COLORADO                 ,BACA,-194,11,-935,"-1,080","-1,395",,,,
06050,COLORADO                 ,BENT,605,530,-551,-927,"-2,997",,,,
06060,COLORADO                 ,BOULDER,"-37,524","-27,484","-42,673","-47,728","-52,944",,,,
06070,COLORADO                 ,CHAFFEE,-543,-858,"-1,118","-1,173",-815,,,,
06080,COLORADO                 ,CHEYENNE,34,33,-694,-262,-528,,,,
