"DISABLED - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
06560,COLORADO                 ,SAN MIGUEL             ,41,6593,160.8,6593,160.8,0,0,0,34,0,0,
06570,COLORADO                 ,SEDGWICK               ,49,0,0,0,0,0,0,0,46,0,0,
06580,COLORADO                 ,SUMMIT                 ,126,24830,197.06,24829,197.06,0,0,0,110,0,0,
06590,COLORADO                 ,TELLER                 ,495,8286,16.74,8287,16.74,0,0,0,421,0,0,
06600,COLORADO                 ,WASHINGTON             ,70,315,4.5,315,4.5,0,0,0,64,0,0,
06610,COLORADO                 ,WELD                   ,3679,559604,152.11,559604,152.11,0,0,0,3212,0,0,
06620,COLORADO                 ,YUMA                   ,143,930,6.5,930,6.5,0,0,0,131,0,0,
06630,COLORADO                 ,BROOMFIELD             ,532,108669,204.27,108670,204.27,0,0,0,397,0,0,
07000,CONNECTICUT              ,FAIRFIELD              ,11670,1134834,97.24,1134834,97.24,0,0,0,10084,0,0,
07010,CONNECTICUT              ,HARTFORD               ,18353,1855081,101.08,1855080,101.08,0,0,0,15786,0,0,
07020,CONNECTICUT              ,LITCHFIELD             ,4004,162099,40.48,162098,40.48,0,0,0,3427,0,0,
07030,CONNECTICUT              ,MIDDLESEX              ,3144,280523,89.22,280523,89.22,0,0,0,2697,0,0,
07040,CONNECTICUT              ,NEW HAVEN              ,18640,1554022,83.37,1554021,83.37,0,0,0,15937,0,0,
07050,CONNECTICUT              ,NEW LONDON             ,6383,676947,106.05,676947,106.05,0,0,0,5566,0,0,
07060,CONNECTICUT              ,TOLLAND                ,2105,85383,40.56,85382,40.56,0,0,0,1729,0,0,
07070,CONNECTICUT              ,WINDHAM                ,3412,176305,51.67,176305,51.67,0,0,0,2932,0,0,
08000,DELAWARE                 ,KENT                   ,5102,881708,172.82,881708,172.82,0,0,0,4596,0,0,
08010,DELAWARE                 ,NEW CASTLE             ,12530,1785637,142.51,1785636,142.51,0,0,0,10742,0,0,
08020,DELAWARE                 ,SUSSEX                 ,5846,1032547,176.62,1032547,176.62,0,0,0,5304,0,0,
09000,DISTRICT OF COLUMBIA     ,DISTRICT OF COLUMBIA   ,12452,998779,80.21,998778,80.21,0,0,0,11446,0,0,
10000,FLORIDA                  ,ALACHUA                ,5634,628878,111.62,628878,111.62,0,0,0,5011,0,0,
10010,FLORIDA                  ,BAKER                  ,868,457818,527.44,457818,527.44,0,0,0,767,0,0,
10020,FLORIDA                  ,BAY                    ,5477,918810,167.76,918810,167.76,0,0,0,5063,0,0,
10030,FLORIDA                  ,BRADFORD               ,828,174791,211.1,174791,211.1,0,0,0,761,0,0,
10040,FLORIDA                  ,BREVARD                ,12693,3059772,241.06,3059772,241.06,0,0,0,11072,0,0,
10050,FLORIDA                  ,BROWARD                ,19721,4782478,242.51,4782478,242.51,0,0,0,16904,0,0,
10060,FLORIDA                  ,CALHOUN                ,399,88530,221.88,88530,221.88,0,0,0,368,0,0,
10070,FLORIDA                  ,CHARLOTTE              ,3847,493367,128.25,493367,128.25,0,0,0,3453,0,0,
10080,FLORIDA                  ,CITRUS                 ,3858,824585,213.73,824585,213.73,0,0,0,3492,0,0,
10090,FLORIDA                  ,CLAY                   ,3173,408933,128.88,408934,128.88,0,0,0,2785,0,0,
10100,FLORIDA                  ,COLLIER                ,3737,760813,203.59,760813,203.59,0,0,0,3371,0,0,
10110,FLORIDA                  ,COLUMBIA               ,2555,245030,95.9,245030,95.9,0,0,0,2283,0,0,
10120,FLORIDA                  ,DADE                   ,26211,4470017,170.54,4470018,170.54,0,0,0,23951,0,0,
10130,FLORIDA                  ,DESOTO                 ,765,62665,81.92,62666,81.92,0,0,0,711,0,0,
10140,FLORIDA                  ,DIXIE                  ,671,103292,153.94,103292,153.94,0,0,0,606,0,0,
10150,FLORIDA                  ,DUVAL                  ,18312,3766235,205.67,3766235,205.67,0,0,0,16242,0,0,
10160,FLORIDA                  ,ESCAMBIA               ,8823,1452861,164.67,1452861,164.67,0,0,0,7958,0,0,
10170,FLORIDA                  ,FLAGLER                ,2200,213865,97.21,213865,97.21,0,0,0,1915,0,0,
10180,FLORIDA                  ,FRANKLIN               ,239,18166,76.01,18166,76.01,0,0,0,217,0,0,
10190,FLORIDA                  ,GADSDEN                ,1516,259244,171.01,259244,171.01,0,0,0,1257,0,0,
10200,FLORIDA                  ,GILCHRIST              ,498,71515,143.6,71514,143.6,0,0,0,453,0,0,
10210,FLORIDA                  ,GLADES                 ,146,125802,861.66,125803,861.66,0,0,0,138,0,0,
10220,FLORIDA                  ,GULF                   ,413,59907,145.05,59907,145.05,0,0,0,386,0,0,
10230,FLORIDA                  ,HAMILTON               ,483,151301,313.25,151301,313.25,0,0,0,444,0,0,
10240,FLORIDA                  ,HARDEE                 ,532,53783,101.1,53783,101.1,0,0,0,492,0,0,
10250,FLORIDA                  ,HENDRY                 ,680,143297,210.73,143298,210.73,0,0,0,643,0,0,
10260,FLORIDA                  ,HERNANDO               ,4566,689971,151.11,689971,151.11,0,0,0,3877,0,0,
10270,FLORIDA                  ,HIGHLANDS              ,2559,552772,216.01,552772,216.01,0,0,0,2367,0,0,
10280,FLORIDA                  ,HILLSBOROUGH           ,19634,5208234,265.27,5208233,265.27,0,0,0,16587,0,0,
10290,FLORIDA                  ,HOLMES                 ,761,253544,333.17,253543,333.17,0,0,0,717,0,0,
10300,FLORIDA                  ,INDIAN RIVER           ,2960,247334,83.56,247334,83.56,0,0,0,2646,0,0,
10310,FLORIDA                  ,JACKSON                ,2171,522315,240.59,522314,240.59,0,0,0,2004,0,0,
10320,FLORIDA                  ,JEFFERSON              ,344,137899,400.87,137899,400.87,0,0,0,302,0,0,
10330,FLORIDA                  ,LAFAYETTE              ,137,4394,32.07,4394,32.07,0,0,0,124,0,0,
10340,FLORIDA                  ,LAKE                   ,7654,1257058,164.24,1257059,164.24,0,0,0,6772,0,0,
10350,FLORIDA                  ,LEE                    ,11322,3458295,305.45,3458295,305.45,0,0,0,10101,0,0,
10360,FLORIDA                  ,LEON                   ,3556,332152,93.41,332152,93.41,0,0,0,3035,0,0,
10370,FLORIDA                  ,LEVY                   ,1385,168037,121.33,168037,121.33,0,0,0,1265,0,0,
10380,FLORIDA                  ,LIBERTY                ,198,0,0,0,0,0,0,0,184,0,0,
10390,FLORIDA                  ,MADISON                ,582,3138,5.39,3137,5.39,0,0,0,524,0,0,
10400,FLORIDA                  ,MANATEE                ,5253,601301,114.47,601301,114.47,0,0,0,4521,0,0,
10410,FLORIDA                  ,MARION                 ,8938,1461520,163.52,1461520,163.52,0,0,0,7934,0,0,
10420,FLORIDA                  ,MARTIN                 ,2235,466542,208.74,466543,208.74,0,0,0,1950,0,0,
10430,FLORIDA                  ,MONROE                 ,1400,110129,78.66,110130,78.66,0,0,0,1251,0,0,
10440,FLORIDA                  ,NASSAU                 ,1533,381849,249.09,381849,249.09,0,0,0,1349,0,0,
10450,FLORIDA                  ,OKALOOSA               ,4010,555859,138.62,555860,138.62,0,0,0,3661,0,0,
10460,FLORIDA                  ,OKEECHOBEE             ,968,151164,156.16,151164,156.16,0,0,0,872,0,0,
10470,FLORIDA                  ,ORANGE                 ,15664,2979718,190.23,2979718,190.23,0,0,0,13370,0,0,
10480,FLORIDA                  ,OSCEOLA                ,5307,617285,116.32,617285,116.32,0,0,0,4397,0,0,
10490,FLORIDA                  ,PALM BEACH             ,14601,4035598,276.39,4035598,276.39,0,0,0,12548,0,0,
10500,FLORIDA                  ,PASCO                  ,9856,2985577,302.92,2985577,302.92,0,0,0,8405,0,0,
10510,FLORIDA                  ,PINELLAS               ,19413,5621539,289.58,5621539,289.58,0,0,0,16612,0,0,
10520,FLORIDA                  ,POLK                   ,11352,2602798,229.28,2602798,229.28,0,0,0,9737,0,0,
10530,FLORIDA                  ,PUTNAM                 ,2679,674487,251.77,674488,251.77,0,0,0,2463,0,0,
10540,FLORIDA                  ,ST  JOHNS              ,3633,633749,174.44,633749,174.44,0,0,0,3201,0,0,
10550,FLORIDA                  ,ST  LUCIE              ,6653,1021760,153.58,1021760,153.58,0,0,0,5858,0,0,
10560,FLORIDA                  ,SANTA ROSA             ,3354,673822,200.9,673821,200.9,0,0,0,3008,0,0,
10570,FLORIDA                  ,SARASOTA               ,7864,1506384,191.55,1506384,191.55,0,0,0,7028,0,0,
10580,FLORIDA                  ,SEMINOLE               ,5111,1059570,207.31,1059569,207.31,0,0,0,4365,0,0,
10590,FLORIDA                  ,SUMTER                 ,1301,131669,101.21,131669,101.21,0,0,0,1171,0,0,
10600,FLORIDA                  ,SUWANNEE               ,1411,283990,201.27,283990,201.27,0,0,0,1273,0,0,
10610,FLORIDA                  ,TAYLOR                 ,641,155432,242.48,155432,242.48,0,0,0,559,0,0,
10620,FLORIDA                  ,UNION                  ,384,101900,265.36,101900,265.36,0,0,0,351,0,0,
10630,FLORIDA                  ,VOLUSIA                ,11311,2559309,226.27,2559309,226.27,0,0,0,9877,0,0,
10640,FLORIDA                  ,WAKULLA                ,649,178997,275.8,178997,275.8,0,0,0,534,0,0,
10650,FLORIDA                  ,WALTON                 ,1162,207017,178.16,207016,178.15,0,0,0,1070,0,0,
10660,FLORIDA                  ,WASHINGTON             ,854,174821,204.71,174820,204.71,0,0,0,791,0,0,
11000,GEORGIA                  ,APPLING                ,539,239077,443.56,239077,443.56,0,0,0,502,0,0,
11010,GEORGIA                  ,ATKINSON               ,289,32730,113.25,32730,113.25,0,0,0,270,0,0,
11011,GEORGIA                  ,BACON                  ,350,50706,144.87,50705,144.87,0,0,0,329,0,0,
11020,GEORGIA                  ,BAKER                  ,21,0,0,0,0,0,0,0,21,0,0,
11030,GEORGIA                  ,BALDWIN                ,1397,207981,148.88,207981,148.88,0,0,0,1244,0,0,
11040,GEORGIA                  ,BANKS                  ,393,55261,140.61,55260,140.61,0,0,0,364,0,0,
11050,GEORGIA                  ,BARROW                 ,1940,570517,294.08,570517,294.08,0,0,0,1705,0,0,
11060,GEORGIA                  ,BARTOW                 ,2478,518250,209.14,518250,209.14,0,0,0,2258,0,0,
11070,GEORGIA                  ,BEN HILL               ,677,214487,316.82,214487,316.82,0,0,0,628,0,0,
11080,GEORGIA                  ,BERRIEN                ,625,289964,463.94,289964,463.94,0,0,0,569,0,0,
11090,GEORGIA                  ,BIBB                   ,5557,1395660,251.15,1395659,251.15,0,0,0,5010,0,0,
11100,GEORGIA                  ,BLECKLEY               ,163,28718,176.18,28718,176.18,0,0,0,152,0,0,
11110,GEORGIA                  ,BRANTLEY               ,619,38258,61.81,38258,61.81,0,0,0,578,0,0,
11120,GEORGIA                  ,BROOKS                 ,385,21827,56.69,21827,56.69,0,0,0,355,0,0,
11130,GEORGIA                  ,BRYAN                  ,620,116823,188.42,116823,188.42,0,0,0,550,0,0,
11140,GEORGIA                  ,BULLOCH                ,1458,286163,196.27,286163,196.27,0,0,0,1331,0,0,
11150,GEORGIA                  ,BURKE                  ,599,107855,180.06,107856,180.06,0,0,0,523,0,0,
11160,GEORGIA                  ,BUTTS                  ,751,126048,167.84,126049,167.84,0,0,0,649,0,0,
11161,GEORGIA                  ,CALHOUN                ,251,18916,75.36,18915,75.36,0,0,0,237,0,0,
11170,GEORGIA                  ,CAMDEN                 ,1031,74157,71.93,74158,71.93,0,0,0,918,0,0,
11180,GEORGIA                  ,CANDLER                ,347,109524,315.63,109524,315.63,0,0,0,323,0,0,
11190,GEORGIA                  ,CARROLL                ,3401,466500,137.17,466501,137.17,0,0,0,3098,0,0,
11200,GEORGIA                  ,CATOOSA                ,1116,121593,108.95,121593,108.95,0,0,0,1015,0,0,
11210,GEORGIA                  ,CHARLTON               ,356,11522,32.37,11521,32.36,0,0,0,330,0,0,
11220,GEORGIA                  ,CHATHAM                ,4829,968618,200.58,968618,200.58,0,0,0,4255,0,0,
11230,GEORGIA                  ,CHATTAHOOCHEE          ,118,0,0,0,0,0,0,0,104,0,0,
11240,GEORGIA                  ,CHATTOOGA              ,1047,74603,71.25,74602,71.25,0,0,0,989,0,0,
11250,GEORGIA                  ,CHEROKEE               ,1357,309699,228.22,309700,228.22,0,0,0,1174,0,0,
11260,GEORGIA                  ,CLARKE                 ,2643,462638,175.04,462639,175.04,0,0,0,2439,0,0,
11270,GEORGIA                  ,CLAY                   ,84,2515,29.94,2515,29.94,0,0,0,81,0,0,
11280,GEORGIA                  ,CLAYTON                ,6420,1512888,235.65,1512888,235.65,0,0,0,5500,0,0,
11281,GEORGIA                  ,CLINCH                 ,351,73413,209.15,73413,209.15,0,0,0,333,0,0,
11290,GEORGIA                  ,COBB                   ,9250,2102373,227.28,2102374,227.28,0,0,0,7876,0,0,
11291,GEORGIA                  ,COFFEE                 ,1387,90477,65.23,90478,65.23,0,0,0,1296,0,0,
11300,GEORGIA                  ,COLQUITT               ,1410,122626,86.97,122626,86.97,0,0,0,1328,0,0,
11310,GEORGIA                  ,COLUMBIA               ,1424,200205,140.59,200205,140.59,0,0,0,1194,0,0,
11311,GEORGIA                  ,COOK                   ,524,143339,273.55,143339,273.55,0,0,0,471,0,0,
11320,GEORGIA                  ,COWETA                 ,2254,334389,148.35,334390,148.35,0,0,0,1962,0,0,
11330,GEORGIA                  ,CRAWFORD               ,181,95578,528.06,95578,528.06,0,0,0,163,0,0,
11340,GEORGIA                  ,CRISP                  ,815,69188,84.89,69188,84.89,0,0,0,752,0,0,
11341,GEORGIA                  ,DADE                   ,549,83434,151.97,83434,151.97,0,0,0,504,0,0,
11350,GEORGIA                  ,DAWSON                 ,489,36102,73.83,36102,73.83,0,0,0,437,0,0,
11360,GEORGIA                  ,DECATUR                ,920,79352,86.25,79351,86.25,0,0,0,846,0,0,
11370,GEORGIA                  ,DEKALB                 ,10990,2260170,205.66,2260169,205.66,0,0,0,9394,0,0,
11380,GEORGIA                  ,DODGE                  ,919,249135,271.09,249135,271.09,0,0,0,834,0,0,
11381,GEORGIA                  ,DOOLY                  ,272,56572,207.99,56572,207.99,0,0,0,246,0,0,
11390,GEORGIA                  ,DOUGHERTY              ,3289,380047,115.55,380047,115.55,0,0,0,3019,0,0,
11400,GEORGIA                  ,DOUGLAS                ,2229,474775,213,474775,213,0,0,0,1907,0,0,
11410,GEORGIA                  ,EARLY                  ,334,85370,255.6,85371,255.6,0,0,0,318,0,0,
11420,GEORGIA                  ,ECHOLS                 ,31,12990,419.03,12991,419.06,0,0,0,29,0,0,
11421,GEORGIA                  ,EFFINGHAM              ,917,195898,213.63,195899,213.63,0,0,0,807,0,0,
11430,GEORGIA                  ,ELBERT                 ,801,31478,39.3,31478,39.3,0,0,0,749,0,0,
11440,GEORGIA                  ,EMANUEL                ,883,135088,152.99,135088,152.99,0,0,0,820,0,0,
11441,GEORGIA                  ,EVANS                  ,269,78308,291.11,78308,291.11,0,0,0,253,0,0,
11450,GEORGIA                  ,FANNIN                 ,843,213896,253.73,213896,253.73,0,0,0,785,0,0,
11451,GEORGIA                  ,FAYETTE                ,1239,229821,185.49,229821,185.49,0,0,0,1045,0,0,
11460,GEORGIA                  ,FLOYD                  ,3652,562029,153.9,562029,153.9,0,0,0,3361,0,0,
