DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-4,191","-4,022","-2,441","-2,494",-694,,,,,,
01600,ALABAMA                  ,TALLADEGA,"-18,024","-25,174","-14,446","-14,657","-6,662",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-10,608","-9,098","-5,385","-7,970","-1,989",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"9,081","-7,004","-32,020","-39,078","-15,529",,,,,,
01630,ALABAMA                  ,WALKER,"-27,210","-16,662","-10,588","-12,456","-4,735",,,,,,
01640,ALABAMA                  ,WASHINGTON,"-1,802","-3,082","-2,567","-5,135",-813,,,,,,
01650,ALABAMA                  ,WILCOX,"-3,247","-2,425",-898,"-3,136","-1,022",,,,,,
01660,ALABAMA                  ,WINSTON,"-7,756","-4,893","-5,406","-4,310","-3,836",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,0,0,,,,,,
02020,ALASKA                   ,ANCHORAGE,"4,740","4,616","4,310","3,979","1,405",,,,,,
02040,ALASKA                   ,BARROW DIVISION,0,0,0,0,0,,,,,,
02050,ALASKA                   ,BETHEL,171,0,8,486,0,,,,,,
02060,ALASKA                   ,BRISTOL BAY,0,-9,-342,0,-547,,,,,,
02070,ALASKA                   ,DILLINGHAM,0,0,300,0,0,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,-17,0,0,-7,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,251,"-1,695",19,282,-481,,,,,,
02100,ALASKA                   ,HAINES,0,0,0,501,0,,,,,,
02110,ALASKA                   ,JUNEAU,"1,599","3,850","3,745","1,787",387,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"2,448","4,727","2,467","5,983","2,472",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"3,791","4,292","4,007","1,469","2,195",,,,,,
02140,ALASKA                   ,KOBUK,0,0,0,0,0,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,78,187,0,0,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,0,34,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,500,24,403,430,571,,,,,,
02180,ALASKA                   ,NOME,137,29,0,0,-74,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,645,0,0,822,294,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,115,0,0,131,212,,,,,,
02210,ALASKA                   ,SEWARD,48,0,85,0,0,,,,,,
02220,ALASKA                   ,SITKA,0,244,660,356,712,,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,0,50,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,237,409,-220,-13,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,,,,,,
