HHA Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2012,HHA Wage 2013,HHA Wage 2014
01610,AL,TALLAPOOSA,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01620,AL,TUSCALOOSA,46220,0.8303,0.8496,0.8698,0.8843,0.8664,0.8480,0.8498
01630,AL,WALKER,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01640,AL,WASHINGTON,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01650,AL,WILCOX,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01660,AL,WINSTON,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01999,AL,STATEWIDE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,n/a ,0.7175
02013,AK,ALEUTIANS EAST,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02016,AK,ALEUTIANS WEST,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02020,AK,ANCHORAGE,11260,1.1913,1.1931,1.2013,1.1964,1.2133,1.2174,1.2259
02050,AK,BETHEL,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02060,AK,BRISTOL BAY BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02068,AK,DENALI,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02070,AK,DILLINGHAM,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02090,AK,FAIRBANKS NORTH STAR,21820,1.1050,1.1297,1.1114,1.1080,1.1322,1.0840,1.1043
02100,AK,HAINES,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02105,AK,HOONAH-ANGOON CENSUS AREA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02110,AK,JUNEAU,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02122,AK,KENAI PENINSULA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02130,AK,KETCHIKAN GATEWAY,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02150,AK,KODIAK ISLAND BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02164,AK,LAKE AND PENINSULA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02170,AK,MATANUSKA-SUSITNA,11260,1.1913,1.1931,1.2013,1.1964,1.2133,1.2174,1.2259
02180,AK,NOME,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02185,AK,NORTH SLOPE BOROUH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02188,AK,NORTHWEST ARTIC BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02195,AK,PETERSBURG CENSUS AREA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02198,AK,PR.OF WALES-HYDER CNS AREA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02220,AK,SITKA BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02230,AK,SKAGWAY-YAKUTAT,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02240,AK,SOUTHEAST FAIRBANKS,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02261,AK,VALDEZ-CORDOVA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02270,AK,WADE HAMPTON,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02275,AK,WRANGELL CITY AND BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02282,AK,YAKUTAT BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02290,AK,YUKON-KOYUKUK,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02999,AK,STATEWIDE,NA,1.2109,1.1898,1.1669,1.2626,1.2846,n/a ,1.3720
03000,AZ,APACHE,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03010,AZ,COCHISE,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03020,AZ,COCONINO,22380,1.1687,1.1743,1.2475,1.2443,1.2427,1.2396,1.2840
03030,AZ,GILA,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03040,AZ,GRAHAM,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03050,AZ,GREENLEE,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03055,AZ,LAPAZ,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03060,AZ,MARICOPA,38060,1.0264,1.0379,1.0630,1.0642,1.0566,1.0490,1.0505
03070,AZ,MOHAVE,29420,0.9333,0.9797,1.0567,1.0235,0.9967,0.9782,0.9953
03080,AZ,NAVAJO,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03090,AZ,PIMA,46060,0.9245,0.9229,0.9505,0.9480,0.9318,0.9085,0.8991
03100,AZ,PINAL,38060,1.0264,1.0379,1.0630,1.0642,1.0566,1.0490,1.0505
03110,AZ,SANTA CRUZ,NA,0.8479,0.8453,0.8790,0.9095,0.8826,0.9203,0.9205
03120,AZ,YAVAPAI,39140,1.0020,1.0221,1.0121,1.2234,1.2261,1.2035,1.0199
03130,AZ,YUMA,49740,0.9488,0.9281,0.9143,0.9283,0.9350,0.9538,0.9715
03999,AZ,STATEWIDE,NA,0.8479,0.8453,0.8790,0.9095,0.8826,n/a ,0.9205
04000,AR,ARKANSAS,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04010,AR,ASHLEY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04020,AR,BAXTER,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04030,AR,BENTON,22220,0.8742,0.8970,0.8775,0.8616,0.9263,0.9308,0.8993
04040,AR,BOONE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04050,AR,BRADLEY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
