"ESRD - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
01580,ALABAMA                  ,SHELBY                 ,97,52508,541.32,52508,541.32,0,0,0,90,0,0,
01590,ALABAMA                  ,SUMTER                 ,33,21108,639.64,21108,639.64,0,0,0,31,0,0,
01600,ALABAMA                  ,TALLADEGA              ,194,337922,1741.87,337922,1741.87,0,0,0,190,0,0,
01610,ALABAMA                  ,TALLAPOOSA             ,82,115277,1405.82,115277,1405.82,0,0,0,81,0,0,
01620,ALABAMA                  ,TUSCALOOSA             ,329,62146,188.89,62146,188.89,0,0,0,317,0,0,
01630,ALABAMA                  ,WALKER                 ,82,78842,961.49,78842,961.49,0,0,0,80,0,0,
01640,ALABAMA                  ,WASHINGTON             ,31,0,0,0,0,0,0,0,30,0,0,
01650,ALABAMA                  ,WILCOX                 ,42,0,0,0,0,0,0,0,41,0,0,
01660,ALABAMA                  ,WINSTON                ,32,24797,774.91,24798,774.94,0,0,0,30,0,0,
02010,ALASKA                   ,ALEUTIAN ISLANDS       ,1,0,0,0,0,0,0,0,1,0,0,
02020,ALASKA                   ,ANCHORAGE              ,348,14649,42.09,14649,42.09,0,0,0,317,0,0,
02040,ALASKA                   ,BARROW-NORTH SLOPE     ,1,0,0,0,0,0,0,0,1,0,0,
02050,ALASKA                   ,BETHEL                 ,3,0,0,0,0,0,0,0,3,0,0,
02060,ALASKA                   ,BRISTOL BAY            ,4,0,0,0,0,0,0,0,3,0,0,
02070,ALASKA                   ,DILLINGHAM             ,3,0,0,0,0,0,0,0,2,0,0,
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,1,0,0,0,0,0,0,0,1,0,0,
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,51,0,0,0,0,0,0,0,49,0,0,
02100,ALASKA                   ,HAINES                 ,1,0,0,0,0,0,0,0,1,0,0,
02110,ALASKA                   ,JUNEAU                 ,21,0,0,0,0,0,0,0,20,0,0,
02120,ALASKA                   ,KENAI-COOK INLET       ,36,0,0,0,0,0,0,0,36,0,0,
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,8,0,0,0,0,0,0,0,8,0,0,
