DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
01540,ALABAMA                  ,PIKE,"-27,043","-61,541","-68,123","-55,206","-62,680",,,,,,,,,,,
01550,ALABAMA                  ,RANDOLPH,"-48,621","-37,655","-83,451","-87,935","-49,565",,,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,"77,402","77,321","134,986","128,379","135,124",,,,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"81,364","93,715","108,117","116,098","51,627",,,,,,,,,,,
01580,ALABAMA                  ,SHELBY,"82,248","95,272","79,593","102,931","82,359",,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-28,060","-22,745","-26,593","-8,235","-7,565",,,,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,"-99,773","-84,977","-52,791","-93,706","-27,399",,,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-129,225","-115,245","-103,428","-176,175","-162,372",,,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-534,366","-410,068","-417,928","-141,876","-315,695",,,,,,,,,,,
01630,ALABAMA                  ,WALKER,"-80,424","-36,236","-17,815","-24,991","-70,442",,,,,,,,,,,
01640,ALABAMA                  ,WASHINGTON,"28,019","27,578","25,858","30,033","17,374",,,,,,,,,,,
01650,ALABAMA                  ,WILCOX,"-75,444","-36,879","-61,785","-54,111","-82,923",,,,,,,,,,,
01660,ALABAMA                  ,WINSTON,"-116,138","-69,357","-65,399","-92,625","-75,770",,,,,,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"-8,414","-6,190","1,460","-1,586","-12,255",,,,,,,,,,,
02020,ALASKA                   ,ANCHORAGE,"-328,128","-111,920","-224,286","-376,262","-342,652",,,,,,,,,,,
02040,ALASKA                   ,BARROW DIVISION,"-7,135","-41,831","-13,651","-24,414","-13,602",,,,,,,,,,,
02050,ALASKA                   ,BETHEL,"-17,180","-45,193","-9,941",822,"16,570",,,,,,,,,,,
02060,ALASKA                   ,BRISTOL BAY,"2,113","-13,363","-2,825","-5,998","-22,252",,,,,,,,,,,
02070,ALASKA                   ,DILLINGHAM,"-4,111","-14,844","-4,338","-4,912","-1,554",,,,,,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,151,620,547,"-6,344",-101,,,,,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-33,433","-40,192","-51,592","-61,926","-54,040",,,,,,,,,,,
02100,ALASKA                   ,HAINES,"-6,627",367,"-1,468",633,130,,,,,,,,,,,
02110,ALASKA                   ,JUNEAU,"-24,071","-41,072","-37,651","-21,331","-87,043",,,,,,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"-77,880","-78,927","-118,364","-40,874","-30,079",,,,,,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"-21,971","-2,768","-9,302","-7,989","-34,480",,,,,,,,,,,
02140,ALASKA                   ,KOBUK,"-5,913","-2,003","-8,224","-29,570","-10,195",,,,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"-19,120","-1,680","-6,795","-8,154","-24,985",,,,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"-10,787",378,-342,"2,833","-2,448",,,,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"-38,877","-29,600","-74,339","-69,220","-101,175",,,,,,,,,,,
02180,ALASKA                   ,NOME,"-25,025","-1,712","-43,606","-6,271","-25,758",,,,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"-18,434","-1,258",704,"-7,719",-120,,,,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"-2,945","-14,939","-9,617","-2,632","-10,971",,,,,,,,,,,
02210,ALASKA                   ,SEWARD,-578,"-4,254","-5,424","-5,301","-11,547",,,,,,,,,,,
02220,ALASKA                   ,SITKA,-493,"-2,999","-25,460","-24,248","-4,074",,,,,,,,,,,
02230,ALASKA                   ,SKAGWAY,-979,"-1,770",447,295,0,,,,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"-2,804","-24,750","-3,622","-1,862","-4,094",,,,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"-1,756","-4,726",0,19,"-1,916",,,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"-7,250","-4,408","3,851","-8,103","-9,321",,,,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,"6,521","-2,099","-12,603","-27,038","-26,093",,,,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"-6,404","-3,351","-3,182","-4,487","-6,630",,,,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"-6,733",517,"-2,339","-9,710","-6,123",,,,,,,,,,,
03000,ARIZONA                  ,APACHE,"184,578","202,043","194,529","190,271","224,023",,,,,,,,,,,
03010,ARIZONA                  ,COCHISE,"-68,230","-110,532","-56,480","-43,555","-41,207",,,,,,,,,,,
03020,ARIZONA                  ,COCONINO,"51,128","68,264","95,782","44,276","141,129",,,,,,,,,,,
03030,ARIZONA                  ,GILA,"-10,975","-56,772","-72,877","-97,483","-43,008",,,,,,,,,,,
03040,ARIZONA                  ,GRAHAM,-38,"3,111","-4,473","-5,665","-11,076",,,,,,,,,,,
03050,ARIZONA                  ,GREENLEE,-787,"-6,806","2,823","3,914","-2,003",,,,,,,,,,,
03055,ARIZONA                  ,LA PAZ,"10,520","-2,723","-31,123","-11,372","-32,296",,,,,,,,,,,
03060,ARIZONA                  ,MARICOPA,"5,883,001","5,625,676","4,698,603","4,806,764","4,744,578",,,,,,,,,,,
03070,ARIZONA                  ,MOHAVE,"-289,152","-183,086","-335,428","-261,530","-288,467",,,,,,,,,,,
03080,ARIZONA                  ,NAVAJO,"181,281","285,141","168,269","125,270","182,156",,,,,,,,,,,
03090,ARIZONA                  ,PIMA,"314,692","268,485","331,599","442,444","181,211",,,,,,,,,,,
03100,ARIZONA                  ,PINAL,"325,144","225,418","131,562","59,512","-2,924",,,,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,803,"-10,392","17,121","-4,591","-32,373",,,,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,"134,774","137,599","-141,581","-211,532","-155,165",,,,,,,,,,,
03130,ARIZONA                  ,YUMA,"-48,069","-44,549","-56,812","-30,065","9,105",,,,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-33,347","-63,822","-40,651","-16,265","-29,225",,,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,"-21,158","-76,379","-33,870","-36,464","-18,138",,,,,,,,,,,
04020,ARKANSAS                 ,BAXTER,"-64,068","-46,737","-35,580","-56,822","-16,545",,,,,,,,,,,
04030,ARKANSAS                 ,BENTON,"-16,145","4,099","10,361",757,"9,064",,,,,,,,,,,
04040,ARKANSAS                 ,BOONE,"-49,293","-88,193","-65,513","-110,356","-68,925",,,,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,"-7,836","-18,198","-5,228","-14,880","-13,960",,,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,-360,"-1,807","-3,730","-1,976","-4,056",,,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,"-15,480","-19,948","-11,174","-17,100","-12,355",,,,,,,,,,,
04080,ARKANSAS                 ,CHICOT,"-16,455","-21,534","-12,562","-7,335","-2,017",,,,,,,,,,,
04090,ARKANSAS                 ,CLARK,"-27,756","-13,576","-18,251","-13,218","-10,552",,,,,,,,,,,
04100,ARKANSAS                 ,CLAY,"-43,917","-51,770","-61,109","-77,519","-61,526",,,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-44,551","-44,441","-47,209","-41,944","-65,616",,,,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,-492,"-5,001","-19,079","-1,886","-14,137",,,,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-5,896","-47,890","-36,703","-46,413","-18,954",,,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"-50,039","-16,015","-64,159","-24,906","-22,216",,,,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-278,332","-315,531","-289,731","-239,098","-152,984",,,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-40,940","-41,023","-91,827","-54,466","-40,568",,,,,,,,,,,
