DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
11581,GEORGIA                  ,HART,"-30,337","-22,405","-38,094","-16,475","-22,937",,,,,,,,,,,
11590,GEORGIA                  ,HEARD,"-11,481","-7,494","-9,462","-12,030",-123,,,,,,,,,,,
11591,GEORGIA                  ,HENRY,"-18,951","21,276","67,863",910,"49,462",,,,,,,,,,,
11600,GEORGIA                  ,HOUSTON,"-113,078","-34,818","-130,106","28,865","47,074",,,,,,,,,,,
11601,GEORGIA                  ,IRWIN,"-23,304",914,"-1,213","-3,554","10,669",,,,,,,,,,,
11610,GEORGIA                  ,JACKSON,"-80,633","-86,765","-59,992","-70,088","-62,934",,,,,,,,,,,
11611,GEORGIA                  ,JASPER,"-3,467","-8,412","-7,786","-4,474","-6,262",,,,,,,,,,,
11612,GEORGIA                  ,JEFF DAVIS,"-12,057","-8,421","-21,153","-3,483","-26,035",,,,,,,,,,,
11620,GEORGIA                  ,JEFFERSON,"-33,669","-104,166","-54,548","-17,695","2,171",,,,,,,,,,,
11630,GEORGIA                  ,JENKINS,"-18,822","-14,381","-17,610","-2,110","1,218",,,,,,,,,,,
11640,GEORGIA                  ,JOHNSON,"-12,956","-41,153","-13,755","-23,446","-16,596",,,,,,,,,,,
11650,GEORGIA                  ,JONES,"-29,016","-26,595","-12,074","-8,197","-21,167",,,,,,,,,,,
11651,GEORGIA                  ,LAMAR,"-44,970","-50,571","-24,558","-22,627","-49,359",,,,,,,,,,,
11652,GEORGIA                  ,LANIER,"-45,011","-38,954","-28,589","-10,061","6,212",,,,,,,,,,,
11660,GEORGIA                  ,LAURENS,"-193,545","-170,356","-200,721","-266,170","-175,888",,,,,,,,,,,
11670,GEORGIA                  ,LEE,"-12,794","-43,649","-15,836","-38,295","-53,535",,,,,,,,,,,
11680,GEORGIA                  ,LIBERTY,"-7,909","-44,381","-40,571","-42,199","27,061",,,,,,,,,,,
11690,GEORGIA                  ,LINCOLN,"-13,749","-1,674","5,233","-5,244","-5,878",,,,,,,,,,,
11691,GEORGIA                  ,LONG,"-12,652","-8,468","-6,481","-11,599","1,314",,,,,,,,,,,
11700,GEORGIA                  ,LOWNDES,"-344,449","-293,861","-142,879","-131,774","-161,982",,,,,,,,,,,
11701,GEORGIA                  ,LUMPKIN,"-22,486","-40,285","-20,421","-19,728","-31,819",,,,,,,,,,,
11702,GEORGIA                  ,MCDUFFIE,"-14,035","-21,287","-38,032","-10,872","7,003",,,,,,,,,,,
11703,GEORGIA                  ,MCINTOSH,"-5,017","4,975","-10,528","10,674","5,030",,,,,,,,,,,
11710,GEORGIA                  ,MACON,"-41,020","-32,030","-23,847","-34,375","-27,031",,,,,,,,,,,
11720,GEORGIA                  ,MADISON,"-56,658","-35,802","-38,544","-25,923","-41,437",,,,,,,,,,,
11730,GEORGIA                  ,MARION,"8,753","8,933","8,255","-12,036","3,133",,,,,,,,,,,
11740,GEORGIA                  ,MERIWETHER,"-36,759","3,040","-4,903","-26,338","2,240",,,,,,,,,,,
11741,GEORGIA                  ,MILLER,"-14,052","-3,389","-12,135","-3,931","-12,006",,,,,,,,,,,
11750,GEORGIA                  ,MITCHELL,"-53,261","-51,304","-47,398","-44,849","-65,807",,,,,,,,,,,
11760,GEORGIA                  ,MONROE,"-38,091","-57,790","-38,496","-3,235","6,915",,,,,,,,,,,
11770,GEORGIA                  ,MONTGOMERY,"-3,461",-270,"-4,507","-2,925","5,887",,,,,,,,,,,
11771,GEORGIA                  ,MORGAN,"-21,881","-3,626","-5,645","-13,516","-32,916",,,,,,,,,,,
11772,GEORGIA                  ,MURRAY,"-73,013","-53,196","-76,201","-72,451","-86,108",,,,,,,,,,,
11780,GEORGIA                  ,MUSCOGEE,"427,714","439,054","591,817","331,395","464,278",,,,,,,,,,,
11790,GEORGIA                  ,NEWTON,"-99,721","-32,476","21,647","-49,403","32,598",,,,,,,,,,,
11800,GEORGIA                  ,OCONEE,"-18,033","-24,780","-29,032","-39,182","-18,683",,,,,,,,,,,
11801,GEORGIA                  ,OGLETHORPE,"-9,089","-11,714","-1,666","-14,058",932,,,,,,,,,,,
11810,GEORGIA                  ,PAULDING,"-49,762","78,840","62,986","21,639","69,152",,,,,,,,,,,
11811,GEORGIA                  ,PEACH,"-69,358","-53,138","-47,473","-4,935","30,609",,,,,,,,,,,
11812,GEORGIA                  ,PICKENS,"-6,379","-31,064","-10,688","-16,050","-5,557",,,,,,,,,,,
11820,GEORGIA                  ,PIERCE,"-38,190","-6,838","1,272","-11,496","7,199",,,,,,,,,,,
11821,GEORGIA                  ,PIKE,"-15,072","-22,656","-13,582","-7,682","-11,251",,,,,,,,,,,
11830,GEORGIA                  ,POLK,"-58,657","-59,754","-69,056","-153,590","-105,619",,,,,,,,,,,
11831,GEORGIA                  ,PULASKI,"-29,832","-8,710","-44,269","-8,534","-18,908",,,,,,,,,,,
11832,GEORGIA                  ,PUTNAM,"-27,684","-17,341","-13,912","-23,303","-2,882",,,,,,,,,,,
11833,GEORGIA                  ,QUITMAN,417,-215,-451,"-4,309","-1,446",,,,,,,,,,,
11834,GEORGIA                  ,RABUN,9,"-32,138","-20,032","-23,819","-27,051",,,,,,,,,,,
11835,GEORGIA                  ,RANDOLPH,"-21,093","-14,615",571,"-15,714","-26,252",,,,,,,,,,,
11840,GEORGIA                  ,RICHMOND,"84,504","-6,209","6,964","182,423","183,167",,,,,,,,,,,
11841,GEORGIA                  ,ROCKDALE,"21,781","52,927","35,008","78,862","79,568",,,,,,,,,,,
11842,GEORGIA                  ,SCHLEY,"-12,620","-1,210","-20,862","-16,624","-4,859",,,,,,,,,,,
11850,GEORGIA                  ,SCREVEN,"-39,852","-40,609","-46,684","-32,393","-32,603",,,,,,,,,,,
11851,GEORGIA                  ,SEMINOLE,"13,835","26,029","19,152","35,389","21,546",,,,,,,,,,,
11860,GEORGIA                  ,SPALDING,"-225,300","-171,316","-63,050","-73,155","-26,591",,,,,,,,,,,
11861,GEORGIA                  ,STEPHENS,"-18,163","-49,859","-26,877","-21,700","-21,505",,,,,,,,,,,
11862,GEORGIA                  ,STEWART,"13,605","11,338","2,348","-1,951","6,930",,,,,,,,,,,
11870,GEORGIA                  ,SUMTER,"-47,600","-50,531","-42,005","-7,888","-16,191",,,,,,,,,,,
11880,GEORGIA                  ,TALBOT,"26,442","25,546","18,154",813,"14,675",,,,,,,,,,,
11881,GEORGIA                  ,TALIAFERRO,"-5,400","-4,250","-4,150",-116,"-11,698",,,,,,,,,,,
11882,GEORGIA                  ,TATTNALL,"-42,355","-48,935","-58,413","-26,211","-10,054",,,,,,,,,,,
11883,GEORGIA                  ,TAYLOR,"-18,584","-31,581","-29,614","-6,449","-36,617",,,,,,,,,,,
11884,GEORGIA                  ,TELFAIR,"-25,619","-16,996","-62,980","-44,440","-24,120",,,,,,,,,,,
11885,GEORGIA                  ,TERRELL,"-13,438","-38,760","-8,153","-10,108","-28,229",,,,,,,,,,,
11890,GEORGIA                  ,THOMAS,"-89,625","-56,420","-67,246","-48,325","-133,279",,,,,,,,,,,
11900,GEORGIA                  ,TIFT,"-201,080","-161,386","-132,380","-120,368","-91,435",,,,,,,,,,,
11901,GEORGIA                  ,TOOMBS,"-33,304","-21,372","-5,610",106,"16,759",,,,,,,,,,,
11902,GEORGIA                  ,TOWNS,"-8,547","-9,878",828,"-3,798","-10,679",,,,,,,,,,,
11903,GEORGIA                  ,TREUTLEN,"-20,193","-30,802","-31,013","-13,464","-1,748",,,,,,,,,,,
11910,GEORGIA                  ,TROUP,"-166,621","-206,791","-124,188","-157,287","-13,018",,,,,,,,,,,
11911,GEORGIA                  ,TURNER,"-50,574","-32,401","-36,316","-22,165","-35,985",,,,,,,,,,,
11912,GEORGIA                  ,TWIGGS,"-5,737","-6,837","-21,390","-16,539","-21,113",,,,,,,,,,,
11913,GEORGIA                  ,UNION,"-2,635","-5,622","-4,499","-38,539","-35,060",,,,,,,,,,,
11920,GEORGIA                  ,UPSON,"-123,244","-115,866","-104,480","-96,130","-55,058",,,,,,,,,,,
11921,GEORGIA                  ,WALKER,"-149,343","-20,459","-60,688","-50,731","-103,661",,,,,,,,,,,
11930,GEORGIA                  ,WALTON,"-51,236","-47,589","-45,694","-75,176","-11,373",,,,,,,,,,,
11940,GEORGIA                  ,WARE,"-43,737","-44,065","-31,368","-21,179","-9,027",,,,,,,,,,,
11941,GEORGIA                  ,WARREN,"-13,566","1,094","5,766","2,356","5,879",,,,,,,,,,,
11950,GEORGIA                  ,WASHINGTON,"-21,961","-49,362","-22,750","7,915","-25,755",,,,,,,,,,,
11960,GEORGIA                  ,WAYNE,"-30,891","-31,828","-55,192","-18,607","-12,315",,,,,,,,,,,
11961,GEORGIA                  ,WEBSTER,"4,024","2,686",-800,"-16,489","-5,296",,,,,,,,,,,
11962,GEORGIA                  ,WHEELER,"-18,749","-5,082","-13,203","-1,505","-1,407",,,,,,,,,,,
11963,GEORGIA                  ,WHITE,"-20,758","-47,821","-9,963","-15,329","-21,368",,,,,,,,,,,
11970,GEORGIA                  ,WHITFIELD,"-197,243","-151,048","-133,930","-158,066","-197,565",,,,,,,,,,,
11971,GEORGIA                  ,WILCOX,"-7,861","-19,616","-18,603","-13,054","-6,242",,,,,,,,,,,
11972,GEORGIA                  ,WILKES,"-30,501","-35,152","-25,680","-34,911","-14,953",,,,,,,,,,,
11973,GEORGIA                  ,WILKINSON,"-33,041","-20,946","-40,871","-3,425","-4,762",,,,,,,,,,,
11980,GEORGIA                  ,WORTH,"-41,035","-39,648","-61,665","-46,133","-54,568",,,,,,,,,,,
12010,HAWAII                   ,HAWAII,"-42,852","-113,705","-45,941","-66,061","-60,129",,,,,,,,,,,
12020,HAWAII                   ,HONOLULU,"104,843","-13,880","35,596","27,285","122,558",,,,,,,,,,,
12030,HAWAII                   ,KALAWAO,0,0,0,0,0,,,,,,,,,,,
12040,HAWAII                   ,KAUAI,"-18,057","-17,562","-23,602","-37,444","-19,996",,,,,,,,,,,
12050,HAWAII                   ,MAUI,"-7,837","-7,012","-8,908","-43,034","-19,364",,,,,,,,,,,
13000,IDAHO                    ,ADA,"618,575","539,165","639,215","717,005","297,017",,,,,,,,,,,
13010,IDAHO                    ,ADAMS,"4,203","11,104","3,526","-6,114",367,,,,,,,,,,,
13020,IDAHO                    ,BANNOCK,"-229,561","-299,739","19,811","24,538","15,779",,,,,,,,,,,
13030,IDAHO                    ,BEAR LAKE,"-4,242","-8,931","2,536",518,"2,871",,,,,,,,,,,
13040,IDAHO                    ,BENEWAH,"1,596","1,796","-10,479","-7,936","-26,948",,,,,,,,,,,
13050,IDAHO                    ,BINGHAM,"-29,807","-43,997","4,597","2,437","-3,827",,,,,,,,,,,
13060,IDAHO                    ,BLAINE,"54,023","4,563","4,182","4,582","-7,847",,,,,,,,,,,
13070,IDAHO                    ,BOISE,"10,267","11,062","6,460","5,110","8,635",,,,,,,,,,,
13080,IDAHO                    ,BONNER,"-10,215","-10,613","-18,681","-58,690","-12,355",,,,,,,,,,,
13090,IDAHO                    ,BONNEVILLE,"123,403","101,404","61,440","16,536","-2,420",,,,,,,,,,,
13100,IDAHO                    ,BOUNDARY,"-9,255","2,755","-11,202","-8,483","-22,376",,,,,,,,,,,
13110,IDAHO                    ,BUTTE,-392,"-7,122","2,456",673,743,,,,,,,,,,,
13120,IDAHO                    ,CAMAS,0,"1,352",303,"2,147",-641,,,,,,,,,,,
13130,IDAHO                    ,CANYON,"155,265","161,922","188,620","137,213","-30,263",,,,,,,,,,,
13140,IDAHO                    ,CARIBOU,"-6,587","-9,889","1,024","-5,506",-917,,,,,,,,,,,
13150,IDAHO                    ,CASSIA,"5,211","1,493","5,705","9,139","1,058",,,,,,,,,,,
13160,IDAHO                    ,CLARK,-954,0,0,0,"-1,418",,,,,,,,,,,
13170,IDAHO                    ,CLEARWATER,"-8,870","-18,117","-16,977","-16,704","-2,673",,,,,,,,,,,
13180,IDAHO                    ,CUSTER,"1,996","1,136","-6,428",680,287,,,,,,,,,,,
13190,IDAHO                    ,ELMORE,"12,855","22,368","20,463","20,708",6,,,,,,,,,,,
13200,IDAHO                    ,FRANKLIN,"-5,459",918,"3,497","4,838","10,171",,,,,,,,,,,
13210,IDAHO                    ,FREMONT,"16,465","19,787","16,112","22,578","12,192",,,,,,,,,,,
13220,IDAHO                    ,GEM,"10,052","3,282","-4,993","7,664","-11,092",,,,,,,,,,,
13230,IDAHO                    ,GOODING,"2,485","6,032","10,799","16,936","-11,473",,,,,,,,,,,
13240,IDAHO                    ,IDAHO,"-26,097","-19,506","-2,125","-24,072","2,213",,,,,,,,,,,
13250,IDAHO                    ,JEFFERSON,"11,082","22,340","20,862","12,764","3,897",,,,,,,,,,,
13260,IDAHO                    ,JEROME,"10,272","19,037","18,896","11,063","-10,857",,,,,,,,,,,
13270,IDAHO                    ,KOOTENAI,"45,963","31,664","14,650","-15,639","-29,430",,,,,,,,,,,
13280,IDAHO                    ,LATAH,"-14,446","-34,761","-1,824","-3,972","-34,591",,,,,,,,,,,
13290,IDAHO                    ,LEMHI,"-8,417",34,"1,113",387,"-2,824",,,,,,,,,,,
13300,IDAHO                    ,LEWIS,"-4,370","-4,429","2,571","-6,549","-16,457",,,,,,,,,,,
13310,IDAHO                    ,LINCOLN,"2,626","7,462","1,880","4,371",398,,,,,,,,,,,
13320,IDAHO                    ,MADISON,"17,111","19,963","34,483","29,801","24,240",,,,,,,,,,,
13330,IDAHO                    ,MINIDOKA,"8,155","-8,587","9,306","13,310",-878,,,,,,,,,,,
13340,IDAHO                    ,NEZ PERCE,"-72,643","-68,565","-25,527","-2,809","-42,577",,,,,,,,,,,
13350,IDAHO                    ,ONEIDA,"-4,713","-19,390","2,198","2,439","2,990",,,,,,,,,,,
13360,IDAHO                    ,OWYHEE,"9,430","2,370","12,535","10,720",-484,,,,,,,,,,,
13370,IDAHO                    ,PAYETTE,"1,160","5,418","3,233","-16,866","-65,823",,,,,,,,,,,
13380,IDAHO                    ,POWER,"-8,190","-20,417","2,386","2,827","3,219",,,,,,,,,,,
13390,IDAHO                    ,SHOSHONE,"5,094","-8,036","-6,477","-14,631","-10,959",,,,,,,,,,,
13400,IDAHO                    ,TETON,"1,196",29,-148,"2,539","1,639",,,,,,,,,,,
13410,IDAHO                    ,TWIN FALLS,"140,322","134,599","112,647","106,961","-30,451",,,,,,,,,,,
13420,IDAHO                    ,VALLEY,"8,538","9,328","16,055","13,424","1,714",,,,,,,,,,,
13430,IDAHO                    ,WASHINGTON,"5,041","5,929","8,380",-290,"-3,694",,,,,,,,,,,
14000,ILLINOIS                 ,ADAMS,"-6,338","-15,738","-16,829","-24,020","-41,000",,,,,,,,,,,
14010,ILLINOIS                 ,ALEXANDER,"-18,285","-12,169","-31,134","-20,137","-12,551",,,,,,,,,,,
14020,ILLINOIS                 ,BOND,"-5,521","-25,662","-11,770","-10,383","-1,130",,,,,,,,,,,
14030,ILLINOIS                 ,BOONE,"4,905","12,794","-31,315","-9,227","-11,858",,,,,,,,,,,
14040,ILLINOIS                 ,BROWN,"-2,231","1,662","-1,516","1,940","1,917",,,,,,,,,,,
14050,ILLINOIS                 ,BUREAU,"-18,158","-12,454","-5,629","-2,730","-32,282",,,,,,,,,,,
14060,ILLINOIS                 ,CALHOUN,"2,145",-230,"3,191","-6,185","3,012",,,,,,,,,,,
14070,ILLINOIS                 ,CARROLL,"2,102","-4,715","10,125","-3,816","-15,498",,,,,,,,,,,
14080,ILLINOIS                 ,CASS,"-2,964","-5,803",310,"-12,736","-1,308",,,,,,,,,,,
14090,ILLINOIS                 ,CHAMPAIGN,"6,354","21,514","34,269","54,902","-47,981",,,,,,,,,,,
14100,ILLINOIS                 ,CHRISTIAN,"-12,352","-17,146","-38,403","-9,772","-11,346",,,,,,,,,,,
14110,ILLINOIS                 ,CLARK,571,-910,"1,520","-4,150","-16,600",,,,,,,,,,,
14120,ILLINOIS                 ,CLAY,-176,"-3,226","-3,668","-5,072","-7,532",,,,,,,,,,,
14130,ILLINOIS                 ,CLINTON,580,"11,069","15,362","-18,109","-9,204",,,,,,,,,,,
14140,ILLINOIS                 ,COLES,"-9,933","-11,258","-22,890","-15,996","-14,672",,,,,,,,,,,
14141,ILLINOIS                 ,COOK,"-31,221","640,721","623,730","333,460","2,631,280",,,,,,,,,,,
14150,ILLINOIS                 ,CRAWFORD,"-5,364","-3,110","-8,489","-10,363","-4,080",,,,,,,,,,,
14160,ILLINOIS                 ,CUMBERLAND,"1,492","-2,051","-6,185","2,882","-4,686",,,,,,,,,,,
14170,ILLINOIS                 ,DEKALB,"23,268","41,699","-8,051","3,276","-15,541",,,,,,,,,,,
14180,ILLINOIS                 ,DE WITT,"-7,234","-9,807","3,794","-7,374","-2,585",,,,,,,,,,,
14190,ILLINOIS                 ,DOUGLAS,783,"1,286",907,"1,096","-16,031",,,,,,,,,,,
14250,ILLINOIS                 ,DUPAGE,"310,347","310,462","232,680","206,236","179,518",,,,,,,,,,,
14310,ILLINOIS                 ,EDGAR,"-10,094","5,647","-2,010","-15,679","-35,975",,,,,,,,,,,
14320,ILLINOIS                 ,EDWARDS,"-1,107",-428,"-1,139","-2,110","-1,835",,,,,,,,,,,
14330,ILLINOIS                 ,EFFINGHAM,"20,740","15,050","-6,420","-15,500","1,459",,,,,,,,,,,
14340,ILLINOIS                 ,FAYETTE,"-1,116","-9,640","-18,954","-21,882","4,235",,,,,,,,,,,
14350,ILLINOIS                 ,FORD,-697,"-5,699","-6,440",903,"-27,577",,,,,,,,,,,
14360,ILLINOIS                 ,FRANKLIN,"-31,287","-36,305","-46,444","-89,079","-103,939",,,,,,,,,,,
14370,ILLINOIS                 ,FULTON,"-10,192","-20,901","-37,104","-43,399","-8,597",,,,,,,,,,,
14380,ILLINOIS                 ,GALLATIN,"22,332","16,719","13,241","2,826","16,787",,,,,,,,,,,
14390,ILLINOIS                 ,GREENE,"-13,432","-8,475",155,"-13,752","-29,262",,,,,,,,,,,
14400,ILLINOIS                 ,GRUNDY,"14,147","-5,371","-6,020","-9,555","-21,116",,,,,,,,,,,
14410,ILLINOIS                 ,HAMILTON,-311,"-12,721","-6,510","-8,389","-8,680",,,,,,,,,,,
14420,ILLINOIS                 ,HANCOCK,"-8,165",764,"-8,968","-8,452","-31,180",,,,,,,,,,,
14421,ILLINOIS                 ,HARDIN,"5,721","-3,745",384,"-7,037","-17,296",,,,,,,,,,,
14440,ILLINOIS                 ,HENDERSON,983,"-4,249","-2,398","-8,111","-9,388",,,,,,,,,,,
14450,ILLINOIS                 ,HENRY,"2,848","-17,508","-24,454","-49,348","-33,361",,,,,,,,,,,
14460,ILLINOIS                 ,IROQUOIS,"-22,863","-48,020","-84,085","-19,721","-32,418",,,,,,,,,,,
14470,ILLINOIS                 ,JACKSON,"-61,674","-107,334","-78,177","-100,307","-151,798",,,,,,,,,,,
14480,ILLINOIS                 ,JASPER,"1,588","-1,211",537,"3,443","-1,058",,,,,,,,,,,
14490,ILLINOIS                 ,JEFFERSON,"-45,583","-24,914","-52,361","-39,278","-16,816",,,,,,,,,,,
14500,ILLINOIS                 ,JERSEY,"-2,279","-2,558","-6,748","-18,903","-5,676",,,,,,,,,,,
14510,ILLINOIS                 ,JO DAVIESS,"5,678","4,627",621,"5,915","-7,092",,,,,,,,,,,
14520,ILLINOIS                 ,JOHNSON,"-5,279","-2,223","-14,287","-11,425","21,336",,,,,,,,,,,
14530,ILLINOIS                 ,KANE,"336,034","203,763","151,255","56,457","130,485",,,,,,,,,,,
14540,ILLINOIS                 ,KANKAKEE,"-147,054","-186,339","-210,499","-195,417","-264,499",,,,,,,,,,,
14550,ILLINOIS                 ,KENDALL,"4,269","2,731","9,546","-2,388","-5,350",,,,,,,,,,,
14560,ILLINOIS                 ,KNOX,"-44,084","-47,061","-47,104","-15,317","-45,086",,,,,,,,,,,
14570,ILLINOIS                 ,LAKE,"-94,502","-150,713","-231,293","-327,888","-284,536",,,,,,,,,,,
14580,ILLINOIS                 ,LA SALLE,"-3,003","-31,544","-77,132","-40,372","-96,671",,,,,,,,,,,
14590,ILLINOIS                 ,LAWRENCE,"-19,980","-1,881","27,520","-5,399","-1,610",,,,,,,,,,,
14600,ILLINOIS                 ,LEE,"-9,398","-18,165","-24,019","-36,860","-44,835",,,,,,,,,,,
14610,ILLINOIS                 ,LIVINGSTON,"-12,806","-1,780","-16,801",-101,"-2,071",,,,,,,,,,,
14620,ILLINOIS                 ,LOGAN,"1,474","3,947",-412,17,"2,063",,,,,,,,,,,
14630,ILLINOIS                 ,MCDONOUGH,"-12,575","-12,616","-12,653","-27,953","-48,026",,,,,,,,,,,
14640,ILLINOIS                 ,MCHENRY,"37,618",-917,"-21,863","-24,266","-107,958",,,,,,,,,,,
14650,ILLINOIS                 ,MCLEAN,"30,651","56,029","43,807","58,328","41,184",,,,,,,,,,,
14660,ILLINOIS                 ,MACON,"-87,030","-71,896","-112,379","-237,670","-170,353",,,,,,,,,,,
14670,ILLINOIS                 ,MACOUPIN,"-2,907","-22,466","-31,422","-25,894","-40,728",,,,,,,,,,,
14680,ILLINOIS                 ,MADISON,"-93,161","-77,551","7,308","-8,691","60,273",,,,,,,,,,,
14690,ILLINOIS                 ,MARION,"-114,591","-107,386","-143,167","-85,995","-92,195",,,,,,,,,,,
14700,ILLINOIS                 ,MARSHALL,"-2,064","-5,905","7,618","-2,780","5,973",,,,,,,,,,,
14710,ILLINOIS                 ,MASON,"-5,977","-6,499","-14,142","-15,045","-5,190",,,,,,,,,,,
14720,ILLINOIS                 ,MASSAC,"-1,416","-27,209","-15,772","-27,173","-30,635",,,,,,,,,,,
14730,ILLINOIS                 ,MENARD,"2,851","4,527","4,316",410,"2,490",,,,,,,,,,,
14740,ILLINOIS                 ,MERCER,"4,105","10,662","-4,610","-14,547","-15,432",,,,,,,,,,,
14750,ILLINOIS                 ,MONROE,838,"8,013","14,052","4,892","17,094",,,,,,,,,,,
14760,ILLINOIS                 ,MONTGOMERY,"-11,671","-22,274","-16,068","-16,340","-41,648",,,,,,,,,,,
14770,ILLINOIS                 ,MORGAN,"1,209","-7,661","-4,167","-11,848","-15,041",,,,,,,,,,,
14780,ILLINOIS                 ,MOULTRIE,"-8,717","-2,235","-20,160","-23,912","-36,665",,,,,,,,,,,
14790,ILLINOIS                 ,OGLE,"-12,126","1,622","-59,292","-47,552","-34,817",,,,,,,,,,,
14800,ILLINOIS                 ,PEORIA,"-16,906","21,118","125,754","26,783","-82,745",,,,,,,,,,,
14810,ILLINOIS                 ,PERRY,"-10,061","-16,338","-21,199","-40,109","-43,065",,,,,,,,,,,
14820,ILLINOIS                 ,PIATT,"-9,315","-14,115","3,386","3,223","-19,685",,,,,,,,,,,
14830,ILLINOIS                 ,PIKE,"-4,017","-14,644","-7,352","-10,548","-8,022",,,,,,,,,,,
14831,ILLINOIS                 ,POPE,"2,607","5,925",-54,-779,"-6,906",,,,,,,,,,,
14850,ILLINOIS                 ,PULASKI,"-3,988","-3,427","-7,258","-14,056","-9,403",,,,,,,,,,,
14860,ILLINOIS                 ,PUTNAM,"-6,472",159,"-3,642",497,"-7,412",,,,,,,,,,,
14870,ILLINOIS                 ,RANDOLPH,"9,908","8,283","5,026","-6,046","-19,146",,,,,,,,,,,
14880,ILLINOIS                 ,RICHLAND,"-7,882","-11,496","-36,225","-12,046","-17,378",,,,,,,,,,,
14890,ILLINOIS                 ,ROCK ISLAND,"70,496","59,238","-17,609","-177,599","-133,869",,,,,,,,,,,
14900,ILLINOIS                 ,ST. CLAIR,"22,883","131,886","180,251","391,534","306,936",,,,,,,,,,,
14910,ILLINOIS                 ,SALINE,"70,607","13,795","41,236","36,937","26,948",,,,,,,,,,,
14920,ILLINOIS                 ,SANGAMON,"31,301","-24,661","-43,981","22,777","2,258",,,,,,,,,,,
14921,ILLINOIS                 ,SCHUYLER,"-10,538","-3,748","-4,391",421,354,,,,,,,,,,,
14940,ILLINOIS                 ,SCOTT,"-2,851",-748,-500,-755,"-1,202",,,,,,,,,,,
14950,ILLINOIS                 ,SHELBY,"-6,969","-4,903","-7,120","-25,174","-11,858",,,,,,,,,,,
14960,ILLINOIS                 ,STARK,"-1,580","-1,187","1,534",657,789,,,,,,,,,,,
14970,ILLINOIS                 ,STEPHENSON,"-10,934","-24,022","-35,048","-42,697","-52,069",,,,,,,,,,,
14980,ILLINOIS                 ,TAZEWELL,"24,370","34,160","50,378","45,404","-70,841",,,,,,,,,,,
14981,ILLINOIS                 ,UNION,"-24,919","-30,310","-29,190","-40,029","-31,989",,,,,,,,,,,
14982,ILLINOIS                 ,VERMILION,"-19,911","-76,114","-111,015","-126,963","-115,876",,,,,,,,,,,
14983,ILLINOIS                 ,WABASH,"5,515","6,716","1,183","3,182","36,856",,,,,,,,,,,
14984,ILLINOIS                 ,WARREN,"-32,085","-23,886","-5,172","-13,408","-5,065",,,,,,,,,,,
14985,ILLINOIS                 ,WASHINGTON,"-2,067","2,645","-24,247","-5,664","-25,305",,,,,,,,,,,
14986,ILLINOIS                 ,WAYNE,"-9,167","-1,689","-1,357","-3,798","31,275",,,,,,,,,,,
14987,ILLINOIS                 ,WHITE,"23,756","43,415","80,787","-1,984","28,686",,,,,,,,,,,
14988,ILLINOIS                 ,WHITESIDE,"68,943","8,081","-5,627","-37,458","-29,097",,,,,,,,,,,
14989,ILLINOIS                 ,WILL,"229,274","265,393","278,079","32,070","-86,570",,,,,,,,,,,
14990,ILLINOIS                 ,WILLIAMSON,"-50,020","-64,039","-13,408","-88,901","-105,652",,,,,,,,,,,
14991,ILLINOIS                 ,WINNEBAGO,"64,016","-61,833","-317,011","-445,806","-242,899",,,,,,,,,,,
14992,ILLINOIS                 ,WOODFORD,"11,913","-5,983","1,284","15,789","2,164",,,,,,,,,,,
15000,INDIANA                  ,ADAMS,"13,163","12,528","-13,157","-1,783","-13,270",,,,,,,,,,,
15010,INDIANA                  ,ALLEN,"502,325","569,001","563,665","550,548","340,240",,,,,,,,,,,
15020,INDIANA                  ,BARTHOLOMEW,"109,628","-15,546","-36,969","-68,139","-118,797",,,,,,,,,,,
15030,INDIANA                  ,BENTON,"-1,288","7,039","5,571","2,314",815,,,,,,,,,,,
15040,INDIANA                  ,BLACKFORD,"13,117","9,128","-19,897","-7,866","-22,491",,,,,,,,,,,
15050,INDIANA                  ,BOONE,"74,261","35,798","10,146","-16,755","-7,623",,,,,,,,,,,
15060,INDIANA                  ,BROWN,"1,674","-16,468","-1,083","-25,113","-9,681",,,,,,,,,,,
15070,INDIANA                  ,CARROLL,"8,986","19,796","6,332","3,596","2,448",,,,,,,,,,,
15080,INDIANA                  ,CASS,"8,210","13,745","-14,400","-4,404","-31,889",,,,,,,,,,,
15090,INDIANA                  ,CLARK,"23,238","-92,997","-179,005","-185,392","-171,389",,,,,,,,,,,
15100,INDIANA                  ,CLAY,"25,770","-10,014","-1,253","-43,599","-21,302",,,,,,,,,,,
15110,INDIANA                  ,CLINTON,"48,083","6,735","15,381","18,495","-35,461",,,,,,,,,,,
15120,INDIANA                  ,CRAWFORD,"-22,672","-7,744","-9,577","-29,368","-15,294",,,,,,,,,,,
15130,INDIANA                  ,DAVIESS,"1,310","3,918","-8,800",-55,"2,022",,,,,,,,,,,
15140,INDIANA                  ,DEARBORN,"13,121","33,488","46,885","17,362","25,166",,,,,,,,,,,
15150,INDIANA                  ,DECATUR,"22,629","5,008","14,967","-31,029","-26,904",,,,,,,,,,,
